col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),EXCL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,EXCL
1,21-11-2025,2.770,2.840,2.700,2.730,20.482.500,55.917.225.000,0.36%,2.90%,-2.17%,-1.09%,2.53%,3.87%,EXCL
2,20-11-2025,2.750,2.780,2.730,2.760,7.149.800,19.733.448.000,0.00%,1.09%,-0.73%,0.36%,1.09%,3.96%,EXCL
3,19-11-2025,2.730,2.760,2.670,2.750,13.720.600,37.731.650.000,0.74%,1.85%,-1.48%,1.48%,1.10%,1.81%,EXCL
4,18-11-2025,2.740,2.760,2.710,2.710,13.377.900,36.254.109.000,0.37%,1.10%,-0.73%,-0.73%,0.73%,1.81%,EXCL
5,17-11-2025,2.720,2.750,2.710,2.730,8.008.400,21.862.932.000,0.00%,1.10%,-0.37%,0.37%,1.10%,1.82%,EXCL
6,14-11-2025,2.740,2.740,2.700,2.720,5.517.900,15.008.688.000,-0.36%,-0.36%,-1.82%,-1.09%,0.00%,1.82%,EXCL
7,13-11-2025,2.750,2.770,2.690,2.750,15.990.100,43.972.775.000,0.00%,0.73%,-2.18%,0.00%,0.73%,1.44%,EXCL
8,12-11-2025,2.750,2.780,2.730,2.750,14.001.500,38.504.125.000,0.00%,1.09%,-0.73%,0.00%,1.09%,3.96%,EXCL
9,11-11-2025,2.750,2.760,2.670,2.750,7.659.600,21.063.900.000,0.00%,0.36%,-2.91%,0.00%,0.36%,1.45%,EXCL
10,10-11-2025,2.750,2.770,2.720,2.750,16.620.700,45.706.925.000,0.36%,1.09%,-0.73%,0.36%,0.73%,2.89%,EXCL
11,07-11-2025,2.740,2.750,2.690,2.740,5.969.100,16.355.334.000,0.00%,0.36%,-1.82%,0.00%,0.36%,1.82%,EXCL
12,06-11-2025,2.700,2.750,2.700,2.740,4.084.700,11.192.078.000,0.00%,1.85%,0.00%,1.48%,1.85%,3.64%,EXCL
13,05-11-2025,2.720,2.730,2.650,2.700,7.853.000,21.203.100.000,-0.37%,0.00%,-2.93%,-1.10%,0.37%,1.10%,EXCL
14,04-11-2025,2.700,2.760,2.700,2.730,24.451.800,66.753.414.000,0.37%,2.60%,0.37%,1.49%,2.22%,6.52%,EXCL
15,03-11-2025,2.580,2.740,2.580,2.690,12.031.500,32.364.735.000,-1.15%,4.98%,-1.15%,3.07%,6.20%,6.57%,EXCL
