col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),FASW
1,2,3,4,5,6,7,8,9,10,11,12,13,14,FASW
1,21-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
2,20-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
3,19-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
4,18-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
5,17-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
6,14-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
7,13-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
8,12-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
9,11-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
10,10-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
11,07-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
12,06-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
13,05-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
14,04-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
15,03-11-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
16,31-10-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
17,30-10-2025,5.450,5.450,5.450,5.450,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FASW
