col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),FILM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,FILM
1,21-11-2025,6.250,6.650,6.175,6.525,12.224.000,79.761.600.000,0.40%,6.83%,-0.80%,4.82%,6.40%,10.53%,FILM
2,20-11-2025,6.125,6.350,5.950,6.225,8.286.700,51.584.707.500,1.66%,5.39%,-1.24%,3.32%,3.67%,7.87%,FILM
3,19-11-2025,5.850,6.100,5.850,6.025,7.753.100,46.712.427.500,-2.50%,1.67%,-2.50%,0.42%,4.27%,4.10%,FILM
4,18-11-2025,6.075,6.175,5.850,6.000,7.969.100,47.814.600.000,0.00%,1.65%,-3.70%,-1.23%,1.65%,8.10%,FILM
5,17-11-2025,5.700,6.425,5.675,6.075,11.944.800,72.564.660.000,0.00%,12.72%,-0.44%,6.58%,12.72%,14.01%,FILM
6,14-11-2025,5.675,5.775,5.525,5.700,7.598.200,43.309.740.000,0.44%,2.21%,-2.21%,0.88%,1.76%,2.16%,FILM
7,13-11-2025,5.800,5.800,5.650,5.650,7.955.300,44.947.445.000,1.31%,1.31%,-1.31%,-1.31%,0.00%,3.02%,FILM
8,12-11-2025,5.700,5.850,5.625,5.725,7.732.900,44.270.852.500,0.00%,2.63%,-1.32%,0.44%,2.63%,3.42%,FILM
9,11-11-2025,5.775,5.850,5.650,5.700,7.616.700,43.415.190.000,0.00%,1.30%,-2.16%,-1.30%,1.30%,5.13%,FILM
10,10-11-2025,5.625,5.800,5.550,5.775,8.325.200,48.078.030.000,0.00%,3.11%,-1.33%,2.67%,3.11%,6.90%,FILM
11,07-11-2025,5.675,5.775,5.400,5.625,7.682.800,43.215.750.000,0.00%,1.76%,-4.85%,-0.88%,1.76%,2.16%,FILM
12,06-11-2025,5.800,5.900,5.650,5.675,8.070.900,45.802.357.500,0.00%,1.72%,-2.59%,-2.16%,1.72%,5.51%,FILM
13,05-11-2025,5.575,5.850,5.575,5.800,7.392.600,42.877.080.000,-3.46%,1.30%,-3.46%,0.43%,4.93%,5.13%,FILM
14,04-11-2025,5.800,5.950,5.550,5.775,8.229.200,47.523.630.000,0.00%,2.59%,-4.31%,-0.43%,2.59%,6.30%,FILM
15,03-11-2025,5.675,5.925,5.575,5.800,7.593.400,44.041.720.000,0.00%,4.41%,-1.76%,2.20%,4.41%,11.81%,FILM
16,31-10-2025,5.400,5.700,5.225,5.675,9.536.400,54.119.070.000,-0.46%,5.07%,-3.69%,4.61%,5.56%,11.84%,FILM
17,30-10-2025,5.375,5.450,5.025,5.425,9.239.100,50.122.117.500,0.00%,1.40%,-6.51%,0.93%,1.40%,5.50%,FILM
18,29-10-2025,5.475,5.525,5.150,5.375,8.294.700,44.584.012.500,3.30%,4.25%,-2.83%,1.42%,0.91%,4.07%,FILM
19,28-10-2025,5.450,5.550,5.300,5.300,8.338.700,44.195.110.000,0.00%,1.83%,-2.75%,-2.75%,1.83%,12.97%,FILM
20,27-10-2025,5.600,5.725,4.830,5.450,5.317.400,28.979.830.000,-1.32%,0.88%,-14.89%,-3.96%,2.23%,2.18%,FILM
21,24-10-2025,5.800,5.875,5.600,5.675,7.393.800,41.959.815.000,0.00%,1.29%,-3.45%,-2.16%,1.29%,9.79%,FILM
22,23-10-2025,5.500,5.975,5.300,5.800,9.360.600,54.291.480.000,0.00%,8.64%,-3.64%,5.45%,8.64%,15.06%,FILM
23,22-10-2025,5.400,5.550,5.075,5.500,4.815.300,26.484.150.000,0.00%,2.78%,-6.02%,1.85%,2.78%,6.31%,FILM
24,21-10-2025,5.300,5.700,5.200,5.400,9.449.500,51.027.300.000,1.92%,9.62%,0.00%,3.85%,7.55%,14.04%,FILM
25,20-10-2025,4.980,5.300,4.900,5.200,9.251.900,48.109.880.000,1.01%,7.51%,-0.61%,5.48%,6.43%,10.19%,FILM
26,17-10-2025,5.000,5.100,4.760,4.930,2.363.200,11.650.576.000,0.20%,2.20%,-4.61%,-1.20%,2.00%,6.86%,FILM
27,16-10-2025,4.750,5.050,4.750,4.990,3.935.700,19.639.143.000,0.00%,6.32%,0.00%,5.05%,6.32%,6.73%,FILM
28,15-10-2025,5.075,5.400,4.710,4.750,9.274.400,44.053.400.000,1.70%,8.22%,-5.61%,-4.81%,6.40%,21.85%,FILM
29,14-10-2025,4.440,5.050,4.220,4.990,8.297.700,41.405.523.000,1.37%,15.30%,-3.65%,13.93%,13.74%,20.59%,FILM
30,13-10-2025,4.240,4.440,4.010,4.380,3.874.800,16.971.624.000,-0.70%,3.98%,-6.09%,2.58%,4.72%,3.83%,FILM
31,10-10-2025,4.490,4.500,4.270,4.270,3.137.600,13.397.552.000,0.90%,1.12%,-4.04%,-4.04%,0.22%,10.44%,FILM
32,09-10-2025,4.190,4.500,4.030,4.450,4.264.300,18.976.135.000,0.00%,7.40%,-3.82%,6.21%,7.40%,6.89%,FILM
33,08-10-2025,4.430,4.660,4.190,4.190,3.962.500,16.602.875.000,0.00%,5.19%,-5.42%,-5.42%,5.19%,5.15%,FILM
34,07-10-2025,4.900,4.900,4.420,4.430,8.351.300,36.996.259.000,-5.77%,-5.77%,-15.00%,-14.81%,0.00%,-6.12%,FILM
35,06-10-2025,6.100,6.100,5.200,5.200,6.033.000,31.371.600.000,0.00%,0.00%,-14.75%,-14.75%,0.00%,11.48%,FILM
36,03-10-2025,6.275,6.275,5.400,6.100,7.721.600,47.101.760.000,0.00%,0.00%,-13.94%,-2.79%,0.00%,7.97%,FILM
37,02-10-2025,5.775,6.275,5.775,6.275,2.738.300,17.182.832.500,0.00%,8.66%,0.00%,8.66%,8.66%,14.74%,FILM
38,01-10-2025,5.400,5.775,5.350,5.775,2.026.400,11.702.460.000,1.89%,8.96%,0.94%,8.96%,6.94%,15.84%,FILM
39,30-09-2025,4.870,5.300,4.860,5.300,2.014.200,10.675.260.000,0.41%,9.28%,0.21%,9.28%,8.83%,8.49%,FILM
40,29-09-2025,4.880,4.880,4.850,4.850,2.509.100,12.169.135.000,0.83%,0.83%,0.21%,0.21%,0.00%,11.48%,FILM
41,26-09-2025,4.400,4.840,4.320,4.840,3.958.200,19.157.688.000,0.00%,10.00%,-1.82%,10.00%,10.00%,9.09%,FILM
42,25-09-2025,4.500,4.500,4.400,4.400,2.449.300,10.776.920.000,0.00%,0.00%,-2.22%,-2.22%,0.00%,0.00%,FILM
43,24-09-2025,4.850,4.850,4.500,4.500,2.530.100,11.385.450.000,0.21%,0.21%,-7.02%,-7.02%,0.00%,0.21%,FILM
44,23-09-2025,4.840,4.840,4.840,4.840,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FILM
45,22-09-2025,4.840,4.840,4.840,4.840,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FILM
46,19-09-2025,4.840,4.840,4.840,4.840,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FILM
47,18-09-2025,4.840,4.840,4.840,4.840,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FILM
48,17-09-2025,4.840,4.840,4.840,4.840,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,10.95%,FILM
49,16-09-2025,4.350,4.840,4.310,4.840,20.001.800,96.808.712.000,0.00%,11.26%,-0.92%,11.26%,11.26%,14.67%,FILM
50,15-09-2025,4.200,4.650,4.130,4.350,14.538.000,63.240.300.000,1.69%,12.59%,0.00%,5.33%,10.71%,14.19%,FILM
51,12-09-2025,4.000,4.170,3.990,4.130,14.761.300,60.964.169.000,0.00%,4.25%,-0.25%,3.25%,4.25%,6.24%,FILM
52,11-09-2025,4.130,4.200,3.910,4.000,6.344.900,25.379.600.000,0.24%,1.94%,-5.10%,-2.91%,1.69%,7.62%,FILM
53,10-09-2025,3.930,4.200,3.880,4.120,21.359.700,88.001.964.000,1.03%,7.97%,-0.26%,5.91%,6.87%,11.90%,FILM
54,09-09-2025,3.720,3.920,3.700,3.890,6.428.000,25.004.920.000,0.00%,5.38%,-0.54%,4.57%,5.38%,5.61%,FILM
55,08-09-2025,3.810,3.970,3.700,3.720,11.198.400,41.658.048.000,0.26%,4.47%,-2.63%,-2.11%,4.20%,18.89%,FILM
56,04-09-2025,3.310,3.830,3.220,3.800,34.699.200,131.856.960.000,0.00%,15.71%,-2.72%,14.80%,15.71%,17.23%,FILM
57,03-09-2025,3.200,3.350,3.170,3.310,7.622.600,25.230.806.000,1.59%,6.35%,0.63%,5.08%,4.69%,7.16%,FILM
58,02-09-2025,3.150,3.250,3.110,3.150,6.793.300,21.398.895.000,0.00%,3.17%,-1.27%,0.00%,3.17%,4.00%,FILM
59,01-09-2025,3.190,3.330,3.120,3.150,7.807.800,24.594.570.000,-3.04%,1.22%,-5.17%,-4.26%,4.39%,9.01%,FILM
60,29-08-2025,3.220,3.430,3.030,3.290,19.429.400,63.922.726.000,0.00%,6.52%,-5.90%,2.17%,6.52%,16.91%,FILM
61,28-08-2025,2.990,3.390,2.850,3.220,41.515.400,133.679.588.000,1.01%,14.53%,-3.72%,8.78%,13.38%,13.86%,FILM
62,27-08-2025,3.090,3.280,2.920,2.960,45.182.900,133.741.384.000,-3.13%,2.82%,-8.46%,-7.21%,6.15%,2.74%,FILM
63,26-08-2025,3.760,4.060,3.190,3.190,77.309.700,246.617.943.000,0.27%,8.27%,-14.93%,-14.93%,7.98%,8.13%,FILM
64,25-08-2025,3.760,3.810,3.730,3.750,22.874.500,85.779.375.000,0.80%,2.14%,0.00%,0.54%,1.33%,2.36%,FILM
65,22-08-2025,3.800,3.820,3.720,3.730,15.718.600,58.630.378.000,2.15%,2.69%,0.00%,0.27%,0.53%,2.62%,FILM
66,21-08-2025,3.830,3.850,3.720,3.720,11.583.500,43.090.620.000,0.79%,1.32%,-2.11%,-2.11%,0.52%,4.42%,FILM
67,20-08-2025,3.740,3.830,3.680,3.800,13.350.100,50.730.380.000,0.81%,3.23%,-0.81%,2.43%,2.41%,6.27%,FILM
68,19-08-2025,3.770,3.840,3.590,3.710,15.127.500,56.123.025.000,0.53%,2.40%,-4.27%,-1.07%,1.86%,2.86%,FILM
69,15-08-2025,3.740,3.950,3.730,3.750,16.773.500,62.900.625.000,0.00%,5.61%,-0.27%,0.27%,5.61%,6.58%,FILM
70,14-08-2025,3.800,3.810,3.690,3.740,6.142.700,22.973.698.000,0.80%,1.06%,-2.12%,-0.80%,0.26%,4.99%,FILM
71,13-08-2025,3.730,3.860,3.620,3.770,13.457.900,50.736.283.000,-0.27%,3.21%,-3.21%,0.80%,3.49%,3.11%,FILM
72,12-08-2025,3.740,3.740,3.740,3.740,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,FILM
73,11-08-2025,3.700,3.990,3.690,3.740,47.860.900,178.999.766.000,0.82%,8.72%,0.54%,1.91%,7.84%,10.03%,FILM
74,08-08-2025,3.710,3.900,3.590,3.670,12.978.400,47.630.728.000,2.77%,8.03%,-0.55%,1.66%,5.12%,15.38%,FILM
75,07-08-2025,3.530,4.280,3.300,3.610,74.812.700,270.073.847.000,-1.40%,19.55%,-7.82%,0.84%,21.25%,33.41%,FILM
76,06-08-2025,3.020,3.640,2.850,3.580,92.520.400,331.223.032.000,1.00%,21.74%,-4.68%,19.73%,20.53%,31.87%,FILM
77,05-08-2025,2.510,2.990,2.480,2.990,56.443.300,168.765.467.000,1.62%,21.05%,0.40%,21.05%,19.12%,33.11%,FILM
78,04-08-2025,2.010,2.500,2.000,2.470,57.866.500,142.930.255.000,0.50%,25.00%,0.00%,23.50%,24.38%,34.40%,FILM
79,01-08-2025,1.710,2.040,1.640,2.000,29.278.200,58.556.400.000,0.59%,20.00%,-3.53%,17.65%,19.30%,17.65%,FILM
80,31-07-2025,1.760,1.785,1.680,1.700,16.000.800,27.201.360.000,0.57%,2.00%,-4.00%,-2.86%,1.42%,1.96%,FILM
81,30-07-2025,1.755,1.795,1.750,1.750,13.985.900,24.475.325.000,0.29%,2.57%,0.00%,0.00%,2.28%,9.75%,FILM
82,29-07-2025,1.640,1.760,1.620,1.750,18.777.300,32.860.275.000,0.00%,7.32%,-1.22%,6.71%,7.32%,8.52%,FILM
83,28-07-2025,1.640,1.645,1.610,1.640,5.430.700,8.906.348.000,0.31%,0.61%,-1.53%,0.31%,0.30%,2.74%,FILM
84,25-07-2025,1.625,1.650,1.600,1.635,5.911.200,9.664.812.000,0.31%,1.85%,-1.23%,0.93%,1.54%,5.45%,FILM
85,24-07-2025,1.590,1.715,1.560,1.620,24.109.600,39.057.552.000,0.00%,7.86%,-1.89%,1.89%,7.86%,16.62%,FILM
86,23-07-2025,1.525,1.590,1.430,1.590,22.159.900,35.234.241.000,0.00%,4.26%,-6.23%,4.26%,4.26%,6.29%,FILM
87,22-07-2025,1.535,1.550,1.490,1.525,9.304.700,14.189.667.500,1.32%,2.31%,-1.65%,0.66%,0.98%,9.03%,FILM
88,21-07-2025,1.480,1.595,1.410,1.515,24.581.700,37.241.275.500,-1.00%,6.69%,-5.69%,1.34%,7.77%,13.48%,FILM
89,18-07-2025,1.620,1.665,1.380,1.495,99.597.600,148.898.412.000,0.00%,2.78%,-14.81%,-7.72%,2.78%,7.81%,FILM
90,17-07-2025,1.590,1.655,1.535,1.620,19.809.300,32.091.066.000,-4.50%,-0.60%,-7.81%,-2.70%,4.09%,3.63%,FILM
91,16-07-2025,1.730,1.740,1.595,1.665,13.040.300,21.712.099.500,-2.54%,-1.97%,-10.14%,-6.20%,0.58%,2.30%,FILM
92,15-07-2025,1.805,1.805,1.700,1.775,5.580.200,9.904.855.000,-1.10%,-1.10%,-6.85%,-2.74%,0.00%,0.83%,FILM
93,14-07-2025,1.980,1.990,1.790,1.825,9.391.800,17.140.035.000,-2.94%,-2.45%,-12.25%,-10.54%,0.51%,2.51%,FILM
94,11-07-2025,2.030,2.070,1.940,2.040,4.941.300,10.080.252.000,-1.46%,0.49%,-5.83%,-0.97%,1.97%,2.90%,FILM
95,10-07-2025,2.150,2.160,2.010,2.060,6.195.800,12.763.348.000,0.47%,0.93%,-6.07%,-3.74%,0.47%,2.78%,FILM
96,09-07-2025,2.140,2.180,2.100,2.140,5.184.800,11.095.472.000,0.00%,1.87%,-1.87%,0.00%,1.87%,2.75%,FILM
97,08-07-2025,2.210,2.250,2.120,2.140,6.191.300,13.249.382.000,0.45%,2.27%,-3.64%,-2.73%,1.81%,9.78%,FILM
98,07-07-2025,2.040,2.200,2.030,2.200,6.412.100,14.106.620.000,-1.45%,6.28%,-1.93%,6.28%,7.84%,7.73%,FILM
99,04-07-2025,2.050,2.100,2.030,2.070,3.850.900,7.971.363.000,0.99%,3.45%,0.00%,1.97%,2.44%,6.90%,FILM
100,03-07-2025,2.000,2.190,1.955,2.030,10.855.900,22.037.477.000,2.56%,12.31%,0.26%,4.10%,9.50%,19.63%,FILM
101,02-07-2025,1.940,1.960,1.760,1.950,6.496.900,12.668.955.000,1.04%,2.08%,-8.33%,1.56%,1.03%,3.06%,FILM
102,01-07-2025,1.945,1.955,1.900,1.920,3.716.700,7.136.064.000,0.00%,0.51%,-2.31%,-1.29%,0.51%,3.58%,FILM
103,30-06-2025,1.920,1.995,1.885,1.945,8.749.900,17.018.555.500,3.23%,7.26%,1.34%,4.57%,3.91%,7.77%,FILM
104,26-06-2025,2.030,2.030,1.840,1.860,6.874.100,12.785.826.000,0.00%,0.00%,-9.36%,-8.37%,0.00%,2.96%,FILM
105,25-06-2025,2.130,2.130,1.970,2.030,5.110.300,10.373.909.000,0.95%,0.95%,-6.64%,-3.79%,0.00%,2.35%,FILM
106,24-06-2025,2.150,2.170,2.080,2.110,3.665.400,7.733.994.000,1.42%,2.36%,-1.89%,-0.47%,0.93%,6.91%,FILM
107,23-06-2025,2.130,2.170,2.020,2.120,3.434.800,7.281.776.000,2.90%,4.83%,-2.42%,2.42%,1.88%,4.61%,FILM
108,20-06-2025,2.420,2.420,2.070,2.070,6.789.300,14.053.851.000,0.41%,0.41%,-14.11%,-14.11%,0.00%,0.41%,FILM
109,19-06-2025,2.470,2.500,2.410,2.410,7.797.300,18.791.493.000,0.41%,1.63%,-2.03%,-2.03%,1.21%,2.00%,FILM
110,18-06-2025,2.590,2.610,2.450,2.460,6.850.000,16.851.000.000,0.39%,1.16%,-5.04%,-4.65%,0.77%,2.30%,FILM
111,17-06-2025,2.620,2.710,2.550,2.580,9.177.200,23.677.176.000,0.00%,3.44%,-2.67%,-1.53%,3.44%,3.32%,FILM
112,16-06-2025,2.740,2.760,2.620,2.620,8.714.900,22.833.038.000,0.74%,1.47%,-3.68%,-3.68%,0.73%,9.06%,FILM
113,13-06-2025,2.510,2.760,2.510,2.720,10.085.600,27.432.832.000,0.40%,10.40%,0.40%,8.80%,9.96%,9.78%,FILM
114,12-06-2025,2.550,2.550,2.490,2.500,6.398.300,15.995.750.000,0.39%,0.39%,-1.97%,-1.57%,0.00%,0.78%,FILM
115,11-06-2025,2.620,2.640,2.530,2.540,8.336.200,21.173.948.000,0.77%,1.54%,-2.69%,-2.31%,0.76%,3.79%,FILM
116,10-06-2025,2.570,2.640,2.540,2.600,8.536.500,22.194.900.000,0.78%,3.53%,-0.39%,1.96%,2.72%,9.47%,FILM
