col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),FMII
1,2,3,4,5,6,7,8,9,10,11,12,13,14,FMII
1,21-11-2025,384,384,344,352,1.311.200,461.542.400,3.78%,3.78%,-7.03%,-4.86%,0.00%,3.65%,FMII
2,20-11-2025,374,400,370,370,12.449.600,4.606.352.000,-13.82%,-7.83%,-14.75%,-14.75%,6.95%,12.50%,FMII
3,19-11-2025,378,434,350,434,9.541.100,4.140.837.400,8.62%,24.71%,0.57%,24.71%,14.81%,23.50%,FMII
4,18-11-2025,360,420,332,348,329.700,114.735.600,2.86%,20.00%,-5.14%,-0.57%,16.67%,20.95%,FMII
5,17-11-2025,348,358,332,350,65.300,22.855.000,0.00%,2.87%,-4.60%,0.57%,2.87%,4.47%,FMII
6,14-11-2025,344,352,342,348,24.500,8.526.000,-3.37%,-1.12%,-3.93%,-2.25%,2.33%,-1.14%,FMII
7,13-11-2025,366,366,356,356,4.100,1.459.600,1.67%,1.67%,-1.11%,-1.11%,0.00%,4.37%,FMII
8,12-11-2025,350,360,350,360,18.200,6.552.000,-0.57%,2.27%,-0.57%,2.27%,2.86%,12.78%,FMII
9,11-11-2025,358,358,314,352,67.300,23.689.600,0.00%,0.00%,-12.29%,-1.68%,0.00%,0.56%,FMII
10,10-11-2025,356,360,356,358,700,250.600,0.00%,1.12%,0.00%,0.56%,1.12%,2.22%,FMII
11,07-11-2025,362,362,352,356,15.600,5.553.600,-0.55%,-0.55%,-3.30%,-2.20%,0.00%,2.76%,FMII
12,06-11-2025,356,368,352,364,6.200,2.256.800,-0.56%,2.79%,-1.68%,1.68%,3.37%,4.35%,FMII
13,05-11-2025,354,362,352,358,37.700,13.496.600,-1.12%,1.12%,-1.68%,0.00%,2.26%,2.21%,FMII
14,04-11-2025,360,366,354,358,7.400,2.649.200,-0.55%,1.10%,-2.21%,-1.10%,1.67%,3.28%,FMII
15,03-11-2025,362,370,354,362,32.900,11.909.800,0.00%,2.21%,-2.21%,0.00%,2.21%,6.49%,FMII
16,31-10-2025,364,376,346,362,111.600,40.399.200,5.81%,9.30%,0.58%,5.23%,3.30%,8.51%,FMII
17,30-10-2025,358,364,344,344,4.700,1.616.800,0.00%,1.68%,-3.91%,-3.91%,1.68%,1.65%,FMII
18,29-10-2025,366,366,358,358,14.700,5.262.600,1.10%,1.10%,-1.10%,-1.10%,0.00%,1.09%,FMII
19,28-10-2025,364,364,362,362,600,217.200,0.00%,0.00%,-0.55%,-0.55%,0.00%,0.00%,FMII
20,27-10-2025,366,366,364,364,8.400,3.057.600,1.67%,1.67%,1.11%,1.11%,0.00%,2.73%,FMII
21,24-10-2025,364,366,356,360,6.400,2.304.000,0.00%,0.55%,-2.20%,-1.10%,0.55%,4.37%,FMII
22,23-10-2025,364,366,350,364,16.500,6.006.000,1.11%,1.67%,-2.78%,1.11%,0.55%,6.01%,FMII
23,22-10-2025,354,364,344,360,53.300,19.188.000,2.31%,5.20%,-0.58%,4.05%,2.82%,9.34%,FMII
24,21-10-2025,352,358,330,346,20.000,6.920.000,-0.56%,1.13%,-6.78%,-2.26%,1.70%,2.79%,FMII
25,20-10-2025,348,370,348,354,21.900,7.752.600,1.16%,7.56%,1.16%,2.91%,6.32%,10.27%,FMII
26,17-10-2025,358,358,332,344,84.200,28.964.800,0.56%,0.56%,-6.74%,-3.37%,0.00%,2.23%,FMII
27,16-10-2025,350,360,350,356,11.100,3.951.600,0.00%,2.86%,0.00%,1.71%,2.86%,13.89%,FMII
28,15-10-2025,352,372,310,350,126.500,44.275.000,0.00%,5.68%,-11.93%,-0.57%,5.68%,5.38%,FMII
29,14-10-2025,356,380,352,352,109.400,38.508.800,0.00%,6.74%,-1.12%,-1.12%,6.74%,7.89%,FMII
30,13-10-2025,356,360,350,356,18.500,6.586.000,-1.11%,0.00%,-2.78%,-1.11%,1.12%,5.56%,FMII
31,10-10-2025,364,364,340,360,40.000,14.400.000,0.00%,0.00%,-6.59%,-1.10%,0.00%,2.20%,FMII
32,09-10-2025,356,364,356,364,52.000,18.928.000,-2.20%,0.00%,-2.20%,0.00%,2.25%,2.20%,FMII
33,08-10-2025,364,368,356,364,36.900,13.431.600,0.00%,1.10%,-2.20%,0.00%,1.10%,1.09%,FMII
34,07-10-2025,368,376,364,364,70.300,25.589.200,0.55%,2.73%,-0.55%,-0.55%,2.17%,9.04%,FMII
35,06-10-2025,342,378,342,366,60.000,21.960.000,-7.07%,2.72%,-7.07%,-0.54%,10.53%,4.76%,FMII
36,03-10-2025,368,368,360,368,1.900,699.200,2.79%,2.79%,0.56%,2.79%,0.00%,2.72%,FMII
37,02-10-2025,358,370,358,358,800,286.400,-2.72%,0.54%,-2.72%,-2.72%,3.35%,2.16%,FMII
38,01-10-2025,368,370,362,368,6.400,2.355.200,0.00%,0.54%,-1.63%,0.00%,0.54%,2.70%,FMII
39,30-09-2025,368,368,360,368,18.000,6.624.000,0.00%,0.00%,-2.17%,0.00%,0.00%,2.17%,FMII
40,29-09-2025,364,374,360,368,47.600,17.516.800,0.00%,2.75%,-1.10%,1.10%,2.75%,3.21%,FMII
41,26-09-2025,368,372,362,364,24.100,8.772.400,0.00%,1.09%,-1.63%,-1.09%,1.09%,1.61%,FMII
42,25-09-2025,370,388,366,368,71.400,26.275.200,0.00%,4.86%,-1.08%,-0.54%,4.86%,8.76%,FMII
43,24-09-2025,366,372,354,370,131.400,48.618.000,0.00%,1.64%,-3.28%,1.09%,1.64%,2.69%,FMII
44,23-09-2025,366,380,362,366,47.900,17.531.400,0.55%,4.40%,-0.55%,0.55%,3.83%,7.37%,FMII
45,22-09-2025,364,366,352,364,27.800,10.119.200,0.00%,0.55%,-3.30%,0.00%,0.55%,7.10%,FMII
46,19-09-2025,358,380,340,364,69.200,25.188.800,-1.10%,4.97%,-6.08%,0.55%,6.15%,5.79%,FMII
47,18-09-2025,358,364,358,362,9.900,3.583.800,-1.10%,0.55%,-1.10%,0.00%,1.68%,1.65%,FMII
48,17-09-2025,366,366,358,362,24.200,8.760.400,0.00%,0.00%,-2.19%,-1.09%,0.00%,15.85%,FMII
49,16-09-2025,308,368,308,366,76.100,27.852.600,-14.44%,2.22%,-14.44%,1.67%,19.48%,2.17%,FMII
50,15-09-2025,368,368,360,360,39.900,14.364.000,0.00%,0.00%,-2.17%,-2.17%,0.00%,2.72%,FMII
51,12-09-2025,360,370,358,368,92.700,34.113.600,-1.64%,1.09%,-2.19%,0.55%,2.78%,1.08%,FMII
52,11-09-2025,370,370,366,366,35.200,12.883.200,0.00%,0.00%,-1.08%,-1.08%,0.00%,3.78%,FMII
53,10-09-2025,370,370,356,370,111.200,41.144.000,1.65%,1.65%,-2.20%,1.65%,0.00%,2.70%,FMII
54,09-09-2025,370,372,360,364,46.000,16.744.000,0.00%,0.54%,-2.70%,-1.62%,0.54%,4.30%,FMII
55,08-09-2025,356,370,356,370,28.600,10.582.000,0.00%,3.93%,0.00%,3.93%,3.93%,3.78%,FMII
56,04-09-2025,362,372,356,356,38.300,13.634.800,0.56%,3.33%,-1.11%,-1.11%,2.76%,3.23%,FMII
57,03-09-2025,374,374,360,360,6.100,2.196.000,1.63%,1.63%,-2.17%,-2.17%,0.00%,3.74%,FMII
58,02-09-2025,360,380,360,368,56.000,20.608.000,0.00%,5.56%,0.00%,2.22%,5.56%,7.89%,FMII
59,01-09-2025,364,364,350,360,27.300,9.828.000,-0.55%,-0.55%,-4.37%,-1.64%,0.00%,1.10%,FMII
60,29-08-2025,368,368,360,366,33.800,12.370.800,0.00%,0.00%,-2.17%,-0.54%,0.00%,3.80%,FMII
61,28-08-2025,370,370,354,368,76.700,28.225.600,0.54%,0.54%,-3.80%,0.00%,0.00%,4.32%,FMII
62,27-08-2025,372,378,354,368,153.600,56.524.800,0.00%,1.61%,-4.84%,-1.08%,1.61%,2.65%,FMII
63,26-08-2025,368,378,368,372,27.400,10.192.800,0.00%,2.72%,0.00%,1.09%,2.72%,3.17%,FMII
64,25-08-2025,378,380,366,368,148.000,54.464.000,0.00%,0.53%,-3.17%,-2.65%,0.53%,4.21%,FMII
