col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),FORU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,FORU
1,21-11-2025,1.070,1.100,1.060,1.085,38.000,41.230.000,-0.93%,1.85%,-1.85%,0.46%,2.80%,2.73%,FORU
2,20-11-2025,1.085,1.085,1.070,1.080,82.300,88.884.000,1.88%,1.88%,0.47%,1.41%,0.00%,2.76%,FORU
3,19-11-2025,1.065,1.080,1.055,1.065,77.000,82.005.000,0.47%,1.89%,-0.47%,0.47%,1.41%,4.63%,FORU
4,18-11-2025,1.125,1.125,1.030,1.060,245.200,259.912.000,1.35%,1.35%,-7.21%,-4.50%,0.00%,2.22%,FORU
5,17-11-2025,1.150,1.150,1.100,1.110,127.900,141.969.000,2.68%,2.68%,-1.79%,-0.89%,0.00%,3.91%,FORU
6,14-11-2025,1.105,1.130,1.105,1.120,27.000,30.240.000,-1.34%,0.89%,-1.34%,0.00%,2.26%,3.54%,FORU
7,13-11-2025,1.130,1.130,1.090,1.120,57.000,63.840.000,1.35%,1.35%,-2.24%,0.45%,0.00%,2.65%,FORU
8,12-11-2025,1.120,1.140,1.100,1.115,95.800,106.817.000,0.00%,1.79%,-1.79%,-0.45%,1.79%,2.63%,FORU
9,11-11-2025,1.140,1.145,1.110,1.120,121.000,135.520.000,0.00%,0.44%,-2.63%,-1.75%,0.44%,1.31%,FORU
10,10-11-2025,1.160,1.160,1.130,1.140,138.500,157.890.000,1.75%,1.75%,-0.88%,0.00%,0.00%,6.90%,FORU
11,07-11-2025,1.175,1.175,1.080,1.140,123.900,141.246.000,1.29%,1.29%,-6.90%,-1.72%,0.00%,2.98%,FORU
12,06-11-2025,1.155,1.165,1.140,1.160,92.200,106.952.000,0.00%,0.87%,-1.30%,0.43%,0.87%,3.43%,FORU
13,05-11-2025,1.190,1.190,1.125,1.155,108.400,125.202.000,0.00%,0.00%,-5.46%,-2.94%,0.00%,2.94%,FORU
14,04-11-2025,1.240,1.260,1.155,1.190,312.800,372.232.000,0.00%,1.61%,-6.85%,-4.03%,1.61%,8.33%,FORU
15,03-11-2025,1.220,1.265,1.155,1.240,271.900,337.156.000,0.00%,3.69%,-5.33%,1.64%,3.69%,6.32%,FORU
16,31-10-2025,1.215,1.220,1.185,1.220,180.000,219.600.000,0.83%,1.24%,-1.66%,1.24%,0.41%,6.15%,FORU
17,30-10-2025,1.150,1.210,1.145,1.205,236.700,285.223.500,0.00%,5.22%,-0.43%,4.78%,5.22%,6.61%,FORU
18,29-10-2025,1.155,1.195,1.130,1.150,156.200,179.630.000,-0.43%,3.02%,-2.59%,-0.86%,3.46%,6.28%,FORU
19,28-10-2025,1.175,1.175,1.120,1.160,129.600,150.336.000,0.43%,0.43%,-4.27%,-0.85%,0.00%,5.96%,FORU
20,27-10-2025,1.155,1.285,1.105,1.170,902.300,1.055.691.000,0.00%,11.26%,-4.33%,1.30%,11.26%,10.12%,FORU
21,24-10-2025,1.170,1.195,1.155,1.155,73.400,84.777.000,0.00%,2.14%,-1.28%,-1.28%,2.14%,4.18%,FORU
22,23-10-2025,1.145,1.200,1.145,1.170,255.500,298.935.000,0.00%,4.80%,0.00%,2.18%,4.80%,12.50%,FORU
23,22-10-2025,1.135,1.160,1.050,1.145,208.100,238.274.500,0.00%,2.20%,-7.49%,0.88%,2.20%,5.60%,FORU
24,21-10-2025,1.120,1.170,1.095,1.135,131.200,148.912.000,0.00%,4.46%,-2.23%,1.34%,4.46%,8.55%,FORU
25,20-10-2025,1.095,1.125,1.070,1.120,102.200,114.464.000,4.29%,7.14%,1.90%,6.67%,2.74%,7.56%,FORU
26,17-10-2025,1.075,1.115,1.040,1.050,124.800,131.040.000,-0.92%,2.76%,-4.15%,-3.23%,3.72%,4.04%,FORU
27,16-10-2025,1.090,1.115,1.070,1.085,106.900,115.986.500,0.00%,2.29%,-1.83%,-0.46%,2.29%,2.24%,FORU
28,15-10-2025,1.100,1.135,1.090,1.090,294.200,320.678.000,-3.08%,0.00%,-3.96%,-3.96%,3.18%,4.85%,FORU
29,14-10-2025,1.180,1.215,1.080,1.135,211.900,240.506.500,3.51%,6.58%,-5.26%,-0.44%,2.97%,10.70%,FORU
30,13-10-2025,1.140,1.235,1.085,1.140,568.500,648.090.000,0.00%,8.33%,-4.82%,0.00%,8.33%,18.22%,FORU
31,10-10-2025,1.045,1.190,1.010,1.140,683.700,779.418.000,-1.42%,12.26%,-4.72%,7.55%,13.88%,15.13%,FORU
32,09-10-2025,1.045,1.235,1.010,1.060,668.800,708.928.000,0.00%,18.18%,-3.35%,1.44%,18.18%,18.62%,FORU
33,08-10-2025,1.110,1.110,1.005,1.045,256.000,267.520.000,5.21%,5.21%,-4.74%,-0.95%,0.00%,9.46%,FORU
34,07-10-2025,1.005,1.110,1.005,1.055,645.500,681.002.500,-3.37%,6.73%,-3.37%,1.44%,10.45%,8.56%,FORU
35,06-10-2025,1.080,1.100,1.015,1.040,780.100,811.304.000,0.00%,1.85%,-6.02%,-3.70%,1.85%,1.82%,FORU
36,03-10-2025,1.120,1.120,1.080,1.080,371.600,401.328.000,0.00%,0.00%,-3.57%,-3.57%,0.00%,1.79%,FORU
37,02-10-2025,1.170,1.175,1.100,1.120,527.700,591.024.000,0.00%,0.43%,-5.98%,-4.27%,0.43%,1.28%,FORU
38,01-10-2025,1.180,1.180,1.160,1.170,161.700,189.189.000,0.43%,0.43%,-1.28%,-0.43%,0.00%,0.42%,FORU
39,30-09-2025,1.225,1.225,1.175,1.175,138.500,162.737.500,2.08%,2.08%,-2.08%,-2.08%,0.00%,3.27%,FORU
40,29-09-2025,1.200,1.275,1.185,1.200,241.300,289.560.000,0.00%,6.25%,-1.25%,0.00%,6.25%,7.84%,FORU
41,26-09-2025,1.200,1.240,1.175,1.200,105.700,126.840.000,0.00%,3.33%,-2.08%,0.00%,3.33%,4.44%,FORU
42,25-09-2025,1.255,1.255,1.185,1.200,229.800,275.760.000,0.00%,0.00%,-5.58%,-4.38%,0.00%,5.58%,FORU
43,24-09-2025,1.245,1.295,1.185,1.255,296.000,371.480.000,-0.80%,3.19%,-5.58%,0.00%,4.02%,8.11%,FORU
44,23-09-2025,1.265,1.300,1.190,1.255,775.600,973.378.000,-0.39%,2.36%,-6.30%,-1.18%,2.77%,5.77%,FORU
45,22-09-2025,1.300,1.305,1.225,1.270,433.100,550.037.000,3.17%,3.57%,-2.78%,0.79%,0.38%,5.75%,FORU
46,19-09-2025,1.275,1.320,1.230,1.260,227.600,286.776.000,1.19%,4.76%,-2.38%,0.00%,3.53%,9.85%,FORU
47,18-09-2025,1.215,1.400,1.190,1.260,1.951.600,2.459.016.000,1.67%,17.15%,-0.42%,5.44%,15.23%,17.86%,FORU
48,17-09-2025,1.155,1.255,1.150,1.195,830.600,992.567.000,0.43%,9.13%,0.00%,3.91%,8.66%,8.37%,FORU
49,16-09-2025,1.160,1.165,1.150,1.150,160.800,184.920.000,0.00%,0.43%,-0.86%,-0.86%,0.43%,2.15%,FORU
50,15-09-2025,1.190,1.190,1.140,1.160,282.500,327.700.000,2.15%,2.15%,-2.15%,-0.43%,0.00%,3.36%,FORU
51,12-09-2025,1.180,1.195,1.150,1.165,476.700,555.355.500,0.00%,1.27%,-2.54%,-1.27%,1.27%,3.77%,FORU
52,11-09-2025,1.175,1.195,1.150,1.180,139.500,164.610.000,0.00%,1.70%,-2.13%,0.43%,1.70%,4.60%,FORU
53,10-09-2025,1.170,1.200,1.140,1.175,149.600,175.780.000,0.86%,3.45%,-1.72%,1.29%,2.56%,6.67%,FORU
54,09-09-2025,1.160,1.180,1.120,1.160,306.200,355.192.000,0.00%,1.72%,-3.45%,0.00%,1.72%,4.24%,FORU
55,08-09-2025,1.200,1.230,1.130,1.160,297.100,344.636.000,2.56%,5.13%,-3.42%,-0.85%,2.50%,5.28%,FORU
56,04-09-2025,1.170,1.240,1.165,1.170,319.200,373.464.000,0.00%,5.98%,-0.43%,0.00%,5.98%,6.05%,FORU
57,03-09-2025,1.175,1.200,1.165,1.170,240.300,281.151.000,0.00%,2.13%,-0.85%,-0.43%,2.13%,5.00%,FORU
58,02-09-2025,1.165,1.190,1.140,1.175,115.900,136.182.500,0.00%,2.15%,-2.15%,0.86%,2.15%,5.46%,FORU
59,01-09-2025,1.150,1.195,1.125,1.165,366.300,426.739.500,-4.96%,-1.24%,-7.02%,-3.72%,3.91%,3.77%,FORU
60,29-08-2025,1.250,1.250,1.150,1.210,577.500,698.775.000,3.31%,3.31%,-4.96%,0.00%,0.00%,6.00%,FORU
61,28-08-2025,1.175,1.260,1.175,1.210,612.800,741.488.000,0.00%,7.23%,0.00%,2.98%,7.23%,8.73%,FORU
62,27-08-2025,1.200,1.215,1.150,1.175,711.000,835.425.000,0.00%,1.25%,-4.17%,-2.08%,1.25%,4.53%,FORU
