col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GDYR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GDYR
1,21-11-2025,1.120,1.125,1.100,1.100,38.200,42.020.000,1.82%,2.27%,0.00%,0.00%,0.45%,2.22%,GDYR
2,20-11-2025,1.100,1.110,1.100,1.100,2.300,2.530.000,0.00%,0.91%,0.00%,0.00%,0.91%,1.80%,GDYR
3,19-11-2025,1.110,1.110,1.090,1.100,4.300,4.730.000,1.37%,1.37%,-0.46%,0.46%,0.00%,1.35%,GDYR
4,18-11-2025,1.110,1.110,1.095,1.095,28.000,30.660.000,0.00%,0.00%,-1.35%,-1.35%,0.00%,0.00%,GDYR
5,17-11-2025,1.115,1.115,1.110,1.110,11.400,12.654.000,0.00%,0.00%,-0.45%,-0.45%,0.00%,0.00%,GDYR
6,14-11-2025,1.120,1.125,1.115,1.115,43.000,47.945.000,0.45%,0.90%,0.00%,0.00%,0.45%,0.89%,GDYR
7,13-11-2025,1.120,1.120,1.115,1.115,7.200,8.028.000,0.00%,0.00%,-0.45%,-0.45%,0.00%,0.89%,GDYR
8,12-11-2025,1.110,1.120,1.110,1.120,3.400,3.808.000,0.00%,0.90%,0.00%,0.90%,0.90%,0.89%,GDYR
9,11-11-2025,1.110,1.120,1.110,1.110,12.500,13.875.000,0.00%,0.90%,0.00%,0.00%,0.90%,0.89%,GDYR
10,10-11-2025,1.115,1.115,1.110,1.110,11.300,12.543.000,0.00%,0.00%,-0.45%,-0.45%,0.00%,0.00%,GDYR
11,07-11-2025,1.115,1.120,1.115,1.115,12.200,13.603.000,0.00%,0.45%,0.00%,0.00%,0.45%,1.34%,GDYR
12,06-11-2025,1.110,1.120,1.105,1.115,11.500,12.822.500,0.00%,0.90%,-0.45%,0.45%,0.90%,0.89%,GDYR
13,05-11-2025,1.115,1.120,1.110,1.110,14.100,15.651.000,-0.45%,0.00%,-0.89%,-0.89%,0.45%,1.34%,GDYR
14,04-11-2025,1.110,1.125,1.105,1.120,212.600,238.112.000,0.00%,1.35%,-0.45%,0.90%,1.35%,2.22%,GDYR
15,03-11-2025,1.110,1.110,1.100,1.110,17.800,19.758.000,0.00%,0.00%,-0.90%,0.00%,0.00%,0.45%,GDYR
16,31-10-2025,1.125,1.125,1.105,1.110,35.400,39.294.000,1.81%,1.81%,0.00%,0.45%,0.00%,2.22%,GDYR
17,30-10-2025,1.105,1.120,1.100,1.105,57.100,63.095.500,0.45%,1.82%,0.00%,0.45%,1.36%,2.68%,GDYR
18,29-10-2025,1.090,1.115,1.090,1.100,23.000,25.300.000,0.00%,2.29%,0.00%,0.92%,2.29%,4.93%,GDYR
19,28-10-2025,1.075,1.130,1.060,1.090,247.700,269.993.000,0.94%,6.10%,-0.47%,2.35%,5.12%,5.75%,GDYR
20,27-10-2025,1.095,1.105,1.065,1.065,503.900,536.653.500,0.92%,1.84%,-1.84%,-1.84%,0.91%,3.62%,GDYR
21,24-10-2025,1.080,1.125,1.065,1.085,374.700,406.549.500,0.47%,4.65%,-0.93%,0.93%,4.17%,4.89%,GDYR
22,23-10-2025,1.080,1.095,1.070,1.075,86.100,92.557.500,0.00%,1.39%,-0.93%,-0.46%,1.39%,2.28%,GDYR
23,22-10-2025,1.080,1.095,1.070,1.080,125.700,135.756.000,0.00%,1.39%,-0.93%,0.00%,1.39%,1.83%,GDYR
24,21-10-2025,1.080,1.100,1.075,1.080,80.300,86.724.000,0.93%,2.80%,0.47%,0.93%,1.85%,3.18%,GDYR
25,20-10-2025,1.085,1.100,1.065,1.070,373.700,399.859.000,0.46%,1.85%,-1.39%,-0.93%,1.38%,2.27%,GDYR
26,17-10-2025,1.105,1.105,1.075,1.080,54.400,58.752.000,0.91%,0.91%,-1.83%,-1.37%,0.00%,1.36%,GDYR
27,16-10-2025,1.110,1.110,1.090,1.095,131.300,143.773.500,0.00%,0.00%,-1.80%,-1.35%,0.00%,0.00%,GDYR
28,15-10-2025,1.135,1.135,1.110,1.110,56.100,62.271.000,0.89%,0.89%,-1.33%,-1.33%,0.00%,1.76%,GDYR
29,14-10-2025,1.140,1.140,1.115,1.125,69.900,78.637.500,0.00%,0.00%,-2.19%,-1.32%,0.00%,0.44%,GDYR
30,13-10-2025,1.155,1.155,1.135,1.140,44.900,51.186.000,0.00%,0.00%,-1.73%,-1.30%,0.00%,1.30%,GDYR
31,10-10-2025,1.170,1.170,1.140,1.155,162.700,187.918.500,0.00%,0.00%,-2.56%,-1.28%,0.00%,1.28%,GDYR
32,09-10-2025,1.200,1.210,1.155,1.170,115.700,135.369.000,-0.83%,0.00%,-4.55%,-3.31%,0.83%,0.83%,GDYR
