col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GEMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GEMA
1,21-11-2025,94,96,93,95,5.888.000,559.360.000,0.00%,2.13%,-1.06%,1.06%,2.13%,4.17%,GEMA
2,20-11-2025,94,95,92,94,4.254.900,399.960.600,0.00%,1.06%,-2.13%,0.00%,1.06%,1.05%,GEMA
3,19-11-2025,94,97,94,94,8.675.800,815.525.200,0.00%,3.19%,0.00%,0.00%,3.19%,5.15%,GEMA
4,18-11-2025,93,96,92,94,9.761.000,917.534.000,0.00%,3.23%,-1.08%,1.08%,3.23%,5.21%,GEMA
5,17-11-2025,94,95,91,93,11.563.400,1.075.396.200,0.00%,1.06%,-3.19%,-1.06%,1.06%,2.11%,GEMA
6,14-11-2025,94,97,93,94,11.543.100,1.085.051.400,0.00%,3.19%,-1.06%,0.00%,3.19%,7.22%,GEMA
7,13-11-2025,92,102,90,94,57.262.300,5.382.656.200,0.00%,10.87%,-2.17%,2.17%,10.87%,11.76%,GEMA
8,12-11-2025,93,94,90,92,7.928.500,729.422.000,1.09%,2.17%,-2.17%,0.00%,1.08%,2.13%,GEMA
9,11-11-2025,95,95,92,92,10.013.400,921.232.800,0.00%,0.00%,-3.16%,-3.16%,0.00%,4.21%,GEMA
10,10-11-2025,92,101,91,95,67.864.600,6.447.137.000,0.00%,9.78%,-1.09%,3.26%,9.78%,12.87%,GEMA
11,07-11-2025,94,99,88,92,55.522.200,5.108.042.400,0.00%,5.32%,-6.38%,-2.13%,5.32%,13.13%,GEMA
12,06-11-2025,87,109,86,94,201.213.500,18.914.069.000,0.00%,25.29%,-1.15%,8.05%,25.29%,22.02%,GEMA
13,05-11-2025,88,89,85,87,4.976.600,432.964.200,1.15%,2.30%,-2.30%,0.00%,1.14%,3.37%,GEMA
14,04-11-2025,88,90,86,87,3.907.300,339.935.100,0.00%,2.27%,-2.27%,-1.14%,2.27%,3.33%,GEMA
15,03-11-2025,90,91,87,88,6.149.200,541.129.600,1.12%,2.25%,-2.25%,-1.12%,1.11%,2.20%,GEMA
16,31-10-2025,93,93,89,89,5.736.500,510.548.500,2.20%,2.20%,-2.20%,-2.20%,0.00%,5.38%,GEMA
17,30-10-2025,90,95,88,91,13.062.600,1.188.696.600,0.00%,5.56%,-2.22%,1.11%,5.56%,8.42%,GEMA
18,29-10-2025,93,94,87,90,11.085.900,997.731.000,0.00%,1.08%,-6.45%,-3.23%,1.08%,2.13%,GEMA
19,28-10-2025,97,97,92,93,6.367.700,592.196.100,0.00%,0.00%,-5.15%,-4.12%,0.00%,5.15%,GEMA
20,27-10-2025,99,100,92,97,19.359.200,1.877.842.400,1.02%,2.04%,-6.12%,-1.02%,1.01%,3.00%,GEMA
21,24-10-2025,113,115,97,98,52.512.200,5.146.195.600,0.89%,2.68%,-13.39%,-12.50%,1.77%,6.96%,GEMA
22,23-10-2025,108,115,107,112,9.462.700,1.059.822.400,0.93%,7.48%,0.00%,4.67%,6.48%,8.70%,GEMA
23,22-10-2025,108,108,105,107,4.893.100,523.561.700,0.93%,0.93%,-1.87%,0.00%,0.00%,0.93%,GEMA
24,21-10-2025,109,109,107,107,3.131.900,335.113.300,1.87%,1.87%,0.00%,0.00%,0.00%,3.67%,GEMA
25,20-10-2025,105,110,105,107,3.145.200,336.536.400,0.00%,4.76%,0.00%,1.90%,4.76%,4.55%,GEMA
26,17-10-2025,109,111,105,105,4.651.600,488.418.000,0.00%,1.83%,-3.67%,-3.67%,1.83%,4.50%,GEMA
27,16-10-2025,106,111,106,109,2.733.100,297.907.900,0.00%,4.72%,0.00%,2.83%,4.72%,6.31%,GEMA
28,15-10-2025,108,111,104,106,8.790.700,931.814.200,-1.82%,0.91%,-5.45%,-3.64%,2.78%,2.70%,GEMA
29,14-10-2025,113,113,108,110,4.238.000,466.180.000,0.89%,0.89%,-3.57%,-1.79%,0.00%,4.42%,GEMA
30,13-10-2025,111,114,108,112,8.147.300,912.497.600,-0.89%,1.79%,-3.57%,0.00%,2.70%,7.02%,GEMA
31,10-10-2025,107,113,106,112,5.135.700,575.198.400,-3.60%,1.80%,-4.50%,0.90%,5.61%,4.42%,GEMA
32,09-10-2025,111,112,108,111,4.281.200,475.213.200,0.91%,1.82%,-1.82%,0.91%,0.90%,2.68%,GEMA
33,08-10-2025,112,114,109,110,7.335.300,806.883.000,0.00%,1.79%,-2.68%,-1.79%,1.79%,2.63%,GEMA
34,07-10-2025,114,115,111,112,6.891.100,771.803.200,0.00%,0.88%,-2.63%,-1.75%,0.88%,0.87%,GEMA
35,06-10-2025,117,118,114,114,4.434.600,505.544.400,1.74%,2.61%,-0.87%,-0.87%,0.85%,4.24%,GEMA
36,03-10-2025,116,116,113,115,4.443.000,510.945.000,0.00%,0.00%,-2.59%,-0.86%,0.00%,5.17%,GEMA
37,02-10-2025,115,116,110,116,8.897.500,1.032.110.000,0.00%,0.87%,-4.35%,0.87%,0.87%,1.72%,GEMA
38,01-10-2025,122,127,114,115,33.614.800,3.865.702.000,0.83%,4.96%,-5.79%,-4.96%,4.10%,7.09%,GEMA
39,30-09-2025,119,126,118,121,22.983.400,2.780.991.400,1.71%,7.69%,0.85%,3.42%,5.88%,10.32%,GEMA
40,29-09-2025,113,120,113,117,14.647.800,1.713.792.600,0.89%,7.14%,0.89%,4.46%,6.19%,7.50%,GEMA
41,26-09-2025,114,115,111,112,7.680.000,860.160.000,0.88%,1.77%,-1.77%,-0.88%,0.88%,2.61%,GEMA
42,25-09-2025,112,115,112,113,6.805.300,768.998.900,-1.75%,0.88%,-1.75%,-0.88%,2.68%,2.61%,GEMA
43,24-09-2025,117,118,112,114,10.728.700,1.223.071.800,0.00%,0.85%,-4.27%,-2.56%,0.85%,2.54%,GEMA
44,23-09-2025,119,119,115,117,5.827.300,681.794.100,1.71%,1.71%,-1.71%,0.00%,0.00%,2.52%,GEMA
45,22-09-2025,117,119,116,117,3.587.100,419.690.700,0.86%,2.59%,0.00%,0.86%,1.71%,3.36%,GEMA
46,19-09-2025,118,118,115,116,3.282.500,380.770.000,0.85%,0.85%,-1.71%,-0.85%,0.00%,0.85%,GEMA
47,18-09-2025,118,120,117,117,4.597.700,537.930.900,0.00%,1.69%,-0.85%,-0.85%,1.69%,1.67%,GEMA
48,17-09-2025,124,125,118,118,8.235.100,971.741.800,0.81%,1.63%,-4.07%,-4.07%,0.81%,3.20%,GEMA
49,16-09-2025,123,125,121,123,11.364.400,1.397.821.200,0.82%,2.46%,-0.82%,0.82%,1.63%,4.80%,GEMA
50,15-09-2025,120,124,119,122,15.234.400,1.858.596.800,0.84%,4.20%,0.00%,2.52%,3.33%,7.26%,GEMA
51,12-09-2025,117,119,115,119,9.586.800,1.140.829.200,0.00%,1.71%,-1.71%,1.71%,1.71%,5.04%,GEMA
52,11-09-2025,115,118,113,117,7.930.500,927.868.500,2.68%,5.36%,0.89%,4.46%,2.61%,5.08%,GEMA
53,10-09-2025,112,116,112,112,4.276.100,478.923.200,0.00%,3.57%,0.00%,0.00%,3.57%,9.48%,GEMA
54,09-09-2025,118,120,105,112,12.674.300,1.419.521.600,0.00%,1.69%,-11.02%,-5.08%,1.69%,2.50%,GEMA
55,08-09-2025,122,124,117,118,8.733.000,1.030.494.000,0.83%,2.48%,-3.31%,-2.48%,1.64%,6.45%,GEMA
56,04-09-2025,117,128,116,121,29.706.600,3.594.498.600,0.00%,9.40%,-0.85%,3.42%,9.40%,9.38%,GEMA
57,03-09-2025,120,122,116,117,6.232.700,729.225.900,0.84%,2.52%,-2.52%,-1.68%,1.67%,5.74%,GEMA
58,02-09-2025,115,121,115,119,4.593.300,546.602.700,0.00%,5.22%,0.00%,3.48%,5.22%,14.88%,GEMA
59,01-09-2025,103,117,103,115,9.313.400,1.071.041.000,-13.45%,-1.68%,-13.45%,-3.36%,13.59%,0.85%,GEMA
60,29-08-2025,125,126,116,119,14.956.200,1.779.787.800,0.00%,0.80%,-7.20%,-4.80%,0.80%,4.76%,GEMA
61,28-08-2025,124,125,120,125,13.053.300,1.631.662.500,0.00%,0.81%,-3.23%,0.81%,0.81%,2.40%,GEMA
62,27-08-2025,125,125,122,124,7.830.800,971.019.200,0.81%,0.81%,-1.61%,0.00%,0.00%,0.80%,GEMA
63,26-08-2025,125,127,124,124,9.381.400,1.163.293.600,0.00%,1.60%,-0.80%,-0.80%,1.60%,2.36%,GEMA
64,25-08-2025,129,131,124,125,41.039.900,5.129.987.500,1.57%,3.15%,-2.36%,-1.57%,1.55%,5.34%,GEMA
65,22-08-2025,128,130,124,127,16.224.000,2.060.448.000,0.00%,1.56%,-3.13%,-0.78%,1.56%,7.69%,GEMA
66,21-08-2025,123,135,120,128,87.466.500,11.195.712.000,0.00%,9.76%,-2.44%,4.07%,9.76%,9.63%,GEMA
67,20-08-2025,125,128,122,123,21.486.800,2.642.876.400,1.63%,4.07%,-0.81%,0.00%,2.40%,6.25%,GEMA
68,19-08-2025,122,126,120,123,19.083.100,2.347.221.300,0.83%,4.13%,-0.83%,1.65%,3.28%,7.94%,GEMA
69,15-08-2025,130,140,116,121,67.072.800,8.115.808.800,0.00%,7.69%,-10.77%,-6.92%,7.69%,10.71%,GEMA
70,14-08-2025,126,148,125,130,189.239.800,24.601.174.000,1.61%,19.35%,0.81%,4.84%,17.46%,33.78%,GEMA
71,13-08-2025,100,134,98,124,192.828.700,23.910.758.800,0.00%,34.00%,-2.00%,24.00%,34.00%,26.87%,GEMA
72,12-08-2025,100,101,98,100,11.347.700,1.134.770.000,-0.99%,0.00%,-2.97%,-0.99%,1.00%,1.98%,GEMA
73,11-08-2025,102,103,99,101,11.817.500,1.193.567.500,0.00%,0.98%,-2.94%,-0.98%,0.98%,3.88%,GEMA
74,08-08-2025,102,105,99,102,7.622.900,777.535.800,0.99%,3.96%,-1.98%,0.99%,2.94%,8.57%,GEMA
75,07-08-2025,99,106,96,101,26.381.800,2.664.561.800,0.00%,7.07%,-3.03%,2.02%,7.07%,7.55%,GEMA
76,06-08-2025,102,103,98,99,9.163.800,907.216.200,0.00%,0.98%,-3.92%,-2.94%,0.98%,2.91%,GEMA
77,05-08-2025,106,107,100,102,12.261.700,1.250.693.400,1.92%,2.88%,-3.85%,-1.92%,0.94%,8.41%,GEMA
78,04-08-2025,102,110,98,104,28.603.400,2.974.753.600,4.08%,12.24%,0.00%,6.12%,7.84%,14.55%,GEMA
79,01-08-2025,104,104,94,98,24.217.500,2.373.315.000,0.00%,0.00%,-9.62%,-5.77%,0.00%,0.96%,GEMA
