col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GEMS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GEMS
1,21-11-2025,8.925,8.950,8.900,8.950,48.700,435.865.000,0.00%,0.28%,-0.28%,0.28%,0.28%,0.84%,GEMS
2,20-11-2025,8.900,8.925,8.875,8.925,59.300,529.252.500,0.00%,0.28%,-0.28%,0.28%,0.28%,0.28%,GEMS
3,19-11-2025,8.925,8.975,8.900,8.900,53.800,478.820.000,0.00%,0.56%,-0.28%,-0.28%,0.56%,1.11%,GEMS
4,18-11-2025,8.950,8.950,8.875,8.925,65.700,586.372.500,0.56%,0.56%,-0.28%,0.28%,0.00%,1.68%,GEMS
5,17-11-2025,9.000,9.025,8.800,8.900,318.600,2.835.540.000,0.28%,0.56%,-1.95%,-0.84%,0.28%,1.11%,GEMS
6,14-11-2025,9.000,9.050,8.925,8.975,89.300,801.467.500,0.56%,1.12%,-0.28%,0.28%,0.56%,1.66%,GEMS
7,13-11-2025,9.100,9.100,8.900,8.950,270.900,2.424.555.000,0.83%,0.83%,-1.39%,-0.83%,0.00%,1.37%,GEMS
8,12-11-2025,9.050,9.075,8.975,9.025,61.000,550.525.000,-0.28%,0.00%,-1.10%,-0.55%,0.28%,1.10%,GEMS
9,11-11-2025,9.175,9.200,8.975,9.075,184.600,1.675.245.000,0.00%,0.27%,-2.18%,-1.09%,0.27%,0.54%,GEMS
10,10-11-2025,9.275,9.325,9.150,9.175,112.100,1.028.517.500,0.00%,0.54%,-1.35%,-1.08%,0.54%,2.68%,GEMS
11,07-11-2025,9.100,9.375,9.075,9.275,435.100,4.035.552.500,0.83%,3.88%,0.55%,2.77%,3.02%,5.07%,GEMS
12,06-11-2025,8.900,9.100,8.900,9.025,106.200,958.455.000,-1.11%,1.11%,-1.11%,0.28%,2.25%,1.92%,GEMS
13,05-11-2025,9.075,9.075,8.925,9.000,143.900,1.295.100.000,0.55%,0.55%,-1.11%,-0.28%,0.00%,0.83%,GEMS
14,04-11-2025,9.050,9.075,9.000,9.025,52.000,469.300.000,0.00%,0.28%,-0.55%,-0.28%,0.28%,0.28%,GEMS
15,03-11-2025,9.050,9.275,9.050,9.050,184.900,1.673.345.000,0.00%,2.49%,0.00%,0.00%,2.49%,2.96%,GEMS
16,31-10-2025,9.075,9.100,9.000,9.050,76.400,691.420.000,0.00%,0.28%,-0.83%,-0.28%,0.28%,2.20%,GEMS
17,30-10-2025,8.900,9.075,8.900,9.075,101.600,922.020.000,0.00%,1.97%,0.00%,1.97%,1.97%,1.93%,GEMS
18,29-10-2025,8.900,8.950,8.900,8.900,69.900,622.110.000,0.00%,0.56%,0.00%,0.00%,0.56%,0.84%,GEMS
19,28-10-2025,8.900,8.950,8.875,8.900,136.400,1.213.960.000,-0.56%,0.00%,-0.84%,-0.56%,0.56%,0.84%,GEMS
20,27-10-2025,8.975,9.050,8.875,8.950,120.100,1.074.895.000,0.00%,0.84%,-1.11%,-0.28%,0.84%,1.93%,GEMS
21,24-10-2025,8.900,9.000,8.875,8.975,86.100,772.747.500,0.00%,1.12%,-0.28%,0.84%,1.12%,1.39%,GEMS
22,23-10-2025,8.900,8.950,8.875,8.900,61.400,546.460.000,0.00%,0.56%,-0.28%,0.00%,0.56%,1.12%,GEMS
23,22-10-2025,8.950,8.950,8.850,8.900,44.100,392.490.000,0.56%,0.56%,-0.56%,0.00%,0.00%,0.84%,GEMS
24,21-10-2025,8.900,8.950,8.875,8.900,76.000,676.400.000,0.28%,0.85%,0.00%,0.28%,0.56%,0.84%,GEMS
25,20-10-2025,8.875,8.950,8.875,8.875,43.000,381.625.000,0.00%,0.85%,0.00%,0.00%,0.85%,1.40%,GEMS
26,17-10-2025,8.850,8.925,8.825,8.875,61.600,546.700.000,0.00%,0.85%,-0.28%,0.28%,0.85%,1.96%,GEMS
27,16-10-2025,8.850,8.900,8.750,8.850,53.300,471.705.000,0.57%,1.14%,-0.57%,0.57%,0.56%,2.81%,GEMS
28,15-10-2025,8.825,8.900,8.650,8.800,217.900,1.917.520.000,0.00%,0.85%,-1.98%,-0.28%,0.85%,0.84%,GEMS
29,14-10-2025,8.950,9.000,8.825,8.825,155.100,1.368.757.500,0.00%,0.56%,-1.40%,-1.40%,0.56%,0.83%,GEMS
30,13-10-2025,9.025,9.125,8.925,8.950,112.500,1.006.875.000,0.00%,1.11%,-1.11%,-0.83%,1.11%,1.64%,GEMS
31,10-10-2025,9.025,9.100,8.975,9.025,75.200,678.680.000,0.28%,1.11%,-0.28%,0.28%,0.83%,2.47%,GEMS
32,09-10-2025,8.875,9.100,8.875,9.000,226.300,2.036.700.000,0.00%,2.54%,0.00%,1.41%,2.54%,2.75%,GEMS
33,08-10-2025,8.925,8.950,8.850,8.875,102.300,907.912.500,0.28%,0.56%,-0.56%,-0.28%,0.28%,1.12%,GEMS
34,07-10-2025,8.950,8.975,8.850,8.900,108.900,969.210.000,0.00%,0.28%,-1.12%,-0.56%,0.28%,1.67%,GEMS
35,06-10-2025,8.850,8.975,8.825,8.950,151.900,1.359.505.000,0.00%,1.41%,-0.28%,1.13%,1.41%,1.39%,GEMS
36,03-10-2025,8.875,8.950,8.850,8.850,73.200,647.820.000,0.00%,0.85%,-0.28%,-0.28%,0.85%,1.12%,GEMS
37,02-10-2025,8.900,8.950,8.850,8.875,147.400,1.308.175.000,0.00%,0.56%,-0.56%,-0.28%,0.56%,0.84%,GEMS
38,01-10-2025,8.975,8.975,8.875,8.900,78.200,695.980.000,0.28%,0.28%,-0.84%,-0.56%,0.00%,1.11%,GEMS
39,30-09-2025,8.950,8.950,8.875,8.950,146.400,1.310.280.000,0.00%,0.00%,-0.84%,0.00%,0.00%,0.28%,GEMS
40,29-09-2025,8.975,9.000,8.925,8.950,88.900,795.655.000,0.00%,0.28%,-0.56%,-0.28%,0.28%,0.83%,GEMS
41,26-09-2025,8.975,8.975,8.925,8.975,54.600,490.035.000,0.28%,0.28%,-0.28%,0.28%,0.00%,0.28%,GEMS
42,25-09-2025,8.950,9.000,8.950,8.950,48.600,434.970.000,0.00%,0.56%,0.00%,0.00%,0.56%,0.56%,GEMS
43,24-09-2025,9.000,9.050,8.950,8.950,62.300,557.585.000,0.00%,0.56%,-0.56%,-0.56%,0.56%,0.83%,GEMS
44,23-09-2025,8.975,9.025,8.975,9.000,98.300,884.700.000,0.28%,0.84%,0.28%,0.56%,0.56%,0.83%,GEMS
45,22-09-2025,9.000,9.050,8.950,8.950,119.200,1.066.840.000,0.00%,0.56%,-0.56%,-0.56%,0.56%,0.83%,GEMS
46,19-09-2025,9.000,9.050,8.975,9.000,45.900,413.100.000,0.28%,0.84%,0.00%,0.28%,0.56%,1.66%,GEMS
47,18-09-2025,9.000,9.050,8.900,8.975,248.600,2.231.185.000,0.00%,0.56%,-1.11%,-0.28%,0.56%,0.83%,GEMS
48,17-09-2025,9.000,9.125,8.975,9.000,154.300,1.388.700.000,0.00%,1.39%,-0.28%,0.00%,1.39%,1.37%,GEMS
49,16-09-2025,9.050,9.100,9.000,9.000,96.800,871.200.000,0.00%,0.55%,-0.55%,-0.55%,0.55%,0.55%,GEMS
50,15-09-2025,9.100,9.125,9.050,9.050,92.400,836.220.000,0.28%,0.55%,-0.28%,-0.28%,0.27%,1.10%,GEMS
51,12-09-2025,9.050,9.100,9.025,9.075,76.800,696.960.000,0.56%,1.11%,0.28%,0.83%,0.55%,1.10%,GEMS
52,11-09-2025,9.000,9.100,9.000,9.000,219.400,1.974.600.000,0.28%,1.39%,0.28%,0.28%,1.11%,1.65%,GEMS
53,10-09-2025,9.000,9.000,8.950,8.975,132.900,1.192.777.500,0.00%,0.00%,-0.56%,-0.28%,0.00%,0.28%,GEMS
54,09-09-2025,9.150,9.200,8.975,9.000,209.800,1.888.200.000,0.27%,0.82%,-1.64%,-1.37%,0.55%,0.82%,GEMS
