col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GGRM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GGRM
1,21-11-2025,15.250,15.475,14.850,15.375,2.304.400,35.430.150.000,0.33%,1.81%,-2.30%,1.15%,1.48%,1.94%,GGRM
2,20-11-2025,15.350,15.450,15.175,15.200,996.200,15.142.240.000,0.00%,0.65%,-1.14%,-0.98%,0.65%,2.59%,GGRM
3,19-11-2025,15.250,15.450,15.050,15.350,1.618.000,24.836.300.000,0.00%,1.31%,-1.31%,0.66%,1.31%,2.91%,GGRM
4,18-11-2025,15.650,15.800,15.000,15.250,2.255.000,34.388.750.000,0.16%,1.12%,-4.00%,-2.40%,0.96%,2.53%,GGRM
5,17-11-2025,15.600,15.675,15.400,15.625,1.558.600,24.353.125.000,0.00%,0.48%,-1.28%,0.16%,0.48%,1.12%,GGRM
6,14-11-2025,15.650,15.975,15.500,15.600,879.500,13.720.200.000,-0.32%,1.75%,-1.27%,-0.64%,2.08%,2.35%,GGRM
7,13-11-2025,16.125,16.125,15.600,15.700,1.285.900,20.188.630.000,0.31%,0.31%,-2.95%,-2.33%,0.00%,1.55%,GGRM
8,12-11-2025,16.000,16.625,15.875,16.075,2.200.400,35.371.430.000,0.47%,4.40%,-0.31%,0.94%,3.91%,6.17%,GGRM
9,11-11-2025,16.325,16.325,15.600,15.925,3.005.100,47.856.217.500,-0.15%,-0.15%,-4.59%,-2.60%,0.00%,0.00%,GGRM
10,10-11-2025,16.875,16.925,16.325,16.350,2.598.800,42.490.380.000,0.15%,0.45%,-3.12%,-2.97%,0.30%,0.89%,GGRM
11,07-11-2025,17.300,17.300,16.775,16.850,3.259.800,54.927.630.000,0.87%,0.87%,-2.19%,-1.75%,0.00%,1.16%,GGRM
12,06-11-2025,17.150,17.525,17.100,17.150,3.699.400,63.444.710.000,0.29%,2.49%,0.00%,0.29%,2.19%,3.00%,GGRM
13,05-11-2025,17.100,17.725,17.000,17.100,4.556.300,77.912.730.000,-3.12%,0.42%,-3.68%,-3.12%,3.65%,8.04%,GGRM
14,04-11-2025,16.725,17.825,16.300,17.650,7.179.400,126.716.410.000,0.15%,6.74%,-2.40%,5.69%,6.58%,7.71%,GGRM
15,03-11-2025,17.400,17.550,16.450,16.700,6.999.000,116.883.300.000,0.58%,1.45%,-4.91%,-3.47%,0.86%,11.68%,GGRM
16,31-10-2025,15.500,17.600,15.500,17.300,17.100.000,295.830.000.000,0.00%,13.55%,0.00%,11.61%,13.55%,16.76%,GGRM
17,30-10-2025,14.900,15.525,14.650,15.500,7.228.100,112.035.550.000,0.00%,4.19%,-1.68%,4.03%,4.19%,11.27%,GGRM
18,29-10-2025,14.200,14.900,13.775,14.900,5.097.100,75.946.790.000,0.00%,4.93%,-2.99%,4.93%,4.93%,7.55%,GGRM
19,28-10-2025,13.800,14.225,13.775,14.200,5.731.700,81.390.140.000,0.73%,3.83%,0.55%,3.65%,3.08%,13.18%,GGRM
20,27-10-2025,12.350,13.950,12.350,13.700,8.996.700,123.254.790.000,1.02%,14.11%,1.02%,12.07%,12.96%,13.98%,GGRM
21,24-10-2025,12.400,12.475,12.000,12.225,1.892.800,23.139.480.000,-0.60%,0.00%,-3.81%,-2.00%,0.60%,6.21%,GGRM
22,23-10-2025,11.700,12.825,11.700,12.475,4.553.400,56.803.665.000,0.00%,9.62%,0.00%,6.62%,9.62%,8.97%,GGRM
23,22-10-2025,11.950,11.950,11.675,11.700,580.500,6.791.850.000,0.00%,0.00%,-2.30%,-2.09%,0.00%,1.67%,GGRM
24,21-10-2025,11.850,12.250,11.750,11.950,675.000,8.066.250.000,0.21%,3.59%,-0.63%,1.06%,3.38%,5.51%,GGRM
25,20-10-2025,11.600,12.225,11.575,11.825,1.832.100,21.664.582.500,0.43%,5.84%,0.22%,2.38%,5.39%,5.93%,GGRM
26,17-10-2025,11.975,11.975,11.500,11.550,1.131.000,13.063.050.000,0.00%,0.00%,-3.97%,-3.55%,0.00%,3.13%,GGRM
27,16-10-2025,11.900,11.975,11.600,11.975,861.500,10.316.462.500,-0.83%,-0.21%,-3.33%,-0.21%,0.63%,5.85%,GGRM
28,15-10-2025,12.000,12.100,11.275,12.000,3.027.400,36.328.800.000,1.69%,2.54%,-4.45%,1.69%,0.83%,4.34%,GGRM
29,14-10-2025,12.000,12.250,11.575,11.800,2.653.800,31.314.840.000,2.56%,4.70%,-1.07%,0.85%,2.08%,7.35%,GGRM
30,13-10-2025,11.575,11.875,11.350,11.700,1.502.400,17.578.080.000,-0.22%,2.37%,-2.16%,0.86%,2.59%,3.58%,GGRM
31,10-10-2025,11.600,11.775,11.450,11.600,974.100,11.299.560.000,0.43%,1.95%,-0.87%,0.43%,1.51%,4.25%,GGRM
32,09-10-2025,11.300,12.375,11.275,11.550,3.436.900,39.696.195.000,0.00%,9.51%,-0.22%,2.21%,9.51%,9.49%,GGRM
