col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GIAA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GIAA
1,21-11-2025,105,105,105,105,42.309.300,4.442.476.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GIAA
2,20-11-2025,105,105,105,105,46.599.300,4.892.926.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GIAA
3,19-11-2025,108,108,105,105,71.034.700,7.458.643.500,0.00%,0.00%,-2.78%,-2.78%,0.00%,2.78%,GIAA
4,18-11-2025,109,109,105,108,95.111.100,10.271.998.800,0.00%,0.00%,-3.67%,-0.92%,0.00%,0.00%,GIAA
5,17-11-2025,117,117,109,109,146.788.600,15.999.957.400,0.86%,0.86%,-6.03%,-6.03%,0.00%,2.56%,GIAA
6,14-11-2025,114,116,114,116,223.114.900,25.881.328.400,5.56%,7.41%,5.56%,7.41%,1.75%,11.21%,GIAA
7,13-11-2025,103,108,103,108,88.858.600,9.596.728.800,0.00%,4.85%,0.00%,4.85%,4.85%,4.63%,GIAA
8,12-11-2025,106,106,103,103,99.000.500,10.197.051.500,0.00%,0.00%,-2.83%,-2.83%,0.00%,0.00%,GIAA
9,11-11-2025,110,110,106,106,66.566.500,7.056.049.000,0.00%,0.00%,-3.64%,-3.64%,0.00%,0.00%,GIAA
10,10-11-2025,110,110,110,110,46.036.500,5.064.015.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GIAA
11,07-11-2025,110,110,110,110,35.472.900,3.902.019.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.91%,GIAA
12,06-11-2025,109,110,109,110,43.653.100,4.801.841.000,0.00%,0.92%,0.00%,0.92%,0.92%,0.91%,GIAA
13,05-11-2025,115,115,109,109,94.041.900,10.250.567.100,0.00%,0.00%,-5.22%,-5.22%,0.00%,0.00%,GIAA
14,04-11-2025,117,117,115,115,65.950.300,7.584.284.500,0.00%,0.00%,-1.71%,-1.71%,0.00%,1.71%,GIAA
15,03-11-2025,115,118,115,117,140.837.200,16.477.952.400,0.00%,2.61%,0.00%,1.74%,2.61%,10.17%,GIAA
16,31-10-2025,106,115,106,115,176.291.400,20.273.511.000,0.00%,8.49%,0.00%,8.49%,8.49%,7.83%,GIAA
17,30-10-2025,108,108,106,106,50.758.000,5.380.348.000,0.00%,0.00%,-1.85%,-1.85%,0.00%,2.78%,GIAA
18,29-10-2025,105,108,105,108,44.952.500,4.854.870.000,0.96%,3.85%,0.96%,3.85%,2.86%,3.70%,GIAA
19,28-10-2025,104,104,104,104,63.745.900,6.629.573.600,-0.95%,-0.95%,-0.95%,-0.95%,0.00%,-0.96%,GIAA
20,27-10-2025,113,113,105,105,97.701.400,10.258.647.000,0.00%,0.00%,-7.08%,-7.08%,0.00%,0.00%,GIAA
21,24-10-2025,113,113,113,113,106.053.800,11.984.079.400,2.73%,2.73%,2.73%,2.73%,0.00%,2.65%,GIAA
22,23-10-2025,110,110,110,110,73.415.700,8.075.727.000,1.85%,1.85%,1.85%,1.85%,0.00%,1.82%,GIAA
