col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GJTL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GJTL
1,21-11-2025,1.055,1.055,1.040,1.045,2.488.800,2.600.796.000,0.96%,0.96%,-0.48%,0.00%,0.00%,1.42%,GJTL
2,20-11-2025,1.050,1.065,1.040,1.045,5.997.900,6.267.805.500,0.96%,2.40%,0.00%,0.48%,1.43%,2.82%,GJTL
3,19-11-2025,1.040,1.050,1.035,1.040,3.772.500,3.923.400.000,0.00%,0.96%,-0.48%,0.00%,0.96%,1.43%,GJTL
4,18-11-2025,1.045,1.055,1.035,1.040,5.942.900,6.180.616.000,0.00%,0.96%,-0.96%,-0.48%,0.96%,0.95%,GJTL
5,17-11-2025,1.055,1.065,1.045,1.045,4.788.400,5.003.878.000,0.48%,1.43%,-0.48%,-0.48%,0.95%,1.88%,GJTL
6,14-11-2025,1.065,1.065,1.045,1.050,4.847.300,5.089.665.000,0.00%,0.00%,-1.88%,-1.41%,0.00%,0.47%,GJTL
7,13-11-2025,1.060,1.075,1.060,1.065,5.428.200,5.781.033.000,0.00%,1.42%,0.00%,0.47%,1.42%,1.86%,GJTL
8,12-11-2025,1.060,1.080,1.055,1.060,6.284.300,6.661.358.000,-0.47%,1.41%,-0.94%,-0.47%,1.89%,1.85%,GJTL
9,11-11-2025,1.090,1.090,1.060,1.065,9.156.000,9.751.140.000,0.00%,0.00%,-2.75%,-2.29%,0.00%,0.92%,GJTL
10,10-11-2025,1.080,1.115,1.080,1.090,21.096.800,22.995.512.000,0.00%,3.24%,0.00%,0.93%,3.24%,5.83%,GJTL
11,07-11-2025,1.055,1.095,1.050,1.080,19.813.000,21.398.040.000,0.48%,4.29%,0.00%,2.86%,3.79%,4.57%,GJTL
12,06-11-2025,1.045,1.070,1.045,1.050,4.948.400,5.195.820.000,0.00%,2.39%,0.00%,0.48%,2.39%,4.21%,GJTL
13,05-11-2025,1.035,1.055,1.025,1.045,4.587.100,4.793.519.500,0.00%,1.93%,-0.97%,0.97%,1.93%,2.37%,GJTL
14,04-11-2025,1.050,1.050,1.030,1.035,4.321.500,4.472.752.500,0.48%,0.48%,-1.44%,-0.96%,0.00%,0.95%,GJTL
15,03-11-2025,1.050,1.060,1.040,1.045,7.403.600,7.736.762.000,0.96%,1.92%,0.00%,0.48%,0.95%,2.36%,GJTL
16,31-10-2025,1.045,1.060,1.035,1.040,6.388.000,6.643.520.000,-0.48%,0.95%,-1.43%,-0.95%,1.44%,2.83%,GJTL
17,30-10-2025,1.050,1.055,1.030,1.050,5.269.200,5.532.660.000,0.00%,0.48%,-1.90%,0.00%,0.48%,0.47%,GJTL
18,29-10-2025,1.055,1.065,1.050,1.050,6.021.500,6.322.575.000,0.48%,1.43%,0.00%,0.00%,0.95%,1.88%,GJTL
19,28-10-2025,1.050,1.060,1.045,1.050,7.017.400,7.368.270.000,0.96%,1.92%,0.48%,0.96%,0.95%,4.25%,GJTL
20,27-10-2025,1.065,1.075,1.015,1.040,19.979.200,20.778.368.000,0.47%,1.42%,-4.25%,-1.89%,0.94%,6.98%,GJTL
21,24-10-2025,1.000,1.115,1.000,1.060,40.799.100,43.247.046.000,0.00%,11.50%,0.00%,6.00%,11.50%,11.66%,GJTL
22,23-10-2025,995,1.005,985,1.000,3.697.300,3.697.300.000,0.51%,1.52%,-0.51%,1.01%,1.01%,1.99%,GJTL
