col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GMFI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GMFI
1,21-11-2025,81,81,81,81,8.693.000,704.133.000,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,GMFI
2,20-11-2025,80,81,80,81,13.208.700,1.069.904.700,0.00%,1.25%,0.00%,1.25%,1.25%,1.23%,GMFI
3,19-11-2025,80,80,80,80,6.025.700,482.056.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
4,18-11-2025,81,81,80,80,4.528.700,362.296.000,0.00%,0.00%,-1.23%,-1.23%,0.00%,0.00%,GMFI
5,17-11-2025,81,81,81,81,15.701.000,1.271.781.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
6,14-11-2025,81,81,81,81,15.726.100,1.273.814.100,0.00%,0.00%,0.00%,0.00%,0.00%,2.47%,GMFI
7,13-11-2025,79,81,79,81,8.215.300,665.439.300,0.00%,2.53%,0.00%,2.53%,2.53%,2.47%,GMFI
8,12-11-2025,81,81,79,79,6.070.300,479.553.700,0.00%,0.00%,-2.47%,-2.47%,0.00%,0.00%,GMFI
9,11-11-2025,83,85,81,81,10.146.200,821.842.200,0.00%,2.41%,-2.41%,-2.41%,2.41%,2.35%,GMFI
10,10-11-2025,86,86,83,83,6.884.100,571.380.300,0.00%,0.00%,-3.49%,-3.49%,0.00%,0.00%,GMFI
11,07-11-2025,86,86,86,86,2.496.400,214.690.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
12,06-11-2025,86,86,86,86,11.030.700,948.640.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
13,05-11-2025,86,86,86,86,7.768.700,668.108.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
14,04-11-2025,86,86,86,86,16.675.800,1.434.118.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
15,03-11-2025,95,96,86,86,26.342.400,2.265.446.400,0.00%,1.05%,-9.47%,-9.47%,1.05%,1.04%,GMFI
16,31-10-2025,99,99,95,95,5.655.000,537.225.000,0.00%,0.00%,-4.04%,-4.04%,0.00%,0.00%,GMFI
17,30-10-2025,102,102,99,99,11.521.100,1.140.588.900,3.03%,3.03%,0.00%,0.00%,0.00%,2.94%,GMFI
18,29-10-2025,99,99,99,99,8.250.200,816.769.800,4.21%,4.21%,4.21%,4.21%,0.00%,6.06%,GMFI
19,28-10-2025,93,95,93,95,5.645.800,536.351.000,0.00%,2.15%,0.00%,2.15%,2.15%,2.11%,GMFI
20,27-10-2025,99,99,93,93,19.922.300,1.852.773.900,-3.88%,-3.88%,-9.71%,-9.71%,0.00%,-2.02%,GMFI
21,24-10-2025,101,103,101,103,15.560.300,1.602.710.900,2.02%,4.04%,2.02%,4.04%,1.98%,12.62%,GMFI
22,23-10-2025,90,99,90,99,32.251.900,3.192.938.100,0.00%,10.00%,0.00%,10.00%,10.00%,9.09%,GMFI
23,22-10-2025,91,93,90,90,9.918.000,892.620.000,3.41%,5.68%,2.27%,2.27%,2.20%,6.45%,GMFI
24,21-10-2025,87,89,87,88,7.259.200,638.809.600,-4.40%,-2.20%,-4.40%,-3.30%,2.30%,-2.25%,GMFI
25,20-10-2025,91,91,91,91,9.415.800,856.837.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMFI
26,17-10-2025,99,99,91,91,8.063.500,733.778.500,-1.00%,-1.00%,-9.00%,-9.00%,0.00%,1.01%,GMFI
27,16-10-2025,98,100,98,100,15.156.400,1.515.640.000,7.69%,9.89%,7.69%,9.89%,2.04%,9.00%,GMFI
28,15-10-2025,95,97,91,91,12.778.000,1.162.798.000,2.15%,4.30%,-2.15%,-2.15%,2.11%,4.12%,GMFI
29,14-10-2025,94,94,93,93,26.240.000,2.440.320.000,-8.74%,-8.74%,-9.71%,-9.71%,0.00%,-3.19%,GMFI
30,13-10-2025,97,106,97,103,39.679.200,4.086.957.600,-8.49%,0.00%,-8.49%,-2.83%,9.28%,0.00%,GMFI
31,10-10-2025,106,106,106,106,86.461.700,9.164.940.200,9.28%,9.28%,9.28%,9.28%,0.00%,8.49%,GMFI
