col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GMTD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GMTD
1,21-11-2025,2.370,2.440,2.330,2.430,2.900,7.047.000,-3.66%,-0.81%,-5.28%,-1.22%,2.95%,3.69%,GMTD
2,20-11-2025,2.400,2.460,2.350,2.460,5.400,13.284.000,0.00%,2.50%,-2.08%,2.50%,2.50%,4.47%,GMTD
3,19-11-2025,2.440,2.700,2.350,2.400,30.200,72.480.000,0.00%,10.66%,-3.69%,-1.64%,10.66%,14.81%,GMTD
4,18-11-2025,2.530,2.530,2.300,2.440,14.700,35.868.000,0.40%,0.40%,-8.73%,-3.17%,0.00%,0.40%,GMTD
5,17-11-2025,2.570,2.630,2.520,2.520,18.700,47.124.000,0.00%,2.33%,-1.95%,-1.95%,2.33%,2.28%,GMTD
6,14-11-2025,3.020,3.110,2.570,2.570,256.200,658.434.000,0.00%,2.98%,-14.90%,-14.90%,2.98%,4.50%,GMTD
7,13-11-2025,3.100,3.140,2.970,3.020,96.800,292.336.000,0.00%,1.29%,-4.19%,-2.58%,1.29%,6.37%,GMTD
8,12-11-2025,3.030,3.420,2.940,3.100,136.200,422.220.000,-0.33%,12.50%,-3.29%,1.97%,12.87%,28.07%,GMTD
9,11-11-2025,2.780,3.280,2.460,3.040,227.400,691.296.000,0.00%,17.99%,-11.51%,9.35%,17.99%,17.68%,GMTD
10,10-11-2025,2.750,3.290,2.700,2.780,159.900,444.522.000,0.00%,19.64%,-1.82%,1.09%,19.64%,33.13%,GMTD
11,07-11-2025,2.200,2.750,2.200,2.750,69.000,189.750.000,0.00%,25.00%,0.00%,25.00%,25.00%,20.00%,GMTD
12,06-11-2025,2.200,2.200,2.200,2.200,200,440.000,-0.45%,-0.45%,-0.45%,-0.45%,0.00%,-0.45%,GMTD
13,05-11-2025,2.220,2.220,2.210,2.210,300,663.000,-0.45%,-0.45%,-0.90%,-0.90%,0.00%,0.90%,GMTD
14,04-11-2025,2.230,2.260,2.200,2.230,2.900,6.467.000,0.00%,1.35%,-1.35%,0.00%,1.35%,9.29%,GMTD
15,03-11-2025,2.140,2.260,2.050,2.230,1.800,4.014.000,0.47%,6.10%,-3.76%,4.69%,5.61%,5.75%,GMTD
16,31-10-2025,2.130,2.130,2.130,2.130,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMTD
17,30-10-2025,2.130,2.130,2.130,2.130,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,GMTD
18,29-10-2025,2.130,2.130,2.130,2.130,600,1.278.000,0.00%,0.00%,0.00%,0.00%,0.00%,6.10%,GMTD
19,28-10-2025,2.130,2.150,2.000,2.130,4.500,9.585.000,2.90%,3.86%,-3.38%,2.90%,0.94%,3.72%,GMTD
20,27-10-2025,2.160,2.160,2.070,2.070,1.000,2.070.000,4.35%,4.35%,0.00%,0.00%,0.00%,5.56%,GMTD
21,24-10-2025,2.040,2.200,2.040,2.070,113.500,234.945.000,0.00%,7.84%,0.00%,1.47%,7.84%,7.27%,GMTD
22,23-10-2025,2.040,2.080,2.040,2.040,400,816.000,0.49%,2.46%,0.49%,0.49%,1.96%,2.40%,GMTD
23,22-10-2025,2.040,2.080,2.030,2.030,2.200,4.466.000,0.00%,1.96%,-0.49%,-0.49%,1.96%,2.40%,GMTD
24,21-10-2025,2.070,2.210,2.030,2.040,9.400,19.176.000,1.47%,8.33%,-0.49%,0.00%,6.76%,8.14%,GMTD
25,20-10-2025,2.100,2.100,2.030,2.040,2.100,4.284.000,2.94%,2.94%,-0.49%,0.00%,0.00%,2.86%,GMTD
26,17-10-2025,2.100,2.110,2.040,2.040,3.100,6.324.000,3.45%,3.94%,0.49%,0.49%,0.48%,3.79%,GMTD
27,16-10-2025,2.070,2.080,2.030,2.030,4.400,8.932.000,-0.48%,0.00%,-2.40%,-2.40%,0.48%,0.00%,GMTD
28,15-10-2025,2.110,2.110,2.080,2.080,300,624.000,1.93%,1.93%,0.48%,0.48%,0.00%,1.90%,GMTD
29,14-10-2025,2.080,2.120,2.070,2.070,10.300,21.321.000,-0.48%,1.44%,-0.96%,-0.96%,1.92%,1.89%,GMTD
30,13-10-2025,2.100,2.110,2.080,2.090,800,1.672.000,0.48%,0.96%,-0.48%,0.00%,0.48%,1.42%,GMTD
31,10-10-2025,2.120,2.120,2.080,2.090,7.800,16.302.000,1.44%,1.44%,-0.48%,0.00%,0.00%,1.89%,GMTD
32,09-10-2025,2.080,2.090,2.080,2.090,1.100,2.299.000,-1.89%,-1.42%,-1.89%,-1.42%,0.48%,0.48%,GMTD
33,08-10-2025,2.080,2.120,2.080,2.120,400,848.000,0.00%,1.92%,0.00%,1.92%,1.92%,1.89%,GMTD
34,07-10-2025,2.090,2.130,2.080,2.080,1.200,2.496.000,-0.48%,1.43%,-0.95%,-0.95%,1.91%,2.35%,GMTD
35,06-10-2025,2.160,2.190,2.080,2.100,900,1.890.000,3.35%,4.78%,-0.48%,0.48%,1.39%,5.48%,GMTD
36,03-10-2025,2.130,2.170,2.070,2.090,3.700,7.733.000,-0.93%,0.93%,-3.72%,-2.79%,1.88%,5.53%,GMTD
37,02-10-2025,2.120,2.180,2.050,2.150,30.400,65.360.000,1.92%,4.81%,-1.44%,3.37%,2.83%,4.59%,GMTD
38,01-10-2025,2.170,2.170,2.080,2.080,1.200,2.496.000,1.40%,1.40%,-2.80%,-2.80%,0.00%,4.15%,GMTD
