col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GOOD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GOOD
1,21-11-2025,374,374,368,370,46.100,17.057.000,1.08%,1.08%,-0.54%,0.00%,0.00%,2.14%,GOOD
2,20-11-2025,372,372,366,370,251.400,93.018.000,0.00%,0.00%,-1.61%,-0.54%,0.00%,1.08%,GOOD
3,19-11-2025,370,372,368,372,146.600,54.535.200,0.00%,0.54%,-0.54%,0.54%,0.54%,1.08%,GOOD
4,18-11-2025,374,378,368,370,153.400,56.758.000,0.54%,1.61%,-1.08%,-0.54%,1.07%,2.65%,GOOD
5,17-11-2025,372,378,368,372,315.700,117.440.400,0.00%,1.61%,-1.08%,0.00%,1.61%,2.12%,GOOD
6,14-11-2025,378,386,370,372,551.200,205.046.400,0.00%,2.12%,-2.12%,-1.59%,2.12%,3.63%,GOOD
7,13-11-2025,382,386,372,378,699.700,264.486.600,0.53%,1.58%,-2.11%,-0.53%,1.05%,5.70%,GOOD
8,12-11-2025,394,400,364,380,5.011.300,1.904.294.000,0.00%,1.52%,-7.61%,-3.55%,1.52%,8.00%,GOOD
9,11-11-2025,368,456,368,394,14.261.000,5.618.834.000,0.55%,24.59%,0.55%,7.65%,23.91%,20.61%,GOOD
10,10-11-2025,366,366,362,366,225.800,82.642.800,0.00%,0.00%,-1.09%,0.00%,0.00%,2.19%,GOOD
11,07-11-2025,364,366,358,366,369.100,135.090.600,0.00%,0.55%,-1.65%,0.55%,0.55%,1.09%,GOOD
12,06-11-2025,366,366,362,364,205.100,74.656.400,0.00%,0.00%,-1.09%,-0.55%,0.00%,1.64%,GOOD
13,05-11-2025,364,366,360,366,171.100,62.622.600,0.00%,0.55%,-1.10%,0.55%,0.55%,1.09%,GOOD
14,04-11-2025,368,368,362,364,278.100,101.228.400,0.00%,0.00%,-1.63%,-1.09%,0.00%,1.63%,GOOD
15,03-11-2025,362,368,362,368,242.600,89.276.800,0.56%,2.22%,0.56%,2.22%,1.66%,3.80%,GOOD
16,31-10-2025,362,364,354,360,339.900,122.364.000,0.00%,0.55%,-2.21%,-0.55%,0.55%,1.65%,GOOD
17,30-10-2025,362,362,358,362,315.500,114.211.000,0.00%,0.00%,-1.10%,0.00%,0.00%,1.66%,GOOD
18,29-10-2025,360,366,356,362,1.301.200,471.034.400,-0.55%,1.10%,-1.66%,0.00%,1.67%,1.64%,GOOD
19,28-10-2025,362,362,360,362,499.600,180.855.200,0.56%,0.56%,0.00%,0.56%,0.00%,0.55%,GOOD
20,27-10-2025,364,364,360,360,404.000,145.440.000,0.00%,0.00%,-1.10%,-1.10%,0.00%,0.55%,GOOD
21,24-10-2025,362,366,362,364,583.300,212.321.200,-0.55%,0.55%,-0.55%,0.00%,1.10%,1.64%,GOOD
22,23-10-2025,364,366,360,364,601.900,219.091.600,0.00%,0.55%,-1.10%,0.00%,0.55%,3.83%,GOOD
23,22-10-2025,362,366,352,364,539.700,196.450.800,0.00%,1.10%,-2.76%,0.55%,1.10%,1.64%,GOOD
24,21-10-2025,368,368,360,362,1.063.400,384.950.800,0.00%,0.00%,-2.17%,-1.63%,0.00%,1.09%,GOOD
25,20-10-2025,368,372,364,368,623.600,229.484.800,0.00%,1.09%,-1.09%,0.00%,1.09%,1.61%,GOOD
26,17-10-2025,368,372,366,368,184.800,68.006.400,0.00%,1.09%,-0.54%,0.00%,1.09%,1.61%,GOOD
27,16-10-2025,380,382,366,368,894.000,328.992.000,0.00%,0.53%,-3.68%,-3.16%,0.53%,2.62%,GOOD
28,15-10-2025,372,380,372,380,182.000,69.160.000,-0.53%,1.60%,-0.53%,1.60%,2.15%,2.63%,GOOD
29,14-10-2025,374,376,370,374,182.400,68.217.600,0.00%,0.53%,-1.07%,0.00%,0.53%,1.06%,GOOD
30,13-10-2025,378,380,372,374,154.200,57.670.800,0.00%,0.53%,-1.59%,-1.06%,0.53%,2.63%,GOOD
31,10-10-2025,378,380,370,378,302.300,114.269.400,0.00%,0.53%,-2.12%,0.00%,0.53%,1.58%,GOOD
32,09-10-2025,376,388,374,378,412.700,156.000.600,0.00%,3.19%,-0.53%,0.53%,3.19%,5.67%,GOOD
33,08-10-2025,366,376,366,376,388.400,146.038.400,0.00%,2.73%,0.00%,2.73%,2.73%,2.66%,GOOD
34,07-10-2025,368,370,366,366,241.700,88.462.200,-0.54%,0.00%,-1.08%,-1.08%,0.54%,1.08%,GOOD
35,06-10-2025,370,370,366,370,174.300,64.491.000,-0.54%,-0.54%,-1.61%,-0.54%,0.00%,1.08%,GOOD
36,03-10-2025,370,372,366,372,132.500,49.290.000,0.00%,0.54%,-1.08%,0.54%,0.54%,3.23%,GOOD
37,02-10-2025,370,370,360,370,146.700,54.279.000,0.54%,0.54%,-2.17%,0.54%,0.00%,0.54%,GOOD
38,01-10-2025,370,374,368,368,185.900,68.411.200,-0.54%,0.54%,-1.08%,-1.08%,1.08%,1.60%,GOOD
39,30-09-2025,372,374,368,372,174.400,64.876.800,0.00%,0.54%,-1.08%,0.00%,0.54%,1.60%,GOOD
40,29-09-2025,370,372,368,372,183.200,68.150.400,-0.54%,0.00%,-1.08%,0.00%,0.54%,1.61%,GOOD
41,26-09-2025,370,372,366,372,294.400,109.516.800,1.65%,2.20%,0.55%,2.20%,0.54%,2.69%,GOOD
