col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GOTO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GOTO
1,21-11-2025,60,64,60,64,5.357.554.500,342.883.488.000,0.00%,6.67%,0.00%,6.67%,6.67%,6.25%,GOTO
2,20-11-2025,61,62,60,60,2.875.493.100,172.529.586.000,1.67%,3.33%,0.00%,0.00%,1.64%,4.84%,GOTO
3,19-11-2025,61,61,59,60,3.613.895.900,216.833.754.000,0.00%,0.00%,-3.28%,-1.64%,0.00%,1.64%,GOTO
4,18-11-2025,62,62,60,61,3.441.374.500,209.923.844.500,0.00%,0.00%,-3.23%,-1.61%,0.00%,1.61%,GOTO
5,17-11-2025,64,65,61,62,4.772.617.200,295.902.266.400,-1.54%,0.00%,-6.15%,-4.62%,1.56%,3.08%,GOTO
6,14-11-2025,65,66,63,65,2.688.127.300,174.728.274.500,1.56%,3.13%,-1.56%,1.56%,1.54%,4.55%,GOTO
7,13-11-2025,65,66,63,64,5.228.092.900,334.597.945.600,0.00%,1.54%,-3.08%,-1.54%,1.54%,1.52%,GOTO
8,12-11-2025,69,70,65,65,6.511.203.800,423.228.247.000,2.99%,4.48%,-2.99%,-2.99%,1.45%,7.14%,GOTO
9,11-11-2025,68,70,65,67,10.123.937.400,678.303.805.800,1.49%,4.48%,-2.99%,0.00%,2.94%,8.57%,GOTO
10,10-11-2025,64,69,64,67,14.345.482.000,961.147.294.000,4.92%,13.11%,4.92%,9.84%,7.81%,13.04%,GOTO
11,07-11-2025,61,63,60,61,3.833.751.700,233.858.853.700,0.00%,3.28%,-1.64%,0.00%,3.28%,4.76%,GOTO
12,06-11-2025,62,63,60,61,2.792.568.800,170.346.696.800,0.00%,1.61%,-3.23%,-1.61%,1.61%,11.11%,GOTO
13,05-11-2025,57,63,56,62,11.797.419.300,731.439.996.600,0.00%,10.53%,-1.75%,8.77%,10.53%,9.52%,GOTO
14,04-11-2025,59,60,57,57,2.872.514.200,163.733.309.400,0.00%,1.69%,-3.39%,-3.39%,1.69%,3.33%,GOTO
15,03-11-2025,60,60,58,59,1.787.709.700,105.474.872.300,0.00%,0.00%,-3.33%,-1.67%,0.00%,3.33%,GOTO
16,31-10-2025,60,61,58,60,4.058.420.600,243.505.236.000,0.00%,1.67%,-3.33%,0.00%,1.67%,6.56%,GOTO
17,30-10-2025,58,60,57,60,10.550.240.400,633.014.424.000,3.57%,7.14%,1.79%,7.14%,3.45%,8.33%,GOTO
18,29-10-2025,55,56,55,56,924.175.800,51.753.844.800,0.00%,1.82%,0.00%,1.82%,1.82%,3.57%,GOTO
19,28-10-2025,54,56,54,55,1.717.311.400,94.452.127.000,-1.82%,1.82%,-1.82%,0.00%,3.70%,3.57%,GOTO
20,27-10-2025,56,57,54,55,5.325.151.600,292.883.338.000,1.82%,3.64%,-1.82%,0.00%,1.79%,3.51%,GOTO
21,24-10-2025,56,56,55,55,865.633.200,47.609.826.000,0.00%,0.00%,-1.79%,-1.79%,0.00%,3.57%,GOTO
22,23-10-2025,55,56,54,56,1.122.900.600,62.882.433.600,1.85%,3.70%,0.00%,3.70%,1.82%,3.57%,GOTO
23,22-10-2025,56,56,54,54,1.072.230.600,57.900.452.400,0.00%,0.00%,-3.57%,-3.57%,0.00%,3.57%,GOTO
24,21-10-2025,55,56,54,56,1.916.916.800,107.347.340.800,0.00%,1.82%,-1.82%,1.82%,1.82%,3.57%,GOTO
25,20-10-2025,55,56,54,55,3.051.389.000,167.826.395.000,0.00%,1.82%,-1.82%,0.00%,1.82%,3.57%,GOTO
26,17-10-2025,55,56,54,55,2.350.367.900,129.270.234.500,0.00%,1.82%,-1.82%,0.00%,1.82%,3.57%,GOTO
27,16-10-2025,55,56,54,55,1.139.962.100,62.697.915.500,1.85%,3.70%,0.00%,1.85%,1.82%,3.57%,GOTO
28,15-10-2025,55,56,54,54,2.080.781.400,112.362.195.600,0.00%,1.82%,-1.82%,-1.82%,1.82%,3.57%,GOTO
29,14-10-2025,55,56,54,55,3.714.276.300,204.285.196.500,0.00%,1.82%,-1.82%,0.00%,1.82%,3.57%,GOTO
30,13-10-2025,54,56,54,55,2.250.752.100,123.791.365.500,0.00%,3.70%,0.00%,1.85%,3.70%,3.57%,GOTO
31,10-10-2025,56,56,54,54,1.869.557.400,100.956.099.600,1.82%,1.82%,-1.82%,-1.82%,0.00%,1.79%,GOTO
32,09-10-2025,56,56,55,55,1.552.248.700,85.373.678.500,0.00%,0.00%,-1.79%,-1.79%,0.00%,1.79%,GOTO
33,08-10-2025,57,57,55,56,985.459.900,55.185.754.400,1.79%,1.79%,-1.79%,0.00%,0.00%,1.75%,GOTO
34,07-10-2025,57,58,56,56,2.119.953.500,118.717.396.000,0.00%,1.75%,-1.75%,-1.75%,1.75%,1.72%,GOTO
35,06-10-2025,58,60,57,57,4.537.385.900,258.630.996.300,1.75%,5.26%,0.00%,0.00%,3.45%,10.00%,GOTO
36,03-10-2025,55,58,54,57,8.175.859.900,466.024.014.300,1.85%,7.41%,0.00%,5.56%,5.45%,6.90%,GOTO
37,02-10-2025,55,55,54,54,1.790.087.100,96.664.703.400,0.00%,0.00%,-1.82%,-1.82%,0.00%,3.64%,GOTO
38,01-10-2025,55,55,53,55,3.502.080.800,192.614.444.000,1.85%,1.85%,-1.85%,1.85%,0.00%,1.82%,GOTO
39,30-09-2025,56,57,54,54,3.758.567.500,202.962.645.000,0.00%,1.79%,-3.57%,-3.57%,1.79%,1.75%,GOTO
40,29-09-2025,57,58,56,56,1.739.822.200,97.430.043.200,0.00%,1.75%,-1.75%,-1.75%,1.75%,5.17%,GOTO
41,26-09-2025,55,57,55,57,3.564.352.500,203.168.092.500,0.00%,3.64%,0.00%,3.64%,3.64%,7.02%,GOTO
42,25-09-2025,53,57,53,55,6.438.375.700,354.110.663.500,0.00%,7.55%,0.00%,3.77%,7.55%,7.02%,GOTO
43,24-09-2025,54,54,53,53,1.352.485.600,71.681.736.800,0.00%,0.00%,-1.85%,-1.85%,0.00%,1.85%,GOTO
44,23-09-2025,54,55,53,54,4.157.100.100,224.483.405.400,0.00%,1.85%,-1.85%,0.00%,1.85%,1.82%,GOTO
45,22-09-2025,55,55,54,54,2.383.689.900,128.719.254.600,0.00%,0.00%,-1.82%,-1.82%,0.00%,0.00%,GOTO
46,19-09-2025,56,56,55,55,8.566.178.900,471.139.839.500,0.00%,0.00%,-1.79%,-1.79%,0.00%,1.79%,GOTO
47,18-09-2025,57,58,55,56,3.626.324.000,203.074.144.000,0.00%,1.75%,-3.51%,-1.75%,1.75%,3.45%,GOTO
48,17-09-2025,56,57,56,57,1.490.814.900,84.976.449.300,-1.75%,0.00%,-1.75%,0.00%,1.79%,3.51%,GOTO
49,16-09-2025,57,57,55,57,5.081.307.500,289.634.527.500,0.00%,0.00%,-3.51%,0.00%,0.00%,1.75%,GOTO
50,15-09-2025,57,58,56,57,1.680.677.100,95.798.594.700,0.00%,1.75%,-1.75%,0.00%,1.75%,3.45%,GOTO
51,12-09-2025,57,58,56,57,1.246.327.000,71.040.639.000,0.00%,1.75%,-1.75%,0.00%,1.75%,3.45%,GOTO
52,11-09-2025,57,58,56,57,2.362.188.800,134.644.761.600,1.79%,3.57%,0.00%,1.79%,1.75%,3.45%,GOTO
53,10-09-2025,57,57,56,56,1.415.389.400,79.261.806.400,1.79%,1.79%,0.00%,0.00%,0.00%,1.75%,GOTO
54,09-09-2025,58,58,56,56,3.224.398.200,180.566.299.200,0.00%,0.00%,-3.45%,-3.45%,0.00%,0.00%,GOTO
55,08-09-2025,59,60,58,58,1.947.303.100,112.943.579.800,0.00%,1.69%,-1.69%,-1.69%,1.69%,5.00%,GOTO
56,04-09-2025,58,59,57,59,1.621.019.900,95.640.174.100,0.00%,1.72%,-1.72%,1.72%,1.72%,3.39%,GOTO
57,03-09-2025,58,59,57,58,1.273.540.500,73.865.349.000,0.00%,1.72%,-1.72%,0.00%,1.72%,3.39%,GOTO
58,02-09-2025,58,59,57,58,1.376.538.200,79.839.215.600,0.00%,1.72%,-1.72%,0.00%,1.72%,5.08%,GOTO
59,01-09-2025,57,58,56,58,2.405.006.300,139.490.365.400,-1.72%,0.00%,-3.45%,0.00%,1.75%,0.00%,GOTO
60,29-08-2025,60,60,58,58,3.597.693.700,208.666.234.600,1.69%,1.69%,-1.69%,-1.69%,0.00%,1.67%,GOTO
