col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GPSO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GPSO
1,21-11-2025,630,760,630,760,26.071.800,19.814.568.000,3.28%,24.59%,3.28%,24.59%,20.63%,22.37%,GPSO
2,20-11-2025,680,680,590,610,10.246.500,6.250.365.000,0.74%,0.74%,-12.59%,-9.63%,0.00%,2.21%,GPSO
3,19-11-2025,725,750,665,675,3.835.600,2.589.030.000,0.69%,4.17%,-7.64%,-6.25%,3.45%,6.67%,GPSO
4,18-11-2025,745,755,700,720,2.680.700,1.930.104.000,-1.32%,0.00%,-7.28%,-4.64%,1.34%,5.30%,GPSO
5,17-11-2025,715,760,715,755,2.111.800,1.594.409.000,0.00%,6.29%,0.00%,5.59%,6.29%,5.92%,GPSO
6,14-11-2025,735,760,715,715,3.264.100,2.333.831.500,0.68%,4.11%,-2.05%,-2.05%,3.40%,4.61%,GPSO
7,13-11-2025,800,800,725,730,10.662.400,7.783.552.000,0.00%,0.00%,-9.38%,-8.75%,0.00%,3.75%,GPSO
8,12-11-2025,780,830,770,800,9.956.500,7.965.200.000,0.00%,6.41%,-1.28%,2.56%,6.41%,9.04%,GPSO
9,11-11-2025,820,825,755,780,5.642.200,4.400.916.000,0.00%,0.61%,-7.93%,-4.88%,0.61%,6.06%,GPSO
10,10-11-2025,795,825,775,820,4.787.700,3.925.914.000,1.92%,5.77%,-0.64%,5.13%,3.77%,6.06%,GPSO
11,07-11-2025,815,815,775,780,2.605.700,2.032.446.000,-0.61%,-0.61%,-5.49%,-4.88%,0.00%,1.84%,GPSO
12,06-11-2025,820,835,800,820,916.800,751.776.000,1.23%,3.09%,-1.23%,1.23%,1.83%,5.99%,GPSO
13,05-11-2025,810,820,785,810,1.472.600,1.192.806.000,-1.82%,-0.61%,-4.85%,-1.82%,1.23%,3.66%,GPSO
14,04-11-2025,815,865,790,825,6.196.700,5.112.277.500,1.88%,8.13%,-1.25%,3.13%,6.13%,10.98%,GPSO
15,03-11-2025,830,835,770,800,3.377.800,2.702.240.000,0.61%,1.21%,-6.67%,-3.03%,0.60%,2.99%,GPSO
16,31-10-2025,845,850,810,825,3.337.700,2.753.602.500,0.60%,1.19%,-3.57%,-1.79%,0.59%,11.18%,GPSO
17,30-10-2025,775,845,755,840,19.986.000,16.788.240.000,-1.27%,7.64%,-3.82%,7.01%,9.03%,7.69%,GPSO
18,29-10-2025,810,845,780,785,3.746.000,2.940.610.000,0.62%,4.97%,-3.11%,-2.48%,4.32%,9.47%,GPSO
19,28-10-2025,865,870,765,805,7.748.800,6.237.784.000,2.37%,2.96%,-9.47%,-4.73%,0.58%,19.54%,GPSO
20,27-10-2025,710,875,700,845,73.497.900,62.105.725.500,1.43%,25.00%,0.00%,20.71%,23.24%,20.00%,GPSO
21,24-10-2025,835,870,700,700,19.766.300,13.836.410.000,1.83%,6.10%,-14.63%,-14.63%,4.19%,8.05%,GPSO
22,23-10-2025,850,910,800,820,5.687.500,4.663.750.000,0.00%,7.06%,-5.88%,-3.53%,7.06%,16.48%,GPSO
23,22-10-2025,850,875,760,850,4.675.600,3.974.260.000,0.00%,2.94%,-10.59%,0.00%,2.94%,9.14%,GPSO
24,21-10-2025,825,970,795,850,23.767.900,20.202.715.000,-11.76%,3.74%,-14.97%,-9.09%,17.58%,3.61%,GPSO
25,20-10-2025,1.000,1.010,935,935,8.997.600,8.412.756.000,-9.09%,-8.18%,-15.00%,-15.00%,1.00%,-8.91%,GPSO
26,17-10-2025,1.335,1.335,1.100,1.100,21.399.100,23.539.010.000,3.49%,3.49%,-14.73%,-14.73%,0.00%,15.36%,GPSO
27,16-10-2025,1.350,1.360,1.130,1.290,38.141.000,49.201.890.000,1.89%,2.64%,-14.72%,-2.64%,0.74%,13.60%,GPSO
28,15-10-2025,1.395,1.395,1.175,1.325,8.368.000,11.087.600.000,9.84%,9.84%,-7.48%,4.33%,0.00%,21.15%,GPSO
29,14-10-2025,1.270,1.270,1.100,1.270,16.703.300,21.213.191.000,9.96%,9.96%,-4.76%,9.96%,0.00%,9.06%,GPSO
30,13-10-2025,1.155,1.155,1.155,1.155,1.829.900,2.113.534.500,10.00%,10.00%,10.00%,10.00%,0.00%,13.42%,GPSO
31,10-10-2025,1.000,1.050,1.000,1.050,13.273.400,13.937.070.000,4.71%,9.95%,4.71%,9.95%,5.00%,9.05%,GPSO
32,09-10-2025,1.165,1.165,955,955,17.987.000,17.177.585.000,9.91%,9.91%,-9.91%,-9.91%,0.00%,9.01%,GPSO
