col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GTBO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GTBO
1,21-11-2025,210,210,202,208,135.900,28.267.200,0.00%,0.00%,-3.81%,-0.95%,0.00%,0.95%,GTBO
2,20-11-2025,210,212,208,210,413.400,86.814.000,0.96%,1.92%,0.00%,0.96%,0.95%,4.72%,GTBO
3,19-11-2025,206,210,202,208,379.200,78.873.600,0.00%,1.94%,-1.94%,0.97%,1.94%,2.86%,GTBO
4,18-11-2025,208,208,204,206,214.100,44.104.600,0.00%,0.00%,-1.92%,-0.96%,0.00%,2.88%,GTBO
5,17-11-2025,204,214,202,208,159.300,33.134.400,0.00%,4.90%,-0.98%,1.96%,4.90%,4.67%,GTBO
6,14-11-2025,206,212,204,204,493.400,100.653.600,-0.96%,1.92%,-1.92%,-1.92%,2.91%,100.00%,GTBO
7,12-11-2025,210,212,206,212,309.500,65.614.000,0.00%,0.95%,-1.90%,0.95%,0.95%,2.83%,GTBO
8,11-11-2025,210,216,206,210,246.900,51.849.000,0.00%,2.86%,-1.90%,0.00%,2.86%,4.63%,GTBO
9,10-11-2025,212,212,206,210,130.800,27.468.000,1.92%,1.92%,-0.96%,0.96%,0.00%,2.83%,GTBO
10,07-11-2025,210,212,206,208,85.200,17.721.600,0.00%,0.95%,-1.90%,-0.95%,0.95%,1.89%,GTBO
11,06-11-2025,212,212,208,210,125.200,26.292.000,0.00%,0.00%,-1.89%,-0.94%,0.00%,2.83%,GTBO
12,05-11-2025,206,212,206,212,1.163.300,246.619.600,0.00%,2.91%,0.00%,2.91%,2.91%,4.72%,GTBO
13,04-11-2025,210,220,202,206,255.500,52.633.000,0.00%,4.76%,-3.81%,-1.90%,4.76%,11.36%,GTBO
14,03-11-2025,199,224,195,210,627.900,131.859.000,-0.50%,12.00%,-2.50%,5.00%,12.56%,11.61%,GTBO
15,31-10-2025,204,204,198,200,319.000,63.800.000,0.00%,0.00%,-2.94%,-1.96%,0.00%,1.96%,GTBO
16,30-10-2025,206,206,200,204,104.100,21.236.400,0.00%,0.00%,-2.91%,-0.97%,0.00%,2.91%,GTBO
17,29-10-2025,208,208,200,206,314.100,64.704.600,0.00%,0.00%,-3.85%,-0.96%,0.00%,3.85%,GTBO
18,28-10-2025,202,210,200,208,192.900,40.123.200,0.00%,3.96%,-0.99%,2.97%,3.96%,4.76%,GTBO
19,27-10-2025,210,228,200,202,806.900,162.993.800,0.00%,8.57%,-4.76%,-3.81%,8.57%,9.65%,GTBO
20,24-10-2025,214,220,206,210,409.400,85.974.000,0.00%,2.80%,-3.74%,-1.87%,2.80%,3.64%,GTBO
21,23-10-2025,218,220,212,214,224.700,48.085.800,2.83%,3.77%,0.00%,0.94%,0.92%,5.45%,GTBO
22,22-10-2025,220,220,208,212,294.700,62.476.400,0.92%,0.92%,-4.59%,-2.75%,0.00%,1.82%,GTBO
23,21-10-2025,222,224,216,218,206.300,44.973.400,-0.89%,0.00%,-3.57%,-2.68%,0.90%,3.57%,GTBO
24,20-10-2025,218,224,216,224,374.900,83.977.600,-1.80%,0.90%,-2.70%,0.90%,2.75%,2.68%,GTBO
25,17-10-2025,230,230,218,222,393.600,87.379.200,0.88%,0.88%,-4.39%,-2.63%,0.00%,6.09%,GTBO
26,16-10-2025,220,240,216,228,947.700,216.075.600,-0.90%,8.11%,-2.70%,2.70%,9.09%,9.17%,GTBO
27,15-10-2025,236,236,218,222,493.600,109.579.200,0.00%,0.00%,-7.63%,-5.93%,0.00%,6.78%,GTBO
28,14-10-2025,244,250,220,236,2.011.200,474.643.200,3.39%,5.93%,-6.78%,0.00%,2.46%,12.80%,GTBO
29,13-10-2025,224,252,218,236,4.536.500,1.070.614.000,3.70%,16.67%,0.93%,9.26%,12.50%,15.87%,GTBO
30,10-10-2025,220,224,212,216,251.400,54.302.400,0.00%,1.82%,-3.64%,-1.82%,1.82%,4.46%,GTBO
31,09-10-2025,216,228,214,220,957.200,210.584.000,0.00%,5.56%,-0.93%,1.85%,5.56%,7.02%,GTBO
32,08-10-2025,220,224,212,216,268.700,58.039.200,0.00%,1.82%,-3.64%,-1.82%,1.82%,6.25%,GTBO
33,07-10-2025,224,228,210,220,598.100,131.582.000,1.82%,3.64%,-4.55%,0.00%,1.79%,8.77%,GTBO
34,06-10-2025,234,234,208,220,1.098.300,241.626.000,5.41%,5.41%,-6.31%,-0.90%,0.00%,12.82%,GTBO
35,03-10-2025,214,236,204,222,3.064.900,680.407.800,0.00%,10.28%,-4.67%,3.74%,10.28%,11.86%,GTBO
36,02-10-2025,218,226,208,214,2.878.000,615.892.000,1.87%,5.61%,-2.80%,0.00%,3.67%,7.08%,GTBO
37,01-10-2025,214,220,210,214,793.700,169.851.800,1.90%,4.76%,0.00%,1.90%,2.80%,4.55%,GTBO
38,30-09-2025,214,226,210,210,2.033.000,426.930.000,0.00%,5.61%,-1.87%,-1.87%,5.61%,7.08%,GTBO
39,29-09-2025,220,230,210,214,2.105.300,450.534.200,3.77%,8.49%,-0.94%,0.94%,4.55%,7.83%,GTBO
40,26-09-2025,216,218,212,212,564.300,119.631.600,0.00%,0.93%,-1.85%,-1.85%,0.93%,2.75%,GTBO
41,25-09-2025,220,222,212,216,693.600,149.817.600,1.85%,2.78%,-1.85%,0.00%,0.91%,5.41%,GTBO
42,24-09-2025,220,220,210,216,626.800,135.388.800,2.80%,2.80%,-1.87%,0.93%,0.00%,10.00%,GTBO
43,23-09-2025,204,220,198,214,2.568.900,549.744.600,-0.97%,6.80%,-3.88%,3.88%,7.84%,10.45%,GTBO
44,22-09-2025,199,212,197,206,1.159.800,238.918.800,0.00%,6.53%,-1.01%,3.52%,6.53%,6.13%,GTBO
45,19-09-2025,204,204,199,199,218.100,43.401.900,2.00%,2.00%,-0.50%,-0.50%,0.00%,3.43%,GTBO
46,18-09-2025,204,206,197,200,1.202.700,240.540.000,2.00%,3.00%,-1.50%,0.00%,0.98%,2.91%,GTBO
47,17-09-2025,204,210,200,200,609.200,121.840.000,0.00%,2.94%,-1.96%,-1.96%,2.94%,4.76%,GTBO
48,16-09-2025,212,214,200,204,1.973.500,402.594.000,0.00%,0.94%,-5.66%,-3.77%,0.94%,3.74%,GTBO
49,15-09-2025,214,216,206,212,1.905.500,403.966.000,0.00%,0.93%,-3.74%,-0.93%,0.93%,12.96%,GTBO
50,12-09-2025,190,252,188,214,30.982.500,6.630.255.000,1.60%,34.76%,0.53%,14.44%,32.63%,26.59%,GTBO
51,11-09-2025,189,189,185,187,366.300,68.498.100,0.00%,0.00%,-2.12%,-1.06%,0.00%,2.12%,GTBO
52,10-09-2025,197,197,185,189,833.000,157.437.000,1.03%,1.03%,-5.13%,-3.08%,0.00%,1.02%,GTBO
53,09-09-2025,197,206,195,195,665.300,129.733.500,0.00%,4.57%,-1.02%,-1.02%,4.57%,7.28%,GTBO
54,08-09-2025,197,202,191,197,384.500,75.746.500,0.00%,2.54%,-3.05%,0.00%,2.54%,5.45%,GTBO
55,04-09-2025,197,200,191,197,151.700,29.884.900,0.51%,2.04%,-2.55%,0.51%,1.52%,2.50%,GTBO
56,03-09-2025,196,202,195,196,229.800,45.040.800,0.51%,3.59%,0.00%,0.51%,3.06%,4.46%,GTBO
57,02-09-2025,193,198,193,195,231.300,45.103.500,0.00%,2.59%,0.00%,1.04%,2.59%,8.59%,GTBO
58,01-09-2025,190,204,181,193,575.000,110.975.000,-1.55%,5.70%,-6.22%,0.00%,7.37%,11.76%,GTBO
59,29-08-2025,208,210,180,193,1.615.800,311.849.400,0.00%,0.96%,-13.46%,-7.21%,0.96%,4.76%,GTBO
60,28-08-2025,208,210,200,208,999.600,207.916.800,-0.95%,0.00%,-4.76%,-0.95%,0.96%,3.81%,GTBO
61,27-08-2025,212,214,202,210,1.174.800,246.708.000,0.00%,0.94%,-4.72%,-0.94%,0.94%,2.80%,GTBO
62,26-08-2025,224,226,208,212,2.224.200,471.530.400,0.90%,1.80%,-6.31%,-4.50%,0.89%,17.70%,GTBO
63,25-08-2025,187,236,186,222,17.777.000,3.946.494.000,1.08%,27.57%,0.54%,20.00%,26.20%,24.15%,GTBO
64,22-08-2025,183,186,179,185,235.600,43.586.000,0.00%,1.64%,-2.19%,1.09%,1.64%,4.30%,GTBO
65,21-08-2025,182,184,178,183,252.300,46.170.900,0.00%,1.10%,-2.20%,0.55%,1.10%,3.26%,GTBO
66,20-08-2025,182,182,178,182,518.400,94.348.800,0.55%,0.55%,-1.66%,0.55%,0.00%,2.75%,GTBO
67,19-08-2025,180,190,177,181,353.400,63.965.400,0.00%,5.56%,-1.67%,0.56%,5.56%,5.79%,GTBO
68,15-08-2025,185,185,179,180,345.000,62.100.000,0.00%,0.00%,-3.24%,-2.70%,0.00%,5.41%,GTBO
69,14-08-2025,186,186,175,185,806.500,149.202.500,0.00%,0.00%,-5.91%,-0.54%,0.00%,2.15%,GTBO
70,13-08-2025,185,187,182,186,167.700,31.192.200,0.00%,1.08%,-1.62%,0.54%,1.08%,4.28%,GTBO
71,12-08-2025,186,195,179,185,319.400,59.089.000,-0.53%,4.28%,-4.28%,-1.07%,4.84%,7.69%,GTBO
72,11-08-2025,189,191,180,187,1.127.000,210.749.000,0.00%,1.06%,-4.76%,-1.06%,1.06%,2.62%,GTBO
73,08-08-2025,198,198,186,189,244.300,46.172.700,3.66%,3.66%,-2.62%,-1.05%,0.00%,6.06%,GTBO
74,07-08-2025,191,191,186,191,403.000,76.973.000,0.00%,0.00%,-2.62%,0.00%,0.00%,1.05%,GTBO
75,06-08-2025,192,195,189,191,163.500,31.228.500,0.00%,1.56%,-1.56%,-0.52%,1.56%,3.59%,GTBO
76,05-08-2025,192,195,188,192,309.900,59.500.800,-0.52%,1.04%,-2.59%,-0.52%,1.56%,2.05%,GTBO
77,04-08-2025,193,198,191,193,347.600,67.086.800,-1.53%,1.02%,-2.55%,-1.53%,2.59%,2.53%,GTBO
78,01-08-2025,204,204,193,196,262.200,51.391.200,3.55%,3.55%,-2.03%,-0.51%,0.00%,3.92%,GTBO
79,31-07-2025,206,206,196,197,486.900,95.919.300,3.52%,3.52%,-1.51%,-1.01%,0.00%,4.37%,GTBO
80,30-07-2025,199,206,197,199,524.300,104.335.700,0.51%,4.04%,-0.51%,0.51%,3.52%,6.80%,GTBO
81,29-07-2025,200,202,192,198,523.400,103.633.200,1.01%,2.02%,-3.03%,0.00%,1.00%,2.48%,GTBO
82,28-07-2025,198,202,197,198,735.200,145.569.600,0.51%,2.54%,0.00%,0.51%,2.02%,5.94%,GTBO
83,25-07-2025,196,212,190,197,3.633.300,715.760.100,3.16%,11.58%,0.00%,3.68%,8.16%,14.15%,GTBO
84,24-07-2025,197,198,182,190,1.248.500,237.215.000,0.00%,0.51%,-7.61%,-3.55%,0.51%,2.53%,GTBO
85,23-07-2025,202,214,193,197,2.246.600,442.580.200,1.51%,7.54%,-3.02%,-1.01%,5.94%,13.08%,GTBO
86,22-07-2025,188,202,186,199,1.760.900,350.419.100,1.08%,8.60%,0.00%,6.99%,7.45%,8.42%,GTBO
87,21-07-2025,186,193,185,186,800.400,148.874.400,0.00%,3.76%,-0.54%,0.00%,3.76%,4.15%,GTBO
88,18-07-2025,187,197,185,186,1.089.000,202.554.000,0.54%,5.91%,-0.54%,0.00%,5.35%,6.09%,GTBO
89,17-07-2025,193,196,185,186,2.008.200,373.525.200,0.52%,2.08%,-3.65%,-3.13%,1.55%,6.12%,GTBO
90,16-07-2025,184,202,184,192,6.350.200,1.219.238.400,-0.54%,9.19%,-0.54%,3.78%,9.78%,10.89%,GTBO
91,15-07-2025,187,187,180,185,1.071.600,198.246.000,-1.58%,-1.58%,-5.26%,-2.63%,0.00%,2.14%,GTBO
