col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GULA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GULA
1,21-11-2025,356,358,344,344,1.703.600,586.038.400,0.00%,0.56%,-3.37%,-3.37%,0.56%,1.68%,GULA
2,20-11-2025,362,366,352,356,1.065.400,379.282.400,0.00%,1.10%,-2.76%,-1.66%,1.10%,2.19%,GULA
3,19-11-2025,366,372,358,362,3.274.500,1.185.369.000,1.10%,2.76%,-1.10%,0.00%,1.64%,5.91%,GULA
4,18-11-2025,376,376,350,362,1.637.400,592.738.800,1.62%,1.62%,-5.41%,-2.16%,0.00%,4.26%,GULA
5,17-11-2025,372,380,360,370,2.708.400,1.002.108.000,0.54%,2.70%,-2.70%,0.00%,2.15%,3.16%,GULA
6,14-11-2025,390,394,368,370,8.926.500,3.302.805.000,0.52%,1.55%,-5.15%,-4.64%,1.03%,100.00%,GULA
7,12-11-2025,398,400,390,394,621.200,244.752.800,1.53%,2.04%,-0.51%,0.51%,0.50%,6.00%,GULA
8,11-11-2025,384,434,376,392,4.083.400,1.600.692.800,1.05%,14.21%,-1.05%,3.16%,13.02%,13.82%,GULA
9,10-11-2025,392,398,374,380,2.857.900,1.086.002.000,0.00%,1.53%,-4.59%,-3.06%,1.53%,2.01%,GULA
10,07-11-2025,404,406,390,392,1.393.500,546.252.000,3.06%,3.57%,-0.51%,0.00%,0.50%,5.91%,GULA
11,06-11-2025,384,400,382,392,1.836.500,719.908.000,0.00%,4.17%,-0.52%,2.08%,4.17%,4.00%,GULA
12,05-11-2025,400,402,384,384,3.203.700,1.230.220.800,0.00%,0.50%,-4.00%,-4.00%,0.50%,0.50%,GULA
13,04-11-2025,420,420,400,400,1.209.600,483.840.000,0.48%,0.48%,-4.31%,-4.31%,0.00%,1.43%,GULA
14,03-11-2025,416,426,414,418,1.638.700,684.976.600,0.00%,2.40%,-0.48%,0.48%,2.40%,6.57%,GULA
15,31-10-2025,422,434,398,416,5.184.800,2.156.876.800,-1.40%,1.40%,-7.01%,-2.80%,2.84%,3.69%,GULA
16,30-10-2025,436,446,418,428,5.034.600,2.154.808.800,1.87%,4.21%,-2.34%,0.00%,2.29%,14.80%,GULA
17,29-10-2025,404,498,380,428,16.679.700,7.138.911.600,1.00%,24.50%,-5.00%,7.00%,23.27%,23.29%,GULA
18,28-10-2025,384,426,382,400,2.067.800,827.120.000,0.00%,10.94%,-0.52%,4.17%,10.94%,10.80%,GULA
19,27-10-2025,426,440,380,384,6.106.200,2.344.780.800,0.47%,3.77%,-10.38%,-9.43%,3.29%,6.36%,GULA
20,24-10-2025,448,448,412,424,5.449.800,2.310.715.200,0.00%,0.00%,-8.04%,-5.36%,0.00%,2.23%,GULA
21,23-10-2025,444,452,438,448,4.471.600,2.003.276.800,0.00%,1.80%,-1.35%,0.90%,1.80%,4.87%,GULA
22,22-10-2025,440,452,430,444,3.396.000,1.507.824.000,0.00%,2.73%,-2.27%,0.91%,2.73%,3.10%,GULA
23,21-10-2025,448,460,438,440,7.919.200,3.484.448.000,-0.44%,2.22%,-2.67%,-2.22%,2.68%,2.61%,GULA
24,20-10-2025,472,492,448,450,5.448.400,2.451.780.000,0.00%,4.24%,-5.08%,-4.66%,4.24%,8.13%,GULA
25,17-10-2025,540,550,452,472,16.825.300,7.941.541.600,1.89%,3.77%,-14.72%,-10.94%,1.85%,17.82%,GULA
26,16-10-2025,456,550,452,530,13.682.700,7.251.831.000,-1.30%,19.05%,-2.16%,14.72%,20.61%,20.36%,GULA
27,15-10-2025,450,492,438,462,7.772.900,3.591.079.800,0.00%,9.33%,-2.67%,2.67%,9.33%,14.23%,GULA
28,14-10-2025,478,530,422,450,9.760.100,4.392.045.000,0.84%,11.81%,-10.97%,-5.06%,10.88%,16.98%,GULA
29,13-10-2025,550,550,440,474,50.963.300,24.156.604.200,25.00%,25.00%,0.00%,7.73%,0.00%,36.73%,GULA
30,10-10-2025,352,440,348,440,10.803.100,4.753.364.000,0.00%,25.00%,-1.14%,25.00%,25.00%,22.73%,GULA
31,09-10-2025,342,360,340,352,5.938.600,2.090.387.200,0.00%,5.26%,-0.58%,2.92%,5.26%,12.78%,GULA
32,08-10-2025,330,344,314,342,1.654.600,565.873.200,0.61%,4.88%,-4.27%,4.27%,4.24%,4.65%,GULA
33,07-10-2025,338,342,328,328,1.558.200,511.089.600,0.00%,1.18%,-2.96%,-2.96%,1.18%,3.51%,GULA
34,06-10-2025,348,348,330,338,1.992.200,673.363.600,0.00%,0.00%,-5.17%,-2.87%,0.00%,1.15%,GULA
35,03-10-2025,354,356,344,348,1.501.900,522.661.200,0.00%,0.56%,-2.82%,-1.69%,0.56%,3.37%,GULA
36,02-10-2025,358,358,344,354,2.478.500,877.389.000,1.13%,1.13%,-2.82%,0.00%,0.00%,4.47%,GULA
37,01-10-2025,348,358,342,354,4.191.600,1.483.826.400,2.35%,5.29%,0.59%,4.12%,2.87%,5.03%,GULA
38,30-09-2025,340,348,340,340,567.500,192.950.000,0.00%,2.35%,0.00%,0.00%,2.35%,4.02%,GULA
39,29-09-2025,334,346,334,340,761.600,258.944.000,-1.76%,1.76%,-1.76%,0.00%,3.59%,3.47%,GULA
40,26-09-2025,336,342,334,340,113.000,38.420.000,0.60%,2.40%,0.00%,1.80%,1.79%,3.51%,GULA
41,25-09-2025,340,346,330,334,936.600,312.824.400,0.59%,2.37%,-2.37%,-1.18%,1.76%,4.05%,GULA
42,24-09-2025,342,350,332,338,1.130.400,382.075.200,0.00%,2.34%,-2.92%,-1.17%,2.34%,7.43%,GULA
