col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),GWSA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,GWSA
1,21-11-2025,159,159,152,154,4.587.700,706.505.800,-0.63%,-0.63%,-5.00%,-3.75%,0.00%,3.14%,GWSA
2,20-11-2025,162,162,154,160,4.112.400,657.984.000,-0.61%,-0.61%,-5.52%,-1.84%,0.00%,3.70%,GWSA
3,19-11-2025,166,170,156,163,12.604.000,2.054.452.000,0.61%,3.03%,-5.45%,-1.21%,2.41%,13.53%,GWSA
4,18-11-2025,148,166,147,165,5.483.700,904.810.500,-0.67%,11.41%,-1.34%,10.74%,12.16%,12.05%,GWSA
5,17-11-2025,147,151,146,149,455.100,67.809.900,0.00%,2.72%,-0.68%,1.36%,2.72%,3.31%,GWSA
6,14-11-2025,150,150,146,147,143.100,21.035.700,0.67%,0.67%,-2.01%,-1.34%,0.00%,100.00%,GWSA
7,12-11-2025,146,147,145,146,575.800,84.066.800,0.00%,0.68%,-0.68%,0.00%,0.68%,1.36%,GWSA
8,11-11-2025,148,148,145,146,121.000,17.666.000,0.00%,0.00%,-2.03%,-1.35%,0.00%,2.03%,GWSA
9,10-11-2025,145,148,145,148,490.200,72.549.600,0.00%,2.07%,0.00%,2.07%,2.07%,2.70%,GWSA
10,07-11-2025,148,148,144,145,285.200,41.354.000,2.07%,2.07%,-0.69%,0.00%,0.00%,3.38%,GWSA
11,06-11-2025,148,152,143,145,969.200,140.534.000,2.07%,4.83%,-1.38%,0.00%,2.70%,6.58%,GWSA
12,05-11-2025,145,146,142,145,310.300,44.993.500,0.00%,0.69%,-2.07%,0.00%,0.69%,3.42%,GWSA
13,04-11-2025,149,152,141,145,334.600,48.517.000,1.36%,3.40%,-4.08%,-1.36%,2.01%,4.61%,GWSA
14,03-11-2025,149,149,145,147,252.200,37.073.400,1.36%,1.36%,-1.36%,0.00%,0.00%,2.68%,GWSA
15,31-10-2025,147,149,145,147,354.700,52.140.900,1.38%,2.76%,0.00%,1.38%,1.36%,4.70%,GWSA
16,30-10-2025,149,149,142,145,247.100,35.829.500,4.93%,4.93%,0.00%,2.11%,0.00%,5.37%,GWSA
17,29-10-2025,145,146,141,142,126.800,18.005.600,0.00%,0.69%,-2.76%,-2.07%,0.69%,2.74%,GWSA
18,28-10-2025,143,155,142,145,1.237.100,179.379.500,2.14%,10.71%,1.43%,3.57%,8.39%,11.61%,GWSA
19,27-10-2025,137,144,137,140,174.200,24.388.000,-4.20%,0.70%,-4.20%,-2.10%,5.11%,2.78%,GWSA
20,24-10-2025,140,143,140,143,18.600,2.659.800,0.00%,2.14%,0.00%,2.14%,2.14%,2.10%,GWSA
21,23-10-2025,141,142,140,140,141.600,19.824.000,0.71%,1.43%,0.00%,0.00%,0.71%,2.11%,GWSA
22,22-10-2025,141,141,139,140,318.900,44.646.000,0.71%,0.71%,-0.71%,0.00%,0.00%,1.42%,GWSA
23,21-10-2025,143,143,139,140,31.400,4.396.000,2.14%,2.14%,-0.71%,0.00%,0.00%,9.09%,GWSA
24,20-10-2025,138,140,130,140,183.300,25.662.000,0.00%,1.45%,-5.80%,1.45%,1.45%,1.43%,GWSA
25,17-10-2025,138,143,138,138,115.000,15.870.000,-1.43%,2.14%,-1.43%,-1.43%,3.62%,4.20%,GWSA
26,16-10-2025,140,141,137,140,867.300,121.422.000,0.00%,0.71%,-2.14%,0.00%,0.71%,4.26%,GWSA
27,15-10-2025,139,140,135,140,612.600,85.764.000,-1.42%,-0.71%,-4.26%,-0.71%,0.72%,0.71%,GWSA
28,14-10-2025,140,144,139,141,437.200,61.645.200,0.00%,2.86%,-0.71%,0.71%,2.86%,3.47%,GWSA
29,13-10-2025,143,143,139,140,433.600,60.704.000,0.00%,0.00%,-2.80%,-2.10%,0.00%,2.80%,GWSA
30,10-10-2025,145,145,139,143,1.645.100,235.249.300,0.00%,0.00%,-4.14%,-1.38%,0.00%,1.38%,GWSA
31,09-10-2025,151,151,143,145,3.266.900,473.700.500,-1.31%,-1.31%,-6.54%,-5.23%,0.00%,0.66%,GWSA
32,08-10-2025,155,155,150,153,489.700,74.924.100,0.00%,0.00%,-3.23%,-1.29%,0.00%,3.23%,GWSA
33,07-10-2025,153,155,150,155,1.369.900,212.334.500,0.66%,1.97%,-1.32%,1.97%,1.31%,3.23%,GWSA
34,06-10-2025,153,155,150,152,400.600,60.891.200,0.66%,1.97%,-1.32%,0.00%,1.31%,1.94%,GWSA
35,03-10-2025,154,154,152,152,128.700,19.562.400,0.00%,0.00%,-1.30%,-1.30%,0.00%,0.65%,GWSA
36,02-10-2025,155,155,153,154,256.400,39.485.600,0.00%,0.00%,-1.29%,-0.65%,0.00%,1.94%,GWSA
37,01-10-2025,157,157,152,155,437.500,67.812.500,2.61%,2.61%,-0.65%,1.31%,0.00%,2.55%,GWSA
38,30-09-2025,156,156,153,153,1.004.500,153.688.500,1.96%,1.96%,0.00%,0.00%,0.00%,1.92%,GWSA
39,29-09-2025,155,156,153,153,734.700,112.409.100,0.00%,0.65%,-1.29%,-1.29%,0.65%,3.85%,GWSA
40,26-09-2025,156,156,150,155,873.100,135.330.500,1.30%,1.30%,-2.60%,0.65%,0.00%,1.92%,GWSA
41,25-09-2025,156,156,153,154,149.700,23.053.800,0.65%,0.65%,-1.29%,-0.65%,0.00%,1.92%,GWSA
42,24-09-2025,157,157,153,155,670.700,103.958.500,0.00%,0.00%,-2.55%,-1.27%,0.00%,1.91%,GWSA
43,23-09-2025,154,158,154,157,160.400,25.182.800,0.00%,2.60%,0.00%,1.95%,2.60%,3.16%,GWSA
44,22-09-2025,159,160,153,154,349.600,53.838.400,2.58%,3.23%,-1.29%,-0.65%,0.63%,3.13%,GWSA
45,19-09-2025,155,158,155,155,278.800,43.214.000,-0.64%,1.28%,-0.64%,-0.64%,1.94%,2.53%,GWSA
46,18-09-2025,156,156,154,156,329.700,51.433.200,0.00%,0.00%,-1.28%,0.00%,0.00%,1.92%,GWSA
47,17-09-2025,156,156,153,156,694.000,108.264.000,0.65%,0.65%,-1.29%,0.65%,0.00%,1.92%,GWSA
48,16-09-2025,160,160,153,155,371.100,57.520.500,1.91%,1.91%,-2.55%,-1.27%,0.00%,4.38%,GWSA
49,15-09-2025,155,164,153,157,1.943.400,305.113.800,0.65%,6.49%,-0.65%,1.95%,5.81%,6.71%,GWSA
