col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HADE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HADE
1,21-11-2025,23,25,23,23,1.106.500,25.449.500,0.00%,8.70%,0.00%,0.00%,8.70%,8.00%,HADE
2,20-11-2025,24,24,23,23,858.700,19.750.100,0.00%,0.00%,-4.17%,-4.17%,0.00%,4.17%,HADE
3,19-11-2025,24,24,23,24,1.236.600,29.678.400,0.00%,0.00%,-4.17%,0.00%,0.00%,4.17%,HADE
4,18-11-2025,23,24,23,24,526.000,12.624.000,0.00%,4.35%,0.00%,4.35%,4.35%,4.17%,HADE
5,17-11-2025,24,24,23,23,840.500,19.331.500,0.00%,0.00%,-4.17%,-4.17%,0.00%,0.00%,HADE
6,14-11-2025,24,24,24,24,6.605.100,158.522.400,-7.69%,-7.69%,-7.69%,-7.69%,0.00%,-8.33%,HADE
7,13-11-2025,28,28,26,26,2.390.700,62.158.200,0.00%,0.00%,-7.14%,-7.14%,0.00%,3.57%,HADE
8,12-11-2025,27,28,27,28,1.448.400,40.555.200,3.85%,7.69%,3.85%,7.69%,3.70%,7.14%,HADE
9,11-11-2025,26,26,26,26,1.804.400,46.914.400,8.33%,8.33%,8.33%,8.33%,0.00%,11.54%,HADE
10,10-11-2025,24,24,23,24,3.171.700,76.120.800,0.00%,0.00%,-4.17%,0.00%,0.00%,0.00%,HADE
11,07-11-2025,24,24,24,24,259.100,6.218.400,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,HADE
12,06-11-2025,24,24,24,24,1.357.900,32.589.600,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,HADE
13,05-11-2025,23,24,23,24,4.627.900,111.069.600,4.55%,9.09%,4.55%,9.09%,4.35%,8.33%,HADE
14,04-11-2025,24,24,22,22,2.346.600,51.625.200,0.00%,0.00%,-8.33%,-8.33%,0.00%,4.17%,HADE
15,03-11-2025,24,24,23,24,1.454.400,34.905.600,-4.00%,-4.00%,-8.00%,-4.00%,0.00%,-4.17%,HADE
16,31-10-2025,25,25,25,25,3.388.600,84.715.000,4.17%,4.17%,4.17%,4.17%,0.00%,4.00%,HADE
17,30-10-2025,24,24,24,24,4.316.900,103.605.600,0.00%,0.00%,0.00%,0.00%,0.00%,4.17%,HADE
18,29-10-2025,23,24,23,24,2.917.500,70.020.000,4.55%,9.09%,4.55%,9.09%,4.35%,12.50%,HADE
19,28-10-2025,22,22,21,22,1.574.600,34.641.200,0.00%,0.00%,-4.55%,0.00%,0.00%,0.00%,HADE
20,27-10-2025,24,24,22,22,1.782.900,39.223.800,0.00%,0.00%,-8.33%,-8.33%,0.00%,0.00%,HADE
21,24-10-2025,26,26,24,24,1.547.300,37.135.200,0.00%,0.00%,-7.69%,-7.69%,0.00%,0.00%,HADE
22,23-10-2025,28,28,26,26,2.421.800,62.966.800,0.00%,0.00%,-7.14%,-7.14%,0.00%,3.57%,HADE
23,22-10-2025,27,28,27,28,1.317.700,36.895.600,0.00%,3.70%,0.00%,3.70%,3.70%,10.71%,HADE
24,21-10-2025,25,27,25,27,5.690.000,153.630.000,0.00%,8.00%,0.00%,8.00%,8.00%,7.41%,HADE
25,20-10-2025,25,25,25,25,2.067.100,51.677.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,HADE
26,17-10-2025,25,25,25,25,2.190.000,54.750.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,HADE
27,16-10-2025,26,26,25,25,3.397.900,84.947.500,0.00%,0.00%,-3.85%,-3.85%,0.00%,0.00%,HADE
28,15-10-2025,26,26,26,26,3.022.700,78.590.200,-7.14%,-7.14%,-7.14%,-7.14%,0.00%,-7.69%,HADE
29,14-10-2025,32,32,28,28,10.637.800,297.858.400,3.23%,3.23%,-9.68%,-9.68%,0.00%,3.13%,HADE
30,13-10-2025,31,31,31,31,8.478.700,262.839.700,6.90%,6.90%,6.90%,6.90%,0.00%,6.45%,HADE
31,10-10-2025,29,29,29,29,7.717.900,223.819.100,7.41%,7.41%,7.41%,7.41%,0.00%,6.90%,HADE
32,09-10-2025,27,27,27,27,2.392.300,64.592.100,8.00%,8.00%,8.00%,8.00%,0.00%,14.81%,HADE
33,08-10-2025,23,25,23,25,10.161.700,254.042.500,0.00%,8.70%,0.00%,8.70%,8.70%,8.00%,HADE
34,07-10-2025,23,23,23,23,6.614.800,152.140.400,-8.00%,-8.00%,-8.00%,-8.00%,0.00%,-8.70%,HADE
35,06-10-2025,25,25,25,25,4.513.700,112.842.500,-7.41%,-7.41%,-7.41%,-7.41%,0.00%,-8.00%,HADE
36,03-10-2025,27,27,27,27,4.083.900,110.265.300,-6.90%,-6.90%,-6.90%,-6.90%,0.00%,-7.41%,HADE
37,02-10-2025,29,29,29,29,8.297.300,240.621.700,-9.38%,-9.38%,-9.38%,-9.38%,0.00%,-10.34%,HADE
