col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HAJJ
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HAJJ
1,21-11-2025,116,117,115,116,14.911.500,1.729.734.000,-0.85%,0.00%,-1.71%,-0.85%,0.86%,2.56%,HAJJ
2,20-11-2025,116,117,114,117,13.359.100,1.563.014.700,0.00%,0.86%,-1.72%,0.86%,0.86%,2.56%,HAJJ
3,19-11-2025,117,117,114,116,11.048.800,1.281.660.800,0.00%,0.00%,-2.56%,-0.85%,0.00%,1.71%,HAJJ
4,18-11-2025,115,118,115,117,11.406.000,1.334.502.000,-0.86%,1.72%,-0.86%,0.86%,2.61%,3.39%,HAJJ
5,17-11-2025,116,117,114,116,11.265.500,1.306.798.000,0.00%,0.86%,-1.72%,0.00%,0.86%,1.71%,HAJJ
6,14-11-2025,118,118,115,116,11.326.600,1.313.885.600,0.00%,0.00%,-2.54%,-1.69%,0.00%,1.69%,HAJJ
7,13-11-2025,117,119,116,118,13.118.000,1.547.924.000,0.00%,1.71%,-0.85%,0.85%,1.71%,2.52%,HAJJ
8,12-11-2025,118,119,116,117,9.553.300,1.117.736.100,0.00%,0.85%,-1.69%,-0.85%,0.85%,3.36%,HAJJ
9,11-11-2025,116,118,115,118,11.188.900,1.320.290.200,-0.85%,0.85%,-1.71%,0.85%,1.72%,2.54%,HAJJ
10,10-11-2025,117,120,115,117,11.098.700,1.298.547.900,-0.85%,1.69%,-2.54%,-0.85%,2.56%,3.33%,HAJJ
11,07-11-2025,118,119,116,118,10.157.300,1.198.561.400,0.00%,0.85%,-1.69%,0.00%,0.85%,1.68%,HAJJ
12,06-11-2025,120,120,117,118,9.512.900,1.122.522.200,0.84%,0.84%,-1.68%,-0.84%,0.00%,2.50%,HAJJ
13,05-11-2025,119,120,117,119,10.642.800,1.266.493.200,0.00%,0.84%,-1.68%,0.00%,0.84%,2.50%,HAJJ
14,04-11-2025,120,122,117,119,11.921.900,1.418.706.100,0.00%,1.67%,-2.50%,-0.83%,1.67%,3.28%,HAJJ
15,03-11-2025,124,127,118,120,12.504.000,1.500.480.000,0.81%,3.25%,-4.07%,-2.44%,2.42%,8.66%,HAJJ
