col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HALO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HALO
1,21-11-2025,110,110,107,109,24.206.600,2.638.519.400,0.00%,0.00%,-2.73%,-0.91%,0.00%,1.82%,HALO
2,20-11-2025,110,111,108,110,21.427.600,2.357.036.000,0.00%,0.91%,-1.82%,0.00%,0.91%,4.50%,HALO
3,19-11-2025,119,120,106,110,511.226.800,56.234.948.000,1.71%,2.56%,-9.40%,-5.98%,0.84%,9.17%,HALO
4,18-11-2025,112,121,109,117,655.139.100,76.651.274.700,0.00%,8.04%,-2.68%,4.46%,8.04%,14.05%,HALO
5,17-11-2025,112,114,104,112,414.315.300,46.403.313.600,0.00%,1.79%,-7.14%,0.00%,1.79%,3.51%,HALO
6,14-11-2025,114,115,110,112,122.066.900,13.671.492.800,0.00%,0.88%,-3.51%,-1.75%,0.88%,6.09%,HALO
7,13-11-2025,115,122,108,114,530.935.900,60.526.692.600,0.00%,6.09%,-6.09%,-0.87%,6.09%,10.66%,HALO
8,12-11-2025,112,120,109,115,189.932.200,21.842.203.000,0.90%,8.11%,-1.80%,3.60%,7.14%,10.83%,HALO
9,11-11-2025,110,116,107,111,260.777.600,28.946.313.600,0.00%,5.45%,-2.73%,0.91%,5.45%,9.48%,HALO
10,10-11-2025,113,132,105,110,498.173.800,54.799.118.000,0.00%,16.81%,-7.08%,-2.65%,16.81%,18.94%,HALO
11,07-11-2025,109,117,107,113,83.596.800,9.446.438.400,1.87%,9.35%,0.00%,5.61%,7.34%,10.26%,HALO
12,06-11-2025,105,109,105,107,21.039.800,2.251.258.600,-0.94%,2.83%,-0.94%,0.94%,3.81%,5.50%,HALO
13,05-11-2025,103,107,103,106,16.326.800,1.730.640.800,-0.96%,2.88%,-0.96%,1.92%,3.88%,3.74%,HALO
14,04-11-2025,113,134,103,104,277.326.500,28.841.956.000,-0.88%,17.54%,-9.65%,-8.77%,18.58%,23.13%,HALO
15,03-11-2025,114,124,103,114,205.034.800,23.373.967.200,0.00%,8.77%,-9.65%,0.00%,8.77%,12.10%,HALO
16,31-10-2025,110,124,109,114,105.966.300,12.080.158.200,0.00%,12.73%,-0.91%,3.64%,12.73%,12.90%,HALO
17,30-10-2025,119,120,108,110,99.912.500,10.990.375.000,3.48%,4.35%,-6.09%,-4.35%,0.84%,4.17%,HALO
18,29-10-2025,124,124,115,115,39.160.900,4.503.503.500,0.00%,0.00%,-7.26%,-7.26%,0.00%,2.42%,HALO
19,28-10-2025,124,126,121,124,64.832.900,8.039.279.600,0.00%,1.61%,-2.42%,0.00%,1.61%,7.14%,HALO
