col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HATM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HATM
1,21-11-2025,380,384,374,380,33.743.500,12.822.530.000,0.00%,1.05%,-1.58%,0.00%,1.05%,6.77%,HATM
2,20-11-2025,364,386,358,380,47.421.900,18.020.322.000,0.00%,6.04%,-1.65%,4.40%,6.04%,8.29%,HATM
3,19-11-2025,366,370,354,364,25.473.700,9.272.426.800,-0.54%,0.54%,-3.80%,-1.09%,1.09%,8.65%,HATM
4,18-11-2025,344,370,338,368,65.524.300,24.112.942.400,0.00%,7.56%,-1.74%,6.98%,7.56%,11.35%,HATM
5,17-11-2025,338,348,328,344,17.049.700,5.865.096.800,0.60%,3.57%,-2.38%,2.38%,2.96%,10.34%,HATM
6,14-11-2025,314,340,312,336,73.972.100,24.854.625.600,-1.26%,6.92%,-1.89%,5.66%,8.28%,10.00%,HATM
7,13-11-2025,324,324,306,318,18.661.200,5.934.261.600,1.25%,1.25%,-4.38%,-0.63%,0.00%,12.35%,HATM
8,12-11-2025,284,326,284,320,78.577.500,25.144.800.000,0.00%,14.79%,0.00%,12.68%,14.79%,14.72%,HATM
9,11-11-2025,280,284,278,284,27.317.700,7.758.226.800,0.00%,1.43%,-0.71%,1.43%,1.43%,3.52%,HATM
10,10-11-2025,280,282,274,280,24.691.600,6.913.648.000,0.00%,0.71%,-2.14%,0.00%,0.71%,2.13%,HATM
11,07-11-2025,282,282,276,280,20.712.000,5.799.360.000,0.00%,0.00%,-2.13%,-0.71%,0.00%,2.13%,HATM
12,06-11-2025,278,282,276,282,24.093.100,6.794.254.200,-0.71%,0.71%,-1.43%,0.71%,1.44%,4.26%,HATM
13,05-11-2025,272,280,270,280,31.495.400,8.818.712.000,-0.73%,2.19%,-1.46%,2.19%,2.94%,2.86%,HATM
14,04-11-2025,274,276,272,274,30.426.500,8.336.861.000,-0.72%,0.00%,-1.45%,-0.72%,0.73%,1.45%,HATM
15,03-11-2025,274,278,272,276,20.967.300,5.786.974.800,-0.72%,0.72%,-1.45%,0.00%,1.46%,1.44%,HATM
16,31-10-2025,282,282,274,276,20.834.900,5.750.432.400,0.00%,0.00%,-2.84%,-2.13%,0.00%,4.26%,HATM
17,30-10-2025,272,286,270,282,53.535.300,15.096.954.600,-0.73%,4.38%,-1.46%,2.92%,5.15%,5.59%,HATM
18,29-10-2025,278,278,270,274,23.189.700,6.353.977.800,0.00%,0.00%,-2.88%,-1.44%,0.00%,1.44%,HATM
19,28-10-2025,280,282,274,278,33.489.500,9.310.081.000,0.00%,0.71%,-2.14%,-0.71%,0.71%,5.67%,HATM
20,27-10-2025,268,284,266,280,43.842.700,12.275.956.000,0.75%,6.77%,0.00%,5.26%,5.97%,9.15%,HATM
21,24-10-2025,258,266,258,266,28.998.000,7.713.468.000,0.00%,3.10%,0.00%,3.10%,3.10%,3.01%,HATM
22,23-10-2025,260,264,258,258,23.829.100,6.147.907.800,0.00%,1.54%,-0.77%,-0.77%,1.54%,2.27%,HATM
23,22-10-2025,262,266,258,260,27.520.100,7.155.226.000,0.77%,2.31%,-0.77%,0.00%,1.53%,4.51%,HATM
24,21-10-2025,254,264,254,260,28.241.500,7.342.790.000,0.00%,3.94%,0.00%,2.36%,3.94%,6.82%,HATM
25,20-10-2025,250,254,246,254,25.734.000,6.536.436.000,0.00%,1.60%,-1.60%,1.60%,1.60%,3.15%,HATM
26,17-10-2025,250,254,246,250,20.077.700,5.019.425.000,0.00%,1.60%,-1.60%,0.00%,1.60%,3.94%,HATM
27,16-10-2025,246,250,244,250,26.580.300,6.645.075.000,-0.81%,0.81%,-1.61%,0.81%,1.63%,3.20%,HATM
28,15-10-2025,248,248,242,248,22.953.800,5.692.542.400,0.00%,0.00%,-2.42%,0.00%,0.00%,2.42%,HATM
29,14-10-2025,248,250,242,248,26.074.700,6.466.525.600,0.00%,0.81%,-2.42%,0.00%,0.81%,3.20%,HATM
30,13-10-2025,246,248,242,248,23.320.000,5.783.360.000,-0.81%,0.00%,-2.42%,0.00%,0.81%,2.42%,HATM
31,10-10-2025,246,248,242,248,21.799.000,5.406.152.000,0.00%,0.81%,-1.63%,0.81%,0.81%,3.23%,HATM
32,09-10-2025,244,248,240,246,22.462.800,5.525.848.800,0.00%,1.64%,-1.64%,0.82%,1.64%,4.03%,HATM
33,08-10-2025,252,252,238,244,32.990.800,8.049.755.200,0.00%,0.00%,-5.56%,-3.17%,0.00%,3.17%,HATM
34,07-10-2025,248,258,244,252,27.600.700,6.955.376.400,0.00%,4.03%,-1.61%,1.61%,4.03%,6.98%,HATM
35,06-10-2025,248,248,240,248,24.585.000,6.097.080.000,0.00%,0.00%,-3.23%,0.00%,0.00%,1.61%,HATM
36,03-10-2025,248,250,244,248,23.799.000,5.902.152.000,0.00%,0.81%,-1.61%,0.00%,0.81%,2.40%,HATM
37,02-10-2025,244,254,244,248,26.032.700,6.456.109.600,0.00%,4.10%,0.00%,1.64%,4.10%,7.09%,HATM
38,01-10-2025,238,244,236,244,24.008.400,5.858.049.600,0.00%,2.52%,-0.84%,2.52%,2.52%,2.46%,HATM
39,30-09-2025,242,242,238,238,23.711.600,5.643.360.800,0.00%,0.00%,-1.65%,-1.65%,0.00%,0.83%,HATM
40,29-09-2025,242,244,240,242,24.219.500,5.861.119.000,0.00%,0.83%,-0.83%,0.00%,0.83%,3.28%,HATM
41,26-09-2025,242,242,236,242,25.906.800,6.269.445.600,0.00%,0.00%,-2.48%,0.00%,0.00%,0.83%,HATM
42,25-09-2025,244,244,240,242,28.406.600,6.874.397.200,0.00%,0.00%,-1.64%,-0.82%,0.00%,0.82%,HATM
43,24-09-2025,248,248,242,244,23.308.700,5.687.322.800,0.00%,0.00%,-2.42%,-1.61%,0.00%,2.42%,HATM
44,23-09-2025,244,248,242,248,22.394.300,5.553.786.400,-0.81%,0.81%,-1.63%,0.81%,1.64%,1.61%,HATM
45,22-09-2025,248,248,244,246,23.797.200,5.854.111.200,0.00%,0.00%,-1.61%,-0.81%,0.00%,0.81%,HATM
46,19-09-2025,250,250,246,248,23.699.600,5.877.500.800,0.00%,0.00%,-1.60%,-0.80%,0.00%,0.80%,HATM
47,18-09-2025,250,252,248,250,21.242.500,5.310.625.000,0.00%,0.80%,-0.80%,0.00%,0.80%,2.38%,HATM
48,17-09-2025,250,252,246,250,24.962.800,6.240.700.000,0.00%,0.80%,-1.60%,0.00%,0.80%,0.79%,HATM
49,16-09-2025,256,256,250,250,22.951.200,5.737.800.000,0.00%,0.00%,-2.34%,-2.34%,0.00%,1.56%,HATM
50,15-09-2025,256,256,252,256,25.668.900,6.571.238.400,0.00%,0.00%,-1.56%,0.00%,0.00%,1.56%,HATM
51,12-09-2025,256,256,252,256,30.734.900,7.868.134.400,0.79%,0.79%,-0.79%,0.79%,0.00%,2.34%,HATM
52,11-09-2025,252,258,250,254,28.740.000,7.299.960.000,0.80%,3.20%,0.00%,1.60%,2.38%,4.65%,HATM
53,10-09-2025,250,250,246,250,22.975.500,5.743.875.000,0.81%,0.81%,-0.81%,0.81%,0.00%,1.60%,HATM
54,09-09-2025,252,252,246,248,24.816.200,6.154.417.600,0.80%,0.80%,-1.60%,-0.80%,0.00%,0.79%,HATM
55,08-09-2025,254,254,250,250,25.922.600,6.480.650.000,1.60%,1.60%,0.00%,0.00%,0.00%,1.57%,HATM
56,04-09-2025,258,258,250,250,23.753.900,5.938.475.000,0.00%,0.00%,-3.10%,-3.10%,0.00%,2.33%,HATM
57,03-09-2025,258,258,252,258,22.161.500,5.717.667.000,0.00%,0.00%,-2.33%,0.00%,0.00%,2.33%,HATM
58,02-09-2025,256,258,252,258,26.371.000,6.803.718.000,-0.78%,0.00%,-2.33%,0.00%,0.78%,4.65%,HATM
59,01-09-2025,256,258,246,258,19.434.500,5.014.101.000,-0.78%,0.00%,-4.65%,0.00%,0.78%,0.00%,HATM
60,29-08-2025,264,264,258,258,26.621.800,6.868.424.400,0.00%,0.00%,-2.27%,-2.27%,0.00%,0.76%,HATM
61,28-08-2025,266,266,262,264,22.924.400,6.052.041.600,0.00%,0.00%,-1.50%,-0.75%,0.00%,1.50%,HATM
62,27-08-2025,266,266,262,266,23.443.900,6.236.077.400,0.00%,0.00%,-1.50%,0.00%,0.00%,1.50%,HATM
63,26-08-2025,266,266,262,266,28.252.700,7.515.218.200,0.00%,0.00%,-1.50%,0.00%,0.00%,1.50%,HATM
64,25-08-2025,266,268,262,266,27.468.500,7.306.621.000,0.00%,0.75%,-1.50%,0.00%,0.75%,1.49%,HATM
65,22-08-2025,266,268,264,266,23.270.100,6.189.846.600,0.00%,0.75%,-0.75%,0.00%,0.75%,2.24%,HATM
66,21-08-2025,264,268,262,266,26.231.400,6.977.552.400,0.00%,1.52%,-0.76%,0.76%,1.52%,2.24%,HATM
67,20-08-2025,266,266,262,264,27.568.600,7.278.110.400,0.00%,0.00%,-1.50%,-0.75%,0.00%,2.26%,HATM
68,19-08-2025,266,268,260,266,27.551.400,7.328.672.400,0.00%,0.75%,-2.26%,0.00%,0.75%,1.49%,HATM
69,15-08-2025,266,268,264,266,17.565.200,4.672.343.200,0.00%,0.75%,-0.75%,0.00%,0.75%,1.49%,HATM
70,14-08-2025,264,268,264,266,30.358.900,8.075.467.400,-0.75%,0.75%,-0.75%,0.00%,1.52%,0.75%,HATM
71,13-08-2025,270,272,266,266,27.082.900,7.204.051.400,-0.74%,0.00%,-2.21%,-2.21%,0.74%,2.94%,HATM
72,12-08-2025,272,272,264,272,31.618.700,8.600.286.400,0.00%,0.00%,-2.94%,0.00%,0.00%,3.68%,HATM
73,11-08-2025,266,272,262,272,36.785.000,10.005.520.000,-0.75%,1.49%,-2.24%,1.49%,2.26%,4.41%,HATM
74,08-08-2025,266,268,260,268,28.195.500,7.556.394.000,0.00%,0.75%,-2.26%,0.75%,0.75%,2.99%,HATM
75,07-08-2025,264,266,260,266,27.888.800,7.418.420.800,0.00%,0.76%,-1.52%,0.76%,0.76%,2.26%,HATM
