col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HDFA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HDFA
1,21-11-2025,170,171,166,167,275.400,45.991.800,0.00%,0.59%,-2.35%,-1.76%,0.59%,4.68%,HDFA
2,20-11-2025,163,171,163,170,140.200,23.834.000,-2.98%,1.79%,-2.98%,1.19%,4.91%,5.26%,HDFA
3,19-11-2025,172,173,162,168,446.000,74.928.000,2.38%,2.98%,-3.57%,0.00%,0.58%,5.20%,HDFA
4,18-11-2025,165,173,164,168,541.700,91.005.600,0.61%,5.49%,0.00%,2.44%,4.85%,9.25%,HDFA
5,17-11-2025,163,182,157,164,4.292.200,703.920.800,0.00%,11.66%,-3.68%,0.61%,11.66%,12.09%,HDFA
6,14-11-2025,170,170,160,163,555.900,90.611.700,0.00%,0.00%,-5.88%,-4.12%,0.00%,2.94%,HDFA
7,13-11-2025,169,172,165,170,462.400,78.608.000,0.60%,2.38%,-1.79%,1.19%,1.78%,2.91%,HDFA
8,12-11-2025,171,184,167,168,1.251.400,210.235.200,0.59%,8.24%,-1.76%,-1.18%,7.60%,9.78%,HDFA
9,11-11-2025,179,182,166,170,5.137.300,873.341.000,0.00%,1.68%,-7.26%,-5.03%,1.68%,6.59%,HDFA
10,10-11-2025,193,193,170,179,12.127.300,2.170.786.700,0.00%,0.00%,-11.92%,-7.25%,0.00%,17.10%,HDFA
11,07-11-2025,160,206,160,193,34.036.900,6.569.121.700,4.58%,34.64%,4.58%,26.14%,28.75%,31.07%,HDFA
12,06-11-2025,146,161,142,153,2.746.000,420.138.000,0.00%,10.27%,-2.74%,4.79%,10.27%,11.80%,HDFA
13,05-11-2025,163,184,142,146,8.581.500,1.252.899.000,7.95%,21.85%,-5.96%,-3.31%,12.88%,21.20%,HDFA
14,04-11-2025,152,198,145,151,19.601.000,2.959.751.000,0.00%,30.26%,-4.61%,-0.66%,30.26%,26.77%,HDFA
15,03-11-2025,153,153,145,152,443.600,67.427.200,-1.92%,-1.92%,-7.05%,-2.56%,0.00%,0.00%,HDFA
16,31-10-2025,155,156,153,156,127.500,19.890.000,-0.64%,0.00%,-1.92%,0.00%,0.65%,1.92%,HDFA
17,30-10-2025,157,157,153,156,213.400,33.290.400,0.00%,0.00%,-2.55%,-0.64%,0.00%,1.91%,HDFA
18,29-10-2025,161,163,154,157,62.500,9.812.500,-1.23%,0.00%,-5.52%,-3.68%,1.24%,4.91%,HDFA
19,28-10-2025,167,171,155,163,451.500,73.594.500,0.00%,2.40%,-7.19%,-2.40%,2.40%,6.43%,HDFA
20,27-10-2025,168,169,160,167,204.600,34.168.200,3.07%,3.68%,-1.84%,2.45%,0.60%,7.69%,HDFA
21,24-10-2025,158,165,156,163,867.400,141.386.200,1.28%,5.77%,0.00%,4.49%,4.43%,5.45%,HDFA
22,23-10-2025,160,162,156,156,74.700,11.653.200,0.00%,1.25%,-2.50%,-2.50%,1.25%,3.70%,HDFA
23,22-10-2025,156,175,156,160,190.200,30.432.000,-2.50%,9.38%,-2.50%,0.00%,12.18%,10.86%,HDFA
24,21-10-2025,156,163,156,160,141.500,22.640.000,0.00%,4.49%,0.00%,2.56%,4.49%,6.13%,HDFA
25,20-10-2025,153,165,153,156,266.000,41.496.000,-1.29%,6.45%,-1.29%,0.65%,7.84%,8.48%,HDFA
26,17-10-2025,156,157,151,155,290.500,45.027.500,0.65%,1.29%,-2.58%,0.00%,0.64%,8.28%,HDFA
27,16-10-2025,144,180,144,155,4.361.200,675.986.000,0.00%,25.00%,0.00%,7.64%,25.00%,20.00%,HDFA
28,15-10-2025,145,146,144,144,35.500,5.112.000,0.00%,0.69%,-0.69%,-0.69%,0.69%,2.05%,HDFA
29,14-10-2025,146,150,143,145,203.000,29.435.000,0.00%,2.74%,-2.05%,-0.68%,2.74%,3.33%,HDFA
30,13-10-2025,148,148,145,146,143.300,20.921.800,0.00%,0.00%,-2.03%,-1.35%,0.00%,2.03%,HDFA
31,10-10-2025,149,149,145,148,38.500,5.698.000,0.00%,0.00%,-2.68%,-0.67%,0.00%,2.68%,HDFA
32,09-10-2025,145,151,145,149,145.700,21.709.300,-2.03%,2.03%,-2.03%,0.68%,4.14%,5.30%,HDFA
33,08-10-2025,149,150,143,148,739.900,109.505.200,-1.32%,-0.66%,-5.30%,-1.99%,0.67%,5.33%,HDFA
34,07-10-2025,152,152,142,151,274.200,41.404.200,0.00%,0.00%,-6.58%,-0.66%,0.00%,2.63%,HDFA
35,06-10-2025,152,152,148,152,188.500,28.652.000,0.00%,0.00%,-2.63%,0.00%,0.00%,3.95%,HDFA
36,03-10-2025,157,157,146,152,736.200,111.902.400,3.29%,3.29%,-3.95%,0.00%,0.00%,9.55%,HDFA
37,02-10-2025,149,172,142,152,6.920.600,1.051.931.200,5.67%,21.99%,0.71%,7.80%,15.44%,18.60%,HDFA
38,01-10-2025,144,147,140,141,289.500,40.819.500,0.00%,2.08%,-2.78%,-2.08%,2.08%,3.40%,HDFA
39,30-09-2025,148,149,142,144,258.800,37.267.200,-0.67%,0.00%,-4.70%,-3.36%,0.68%,4.03%,HDFA
40,29-09-2025,153,153,143,149,397.000,59.153.000,0.00%,0.00%,-6.54%,-2.61%,0.00%,5.23%,HDFA
41,26-09-2025,151,156,145,153,311.300,47.628.900,0.67%,4.00%,-3.33%,2.00%,3.31%,7.05%,HDFA
42,25-09-2025,154,158,145,150,635.900,95.385.000,0.00%,2.60%,-5.84%,-2.60%,2.60%,5.06%,HDFA
43,24-09-2025,157,160,150,154,958.600,147.624.400,0.00%,1.91%,-4.46%,-1.91%,1.91%,3.75%,HDFA
44,23-09-2025,165,166,154,157,917.100,143.984.700,1.85%,2.47%,-4.94%,-3.09%,0.61%,9.64%,HDFA
45,22-09-2025,188,222,150,162,8.948.000,1.449.576.000,10.59%,30.59%,-11.76%,-4.71%,18.09%,44.59%,HDFA
46,19-09-2025,126,170,123,170,13.299.700,2.260.949.000,0.00%,34.92%,-2.38%,34.92%,34.92%,27.06%,HDFA
47,18-09-2025,125,126,124,126,224.700,28.312.200,-0.79%,0.00%,-1.59%,0.00%,0.80%,2.38%,HDFA
48,17-09-2025,123,135,123,126,441.000,55.566.000,0.00%,9.76%,0.00%,2.44%,9.76%,8.89%,HDFA
49,16-09-2025,127,128,123,123,82.900,10.196.700,1.60%,2.40%,-1.60%,-1.60%,0.79%,3.91%,HDFA
50,15-09-2025,124,131,123,125,974.500,121.812.500,1.64%,7.38%,0.82%,2.46%,5.65%,7.63%,HDFA
51,12-09-2025,126,127,121,122,331.400,40.430.800,4.13%,4.96%,0.00%,0.83%,0.79%,6.30%,HDFA
52,11-09-2025,119,152,119,121,1.787.100,216.239.100,-3.25%,23.58%,-3.25%,-1.63%,27.73%,22.37%,HDFA
53,10-09-2025,121,123,118,123,26.500,3.259.500,-1.63%,0.00%,-4.07%,0.00%,1.65%,2.44%,HDFA
54,09-09-2025,123,125,120,123,49.800,6.125.400,0.00%,1.63%,-2.44%,0.00%,1.63%,1.60%,HDFA
55,08-09-2025,129,129,123,123,34.500,4.243.500,3.20%,3.20%,-1.60%,-1.60%,0.00%,5.43%,HDFA
56,04-09-2025,128,129,122,125,103.100,12.887.500,2.40%,3.20%,-2.40%,0.00%,0.78%,6.98%,HDFA
57,03-09-2025,123,129,120,125,301.300,37.662.500,0.00%,4.88%,-2.44%,1.63%,4.88%,10.85%,HDFA
58,02-09-2025,117,124,115,123,283.900,34.919.700,-0.85%,5.08%,-2.54%,4.24%,5.98%,11.29%,HDFA
59,01-09-2025,116,122,110,118,93.300,11.009.400,-3.33%,1.67%,-8.33%,-1.67%,5.17%,4.92%,HDFA
60,29-08-2025,122,122,116,120,10.400,1.248.000,0.00%,0.00%,-4.92%,-1.64%,0.00%,2.46%,HDFA
61,28-08-2025,120,122,119,122,206.300,25.168.600,-0.83%,0.83%,-1.65%,0.83%,1.67%,4.10%,HDFA
62,27-08-2025,119,122,117,121,41.700,5.045.700,0.00%,2.52%,-1.68%,1.68%,2.52%,4.92%,HDFA
63,26-08-2025,121,123,116,119,78.600,9.353.400,1.68%,3.36%,-2.52%,0.00%,1.65%,5.69%,HDFA
64,25-08-2025,117,120,116,119,39.100,4.652.900,0.00%,2.56%,-0.85%,1.71%,2.56%,3.33%,HDFA
65,22-08-2025,119,119,116,117,41.000,4.797.000,1.71%,1.71%,-0.85%,0.00%,0.00%,2.52%,HDFA
66,21-08-2025,117,119,116,117,84.100,9.839.700,0.00%,1.71%,-0.85%,0.00%,1.71%,3.36%,HDFA
67,20-08-2025,117,118,115,117,95.300,11.150.100,0.86%,1.72%,-0.86%,0.86%,0.85%,5.08%,HDFA
68,19-08-2025,113,117,112,116,116.300,13.490.800,-0.88%,2.63%,-1.75%,1.75%,3.54%,3.42%,HDFA
69,15-08-2025,117,124,113,114,1.324.700,151.015.800,3.54%,9.73%,0.00%,0.88%,5.98%,8.87%,HDFA
70,14-08-2025,115,115,113,113,6.000,678.000,0.88%,0.88%,-0.88%,-0.88%,0.00%,0.87%,HDFA
71,13-08-2025,116,116,114,114,41.900,4.776.600,1.75%,1.75%,0.00%,0.00%,0.00%,3.45%,HDFA
72,12-08-2025,112,116,112,114,132.700,15.127.800,-0.88%,2.65%,-0.88%,0.88%,3.57%,3.45%,HDFA
73,11-08-2025,113,113,112,113,74.300,8.395.900,0.00%,0.00%,-0.88%,0.00%,0.00%,0.00%,HDFA
74,08-08-2025,114,114,113,113,42.100,4.757.300,0.00%,0.00%,-0.88%,-0.88%,0.00%,1.75%,HDFA
75,07-08-2025,113,116,112,114,27.700,3.157.800,0.00%,2.65%,-0.88%,0.88%,2.65%,4.31%,HDFA
76,06-08-2025,114,116,111,113,290.000,32.770.000,0.88%,2.65%,-1.77%,0.00%,1.75%,2.59%,HDFA
77,05-08-2025,114,116,113,113,186.800,21.108.400,0.00%,1.75%,-0.88%,-0.88%,1.75%,5.17%,HDFA
78,04-08-2025,114,117,110,114,244.400,27.861.600,0.00%,2.63%,-3.51%,0.00%,2.63%,2.56%,HDFA
79,01-08-2025,117,118,114,114,319.900,36.468.600,2.63%,3.51%,0.00%,0.00%,0.85%,5.93%,HDFA
