col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HEAL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HEAL
1,21-11-2025,1.430,1.450,1.420,1.445,7.245.600,10.469.892.000,-1.38%,0.00%,-2.07%,-0.34%,1.40%,1.72%,HEAL
2,20-11-2025,1.440,1.450,1.425,1.450,2.746.900,3.983.005.000,0.35%,1.05%,-0.70%,1.05%,0.69%,1.72%,HEAL
3,19-11-2025,1.435,1.455,1.425,1.435,8.918.600,12.798.191.000,-0.35%,1.04%,-1.04%,-0.35%,1.39%,2.06%,HEAL
4,18-11-2025,1.435,1.445,1.425,1.440,8.955.000,12.895.200.000,0.35%,1.05%,-0.35%,0.70%,0.70%,1.73%,HEAL
5,17-11-2025,1.435,1.440,1.420,1.430,3.657.900,5.230.797.000,1.41%,1.77%,0.35%,1.06%,0.35%,2.08%,HEAL
6,14-11-2025,1.430,1.430,1.410,1.415,2.723.600,3.853.894.000,0.70%,0.70%,-0.70%,-0.35%,0.00%,1.05%,HEAL
7,13-11-2025,1.420,1.430,1.415,1.420,3.497.600,4.966.592.000,0.35%,1.06%,0.00%,0.35%,0.70%,1.05%,HEAL
8,12-11-2025,1.420,1.435,1.415,1.415,2.290.400,3.240.916.000,-1.39%,-0.35%,-1.74%,-1.74%,1.06%,1.05%,HEAL
9,11-11-2025,1.440,1.455,1.420,1.440,7.470.900,10.758.096.000,0.00%,1.04%,-1.39%,0.00%,1.04%,1.03%,HEAL
10,10-11-2025,1.470,1.470,1.440,1.440,9.924.300,14.290.992.000,-0.68%,-0.68%,-2.70%,-2.70%,0.00%,1.36%,HEAL
11,07-11-2025,1.505,1.505,1.450,1.480,5.507.300,8.150.804.000,1.69%,1.69%,-2.03%,0.00%,0.00%,4.98%,HEAL
12,06-11-2025,1.475,1.480,1.430,1.480,13.851.800,20.500.664.000,3.51%,3.86%,0.35%,3.86%,0.34%,4.73%,HEAL
13,05-11-2025,1.515,1.515,1.410,1.425,25.209.800,35.923.965.000,0.00%,0.00%,-6.93%,-5.94%,0.00%,2.64%,HEAL
14,04-11-2025,1.505,1.515,1.475,1.515,9.089.100,13.769.986.500,0.00%,0.66%,-1.99%,0.66%,0.66%,1.32%,HEAL
15,03-11-2025,1.500,1.515,1.495,1.505,8.121.000,12.222.105.000,0.00%,1.00%,-0.33%,0.33%,1.00%,1.98%,HEAL
16,31-10-2025,1.500,1.530,1.485,1.500,15.126.400,22.689.600.000,0.67%,2.68%,-0.34%,0.67%,2.00%,2.94%,HEAL
17,30-10-2025,1.505,1.515,1.485,1.490,10.425.000,15.533.250.000,1.01%,1.68%,-0.34%,0.00%,0.66%,1.65%,HEAL
18,29-10-2025,1.505,1.515,1.490,1.490,12.241.100,18.239.239.000,0.33%,1.00%,-0.67%,-0.67%,0.66%,1.98%,HEAL
19,28-10-2025,1.515,1.525,1.485,1.500,13.326.900,19.990.350.000,1.00%,1.67%,-1.00%,0.00%,0.66%,3.93%,HEAL
20,27-10-2025,1.485,1.505,1.465,1.500,24.502.400,36.753.600.000,0.68%,2.03%,-0.68%,1.69%,1.35%,2.99%,HEAL
21,24-10-2025,1.495,1.505,1.460,1.475,36.698.300,54.129.992.500,1.36%,2.03%,-1.02%,0.00%,0.67%,2.33%,HEAL
22,23-10-2025,1.505,1.505,1.470,1.475,11.947.100,17.621.972.500,0.67%,0.67%,-1.67%,-1.34%,0.00%,1.00%,HEAL
23,22-10-2025,1.510,1.520,1.490,1.495,4.125.000,6.166.875.000,0.00%,0.66%,-1.32%,-0.99%,0.66%,1.97%,HEAL
24,21-10-2025,1.520,1.525,1.490,1.510,7.497.400,11.321.074.000,1.00%,1.33%,-1.00%,0.33%,0.33%,1.64%,HEAL
25,20-10-2025,1.535,1.560,1.500,1.505,10.633.700,16.003.718.500,0.00%,1.63%,-2.28%,-1.95%,1.63%,2.88%,HEAL
26,17-10-2025,1.570,1.570,1.515,1.535,3.127.200,4.800.252.000,1.62%,1.62%,-1.94%,-0.65%,0.00%,4.14%,HEAL
27,16-10-2025,1.555,1.565,1.505,1.545,6.198.100,9.576.064.500,2.30%,2.96%,-0.99%,1.64%,0.64%,4.15%,HEAL
28,15-10-2025,1.540,1.555,1.500,1.520,5.497.100,8.355.592.000,0.00%,0.97%,-2.60%,-1.30%,0.97%,1.61%,HEAL
29,14-10-2025,1.555,1.565,1.530,1.540,7.954.400,12.249.776.000,0.00%,0.64%,-1.61%,-0.96%,0.64%,0.96%,HEAL
30,13-10-2025,1.585,1.585,1.550,1.555,7.857.000,12.217.635.000,0.00%,0.00%,-2.21%,-1.89%,0.00%,3.15%,HEAL
31,10-10-2025,1.585,1.605,1.535,1.585,7.534.800,11.942.658.000,-0.31%,0.94%,-3.46%,-0.31%,1.26%,1.87%,HEAL
32,09-10-2025,1.605,1.610,1.575,1.590,6.934.100,11.025.219.000,0.31%,0.63%,-1.56%,-0.63%,0.31%,1.24%,HEAL
33,08-10-2025,1.600,1.615,1.590,1.600,1.865.200,2.984.320.000,0.00%,0.94%,-0.63%,0.00%,0.94%,1.24%,HEAL
34,07-10-2025,1.600,1.605,1.595,1.600,2.662.300,4.259.680.000,0.31%,0.63%,0.00%,0.31%,0.31%,0.62%,HEAL
35,06-10-2025,1.650,1.650,1.595,1.595,8.359.700,13.333.721.500,-0.60%,-0.60%,-3.92%,-3.92%,0.00%,3.03%,HEAL
36,03-10-2025,1.660,1.665,1.600,1.660,10.232.800,16.986.448.000,0.30%,0.60%,-3.32%,0.30%,0.30%,1.20%,HEAL
37,02-10-2025,1.680,1.680,1.645,1.655,4.868.300,8.057.036.500,0.00%,0.00%,-2.08%,-1.49%,0.00%,0.89%,HEAL
38,01-10-2025,1.665,1.685,1.665,1.680,3.191.300,5.361.384.000,-0.89%,0.30%,-0.89%,0.00%,1.20%,0.59%,HEAL
39,30-09-2025,1.690,1.690,1.675,1.680,3.683.000,6.187.440.000,0.30%,0.30%,-0.59%,-0.30%,0.00%,1.18%,HEAL
40,29-09-2025,1.685,1.685,1.670,1.685,2.808.700,4.732.659.500,0.60%,0.60%,-0.30%,0.60%,0.00%,3.26%,HEAL
41,26-09-2025,1.675,1.675,1.630,1.675,6.139.700,10.283.997.500,0.90%,0.90%,-1.81%,0.90%,0.00%,2.69%,HEAL
42,25-09-2025,1.680,1.680,1.630,1.660,3.368.300,5.591.378.000,2.75%,2.75%,-0.31%,1.53%,0.00%,2.68%,HEAL
43,24-09-2025,1.660,1.665,1.635,1.635,11.181.300,18.281.425.500,0.30%,0.60%,-1.21%,-1.21%,0.30%,1.20%,HEAL
44,23-09-2025,1.670,1.670,1.645,1.655,6.418.100,10.621.955.500,0.00%,0.00%,-1.50%,-0.90%,0.00%,2.40%,HEAL
45,22-09-2025,1.680,1.700,1.630,1.670,13.604.300,22.719.181.000,0.60%,1.80%,-2.40%,0.00%,1.19%,2.06%,HEAL
46,19-09-2025,1.695,1.695,1.665,1.670,11.298.800,18.868.996.000,0.59%,0.59%,-1.19%,-0.89%,0.00%,0.59%,HEAL
47,18-09-2025,1.710,1.710,1.685,1.685,5.923.400,9.980.929.000,0.88%,0.88%,-0.59%,-0.59%,0.00%,2.34%,HEAL
48,17-09-2025,1.670,1.700,1.670,1.695,18.779.000,31.830.405.000,0.00%,1.80%,0.00%,1.50%,1.80%,3.82%,HEAL
49,16-09-2025,1.690,1.690,1.635,1.670,11.577.000,19.333.590.000,0.00%,0.00%,-3.25%,-1.18%,0.00%,0.30%,HEAL
50,15-09-2025,1.740,1.750,1.685,1.690,13.915.600,23.517.364.000,0.58%,1.16%,-2.60%,-2.31%,0.57%,2.57%,HEAL
51,12-09-2025,1.725,1.740,1.705,1.730,10.795.900,18.676.907.000,0.58%,1.46%,-0.58%,0.87%,0.87%,1.72%,HEAL
52,11-09-2025,1.715,1.725,1.710,1.715,8.424.300,14.447.674.500,0.59%,1.17%,0.29%,0.59%,0.58%,1.74%,HEAL
53,10-09-2025,1.735,1.735,1.695,1.705,3.064.000,5.224.120.000,2.36%,2.36%,0.00%,0.59%,0.00%,4.61%,HEAL
54,09-09-2025,1.675,1.705,1.655,1.695,10.423.800,17.668.341.000,0.00%,1.79%,-1.19%,1.19%,1.79%,2.93%,HEAL
55,08-09-2025,1.655,1.690,1.655,1.675,5.533.600,9.268.780.000,1.22%,3.36%,1.22%,2.45%,2.11%,4.73%,HEAL
56,04-09-2025,1.620,1.645,1.610,1.635,8.330.300,13.620.040.500,0.93%,2.49%,0.31%,1.87%,1.54%,3.95%,HEAL
57,03-09-2025,1.580,1.620,1.580,1.605,6.984.800,11.210.604.000,0.00%,2.53%,0.00%,1.58%,2.53%,3.70%,HEAL
58,02-09-2025,1.600,1.620,1.560,1.580,10.343.800,16.343.204.000,0.00%,1.25%,-2.50%,-1.25%,1.25%,1.23%,HEAL
59,01-09-2025,1.650,1.650,1.600,1.600,11.026.000,17.641.600.000,-0.30%,-0.30%,-3.32%,-3.32%,0.00%,1.21%,HEAL
60,29-08-2025,1.695,1.695,1.630,1.655,6.287.500,10.405.812.500,1.19%,1.19%,-2.69%,-1.19%,0.00%,1.47%,HEAL
61,28-08-2025,1.700,1.715,1.670,1.675,8.887.200,14.886.060.000,1.49%,2.39%,-0.30%,0.00%,0.88%,2.33%,HEAL
62,27-08-2025,1.730,1.730,1.675,1.675,5.704.300,9.554.702.500,-0.29%,-0.29%,-3.46%,-3.46%,0.00%,4.05%,HEAL
63,26-08-2025,1.665,1.735,1.660,1.735,27.294.700,47.356.304.500,0.00%,4.20%,-0.30%,4.20%,4.20%,4.32%,HEAL
64,25-08-2025,1.675,1.725,1.660,1.665,9.731.800,16.203.447.000,-0.30%,2.68%,-1.19%,-0.89%,2.99%,2.61%,HEAL
65,22-08-2025,1.745,1.750,1.680,1.680,25.675.900,43.135.512.000,0.00%,0.29%,-3.72%,-3.72%,0.29%,0.57%,HEAL
66,21-08-2025,1.750,1.770,1.740,1.745,5.165.700,9.014.146.500,0.00%,1.14%,-0.57%,-0.29%,1.14%,1.13%,HEAL
67,20-08-2025,1.750,1.775,1.750,1.750,6.946.500,12.156.375.000,-0.57%,0.85%,-0.57%,-0.57%,1.43%,2.82%,HEAL
68,19-08-2025,1.725,1.775,1.725,1.760,17.955.900,31.602.384.000,0.00%,2.90%,0.00%,2.03%,2.90%,6.48%,HEAL
69,15-08-2025,1.660,1.755,1.660,1.725,29.285.000,50.516.625.000,0.00%,5.72%,0.00%,3.92%,5.72%,5.41%,HEAL
70,14-08-2025,1.660,1.675,1.660,1.660,6.723.200,11.160.512.000,0.61%,1.52%,0.61%,0.61%,0.90%,1.49%,HEAL
71,13-08-2025,1.660,1.675,1.650,1.650,6.685.500,11.031.075.000,0.61%,1.52%,0.00%,0.00%,0.90%,2.39%,HEAL
72,12-08-2025,1.655,1.660,1.635,1.650,6.892.700,11.372.955.000,0.30%,0.61%,-0.91%,0.00%,0.30%,0.90%,HEAL
73,11-08-2025,1.650,1.675,1.645,1.650,9.808.300,16.183.695.000,0.30%,1.82%,0.00%,0.30%,1.52%,2.99%,HEAL
74,08-08-2025,1.670,1.670,1.625,1.645,7.786.000,12.807.970.000,0.30%,0.30%,-2.40%,-1.20%,0.00%,2.40%,HEAL
75,07-08-2025,1.655,1.685,1.630,1.665,10.382.500,17.286.862.500,0.00%,1.81%,-1.51%,0.60%,1.81%,5.34%,HEAL
76,06-08-2025,1.670,1.695,1.595,1.655,33.384.800,55.251.844.000,0.00%,1.50%,-4.49%,-0.90%,1.50%,5.90%,HEAL
77,05-08-2025,1.620,1.675,1.595,1.670,24.731.900,41.302.273.000,0.00%,3.40%,-1.54%,3.09%,3.40%,8.36%,HEAL
78,04-08-2025,1.540,1.670,1.535,1.620,54.774.800,88.735.176.000,0.33%,8.79%,0.00%,5.54%,8.44%,8.08%,HEAL
79,01-08-2025,1.575,1.585,1.535,1.535,10.287.000,15.790.545.000,-0.32%,0.32%,-2.85%,-2.85%,0.63%,1.58%,HEAL
80,31-07-2025,1.595,1.630,1.560,1.580,13.022.300,20.575.234.000,0.63%,2.84%,-1.58%,-0.32%,2.19%,3.99%,HEAL
81,30-07-2025,1.580,1.595,1.565,1.585,6.020.800,9.542.968.000,0.96%,1.92%,0.00%,1.28%,0.95%,4.39%,HEAL
82,29-07-2025,1.530,1.570,1.525,1.565,19.498.800,30.515.622.000,-0.65%,1.95%,-0.97%,1.62%,2.61%,2.87%,HEAL
83,28-07-2025,1.530,1.560,1.525,1.540,3.115.600,4.798.024.000,-0.65%,1.30%,-0.97%,0.00%,1.96%,2.56%,HEAL
84,25-07-2025,1.555,1.580,1.520,1.540,8.273.300,12.740.882.000,-0.32%,1.28%,-2.56%,-1.28%,1.61%,4.75%,HEAL
85,24-07-2025,1.625,1.625,1.505,1.560,40.093.900,62.546.484.000,-1.22%,-1.22%,-8.51%,-5.17%,0.00%,0.31%,HEAL
86,23-07-2025,1.680,1.685,1.620,1.645,46.863.800,77.090.951.000,0.00%,0.30%,-3.57%,-2.08%,0.30%,1.19%,HEAL
87,22-07-2025,1.670,1.695,1.665,1.680,24.706.500,41.506.920.000,0.60%,2.11%,0.30%,1.20%,1.50%,2.65%,HEAL
88,21-07-2025,1.665,1.675,1.650,1.660,17.192.200,28.539.052.000,0.00%,0.60%,-0.90%,-0.30%,0.60%,2.99%,HEAL
89,18-07-2025,1.625,1.725,1.625,1.665,49.267.000,82.029.555.000,0.93%,7.14%,0.93%,3.42%,6.15%,9.86%,HEAL
90,17-07-2025,1.555,1.620,1.555,1.610,24.405.900,39.293.499.000,0.00%,4.18%,0.00%,3.54%,4.18%,4.32%,HEAL
91,16-07-2025,1.555,1.575,1.550,1.555,18.313.200,28.477.026.000,0.32%,1.61%,0.00%,0.32%,1.29%,1.59%,HEAL
92,15-07-2025,1.555,1.565,1.550,1.550,22.480.100,34.844.155.000,1.30%,1.95%,0.98%,0.98%,0.64%,2.56%,HEAL
93,14-07-2025,1.530,1.555,1.525,1.535,19.537.200,29.989.602.000,2.34%,4.01%,2.01%,2.68%,1.63%,3.86%,HEAL
94,11-07-2025,1.505,1.510,1.495,1.495,11.317.900,16.920.260.500,0.33%,0.67%,-0.33%,-0.33%,0.33%,0.66%,HEAL
95,10-07-2025,1.510,1.520,1.500,1.500,8.364.200,12.546.300.000,0.00%,0.66%,-0.66%,-0.66%,0.66%,2.30%,HEAL
96,09-07-2025,1.485,1.565,1.485,1.510,17.211.300,25.989.063.000,0.68%,6.10%,0.68%,2.37%,5.39%,6.39%,HEAL
97,08-07-2025,1.480,1.490,1.465,1.475,13.197.800,19.466.755.000,1.02%,1.71%,0.00%,0.68%,0.68%,2.01%,HEAL
98,07-07-2025,1.480,1.495,1.460,1.465,12.609.200,18.472.478.000,0.00%,1.01%,-1.35%,-1.01%,1.01%,1.67%,HEAL
99,04-07-2025,1.480,1.485,1.470,1.480,11.161.600,16.519.168.000,1.72%,2.06%,1.03%,1.72%,0.34%,2.02%,HEAL
100,03-07-2025,1.475,1.485,1.455,1.455,15.323.100,22.295.110.500,0.68%,1.37%,-0.68%,-0.68%,0.68%,3.03%,HEAL
101,02-07-2025,1.440,1.480,1.440,1.465,45.543.800,66.721.667.000,1.77%,4.59%,1.77%,3.53%,2.78%,4.73%,HEAL
102,01-07-2025,1.430,1.435,1.410,1.415,14.988.200,21.208.303.000,1.06%,1.41%,-0.35%,0.00%,0.35%,2.09%,HEAL
103,30-06-2025,1.425,1.440,1.405,1.415,12.234.600,17.311.959.000,0.35%,1.41%,-1.06%,-0.35%,1.05%,2.78%,HEAL
104,26-06-2025,1.450,1.460,1.400,1.420,18.736.900,26.606.398.000,5.45%,6.18%,1.82%,3.27%,0.69%,5.82%,HEAL
105,25-06-2025,1.435,1.500,1.375,1.375,50.745.100,69.774.512.500,3.99%,8.70%,-0.36%,-0.36%,4.53%,8.33%,HEAL
106,24-06-2025,1.380,1.400,1.375,1.380,5.877.700,8.111.226.000,1.47%,2.94%,1.10%,1.47%,1.45%,3.21%,HEAL
107,23-06-2025,1.365,1.370,1.355,1.360,8.714.000,11.851.040.000,0.37%,0.74%,-0.37%,0.00%,0.37%,0.73%,HEAL
108,20-06-2025,1.390,1.405,1.360,1.360,35.023.700,47.632.232.000,0.72%,1.81%,-1.45%,-1.45%,1.08%,1.78%,HEAL
109,19-06-2025,1.405,1.410,1.380,1.380,8.612.800,11.885.664.000,-0.35%,0.00%,-2.13%,-2.13%,0.36%,1.42%,HEAL
110,18-06-2025,1.400,1.415,1.390,1.410,4.761.900,6.714.279.000,0.36%,1.43%,-0.36%,1.08%,1.07%,1.77%,HEAL
111,17-06-2025,1.400,1.430,1.390,1.395,9.173.400,12.796.893.000,0.36%,2.51%,-0.36%,0.00%,2.14%,2.45%,HEAL
112,16-06-2025,1.400,1.415,1.395,1.395,5.210.200,7.268.229.000,1.45%,2.54%,1.09%,1.09%,1.07%,2.83%,HEAL
113,13-06-2025,1.400,1.415,1.375,1.380,8.121.400,11.207.532.000,1.08%,2.17%,-0.72%,-0.36%,1.07%,2.47%,HEAL
114,12-06-2025,1.440,1.440,1.380,1.385,14.524.100,20.115.878.500,0.35%,0.35%,-3.83%,-3.48%,0.00%,2.43%,HEAL
115,11-06-2025,1.410,1.435,1.405,1.435,3.592.400,5.155.094.000,0.36%,2.14%,0.00%,2.14%,1.77%,8.36%,HEAL
116,10-06-2025,1.475,1.480,1.315,1.405,20.300.700,28.522.483.500,0.34%,0.68%,-10.54%,-4.42%,0.34%,3.04%,HEAL
117,05-06-2025,1.500,1.500,1.435,1.470,22.708.000,33.380.760.000,0.33%,0.33%,-4.01%,-1.67%,0.00%,3.00%,HEAL
118,04-06-2025,1.465,1.500,1.455,1.495,21.963.400,32.835.283.000,-0.34%,2.04%,-1.02%,1.70%,2.39%,4.33%,HEAL
119,03-06-2025,1.440,1.470,1.435,1.470,10.326.600,15.180.102.000,0.35%,2.44%,0.00%,2.44%,2.08%,3.06%,HEAL
120,02-06-2025,1.500,1.500,1.425,1.435,9.392.700,13.478.524.500,-2.60%,-2.60%,-7.47%,-6.82%,0.00%,4.33%,HEAL
121,28-05-2025,1.435,1.540,1.435,1.540,26.034.900,40.093.746.000,0.70%,8.07%,0.70%,8.07%,7.32%,7.47%,HEAL
122,27-05-2025,1.440,1.450,1.425,1.425,7.700.000,10.972.500.000,0.00%,0.69%,-1.04%,-1.04%,0.69%,1.72%,HEAL
123,26-05-2025,1.450,1.460,1.425,1.440,9.102.100,13.107.024.000,0.35%,1.04%,-1.38%,-0.35%,0.69%,1.71%,HEAL
124,23-05-2025,1.445,1.455,1.435,1.450,11.326.500,16.423.425.000,0.70%,1.39%,0.00%,1.05%,0.69%,2.41%,HEAL
125,22-05-2025,1.430,1.450,1.420,1.435,19.052.200,27.339.907.000,0.00%,1.40%,-0.70%,0.35%,1.40%,4.14%,HEAL
126,21-05-2025,1.390,1.425,1.390,1.425,6.249.300,8.905.252.500,0.36%,2.89%,0.36%,2.89%,2.52%,3.16%,HEAL
127,20-05-2025,1.385,1.405,1.380,1.385,7.693.100,10.654.943.500,0.73%,2.18%,0.36%,0.73%,1.44%,5.34%,HEAL
128,19-05-2025,1.355,1.375,1.330,1.375,20.383.400,28.027.175.000,0.37%,1.85%,-1.48%,1.85%,1.48%,5.45%,HEAL
129,16-05-2025,1.300,1.365,1.300,1.350,9.634.500,13.006.575.000,0.00%,5.00%,0.00%,3.85%,5.00%,4.76%,HEAL
130,15-05-2025,1.305,1.315,1.300,1.300,5.350.400,6.955.520.000,0.38%,1.15%,0.00%,0.00%,0.77%,1.14%,HEAL
131,14-05-2025,1.325,1.340,1.300,1.300,11.373.800,14.785.940.000,-1.12%,0.00%,-2.99%,-2.99%,1.13%,5.97%,HEAL
132,09-05-2025,1.260,1.340,1.260,1.340,16.557.200,22.186.648.000,0.40%,6.77%,0.40%,6.77%,6.35%,8.21%,HEAL
133,08-05-2025,1.235,1.270,1.230,1.255,14.637.700,18.370.313.500,0.00%,2.83%,-0.40%,1.62%,2.83%,3.15%,HEAL
134,07-05-2025,1.230,1.255,1.230,1.235,11.451.000,14.141.985.000,0.41%,2.45%,0.41%,0.82%,2.03%,3.59%,HEAL
135,06-05-2025,1.265,1.265,1.210,1.225,22.227.400,27.228.565.000,0.00%,0.00%,-4.35%,-3.16%,0.00%,1.98%,HEAL
136,05-05-2025,1.280,1.295,1.240,1.265,28.102.400,35.549.536.000,-0.39%,0.78%,-3.50%,-1.56%,1.17%,13.90%,HEAL
137,02-05-2025,1.135,1.290,1.115,1.285,94.402.100,121.306.698.500,0.44%,14.16%,-1.33%,13.72%,13.66%,15.89%,HEAL
138,30-04-2025,1.090,1.130,1.085,1.130,28.614.400,32.334.272.000,0.46%,4.15%,0.00%,4.15%,3.67%,6.64%,HEAL
139,29-04-2025,1.055,1.090,1.055,1.085,9.593.200,10.408.622.000,0.00%,3.32%,0.00%,2.84%,3.32%,4.13%,HEAL
140,28-04-2025,1.060,1.075,1.045,1.055,4.354.800,4.594.314.000,0.47%,1.90%,-0.95%,0.00%,1.42%,3.72%,HEAL
141,25-04-2025,1.045,1.060,1.035,1.055,4.423.100,4.666.370.500,0.00%,1.44%,-0.96%,0.96%,1.44%,1.89%,HEAL
142,24-04-2025,1.055,1.085,1.040,1.045,11.935.400,12.472.493.000,0.96%,3.83%,-0.48%,0.00%,2.84%,5.07%,HEAL
143,23-04-2025,1.040,1.055,1.030,1.045,10.721.800,11.204.281.000,0.48%,1.93%,-0.48%,0.97%,1.44%,4.27%,HEAL
144,22-04-2025,1.025,1.045,1.010,1.035,8.251.800,8.540.613.000,0.00%,1.95%,-1.46%,0.98%,1.95%,3.35%,HEAL
145,21-04-2025,1.030,1.035,1.010,1.025,5.386.400,5.521.060.000,0.98%,1.47%,-0.98%,0.49%,0.49%,2.42%,HEAL
146,17-04-2025,1.015,1.025,1.010,1.020,7.193.500,7.337.370.000,0.50%,1.49%,0.00%,0.99%,0.99%,2.44%,HEAL
147,16-04-2025,1.030,1.045,1.000,1.010,11.338.400,11.451.784.000,-0.48%,0.97%,-3.38%,-2.42%,1.46%,3.35%,HEAL
148,15-04-2025,1.025,1.060,1.010,1.035,17.372.700,17.980.744.500,0.49%,3.92%,-0.98%,1.47%,3.41%,7.08%,HEAL
149,14-04-2025,990,1.030,985,1.020,9.454.500,9.643.590.000,0.51%,4.57%,0.00%,3.55%,4.04%,6.31%,HEAL
150,11-04-2025,1.015,1.025,965,985,13.808.200,13.601.077.000,0.00%,0.99%,-4.93%,-2.96%,0.99%,2.93%,HEAL
151,10-04-2025,1.010,1.025,995,1.015,14.976.100,15.200.741.500,2.02%,3.54%,0.51%,2.53%,1.49%,8.78%,HEAL
152,09-04-2025,995,995,935,990,21.029.900,20.819.601.000,-0.50%,-0.50%,-6.50%,-1.00%,0.00%,7.54%,HEAL
153,08-04-2025,990,1.000,920,1.000,30.412.900,30.412.900.000,-6.60%,-5.66%,-13.21%,-5.66%,1.01%,-6.00%,HEAL
154,27-03-2025,1.090,1.100,1.060,1.060,15.335.800,16.255.948.000,0.93%,1.85%,-1.85%,-1.85%,0.92%,5.00%,HEAL
155,26-03-2025,1.045,1.110,1.045,1.080,14.456.600,15.613.128.000,0.00%,6.22%,0.00%,3.35%,6.22%,8.56%,HEAL
156,25-03-2025,1.015,1.090,1.015,1.045,30.359.900,31.726.095.500,0.00%,7.39%,0.00%,2.96%,7.39%,10.09%,HEAL
157,24-03-2025,1.065,1.100,980,1.015,30.384.900,30.840.673.500,0.95%,4.27%,-7.11%,-3.79%,3.29%,5.91%,HEAL
158,21-03-2025,1.155,1.160,1.035,1.055,241.777.500,255.075.262.500,2.67%,3.11%,-8.00%,-6.22%,0.43%,4.31%,HEAL
159,20-03-2025,1.200,1.255,1.110,1.125,40.739.400,45.831.825.000,0.00%,4.58%,-7.50%,-6.25%,4.58%,5.58%,HEAL
160,19-03-2025,1.215,1.225,1.185,1.200,16.619.800,19.943.760.000,-0.41%,0.41%,-2.87%,-1.64%,0.82%,2.04%,HEAL
161,18-03-2025,1.305,1.305,1.200,1.220,44.747.100,54.591.462.000,1.56%,1.56%,-6.61%,-5.06%,0.00%,2.30%,HEAL
162,17-03-2025,1.305,1.320,1.275,1.285,14.676.000,18.858.660.000,1.56%,2.72%,-0.78%,0.00%,1.15%,3.41%,HEAL
163,14-03-2025,1.310,1.315,1.275,1.285,5.370.600,6.901.221.000,0.77%,1.15%,-1.92%,-1.15%,0.38%,1.90%,HEAL
164,13-03-2025,1.295,1.375,1.290,1.300,19.924.300,25.901.590.000,0.39%,6.59%,0.00%,0.78%,6.18%,6.91%,HEAL
165,12-03-2025,1.300,1.395,1.280,1.290,30.866.600,39.817.914.000,0.78%,8.14%,-0.78%,0.00%,7.31%,8.24%,HEAL
166,11-03-2025,1.335,1.335,1.280,1.290,11.677.000,15.063.330.000,0.00%,0.00%,-4.12%,-3.37%,0.00%,1.50%,HEAL
167,10-03-2025,1.340,1.395,1.315,1.335,17.981.500,24.005.302.500,1.13%,5.28%,-0.75%,0.75%,4.10%,5.38%,HEAL
168,07-03-2025,1.345,1.345,1.320,1.325,11.537.200,15.286.790.000,1.51%,1.51%,-0.38%,0.00%,0.00%,3.35%,HEAL
169,06-03-2025,1.300,1.385,1.300,1.325,30.136.400,39.930.730.000,0.39%,6.95%,0.39%,2.32%,6.54%,7.94%,HEAL
170,05-03-2025,1.315,1.395,1.275,1.295,45.488.000,58.906.960.000,-0.38%,5.68%,-3.41%,-1.89%,6.08%,7.89%,HEAL
171,04-03-2025,1.330,1.385,1.285,1.320,36.145.900,47.712.588.000,0.00%,4.14%,-3.38%,-0.75%,4.14%,3.97%,HEAL
172,03-03-2025,1.365,1.395,1.330,1.330,51.974.100,69.125.553.000,0.00%,2.20%,-2.56%,-2.56%,2.20%,2.87%,HEAL
173,28-02-2025,1.385,1.395,1.355,1.365,36.219.800,49.440.027.000,0.36%,1.09%,-1.81%,-1.09%,0.72%,1.08%,HEAL
174,27-02-2025,1.390,1.405,1.380,1.380,14.659.900,20.230.662.000,0.00%,1.08%,-0.72%,-0.72%,1.08%,1.07%,HEAL
175,26-02-2025,1.415,1.435,1.390,1.390,19.279.500,26.798.505.000,0.00%,1.41%,-1.77%,-1.77%,1.41%,2.09%,HEAL
176,25-02-2025,1.445,1.455,1.405,1.415,12.562.500,17.775.937.500,1.05%,1.75%,-1.75%,-1.05%,0.69%,3.44%,HEAL
177,24-02-2025,1.415,1.435,1.405,1.430,21.158.800,30.257.084.000,1.07%,2.50%,0.36%,2.14%,1.41%,3.14%,HEAL
178,21-02-2025,1.405,1.410,1.390,1.400,18.072.600,25.301.640.000,0.00%,0.36%,-1.07%,-0.36%,0.36%,0.71%,HEAL
179,20-02-2025,1.400,1.440,1.400,1.405,11.369.600,15.974.288.000,0.00%,2.86%,0.00%,0.36%,2.86%,4.51%,HEAL
180,19-02-2025,1.400,1.410,1.375,1.400,19.503.700,27.305.180.000,1.08%,1.81%,-0.72%,1.08%,0.71%,6.74%,HEAL
