col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HELI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HELI
1,21-11-2025,248,248,240,244,744.300,181.609.200,0.81%,0.81%,-2.44%,-0.81%,0.00%,1.61%,HELI
2,20-11-2025,244,248,244,246,91.800,22.582.800,-0.81%,0.81%,-0.81%,0.00%,1.64%,1.61%,HELI
3,19-11-2025,246,248,244,246,188.700,46.420.200,0.82%,1.64%,0.00%,0.82%,0.81%,1.61%,HELI
4,18-11-2025,250,250,244,244,158.500,38.674.000,0.00%,0.00%,-2.40%,-2.40%,0.00%,2.40%,HELI
5,17-11-2025,248,252,244,250,224.800,56.200.000,0.00%,1.61%,-1.61%,0.81%,1.61%,3.97%,HELI
6,14-11-2025,250,252,242,248,286.600,71.076.800,0.00%,0.80%,-3.20%,-0.80%,0.80%,1.59%,HELI
7,13-11-2025,252,254,248,250,413.700,103.425.000,0.00%,0.79%,-1.59%,-0.79%,0.79%,3.15%,HELI
8,12-11-2025,248,252,246,252,932.800,235.065.600,0.00%,1.61%,-0.81%,1.61%,1.61%,4.76%,HELI
9,11-11-2025,246,248,240,248,336.400,83.427.200,0.00%,0.81%,-2.44%,0.81%,0.81%,2.42%,HELI
10,10-11-2025,244,248,242,246,191.400,47.084.400,0.83%,2.48%,0.00%,1.65%,1.64%,2.42%,HELI
11,07-11-2025,246,246,242,242,196.300,47.504.600,0.00%,0.00%,-1.63%,-1.63%,0.00%,2.44%,HELI
12,06-11-2025,244,252,240,246,503.000,123.738.000,0.83%,4.13%,-0.83%,1.65%,3.28%,4.76%,HELI
13,05-11-2025,246,246,240,242,348.200,84.264.400,0.00%,0.00%,-2.44%,-1.63%,0.00%,2.44%,HELI
14,04-11-2025,240,246,240,246,460.600,113.307.600,-2.44%,0.00%,-2.44%,0.00%,2.50%,2.44%,HELI
15,03-11-2025,244,250,240,246,570.100,140.244.600,-0.81%,1.63%,-2.44%,0.00%,2.46%,4.00%,HELI
16,31-10-2025,254,254,240,246,671.700,165.238.200,2.42%,2.42%,-3.23%,-0.81%,0.00%,10.24%,HELI
17,30-10-2025,250,260,228,248,5.361.600,1.329.676.800,-3.85%,0.00%,-12.31%,-4.62%,4.00%,0.77%,HELI
18,29-10-2025,300,302,258,260,25.164.100,6.542.666.000,23.97%,24.79%,6.61%,7.44%,0.67%,22.52%,HELI
19,28-10-2025,242,242,234,242,26.800,6.485.600,0.00%,0.00%,-3.31%,0.00%,0.00%,4.13%,HELI
20,27-10-2025,238,254,232,242,319.600,77.343.200,0.00%,6.72%,-2.52%,1.68%,6.72%,6.30%,HELI
21,24-10-2025,240,240,238,238,17.300,4.117.400,0.84%,0.84%,0.00%,0.00%,0.00%,1.67%,HELI
22,23-10-2025,240,240,236,238,34.500,8.211.000,0.00%,0.00%,-1.67%,-0.83%,0.00%,1.67%,HELI
23,22-10-2025,240,242,236,240,34.500,8.280.000,0.00%,0.83%,-1.67%,0.00%,0.83%,3.31%,HELI
24,21-10-2025,236,240,234,240,31.600,7.584.000,0.00%,1.69%,-0.85%,1.69%,1.69%,3.33%,HELI
25,20-10-2025,234,238,232,236,105.500,24.898.000,-1.68%,0.00%,-2.52%,-0.84%,1.71%,0.84%,HELI
26,17-10-2025,242,242,236,238,30.500,7.259.000,0.00%,0.00%,-2.48%,-1.65%,0.00%,2.48%,HELI
27,16-10-2025,238,242,236,242,79.000,19.118.000,0.00%,1.68%,-0.84%,1.68%,1.68%,4.96%,HELI
28,15-10-2025,238,240,230,238,140.500,33.439.000,-0.83%,0.00%,-4.17%,-0.83%,0.84%,1.67%,HELI
29,14-10-2025,238,244,236,240,243.500,58.440.000,-1.65%,0.83%,-2.48%,-0.83%,2.52%,1.64%,HELI
30,13-10-2025,242,242,240,242,90.000,21.780.000,0.00%,0.00%,-0.83%,0.00%,0.00%,0.83%,HELI
31,10-10-2025,270,270,240,242,359.200,86.926.400,12.50%,12.50%,0.00%,0.83%,0.00%,12.59%,HELI
32,09-10-2025,240,240,236,240,107.800,25.872.000,0.00%,0.00%,-1.67%,0.00%,0.00%,0.83%,HELI
33,08-10-2025,240,240,238,240,39.000,9.360.000,-1.64%,-1.64%,-2.46%,-1.64%,0.00%,1.67%,HELI
34,07-10-2025,244,244,236,244,346.400,84.521.600,0.00%,0.00%,-3.28%,0.00%,0.00%,2.46%,HELI
35,06-10-2025,244,244,238,244,304.600,74.322.400,2.52%,2.52%,0.00%,2.52%,0.00%,4.92%,HELI
36,03-10-2025,238,246,232,238,1.139.500,271.201.000,-0.83%,2.50%,-3.33%,-0.83%,3.36%,4.88%,HELI
37,02-10-2025,236,242,234,240,49.100,11.784.000,-0.84%,1.68%,-1.68%,0.84%,2.54%,2.48%,HELI
38,01-10-2025,246,254,236,238,143.800,34.224.400,4.24%,7.63%,0.00%,0.85%,3.25%,9.45%,HELI
39,30-09-2025,240,240,230,236,228.700,53.973.200,-0.83%,-0.83%,-4.96%,-2.48%,0.00%,0.83%,HELI
40,29-09-2025,242,244,238,242,244.600,59.193.200,-0.82%,0.00%,-2.46%,-0.82%,0.83%,1.64%,HELI
41,26-09-2025,242,246,240,244,45.800,11.175.200,0.00%,1.65%,-0.83%,0.83%,1.65%,2.44%,HELI
42,25-09-2025,240,254,240,242,93.300,22.578.600,0.00%,5.83%,0.00%,0.83%,5.83%,5.51%,HELI
43,24-09-2025,248,250,240,240,348.100,83.544.000,0.81%,1.63%,-2.44%,-2.44%,0.81%,2.40%,HELI
44,23-09-2025,250,292,244,246,2.765.400,680.288.400,0.81%,17.74%,-1.61%,-0.81%,16.80%,17.81%,HELI
45,22-09-2025,240,250,240,248,48.200,11.953.600,0.00%,4.17%,0.00%,3.33%,4.17%,4.00%,HELI
46,19-09-2025,246,246,240,240,38.300,9.192.000,2.50%,2.50%,0.00%,0.00%,0.00%,2.44%,HELI
47,18-09-2025,240,248,240,240,161.600,38.784.000,-3.23%,0.00%,-3.23%,-3.23%,3.33%,1.61%,HELI
48,17-09-2025,250,250,244,248,14.200,3.521.600,0.81%,0.81%,-1.61%,0.00%,0.00%,3.20%,HELI
49,16-09-2025,246,248,242,248,91.400,22.667.200,-0.81%,0.00%,-2.42%,0.00%,0.81%,4.03%,HELI
50,15-09-2025,244,250,238,248,791.500,196.292.000,-0.81%,1.63%,-3.25%,0.81%,2.46%,4.80%,HELI
51,12-09-2025,246,250,238,246,110.200,27.109.200,0.00%,1.63%,-3.25%,0.00%,1.63%,4.80%,HELI
52,11-09-2025,240,252,238,246,538.400,132.446.400,0.00%,5.00%,-0.83%,2.50%,5.00%,6.35%,HELI
53,10-09-2025,246,246,236,240,127.100,30.504.000,0.00%,0.00%,-4.07%,-2.44%,0.00%,10.57%,HELI
54,09-09-2025,250,258,220,246,247.800,60.958.800,0.00%,3.20%,-12.00%,-1.60%,3.20%,3.10%,HELI
55,08-09-2025,252,262,250,250,555.900,138.975.000,0.80%,4.80%,0.00%,0.00%,3.97%,4.58%,HELI
56,04-09-2025,254,254,250,250,531.700,132.925.000,0.00%,0.00%,-1.57%,-1.57%,0.00%,1.57%,HELI
57,03-09-2025,250,256,250,254,335.400,85.191.600,-2.34%,0.00%,-2.34%,-0.78%,2.40%,0.78%,HELI
58,02-09-2025,256,262,254,256,651.500,166.784.000,0.00%,2.34%,-0.78%,0.00%,2.34%,6.11%,HELI
59,01-09-2025,246,260,246,256,405.300,103.756.800,-3.91%,1.56%,-3.91%,0.00%,5.69%,5.38%,HELI
60,29-08-2025,264,264,246,256,589.900,151.014.400,0.00%,0.00%,-6.82%,-3.03%,0.00%,0.76%,HELI
61,28-08-2025,266,266,262,264,513.200,135.484.800,1.53%,1.53%,0.00%,0.76%,0.00%,3.01%,HELI
62,27-08-2025,260,266,258,262,586.200,153.584.400,0.00%,2.31%,-0.77%,0.77%,2.31%,6.02%,HELI
63,26-08-2025,256,284,250,260,1.638.100,425.906.000,0.00%,10.94%,-2.34%,1.56%,10.94%,11.27%,HELI
64,25-08-2025,252,264,252,256,1.013.100,259.353.600,0.00%,4.76%,0.00%,1.59%,4.76%,6.06%,HELI
65,22-08-2025,250,252,248,252,451.200,113.702.400,-0.79%,0.00%,-1.59%,0.00%,0.80%,0.79%,HELI
66,21-08-2025,250,252,250,252,362.900,91.450.800,-0.79%,0.00%,-0.79%,0.00%,0.80%,0.79%,HELI
67,20-08-2025,250,254,250,252,383.300,96.591.600,-0.79%,0.79%,-0.79%,0.00%,1.60%,1.57%,HELI
68,19-08-2025,254,254,250,252,352.800,88.905.600,0.00%,0.00%,-1.57%,-0.79%,0.00%,1.57%,HELI
69,15-08-2025,250,256,250,254,461.100,117.119.400,0.00%,2.40%,0.00%,1.60%,2.40%,3.13%,HELI
