col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HEXA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HEXA
1,21-11-2025,4.600,4.630,4.590,4.600,97.200,447.120.000,0.00%,0.65%,-0.22%,0.00%,0.65%,0.86%,HEXA
2,20-11-2025,4.600,4.620,4.590,4.600,245.800,1.130.680.000,-0.22%,0.22%,-0.43%,-0.22%,0.43%,0.43%,HEXA
3,19-11-2025,4.610,4.640,4.600,4.610,113.600,523.696.000,0.00%,0.65%,-0.22%,0.00%,0.65%,0.86%,HEXA
4,18-11-2025,4.620,4.630,4.600,4.610,340.100,1.567.861.000,0.00%,0.22%,-0.43%,-0.22%,0.22%,0.43%,HEXA
5,17-11-2025,4.630,4.640,4.610,4.620,244.400,1.129.128.000,0.00%,0.22%,-0.43%,-0.22%,0.22%,0.65%,HEXA
6,14-11-2025,4.650,4.660,4.610,4.630,124.100,574.583.000,0.00%,0.22%,-0.86%,-0.43%,0.22%,0.86%,HEXA
7,13-11-2025,4.640,4.650,4.620,4.650,213.600,993.240.000,0.00%,0.22%,-0.43%,0.22%,0.22%,0.22%,HEXA
8,12-11-2025,4.660,4.670,4.640,4.640,117.300,544.272.000,0.00%,0.21%,-0.43%,-0.43%,0.21%,0.64%,HEXA
9,11-11-2025,4.660,4.660,4.640,4.660,115.700,539.162.000,0.00%,0.00%,-0.43%,0.00%,0.00%,0.43%,HEXA
10,10-11-2025,4.680,4.680,4.640,4.660,150.100,699.466.000,0.65%,0.65%,-0.22%,0.22%,0.00%,0.85%,HEXA
11,07-11-2025,4.640,4.670,4.640,4.650,143.200,665.880.000,0.00%,0.65%,0.00%,0.22%,0.65%,0.86%,HEXA
12,06-11-2025,4.660,4.670,4.630,4.640,169.100,784.624.000,0.22%,0.43%,-0.43%,-0.22%,0.21%,0.64%,HEXA
13,05-11-2025,4.670,4.680,4.640,4.650,124.700,579.855.000,0.00%,0.21%,-0.64%,-0.43%,0.21%,0.64%,HEXA
14,04-11-2025,4.670,4.670,4.650,4.670,133.600,623.912.000,0.00%,0.00%,-0.43%,0.00%,0.00%,0.64%,HEXA
15,03-11-2025,4.650,4.670,4.640,4.670,193.600,904.112.000,0.00%,0.43%,-0.22%,0.43%,0.43%,0.43%,HEXA
16,31-10-2025,4.670,4.690,4.650,4.650,197.700,919.305.000,0.00%,0.43%,-0.43%,-0.43%,0.43%,0.85%,HEXA
17,30-10-2025,4.660,4.690,4.650,4.670,222.200,1.037.674.000,-0.21%,0.43%,-0.43%,0.00%,0.64%,1.28%,HEXA
18,29-10-2025,4.640,4.690,4.630,4.670,138.900,648.663.000,0.00%,1.08%,-0.22%,0.65%,1.08%,1.28%,HEXA
19,28-10-2025,4.640,4.660,4.630,4.640,152.100,705.744.000,0.22%,0.65%,0.00%,0.22%,0.43%,1.72%,HEXA
20,27-10-2025,4.670,4.670,4.580,4.630,292.300,1.353.349.000,0.00%,0.00%,-1.93%,-0.86%,0.00%,0.21%,HEXA
21,24-10-2025,4.670,4.690,4.660,4.670,213.600,997.512.000,0.00%,0.43%,-0.21%,0.00%,0.43%,1.07%,HEXA
22,23-10-2025,4.660,4.670,4.640,4.670,88.000,410.960.000,0.22%,0.43%,-0.22%,0.43%,0.21%,1.50%,HEXA
23,22-10-2025,4.660,4.680,4.600,4.650,222.900,1.036.485.000,0.00%,0.43%,-1.29%,-0.21%,0.43%,3.21%,HEXA
24,21-10-2025,4.550,4.660,4.530,4.660,392.100,1.827.186.000,0.44%,2.87%,0.00%,2.87%,2.42%,3.65%,HEXA
25,20-10-2025,4.500,4.550,4.490,4.530,331.200,1.500.336.000,0.22%,1.34%,0.00%,0.89%,1.11%,1.32%,HEXA
26,17-10-2025,4.520,4.530,4.490,4.490,329.100,1.477.659.000,0.00%,0.22%,-0.66%,-0.66%,0.22%,1.10%,HEXA
27,16-10-2025,4.480,4.550,4.480,4.520,226.100,1.021.972.000,-0.44%,1.11%,-0.44%,0.44%,1.56%,1.54%,HEXA
28,15-10-2025,4.540,4.560,4.480,4.500,336.300,1.513.350.000,0.00%,0.44%,-1.32%,-0.88%,0.44%,0.88%,HEXA
29,14-10-2025,4.580,4.600,4.520,4.540,261.400,1.186.756.000,0.00%,0.44%,-1.31%,-0.87%,0.44%,0.65%,HEXA
30,13-10-2025,4.600,4.600,4.570,4.580,245.800,1.125.764.000,0.00%,0.00%,-0.65%,-0.43%,0.00%,0.87%,HEXA
31,10-10-2025,4.570,4.600,4.560,4.600,112.400,517.040.000,0.44%,1.10%,0.22%,1.10%,0.66%,1.96%,HEXA
32,09-10-2025,4.510,4.570,4.510,4.550,235.900,1.073.345.000,0.00%,1.33%,0.00%,0.89%,1.33%,1.53%,HEXA
33,08-10-2025,4.580,4.600,4.500,4.510,340.600,1.536.106.000,0.00%,0.44%,-1.75%,-1.53%,0.44%,1.74%,HEXA
34,07-10-2025,4.530,4.590,4.520,4.580,325.800,1.492.164.000,-0.66%,0.66%,-0.88%,0.44%,1.32%,2.18%,HEXA
35,06-10-2025,4.690,4.700,4.490,4.560,725.500,3.308.280.000,0.00%,0.21%,-4.26%,-2.77%,0.21%,0.64%,HEXA
36,03-10-2025,4.720,4.720,4.670,4.690,265.100,1.243.319.000,0.00%,0.00%,-1.06%,-0.64%,0.00%,0.42%,HEXA
37,02-10-2025,4.740,4.740,4.700,4.720,263.500,1.243.720.000,0.00%,0.00%,-0.84%,-0.42%,0.00%,0.42%,HEXA
38,01-10-2025,4.770,4.770,4.720,4.740,297.900,1.412.046.000,0.00%,0.00%,-1.05%,-0.63%,0.00%,1.26%,HEXA
39,30-09-2025,4.710,4.800,4.710,4.770,383.400,1.828.818.000,0.21%,2.13%,0.21%,1.49%,1.91%,2.71%,HEXA
40,29-09-2025,4.790,4.790,4.670,4.700,908.300,4.269.010.000,-0.21%,-0.21%,-2.71%,-2.08%,0.00%,0.00%,HEXA
41,26-09-2025,4.850,4.850,4.790,4.800,1.041.300,4.998.240.000,0.00%,0.00%,-1.24%,-1.03%,0.00%,0.82%,HEXA
42,25-09-2025,4.990,4.990,4.810,4.850,2.168.300,10.516.255.000,-6.29%,-6.29%,-9.67%,-8.92%,0.00%,-4.71%,HEXA
43,24-09-2025,5.350,5.350,5.225,5.325,2.289.000,12.188.925.000,0.00%,0.00%,-2.34%,-0.47%,0.00%,1.40%,HEXA
44,23-09-2025,5.400,5.425,5.275,5.350,2.039.100,10.909.185.000,0.00%,0.46%,-2.31%,-0.93%,0.46%,0.92%,HEXA
45,22-09-2025,5.450,5.475,5.375,5.400,1.665.000,8.991.000.000,0.46%,0.92%,-0.92%,-0.46%,0.46%,1.37%,HEXA
46,19-09-2025,5.425,5.475,5.400,5.425,1.148.800,6.232.240.000,0.93%,1.86%,0.47%,0.93%,0.92%,4.11%,HEXA
47,18-09-2025,5.250,5.425,5.250,5.375,992.900,5.336.837.500,0.00%,3.33%,0.00%,2.38%,3.33%,5.99%,HEXA
48,17-09-2025,5.400,5.400,5.100,5.250,1.556.200,8.170.050.000,0.00%,0.00%,-5.56%,-2.78%,0.00%,0.93%,HEXA
49,16-09-2025,5.600,5.600,5.350,5.400,1.275.100,6.885.540.000,0.90%,0.90%,-3.60%,-2.70%,0.00%,2.23%,HEXA
50,15-09-2025,5.475,5.550,5.475,5.550,662.700,3.677.985.000,0.00%,1.37%,0.00%,1.37%,1.37%,2.70%,HEXA
51,12-09-2025,5.475,5.500,5.400,5.475,408.000,2.233.800.000,0.00%,0.46%,-1.37%,0.00%,0.46%,0.91%,HEXA
52,11-09-2025,5.450,5.500,5.450,5.475,336.100,1.840.147.500,0.00%,0.92%,0.00%,0.46%,0.92%,1.82%,HEXA
53,10-09-2025,5.425,5.450,5.400,5.450,222.600,1.213.170.000,0.00%,0.46%,-0.46%,0.46%,0.46%,1.38%,HEXA
54,09-09-2025,5.500,5.500,5.375,5.425,640.700,3.475.797.500,0.00%,0.00%,-2.27%,-1.36%,0.00%,0.00%,HEXA
55,08-09-2025,5.525,5.550,5.500,5.500,493.900,2.716.450.000,0.00%,0.45%,-0.45%,-0.45%,0.45%,0.90%,HEXA
56,04-09-2025,5.575,5.575,5.500,5.525,308.300,1.703.357.500,0.45%,0.45%,-0.90%,-0.45%,0.00%,1.35%,HEXA
57,03-09-2025,5.500,5.575,5.500,5.550,194.300,1.078.365.000,0.00%,1.36%,0.00%,0.91%,1.36%,1.79%,HEXA
58,02-09-2025,5.475,5.575,5.475,5.500,562.500,3.093.750.000,0.00%,1.83%,0.00%,0.46%,1.83%,5.83%,HEXA
59,01-09-2025,5.475,5.500,5.250,5.475,1.247.000,6.827.325.000,-2.67%,-2.22%,-6.67%,-2.67%,0.46%,0.00%,HEXA
60,29-08-2025,5.600,5.675,5.500,5.625,1.169.700,6.579.562.500,-1.32%,0.00%,-3.08%,-0.88%,1.34%,0.44%,HEXA
61,28-08-2025,5.650,5.700,5.650,5.675,373.100,2.117.342.500,0.00%,0.88%,0.00%,0.44%,0.88%,2.19%,HEXA
62,27-08-2025,5.600,5.650,5.575,5.650,256.400,1.448.660.000,0.00%,0.89%,-0.45%,0.89%,0.89%,1.77%,HEXA
63,26-08-2025,5.600,5.625,5.550,5.600,431.800,2.418.080.000,0.45%,0.90%,-0.45%,0.45%,0.45%,1.78%,HEXA
64,25-08-2025,5.550,5.600,5.525,5.575,434.200,2.420.665.000,0.00%,0.90%,-0.45%,0.45%,0.90%,1.34%,HEXA
65,22-08-2025,5.575,5.575,5.525,5.550,238.500,1.323.675.000,0.45%,0.45%,-0.45%,0.00%,0.00%,0.90%,HEXA
66,21-08-2025,5.550,5.550,5.525,5.550,224.900,1.248.195.000,0.45%,0.45%,0.00%,0.45%,0.00%,0.90%,HEXA
67,20-08-2025,5.500,5.550,5.500,5.525,312.600,1.727.115.000,-0.45%,0.45%,-0.45%,0.00%,0.91%,1.35%,HEXA
68,19-08-2025,5.500,5.550,5.475,5.525,576.200,3.183.505.000,0.00%,0.91%,-0.45%,0.45%,0.91%,1.80%,HEXA
69,15-08-2025,5.475,5.500,5.450,5.500,414.600,2.280.300.000,0.00%,0.46%,-0.46%,0.46%,0.46%,1.82%,HEXA
70,14-08-2025,5.425,5.475,5.400,5.475,289.200,1.583.370.000,0.00%,0.92%,-0.46%,0.92%,0.92%,1.37%,HEXA
71,13-08-2025,5.425,5.450,5.400,5.425,420.000,2.278.500.000,0.00%,0.46%,-0.46%,0.00%,0.46%,0.92%,HEXA
72,12-08-2025,5.400,5.425,5.400,5.425,465.700,2.526.422.500,0.00%,0.46%,0.00%,0.46%,0.46%,0.92%,HEXA
73,11-08-2025,5.400,5.450,5.375,5.400,415.700,2.244.780.000,0.47%,1.40%,0.00%,0.47%,0.93%,1.83%,HEXA
74,08-08-2025,5.375,5.425,5.350,5.375,265.200,1.425.450.000,0.47%,1.40%,0.00%,0.47%,0.93%,1.38%,HEXA
75,07-08-2025,5.375,5.400,5.350,5.350,271.900,1.454.665.000,0.47%,0.93%,0.00%,0.00%,0.47%,1.39%,HEXA
76,06-08-2025,5.375,5.375,5.325,5.350,145.600,778.960.000,0.47%,0.47%,-0.47%,0.00%,0.00%,0.47%,HEXA
77,05-08-2025,5.375,5.400,5.350,5.350,222.000,1.187.700.000,0.00%,0.47%,-0.47%,-0.47%,0.47%,0.93%,HEXA
78,04-08-2025,5.400,5.400,5.350,5.375,251.400,1.351.275.000,0.47%,0.47%,-0.47%,0.00%,0.00%,0.93%,HEXA
79,01-08-2025,5.375,5.400,5.350,5.375,332.000,1.784.500.000,0.00%,0.47%,-0.47%,0.00%,0.47%,2.78%,HEXA
80,31-07-2025,5.400,5.425,5.250,5.375,488.800,2.627.300.000,0.00%,0.46%,-2.78%,-0.46%,0.46%,0.92%,HEXA
81,30-07-2025,5.425,5.425,5.375,5.400,286.900,1.549.260.000,0.46%,0.46%,-0.46%,0.00%,0.00%,0.46%,HEXA
82,29-07-2025,5.450,5.450,5.400,5.400,393.500,2.124.900.000,0.46%,0.46%,-0.46%,-0.46%,0.00%,0.92%,HEXA
83,28-07-2025,5.425,5.475,5.400,5.425,365.900,1.985.007.500,0.00%,0.92%,-0.46%,0.00%,0.92%,1.37%,HEXA
84,25-07-2025,5.450,5.450,5.400,5.425,262.100,1.421.892.500,0.46%,0.46%,-0.46%,0.00%,0.00%,1.38%,HEXA
85,24-07-2025,5.425,5.450,5.375,5.425,475.400,2.579.045.000,0.00%,0.46%,-0.92%,0.00%,0.46%,1.38%,HEXA
86,23-07-2025,5.425,5.450,5.375,5.425,463.100,2.512.317.500,0.46%,0.93%,-0.46%,0.46%,0.46%,1.83%,HEXA
87,22-07-2025,5.375,5.475,5.350,5.400,873.100,4.714.740.000,0.47%,2.34%,0.00%,0.93%,1.86%,4.11%,HEXA
88,21-07-2025,5.250,5.375,5.250,5.350,445.900,2.385.565.000,0.00%,2.38%,0.00%,1.90%,2.38%,3.26%,HEXA
89,18-07-2025,5.200,5.250,5.200,5.250,273.900,1.437.975.000,0.00%,0.96%,0.00%,0.96%,0.96%,1.90%,HEXA
90,17-07-2025,5.175,5.225,5.150,5.200,358.800,1.865.760.000,0.00%,0.97%,-0.48%,0.48%,0.97%,1.91%,HEXA
91,16-07-2025,5.150,5.175,5.125,5.175,205.500,1.063.462.500,0.00%,0.49%,-0.49%,0.49%,0.49%,1.45%,HEXA
92,15-07-2025,5.125,5.175,5.100,5.150,194.500,1.001.675.000,0.00%,0.98%,-0.49%,0.49%,0.98%,1.45%,HEXA
93,14-07-2025,5.125,5.175,5.100,5.125,373.400,1.913.675.000,0.00%,0.98%,-0.49%,0.00%,0.98%,1.93%,HEXA
94,11-07-2025,5.075,5.125,5.075,5.125,265.700,1.361.712.500,0.00%,0.99%,0.00%,0.99%,0.99%,3.41%,HEXA
95,10-07-2025,4.960,5.175,4.950,5.075,557.100,2.827.282.500,0.00%,4.33%,-0.20%,2.32%,4.33%,4.35%,HEXA
96,09-07-2025,4.960,4.970,4.950,4.960,275.200,1.364.992.000,0.00%,0.20%,-0.20%,0.00%,0.20%,0.40%,HEXA
97,08-07-2025,4.970,4.970,4.950,4.960,143.600,712.256.000,0.20%,0.20%,-0.20%,0.00%,0.00%,0.60%,HEXA
98,07-07-2025,4.960,4.960,4.940,4.960,244.500,1.212.720.000,0.00%,0.00%,-0.40%,0.00%,0.00%,0.40%,HEXA
99,04-07-2025,4.940,4.960,4.940,4.960,168.800,837.248.000,0.00%,0.40%,0.00%,0.40%,0.40%,0.81%,HEXA
100,03-07-2025,4.920,4.950,4.920,4.940,119.500,590.330.000,0.00%,0.61%,0.00%,0.41%,0.61%,1.01%,HEXA
101,02-07-2025,4.920,4.930,4.900,4.920,123.400,607.128.000,0.00%,0.20%,-0.41%,0.00%,0.20%,0.61%,HEXA
102,01-07-2025,4.950,4.950,4.900,4.920,262.800,1.292.976.000,0.00%,0.00%,-1.01%,-0.61%,0.00%,0.00%,HEXA
103,30-06-2025,4.950,5.000,4.950,4.950,303.000,1.499.850.000,-0.20%,0.81%,-0.20%,-0.20%,1.01%,1.00%,HEXA
104,26-06-2025,4.950,4.980,4.950,4.960,167.700,831.792.000,0.00%,0.61%,0.00%,0.20%,0.61%,0.80%,HEXA
105,25-06-2025,4.960,5.000,4.940,4.950,143.900,712.305.000,0.00%,0.81%,-0.40%,-0.20%,0.81%,2.00%,HEXA
106,24-06-2025,4.900,4.980,4.900,4.960,132.300,656.208.000,0.00%,1.63%,0.00%,1.22%,1.63%,3.61%,HEXA
107,23-06-2025,4.990,4.990,4.800,4.900,439.400,2.153.060.000,0.00%,0.00%,-3.81%,-1.80%,0.00%,0.60%,HEXA
108,20-06-2025,5.000,5.000,4.960,4.990,271.900,1.356.781.000,0.00%,0.00%,-0.80%,-0.20%,0.00%,0.00%,HEXA
109,19-06-2025,5.050,5.100,5.000,5.000,510.000,2.550.000.000,0.00%,0.99%,-0.99%,-0.99%,0.99%,1.96%,HEXA
110,18-06-2025,5.025,5.075,5.000,5.050,316.900,1.600.345.000,0.00%,1.00%,-0.50%,0.50%,1.00%,1.48%,HEXA
111,17-06-2025,5.000,5.050,5.000,5.025,144.500,726.112.500,0.00%,1.00%,0.00%,0.50%,1.00%,0.99%,HEXA
112,16-06-2025,5.025,5.025,5.000,5.000,204.700,1.023.500.000,0.00%,0.00%,-0.50%,-0.50%,0.00%,0.50%,HEXA
113,13-06-2025,5.025,5.050,5.000,5.025,157.900,793.447.500,0.00%,0.50%,-0.50%,0.00%,0.50%,1.19%,HEXA
114,12-06-2025,5.000,5.025,4.990,5.025,118.500,595.462.500,0.00%,0.50%,-0.20%,0.50%,0.50%,0.70%,HEXA
115,11-06-2025,4.990,5.025,4.990,5.000,132.400,662.000.000,-0.20%,0.50%,-0.20%,0.00%,0.70%,0.70%,HEXA
116,10-06-2025,4.990,5.025,4.990,5.000,215.700,1.078.500.000,0.00%,0.70%,0.00%,0.20%,0.70%,0.90%,HEXA
117,05-06-2025,5.000,5.025,4.980,4.990,198.100,988.519.000,0.00%,0.50%,-0.40%,-0.20%,0.50%,0.70%,HEXA
118,04-06-2025,5.025,5.025,4.990,5.000,154.400,772.000.000,0.50%,0.50%,-0.20%,0.00%,0.00%,0.50%,HEXA
119,03-06-2025,5.050,5.050,5.000,5.000,234.200,1.171.000.000,0.00%,0.00%,-0.99%,-0.99%,0.00%,0.99%,HEXA
120,02-06-2025,5.050,5.050,5.000,5.050,249.400,1.259.470.000,0.00%,0.00%,-0.99%,0.00%,0.00%,0.50%,HEXA
121,28-05-2025,5.050,5.075,5.025,5.050,128.500,648.925.000,0.00%,0.50%,-0.50%,0.00%,0.50%,0.99%,HEXA
122,27-05-2025,5.075,5.075,5.025,5.050,195.800,988.790.000,0.00%,0.00%,-0.99%,-0.49%,0.00%,0.99%,HEXA
123,26-05-2025,5.075,5.100,5.025,5.075,185.100,939.382.500,0.00%,0.49%,-0.99%,0.00%,0.49%,1.96%,HEXA
124,23-05-2025,5.075,5.100,5.000,5.075,164.900,836.867.500,0.00%,0.49%,-1.48%,0.00%,0.49%,1.47%,HEXA
125,22-05-2025,5.075,5.100,5.025,5.075,175.600,891.170.000,0.00%,0.49%,-0.99%,0.00%,0.49%,0.98%,HEXA
126,21-05-2025,5.075,5.100,5.050,5.075,163.200,828.240.000,0.00%,0.49%,-0.49%,0.00%,0.49%,2.94%,HEXA
127,20-05-2025,5.125,5.200,4.950,5.075,565.300,2.868.897.500,0.00%,1.46%,-3.41%,-0.98%,1.46%,4.23%,HEXA
128,19-05-2025,4.990,5.175,4.980,5.125,560.900,2.874.612.500,0.20%,3.92%,0.00%,2.91%,3.71%,5.51%,HEXA
129,16-05-2025,4.890,4.980,4.890,4.980,388.400,1.934.232.000,0.00%,1.84%,0.00%,1.84%,1.84%,5.22%,HEXA
130,15-05-2025,4.720,4.900,4.720,4.890,334.900,1.637.661.000,0.00%,3.81%,0.00%,3.60%,3.81%,4.29%,HEXA
131,14-05-2025,4.700,4.730,4.690,4.720,249.000,1.175.280.000,-0.21%,0.42%,-0.42%,0.21%,0.64%,0.85%,HEXA
132,09-05-2025,4.700,4.720,4.690,4.710,148.100,697.551.000,0.00%,0.43%,-0.21%,0.21%,0.43%,0.42%,HEXA
133,08-05-2025,4.720,4.730,4.700,4.700,195.900,920.730.000,0.00%,0.21%,-0.42%,-0.42%,0.21%,0.63%,HEXA
134,07-05-2025,4.720,4.730,4.700,4.720,226.200,1.067.664.000,0.21%,0.42%,-0.21%,0.21%,0.21%,0.42%,HEXA
135,06-05-2025,4.720,4.730,4.710,4.710,95.400,449.334.000,0.00%,0.21%,-0.21%,-0.21%,0.21%,0.63%,HEXA
136,05-05-2025,4.720,4.750,4.700,4.720,332.600,1.569.872.000,0.21%,0.85%,-0.21%,0.21%,0.64%,1.47%,HEXA
137,02-05-2025,4.710,4.730,4.680,4.710,204.400,962.724.000,0.00%,0.42%,-0.64%,0.00%,0.42%,1.69%,HEXA
138,30-04-2025,4.740,4.750,4.650,4.710,273.500,1.288.185.000,0.00%,0.21%,-1.90%,-0.63%,0.21%,0.42%,HEXA
139,29-04-2025,4.730,4.760,4.730,4.740,260.300,1.233.822.000,0.21%,0.85%,0.21%,0.42%,0.63%,2.73%,HEXA
140,28-04-2025,4.630,4.770,4.630,4.720,249.500,1.177.640.000,0.00%,3.02%,0.00%,1.94%,3.02%,3.14%,HEXA
141,25-04-2025,4.650,4.670,4.620,4.630,197.700,915.351.000,0.00%,0.43%,-0.65%,-0.43%,0.43%,2.57%,HEXA
142,24-04-2025,4.550,4.670,4.550,4.650,239.600,1.114.140.000,0.00%,2.64%,0.00%,2.20%,2.64%,6.21%,HEXA
143,23-04-2025,4.380,4.550,4.380,4.550,210.000,955.500.000,0.00%,3.88%,0.00%,3.88%,3.88%,3.96%,HEXA
144,22-04-2025,4.370,4.400,4.370,4.380,171.100,749.418.000,0.00%,0.69%,0.00%,0.23%,0.69%,1.36%,HEXA
145,21-04-2025,4.350,4.390,4.340,4.370,103.300,451.421.000,0.00%,0.92%,-0.23%,0.46%,0.92%,2.73%,HEXA
146,17-04-2025,4.330,4.370,4.270,4.350,114.500,498.075.000,0.00%,0.92%,-1.39%,0.46%,0.92%,1.60%,HEXA
147,16-04-2025,4.370,4.400,4.300,4.330,138.400,599.272.000,0.23%,0.92%,-1.38%,-0.69%,0.69%,6.36%,HEXA
148,15-04-2025,4.130,4.480,4.120,4.360,586.000,2.554.960.000,0.49%,9.00%,0.24%,6.08%,8.47%,10.27%,HEXA
149,14-04-2025,4.030,4.110,4.020,4.110,186.300,765.693.000,0.25%,2.24%,0.00%,2.24%,1.99%,2.92%,HEXA
