col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HMSP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HMSP
1,21-11-2025,820,830,805,825,35.240.900,29.073.742.500,0.61%,1.84%,-1.23%,1.23%,1.22%,2.41%,HMSP
2,20-11-2025,820,830,810,815,25.411.400,20.710.291.000,0.00%,1.22%,-1.22%,-0.61%,1.22%,3.61%,HMSP
3,19-11-2025,825,830,800,820,78.855.000,64.661.100.000,0.00%,0.61%,-3.03%,-0.61%,0.61%,1.20%,HMSP
4,18-11-2025,835,845,820,825,43.711.700,36.062.152.500,-0.60%,0.60%,-2.38%,-1.79%,1.20%,2.37%,HMSP
5,17-11-2025,830,850,825,840,36.515.100,30.672.684.000,0.61%,3.03%,0.00%,1.82%,2.41%,3.53%,HMSP
6,14-11-2025,835,850,820,825,54.354.300,44.842.297.500,0.00%,1.80%,-1.80%,-1.20%,1.80%,2.35%,HMSP
7,13-11-2025,855,860,830,835,50.193.100,41.911.238.500,0.59%,1.18%,-2.35%,-1.76%,0.58%,3.49%,HMSP
8,12-11-2025,835,890,830,850,166.071.800,141.161.030.000,0.60%,7.23%,0.00%,2.41%,6.59%,8.43%,HMSP
9,11-11-2025,855,860,815,830,131.585.500,109.215.965.000,0.00%,0.58%,-4.68%,-2.92%,0.58%,1.16%,HMSP
10,10-11-2025,855,870,850,855,59.783.100,51.114.550.500,0.00%,1.75%,-0.58%,0.00%,1.75%,2.30%,HMSP
11,07-11-2025,870,875,850,855,68.132.700,58.253.458.500,0.00%,0.57%,-2.30%,-1.72%,0.57%,1.14%,HMSP
12,06-11-2025,875,895,865,870,72.417.000,63.002.790.000,0.00%,2.29%,-1.14%,-0.57%,2.29%,2.79%,HMSP
13,05-11-2025,890,940,870,875,255.194.500,223.295.187.500,-2.20%,3.30%,-4.40%,-3.85%,5.62%,7.98%,HMSP
14,04-11-2025,875,925,865,910,326.566.100,297.175.151.000,0.57%,6.32%,-0.57%,4.60%,5.71%,6.49%,HMSP
15,03-11-2025,885,900,865,870,107.418.900,93.454.443.000,1.14%,2.86%,-1.14%,-0.57%,1.69%,5.56%,HMSP
16,31-10-2025,870,910,850,875,348.375.900,304.828.912.500,0.00%,4.60%,-2.30%,0.57%,4.60%,10.44%,HMSP
17,30-10-2025,830,900,815,870,497.751.100,433.043.457.000,1.22%,9.76%,-0.61%,6.10%,8.43%,12.22%,HMSP
18,29-10-2025,810,830,790,820,71.670.100,58.769.482.000,0.00%,2.47%,-2.47%,1.23%,2.47%,3.01%,HMSP
19,28-10-2025,835,850,805,810,119.521.700,96.812.577.000,0.00%,1.80%,-3.59%,-2.99%,1.80%,7.06%,HMSP
20,27-10-2025,800,860,790,835,402.217.900,335.851.946.500,1.91%,9.55%,0.64%,6.37%,7.50%,9.88%,HMSP
21,24-10-2025,790,815,775,785,170.219.100,133.621.993.500,1.28%,4.49%,-0.64%,0.64%,3.16%,12.88%,HMSP
22,23-10-2025,710,825,710,780,291.176.900,227.117.982.000,0.71%,17.02%,0.71%,10.64%,16.20%,14.55%,HMSP
23,22-10-2025,735,740,705,705,31.756.900,22.388.614.500,0.68%,1.37%,-3.42%,-3.42%,0.68%,3.38%,HMSP
24,21-10-2025,725,735,715,730,43.067.000,31.438.910.000,0.00%,1.38%,-1.38%,0.69%,1.38%,6.80%,HMSP
25,20-10-2025,685,745,685,725,114.157.400,82.764.115.000,1.48%,10.37%,1.48%,7.41%,8.76%,10.74%,HMSP
26,17-10-2025,695,700,665,675,54.339.300,36.679.027.500,0.00%,0.72%,-4.32%,-2.88%,0.72%,3.57%,HMSP
27,16-10-2025,690,705,675,695,48.435.600,33.662.742.000,1.47%,3.68%,-0.74%,2.21%,2.17%,3.55%,HMSP
28,15-10-2025,700,730,680,680,81.095.900,55.145.212.000,0.72%,5.04%,-2.16%,-2.16%,4.29%,6.16%,HMSP
29,14-10-2025,715,735,685,695,97.012.700,67.423.826.500,1.42%,4.26%,-2.84%,-1.42%,2.80%,7.48%,HMSP
30,13-10-2025,690,705,680,705,43.286.000,30.516.630.000,-2.82%,-0.70%,-4.23%,-0.70%,2.17%,0.71%,HMSP
31,10-10-2025,720,725,700,710,46.959.200,33.341.032.000,1.41%,2.11%,-1.41%,0.00%,0.69%,4.14%,HMSP
32,09-10-2025,700,780,695,710,231.842.400,164.608.104.000,0.00%,11.43%,-0.71%,1.43%,11.43%,10.90%,HMSP
33,08-10-2025,750,750,695,700,131.906.400,92.334.480.000,1.35%,1.35%,-6.08%,-5.41%,0.00%,3.33%,HMSP
34,07-10-2025,755,760,725,740,118.272.000,87.521.280.000,0.00%,0.66%,-3.97%,-1.99%,0.66%,1.32%,HMSP
35,06-10-2025,830,840,750,755,178.899.600,135.069.198.000,1.22%,2.44%,-8.54%,-7.93%,1.20%,3.57%,HMSP
36,03-10-2025,810,865,810,820,206.131.700,169.027.994.000,1.25%,8.13%,1.25%,2.50%,6.79%,8.09%,HMSP
37,02-10-2025,805,820,795,800,72.996.700,58.397.360.000,0.63%,2.50%,-0.63%,0.00%,1.86%,2.44%,HMSP
38,01-10-2025,810,830,800,800,81.135.300,64.908.240.000,-0.61%,1.84%,-1.84%,-1.84%,2.47%,3.01%,HMSP
39,30-09-2025,855,855,805,815,107.524.000,87.632.060.000,1.79%,1.79%,-4.17%,-2.98%,0.00%,2.34%,HMSP
40,29-09-2025,880,885,835,840,208.255.400,174.934.536.000,0.57%,1.14%,-4.57%,-4.00%,0.57%,9.60%,HMSP
41,26-09-2025,840,895,800,875,473.060.100,413.927.587.500,1.20%,7.83%,-3.61%,5.42%,6.55%,11.17%,HMSP
42,25-09-2025,795,860,795,830,357.091.100,296.385.613.000,0.63%,8.86%,0.63%,5.06%,8.18%,8.72%,HMSP
