col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HOMI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HOMI
1,21-11-2025,488,498,474,486,2.046.000,994.356.000,-0.81%,1.22%,-3.66%,-1.22%,2.05%,5.62%,HOMI
2,20-11-2025,496,515,470,492,2.309.100,1.136.077.200,1.64%,5.53%,-3.69%,0.82%,3.83%,13.01%,HOMI
3,19-11-2025,454,490,448,488,2.331.600,1.137.820.800,1.34%,9.38%,0.00%,8.93%,7.93%,11.02%,HOMI
4,18-11-2025,454,454,436,448,2.293.800,1.027.622.400,0.00%,0.00%,-3.96%,-1.32%,0.00%,3.96%,HOMI
5,17-11-2025,436,470,436,454,2.432.800,1.104.491.200,0.46%,8.29%,0.46%,4.61%,7.80%,10.21%,HOMI
6,14-11-2025,430,434,422,434,2.599.600,1.128.226.400,0.00%,0.93%,-1.86%,0.93%,0.93%,3.69%,HOMI
7,13-11-2025,438,438,418,430,2.341.200,1.006.716.000,1.39%,1.39%,-3.24%,-0.46%,0.00%,7.76%,HOMI
8,12-11-2025,426,448,404,432,3.100.600,1.339.459.200,0.00%,5.16%,-5.16%,1.41%,5.16%,6.25%,HOMI
9,11-11-2025,440,440,420,426,2.433.400,1.036.628.400,-1.79%,-1.79%,-6.25%,-4.91%,0.00%,3.18%,HOMI
10,10-11-2025,454,454,426,448,2.502.100,1.120.940.800,0.00%,0.00%,-6.17%,-1.32%,0.00%,7.49%,HOMI
11,07-11-2025,482,492,420,454,3.256.100,1.478.269.400,0.84%,2.93%,-12.13%,-5.02%,2.07%,4.47%,HOMI
12,06-11-2025,500,515,470,478,2.219.600,1.060.968.800,-4.76%,-1.90%,-10.48%,-8.95%,3.00%,18.45%,HOMI
13,05-11-2025,448,560,420,525,5.575.200,2.926.980.000,0.00%,25.00%,-6.25%,17.19%,25.00%,26.79%,HOMI
14,04-11-2025,442,448,410,448,2.895.200,1.297.049.600,-0.45%,0.90%,-7.66%,0.90%,1.36%,4.91%,HOMI
15,03-11-2025,436,444,426,444,2.391.900,1.062.003.600,0.00%,1.83%,-2.29%,1.83%,1.83%,6.76%,HOMI
16,31-10-2025,432,438,414,436,2.629.900,1.146.636.400,0.47%,1.86%,-3.72%,1.40%,1.39%,7.31%,HOMI
17,30-10-2025,410,484,406,430,4.424.700,1.902.621.000,-0.49%,17.48%,-1.46%,4.37%,18.05%,19.01%,HOMI
18,29-10-2025,500,500,392,412,4.488.800,1.849.385.600,8.70%,8.70%,-14.78%,-10.43%,0.00%,8.00%,HOMI
19,28-10-2025,460,460,460,460,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,8.26%,HOMI
20,27-10-2025,428,496,422,460,4.187.400,1.926.204.000,0.00%,15.89%,-1.40%,7.48%,15.89%,18.15%,HOMI
21,24-10-2025,420,440,406,428,2.929.000,1.253.612.000,0.00%,4.76%,-3.33%,1.90%,4.76%,8.18%,HOMI
22,23-10-2025,426,432,404,420,2.684.200,1.127.364.000,0.00%,1.41%,-5.16%,-1.41%,1.41%,14.35%,HOMI
23,22-10-2025,376,438,370,426,3.284.100,1.399.026.600,0.00%,16.49%,-1.60%,13.30%,16.49%,19.18%,HOMI
24,21-10-2025,390,436,354,376,5.105.300,1.919.592.800,1.04%,12.95%,-8.29%,-2.59%,11.79%,22.94%,HOMI
25,20-10-2025,336,390,336,386,3.133.000,1.209.338.000,-1.18%,14.71%,-1.18%,13.53%,16.07%,15.90%,HOMI
26,17-10-2025,328,344,328,340,3.511.000,1.193.740.000,-6.29%,-1.71%,-6.29%,-2.86%,4.88%,7.56%,HOMI
27,16-10-2025,318,362,318,350,9.691.500,3.392.025.000,-9.66%,2.84%,-9.66%,-0.57%,13.84%,6.08%,HOMI
28,15-10-2025,402,404,340,352,10.312.400,3.629.964.800,0.50%,1.00%,-15.00%,-12.00%,0.50%,19.31%,HOMI
29,14-10-2025,356,406,326,400,10.274.800,4.109.920.000,0.56%,14.69%,-7.91%,12.99%,14.04%,23.65%,HOMI
30,13-10-2025,362,398,310,354,10.456.200,3.701.494.800,2.84%,13.07%,-11.93%,0.57%,9.94%,29.15%,HOMI
31,10-10-2025,286,352,282,352,13.061.600,4.597.683.200,1.42%,24.82%,0.00%,24.82%,23.08%,30.11%,HOMI
32,09-10-2025,276,286,246,282,10.314.200,2.908.604.400,0.00%,3.62%,-10.87%,2.17%,3.62%,9.09%,HOMI
33,08-10-2025,266,276,260,276,7.637.400,2.107.922.400,2.31%,6.15%,0.00%,6.15%,3.76%,9.42%,HOMI
34,07-10-2025,258,262,250,260,9.738.100,2.531.906.000,3.20%,4.80%,0.00%,4.00%,1.55%,4.58%,HOMI
35,06-10-2025,250,266,250,250,6.315.200,1.578.800.000,0.00%,6.40%,0.00%,0.00%,6.40%,7.52%,HOMI
36,03-10-2025,248,260,246,250,7.354.500,1.838.625.000,-1.59%,3.17%,-2.38%,-0.79%,4.84%,6.15%,HOMI
37,02-10-2025,252,252,244,252,10.807.100,2.723.389.200,0.00%,0.00%,-3.17%,0.00%,0.00%,2.38%,HOMI
38,01-10-2025,250,256,246,252,7.112.900,1.792.450.800,0.00%,2.40%,-1.60%,0.80%,2.40%,4.69%,HOMI
39,30-09-2025,250,256,244,250,12.452.700,3.113.175.000,0.81%,3.23%,-1.61%,0.81%,2.40%,7.81%,HOMI
40,29-09-2025,248,250,236,248,8.187.700,2.030.549.600,0.00%,0.81%,-4.84%,0.00%,0.81%,4.00%,HOMI
41,26-09-2025,254,254,240,248,10.541.500,2.614.292.000,0.79%,0.79%,-4.76%,-1.59%,0.00%,4.72%,HOMI
