col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HRME
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HRME
1,21-11-2025,38,40,38,40,72.700,2.908.000,-5.00%,0.00%,-5.00%,0.00%,5.26%,0.00%,HRME
2,20-11-2025,40,40,40,40,12.200,488.000,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,HRME
3,19-11-2025,38,40,38,40,47.600,1.904.000,0.00%,5.26%,0.00%,5.26%,5.26%,7.50%,HRME
4,18-11-2025,37,38,37,38,101.000,3.838.000,0.00%,2.70%,0.00%,2.70%,2.70%,2.63%,HRME
5,17-11-2025,38,38,37,37,79.000,2.923.000,0.00%,0.00%,-2.63%,-2.63%,0.00%,0.00%,HRME
6,14-11-2025,38,38,38,38,93.900,3.568.200,0.00%,0.00%,0.00%,0.00%,0.00%,5.26%,HRME
7,13-11-2025,39,39,36,38,625.800,23.780.400,0.00%,0.00%,-7.69%,-2.56%,0.00%,0.00%,HRME
8,12-11-2025,41,41,39,39,1.190.500,46.429.500,0.00%,0.00%,-4.88%,-4.88%,0.00%,0.00%,HRME
9,11-11-2025,41,41,41,41,1.133.300,46.465.300,7.89%,7.89%,7.89%,7.89%,0.00%,7.32%,HRME
10,10-11-2025,39,39,38,38,1.311.900,49.852.200,0.00%,0.00%,-2.56%,-2.56%,0.00%,0.00%,HRME
11,07-11-2025,39,39,39,39,90.400,3.525.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,HRME
12,06-11-2025,39,39,39,39,80.700,3.147.300,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,HRME
13,05-11-2025,39,39,36,39,1.351.000,52.689.000,0.00%,0.00%,-7.69%,0.00%,0.00%,0.00%,HRME
14,04-11-2025,40,40,39,39,88.800,3.463.200,-2.44%,-2.44%,-4.88%,-4.88%,0.00%,0.00%,HRME
15,03-11-2025,41,41,40,41,68.000,2.788.000,0.00%,0.00%,-2.44%,0.00%,0.00%,7.32%,HRME
16,31-10-2025,38,42,38,41,26.000,1.066.000,-9.52%,0.00%,-9.52%,-2.38%,10.53%,0.00%,HRME
17,30-10-2025,42,42,42,42,181.600,7.627.200,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,HRME
18,29-10-2025,39,42,39,42,79.200,3.326.400,0.00%,7.69%,0.00%,7.69%,7.69%,9.52%,HRME
19,28-10-2025,39,39,38,39,228.300,8.903.700,8.33%,8.33%,5.56%,8.33%,0.00%,7.69%,HRME
20,27-10-2025,40,42,36,36,308.000,11.088.000,0.00%,5.00%,-10.00%,-10.00%,5.00%,4.76%,HRME
21,24-10-2025,40,41,40,40,70.600,2.824.000,2.56%,5.13%,2.56%,2.56%,2.50%,4.88%,HRME
22,23-10-2025,39,41,39,39,448.600,17.495.400,-9.30%,-4.65%,-9.30%,-9.30%,5.13%,4.88%,HRME
23,22-10-2025,40,43,39,43,397.500,17.092.500,-6.98%,0.00%,-9.30%,0.00%,7.50%,13.95%,HRME
24,21-10-2025,37,44,37,43,1.003.100,43.133.300,-9.76%,7.32%,-9.76%,4.88%,18.92%,6.82%,HRME
25,20-10-2025,45,45,41,41,1.395.500,57.215.500,0.00%,0.00%,-8.89%,-8.89%,0.00%,6.67%,HRME
26,17-10-2025,42,47,42,45,869.800,39.141.000,-6.67%,4.44%,-6.67%,0.00%,11.90%,4.26%,HRME
