col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HRTA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HRTA
1,21-11-2025,1.390,1.445,1.340,1.355,41.887.300,56.757.291.500,0.72%,4.71%,-2.90%,-1.81%,3.96%,6.23%,HRTA
2,20-11-2025,1.385,1.395,1.355,1.380,16.981.300,23.434.194.000,1.09%,1.82%,-1.09%,0.73%,0.72%,6.45%,HRTA
3,19-11-2025,1.305,1.390,1.305,1.370,31.687.600,43.412.012.000,0.77%,7.34%,0.77%,5.79%,6.51%,9.71%,HRTA
4,18-11-2025,1.280,1.320,1.255,1.295,20.473.000,26.512.535.000,-1.16%,1.93%,-3.09%,0.00%,3.13%,2.65%,HRTA
5,17-11-2025,1.360,1.365,1.285,1.295,32.698.200,42.344.169.000,-0.37%,0.00%,-5.86%,-5.13%,0.37%,0.00%,HRTA
6,14-11-2025,1.400,1.425,1.365,1.365,25.833.800,35.263.137.000,-1.75%,0.00%,-4.21%,-4.21%,1.79%,2.46%,HRTA
7,13-11-2025,1.415,1.460,1.390,1.425,68.062.100,96.988.492.500,2.17%,5.42%,0.36%,2.89%,3.18%,8.90%,HRTA
8,12-11-2025,1.380,1.385,1.330,1.385,22.657.400,31.380.499.000,1.10%,1.47%,-2.56%,1.47%,0.36%,2.17%,HRTA
9,11-11-2025,1.445,1.470,1.355,1.365,79.520.700,108.545.755.500,2.12%,3.89%,-4.24%,-3.53%,1.73%,14.63%,HRTA
10,10-11-2025,1.255,1.420,1.255,1.415,110.857.400,156.863.221.000,2.87%,16.39%,2.87%,15.98%,13.15%,14.44%,HRTA
11,07-11-2025,1.240,1.245,1.215,1.220,12.390.400,15.116.288.000,0.00%,0.40%,-2.02%,-1.61%,0.40%,3.61%,HRTA
12,06-11-2025,1.245,1.265,1.200,1.240,41.476.400,51.430.736.000,0.00%,1.61%,-3.61%,-0.40%,1.61%,9.88%,HRTA
13,05-11-2025,1.190,1.305,1.140,1.245,79.152.200,98.544.489.000,-2.06%,7.41%,-6.17%,2.47%,9.66%,8.43%,HRTA
14,04-11-2025,1.255,1.260,1.195,1.215,27.518.700,33.435.220.500,-1.18%,-0.79%,-5.91%,-4.33%,0.40%,2.78%,HRTA
15,03-11-2025,1.265,1.290,1.225,1.270,30.785.700,39.097.839.000,-0.39%,1.57%,-3.54%,0.00%,1.98%,3.88%,HRTA
16,31-10-2025,1.280,1.290,1.240,1.270,32.251.600,40.959.532.000,3.23%,4.03%,0.00%,2.42%,0.78%,6.20%,HRTA
17,30-10-2025,1.240,1.265,1.210,1.240,39.856.800,49.422.432.000,-4.25%,-2.32%,-6.56%,-4.25%,2.02%,5.53%,HRTA
18,29-10-2025,1.195,1.295,1.195,1.295,56.946.700,73.745.976.500,1.27%,9.75%,1.27%,9.75%,8.37%,9.27%,HRTA
19,28-10-2025,1.215,1.240,1.175,1.180,21.983.000,25.939.940.000,-0.41%,1.64%,-3.69%,-3.28%,2.06%,2.82%,HRTA
20,27-10-2025,1.250,1.300,1.205,1.220,23.008.900,28.070.858.000,0.00%,4.00%,-3.60%,-2.40%,4.00%,4.23%,HRTA
21,24-10-2025,1.315,1.315,1.245,1.250,28.232.400,35.290.500.000,-0.38%,-0.38%,-5.68%,-5.30%,0.00%,3.42%,HRTA
22,23-10-2025,1.340,1.360,1.270,1.320,44.836.200,59.183.784.000,0.00%,1.49%,-5.22%,-1.49%,1.49%,11.03%,HRTA
23,22-10-2025,1.250,1.400,1.210,1.340,74.494.500,99.822.630.000,-7.75%,3.32%,-10.70%,-1.11%,12.00%,4.64%,HRTA
24,21-10-2025,1.430,1.460,1.335,1.355,61.577.700,83.437.783.500,5.15%,7.35%,-1.84%,-0.37%,2.10%,9.59%,HRTA
25,20-10-2025,1.480,1.485,1.320,1.360,67.307.000,91.537.520.000,-1.99%,-1.66%,-12.58%,-9.93%,0.34%,3.70%,HRTA
26,17-10-2025,1.695,1.970,1.430,1.510,230.023.900,347.336.089.000,2.73%,19.39%,-13.33%,-8.48%,16.22%,27.66%,HRTA
27,16-10-2025,1.445,1.670,1.425,1.650,112.176.800,185.091.720.000,1.05%,16.78%,-0.35%,15.38%,15.57%,18.26%,HRTA
28,15-10-2025,1.410,1.520,1.365,1.430,136.270.800,194.867.244.000,3.30%,11.36%,0.00%,4.76%,7.80%,23.68%,HRTA
29,14-10-2025,1.170,1.415,1.160,1.365,174.006.800,237.519.282.000,3.08%,24.67%,2.20%,20.26%,20.94%,26.15%,HRTA
30,13-10-2025,1.045,1.220,1.045,1.135,92.691.300,105.204.625.500,0.97%,17.87%,0.97%,9.66%,16.75%,16.80%,HRTA
31,10-10-2025,1.045,1.045,1.015,1.035,16.369.200,16.942.122.000,-1.42%,-1.42%,-4.25%,-2.36%,0.00%,0.48%,HRTA
32,09-10-2025,1.095,1.095,1.040,1.060,27.092.100,28.717.626.000,-0.45%,-0.45%,-5.45%,-3.64%,0.00%,5.48%,HRTA
33,08-10-2025,1.050,1.110,1.035,1.100,50.366.000,55.402.600.000,2.94%,8.82%,1.47%,7.84%,5.71%,8.56%,HRTA
34,07-10-2025,1.080,1.085,1.015,1.020,19.869.300,20.266.686.000,2.37%,2.84%,-3.79%,-3.32%,0.46%,11.98%,HRTA
35,06-10-2025,955,1.100,955,1.055,72.017.800,75.978.779.000,1.60%,17.02%,1.60%,12.23%,15.18%,15.45%,HRTA
36,03-10-2025,955,960,930,940,14.936.200,14.040.028.000,0.00%,0.52%,-2.62%,-1.57%,0.52%,3.13%,HRTA
37,02-10-2025,945,965,930,955,19.793.200,18.902.506.000,0.53%,2.66%,-1.06%,1.60%,2.12%,5.18%,HRTA
38,01-10-2025,920,955,915,940,18.455.800,17.348.452.000,0.55%,4.37%,0.00%,2.73%,3.80%,5.24%,HRTA
39,30-09-2025,945,960,905,915,34.999.800,32.024.817.000,1.61%,3.23%,-2.69%,-1.61%,1.59%,6.77%,HRTA
40,29-09-2025,900,935,895,930,30.432.200,28.301.946.000,1.69%,5.65%,1.13%,5.08%,3.89%,8.02%,HRTA
41,26-09-2025,890,895,860,885,15.474.000,13.694.490.000,0.00%,0.56%,-3.37%,-0.56%,0.56%,2.23%,HRTA
42,25-09-2025,930,930,875,890,37.386.600,33.274.074.000,0.00%,0.00%,-5.91%,-4.30%,0.00%,0.54%,HRTA
43,24-09-2025,945,965,925,930,29.302.100,27.250.953.000,0.00%,2.12%,-2.12%,-1.59%,2.12%,6.22%,HRTA
44,23-09-2025,905,975,905,945,84.692.000,80.033.940.000,2.26%,10.17%,2.26%,6.78%,7.73%,12.82%,HRTA
45,22-09-2025,855,900,850,885,39.426.100,34.892.098.500,1.79%,7.14%,1.19%,5.36%,5.26%,8.89%,HRTA
46,19-09-2025,830,860,820,840,31.212.800,26.218.752.000,-0.60%,2.99%,-1.80%,0.60%,3.61%,4.07%,HRTA
47,18-09-2025,855,860,825,835,28.275.600,23.610.126.000,-0.58%,0.00%,-4.07%,-2.91%,0.58%,0.00%,HRTA
48,17-09-2025,885,885,860,860,28.727.800,24.705.908.000,-0.56%,-0.56%,-3.37%,-3.37%,0.00%,3.39%,HRTA
49,16-09-2025,870,900,855,890,58.802.400,52.334.136.000,2.35%,5.88%,0.59%,4.71%,3.45%,6.67%,HRTA
50,15-09-2025,865,870,840,850,20.155.100,17.131.835.000,0.58%,1.16%,-2.33%,-1.16%,0.58%,4.60%,HRTA
51,12-09-2025,835,865,830,860,44.231.000,38.038.660.000,1.21%,4.85%,0.61%,4.24%,3.59%,5.20%,HRTA
52,11-09-2025,845,855,820,825,19.357.700,15.970.102.500,0.00%,1.18%,-2.96%,-2.37%,1.18%,3.51%,HRTA
53,10-09-2025,845,855,825,845,24.740.700,20.905.891.500,-1.17%,0.00%,-3.51%,-1.17%,1.18%,1.75%,HRTA
54,09-09-2025,860,925,840,855,93.147.200,79.640.856.000,2.38%,10.12%,0.00%,1.79%,7.56%,9.19%,HRTA
55,08-09-2025,860,880,840,840,110.711.400,92.997.576.000,2.99%,5.39%,0.60%,0.60%,2.33%,6.82%,HRTA
56,04-09-2025,910,915,820,835,146.426.200,122.265.877.000,0.00%,0.55%,-9.89%,-8.24%,0.55%,18.58%,HRTA
57,03-09-2025,755,910,745,910,285.079.800,259.422.618.000,3.42%,24.66%,2.05%,24.66%,20.53%,21.43%,HRTA
58,02-09-2025,715,745,715,730,94.171.000,68.744.830.000,2.14%,6.43%,2.14%,4.29%,4.20%,11.41%,HRTA
59,01-09-2025,675,725,660,700,113.153.000,79.207.100.000,-2.17%,5.07%,-4.35%,1.45%,7.41%,8.97%,HRTA
60,29-08-2025,680,710,660,690,98.974.200,68.292.198.000,-0.73%,3.65%,-3.65%,0.73%,4.41%,8.45%,HRTA
61,28-08-2025,650,690,650,685,47.435.900,32.493.591.500,0.78%,6.98%,0.78%,6.20%,6.15%,7.25%,HRTA
62,27-08-2025,640,660,640,645,19.186.400,12.375.228.000,0.00%,3.13%,0.00%,0.78%,3.13%,3.79%,HRTA
63,26-08-2025,655,660,635,640,13.744.600,8.796.544.000,0.77%,1.54%,-2.31%,-1.54%,0.76%,2.27%,HRTA
64,25-08-2025,650,665,645,650,11.677.000,7.590.050.000,1.56%,3.91%,0.78%,1.56%,2.31%,3.76%,HRTA
65,22-08-2025,650,655,640,640,7.551.800,4.833.152.000,0.78%,1.55%,-0.78%,-0.78%,0.77%,3.05%,HRTA
66,21-08-2025,665,670,635,645,31.378.000,20.238.810.000,0.76%,1.52%,-3.79%,-2.27%,0.75%,2.99%,HRTA
67,20-08-2025,670,680,650,660,21.118.300,13.938.078.000,0.00%,1.49%,-2.99%,-1.49%,1.49%,2.21%,HRTA
68,19-08-2025,680,685,665,670,17.584.000,11.781.280.000,-0.73%,0.00%,-2.92%,-2.19%,0.74%,0.73%,HRTA
69,15-08-2025,720,720,680,685,30.470.200,20.872.087.000,-0.69%,-0.69%,-6.21%,-5.52%,0.00%,3.47%,HRTA
70,14-08-2025,695,725,695,725,23.403.700,16.967.682.500,0.00%,4.32%,0.00%,4.32%,4.32%,5.52%,HRTA
71,13-08-2025,695,700,685,695,8.996.600,6.252.637.000,0.72%,1.45%,-0.72%,0.72%,0.72%,2.86%,HRTA
72,12-08-2025,715,715,680,690,25.602.200,17.665.518.000,1.42%,1.42%,-3.55%,-2.13%,0.00%,2.10%,HRTA
73,11-08-2025,740,750,700,705,22.794.000,16.069.770.000,0.68%,2.04%,-4.76%,-4.08%,1.35%,4.67%,HRTA
74,08-08-2025,735,745,715,735,25.929.400,19.058.109.000,0.00%,1.36%,-2.72%,0.00%,1.36%,4.03%,HRTA
75,07-08-2025,720,745,715,735,37.006.800,27.199.998.000,0.00%,3.47%,-0.69%,2.08%,3.47%,10.07%,HRTA
76,06-08-2025,675,725,670,720,51.799.300,37.295.496.000,1.50%,9.02%,0.75%,8.27%,7.41%,8.28%,HRTA
77,05-08-2025,680,700,665,665,17.976.400,11.954.306.000,0.74%,3.70%,-1.48%,-1.48%,2.94%,5.71%,HRTA
78,04-08-2025,660,690,660,675,40.613.100,27.413.842.500,1.54%,6.15%,1.54%,3.85%,4.55%,8.70%,HRTA
79,01-08-2025,630,655,630,650,18.092.800,11.760.320.000,0.80%,4.80%,0.80%,4.00%,3.97%,4.58%,HRTA
80,31-07-2025,640,640,625,625,19.671.300,12.294.562.500,0.00%,0.00%,-2.34%,-2.34%,0.00%,0.78%,HRTA
81,30-07-2025,650,660,635,640,12.849.900,8.223.936.000,0.78%,2.33%,-1.55%,-0.78%,1.54%,3.03%,HRTA
82,29-07-2025,665,675,640,645,65.295.800,42.115.791.000,6.40%,8.00%,2.40%,3.20%,1.50%,9.63%,HRTA
83,28-07-2025,610,630,610,625,9.609.800,6.006.125.000,0.00%,3.28%,0.00%,2.46%,3.28%,3.97%,HRTA
84,25-07-2025,625,625,605,610,8.916.800,5.439.248.000,0.00%,0.00%,-3.20%,-2.40%,0.00%,1.60%,HRTA
85,24-07-2025,630,630,615,625,12.571.400,7.857.125.000,-0.79%,-0.79%,-3.15%,-1.57%,0.00%,0.79%,HRTA
86,23-07-2025,640,650,625,635,11.558.300,7.339.520.500,2.40%,4.00%,0.00%,1.60%,1.56%,4.62%,HRTA
87,22-07-2025,650,670,620,625,37.951.700,23.719.812.500,1.56%,4.69%,-3.13%,-2.34%,3.08%,7.46%,HRTA
