col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HRUM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HRUM
1,21-11-2025,980,980,955,970,10.596.800,10.278.896.000,0.00%,0.00%,-2.55%,-1.02%,0.00%,0.00%,HRUM
2,20-11-2025,990,1.000,980,980,9.975.700,9.776.186.000,0.00%,1.01%,-1.01%,-1.01%,1.01%,2.00%,HRUM
3,19-11-2025,980,1.000,980,990,10.268.500,10.165.815.000,0.00%,2.04%,0.00%,1.02%,2.04%,2.00%,HRUM
4,18-11-2025,1.000,1.010,980,980,27.270.700,26.725.286.000,-1.48%,-0.49%,-3.45%,-3.45%,1.00%,0.50%,HRUM
5,17-11-2025,1.010,1.025,1.005,1.015,10.150.100,10.302.351.500,0.00%,1.49%,-0.50%,0.50%,1.49%,1.95%,HRUM
6,14-11-2025,1.030,1.030,1.005,1.010,22.042.800,22.263.228.000,0.00%,0.00%,-2.43%,-1.94%,0.00%,0.49%,HRUM
7,13-11-2025,1.040,1.055,1.025,1.030,20.134.900,20.738.947.000,-0.95%,0.48%,-2.38%,-1.90%,1.44%,0.47%,HRUM
8,12-11-2025,1.075,1.075,1.050,1.050,8.249.500,8.661.975.000,0.47%,0.47%,-1.87%,-1.87%,0.00%,2.33%,HRUM
9,11-11-2025,1.080,1.080,1.050,1.070,11.273.700,12.062.859.000,1.41%,1.41%,-1.41%,0.47%,0.00%,3.70%,HRUM
10,10-11-2025,1.055,1.070,1.040,1.065,21.857.100,23.277.811.500,1.44%,2.88%,0.00%,2.40%,1.42%,3.74%,HRUM
11,07-11-2025,1.030,1.055,1.030,1.040,12.210.900,12.699.336.000,-0.48%,1.93%,-0.48%,0.48%,2.43%,2.37%,HRUM
12,06-11-2025,1.030,1.055,1.030,1.035,23.278.700,24.093.454.500,0.00%,2.43%,0.00%,0.49%,2.43%,4.27%,HRUM
13,05-11-2025,1.065,1.090,1.010,1.030,58.701.600,60.462.648.000,-1.39%,0.93%,-6.48%,-4.63%,2.35%,1.38%,HRUM
14,04-11-2025,1.110,1.120,1.075,1.080,26.464.800,28.581.984.000,0.00%,0.90%,-3.15%,-2.70%,0.90%,1.79%,HRUM
15,03-11-2025,1.120,1.130,1.100,1.110,47.976.800,53.254.248.000,-4.27%,-3.42%,-5.98%,-5.13%,0.89%,-2.65%,HRUM
16,31-10-2025,1.180,1.190,1.160,1.170,12.587.100,14.726.907.000,0.43%,1.28%,-1.28%,-0.43%,0.85%,2.94%,HRUM
17,30-10-2025,1.175,1.205,1.155,1.175,33.380.900,39.222.557.500,0.00%,2.55%,-1.70%,0.00%,2.55%,9.13%,HRUM
18,29-10-2025,1.095,1.175,1.095,1.175,45.259.000,53.179.325.000,0.46%,7.80%,0.46%,7.80%,7.31%,7.66%,HRUM
19,28-10-2025,1.105,1.115,1.085,1.090,14.584.300,15.896.887.000,0.00%,0.90%,-1.81%,-1.36%,0.90%,4.04%,HRUM
