col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HUMI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HUMI
1,21-11-2025,131,131,127,128,69.620.300,8.911.398.400,0.00%,0.00%,-3.05%,-2.29%,0.00%,3.05%,HUMI
2,20-11-2025,128,141,127,131,370.492.200,48.534.478.200,1.59%,11.90%,0.79%,3.97%,10.16%,11.35%,HUMI
3,19-11-2025,126,129,125,126,41.893.800,5.278.618.800,0.00%,2.38%,-0.79%,0.00%,2.38%,4.65%,HUMI
4,18-11-2025,127,128,123,126,31.167.700,3.927.130.200,0.00%,0.79%,-3.15%,-0.79%,0.79%,2.34%,HUMI
5,17-11-2025,126,129,125,127,36.383.400,4.620.691.800,0.00%,2.38%,-0.79%,0.79%,2.38%,3.88%,HUMI
6,14-11-2025,133,133,124,126,53.452.400,6.735.002.400,1.53%,1.53%,-5.34%,-3.82%,0.00%,100.00%,HUMI
7,12-11-2025,125,128,123,125,34.258.700,4.282.337.500,0.00%,2.40%,-1.60%,0.00%,2.40%,3.13%,HUMI
8,11-11-2025,127,128,124,125,34.101.400,4.262.675.000,0.00%,0.79%,-2.36%,-1.57%,0.79%,4.69%,HUMI
9,10-11-2025,124,127,122,127,47.363.700,6.015.189.900,0.00%,2.42%,-1.61%,2.42%,2.42%,3.94%,HUMI
10,07-11-2025,124,126,122,124,20.020.800,2.482.579.200,0.00%,1.61%,-1.61%,0.00%,1.61%,3.97%,HUMI
11,06-11-2025,125,127,121,124,35.314.900,4.379.047.600,0.00%,1.60%,-3.20%,-0.80%,1.60%,3.15%,HUMI
12,05-11-2025,123,133,123,125,152.777.200,19.097.150.000,2.50%,10.83%,2.50%,4.17%,8.13%,11.28%,HUMI
13,04-11-2025,123,124,118,120,51.139.400,6.136.728.000,0.00%,0.81%,-4.07%,-2.44%,0.81%,0.81%,HUMI
14,03-11-2025,126,128,123,123,39.324.600,4.836.925.800,0.00%,1.59%,-2.38%,-2.38%,1.59%,3.13%,HUMI
15,31-10-2025,129,130,124,126,35.940.800,4.528.540.800,0.78%,1.56%,-3.13%,-1.56%,0.78%,3.08%,HUMI
16,30-10-2025,129,131,126,128,51.629.500,6.608.576.000,0.78%,2.34%,-1.56%,0.00%,1.55%,3.05%,HUMI
17,29-10-2025,130,133,127,128,63.537.400,8.132.787.200,0.78%,3.10%,-1.55%,-0.78%,2.31%,9.02%,HUMI
18,28-10-2025,126,132,121,129,123.585.100,15.942.477.900,0.00%,4.76%,-3.97%,2.38%,4.76%,5.30%,HUMI
19,27-10-2025,131,136,125,126,125.727.500,15.841.665.000,1.55%,5.43%,-3.10%,-2.33%,3.82%,5.15%,HUMI
20,24-10-2025,130,138,129,129,112.226.800,14.477.257.200,0.00%,6.15%,-0.77%,-0.77%,6.15%,7.25%,HUMI
