col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),HYGN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,HYGN
1,21-11-2025,162,163,160,162,411.900,66.727.800,-0.61%,0.00%,-1.84%,-0.61%,0.62%,1.84%,HYGN
2,20-11-2025,162,163,160,163,196.800,32.078.400,0.00%,0.62%,-1.23%,0.62%,0.62%,1.23%,HYGN
3,19-11-2025,162,162,161,162,293.200,47.498.400,-1.22%,-1.22%,-1.83%,-1.22%,0.00%,0.62%,HYGN
4,18-11-2025,162,164,161,164,678.900,111.339.600,-1.22%,0.00%,-1.83%,0.00%,1.23%,2.44%,HYGN
5,17-11-2025,162,164,160,164,670.500,109.962.000,-1.22%,0.00%,-2.44%,0.00%,1.23%,1.22%,HYGN
6,14-11-2025,165,165,162,164,870.400,142.745.600,0.00%,0.00%,-1.82%,-0.61%,0.00%,100.00%,HYGN
7,12-11-2025,172,172,162,167,3.574.000,596.858.000,0.00%,0.00%,-5.81%,-2.91%,0.00%,4.07%,HYGN
8,11-11-2025,171,172,165,172,569.000,97.868.000,0.00%,0.58%,-3.51%,0.58%,0.58%,1.74%,HYGN
9,10-11-2025,173,173,169,171,519.900,88.902.900,0.00%,0.00%,-2.31%,-1.16%,0.00%,1.73%,HYGN
10,07-11-2025,173,173,170,173,532.400,92.105.200,0.00%,0.00%,-1.73%,0.00%,0.00%,1.73%,HYGN
11,06-11-2025,171,173,170,173,561.400,97.122.200,0.00%,1.17%,-0.58%,1.17%,1.17%,2.31%,HYGN
12,05-11-2025,172,172,169,171,314.400,53.762.400,-0.58%,-0.58%,-2.31%,-1.16%,0.00%,1.16%,HYGN
13,04-11-2025,174,175,170,173,399.400,69.096.200,0.00%,0.57%,-2.30%,-0.57%,0.57%,5.71%,HYGN
14,03-11-2025,171,174,165,174,1.487.500,258.825.000,0.00%,1.75%,-3.51%,1.75%,1.75%,5.17%,HYGN
15,31-10-2025,170,171,165,171,732.500,125.257.500,0.00%,0.59%,-2.94%,0.59%,0.59%,6.43%,HYGN
16,30-10-2025,163,170,160,170,2.371.500,403.155.000,-0.61%,3.66%,-2.44%,3.66%,4.29%,6.47%,HYGN
17,29-10-2025,164,165,159,164,714.200,117.128.800,0.00%,0.61%,-3.05%,0.00%,0.61%,1.82%,HYGN
