col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IBFN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IBFN
1,21-11-2025,73,73,73,73,1.128.800,82.402.400,8.96%,8.96%,8.96%,8.96%,0.00%,8.22%,IBFN
2,20-11-2025,67,67,67,67,1.932.500,129.477.500,9.84%,9.84%,9.84%,9.84%,0.00%,8.96%,IBFN
3,19-11-2025,61,61,61,61,928.400,56.632.400,8.93%,8.93%,8.93%,8.93%,0.00%,8.20%,IBFN
4,18-11-2025,56,56,56,56,1.151.300,64.472.800,9.80%,9.80%,9.80%,9.80%,0.00%,16.07%,IBFN
5,17-11-2025,51,51,47,51,1.075.700,54.860.700,-1.92%,-1.92%,-9.62%,-1.92%,0.00%,13.73%,IBFN
6,14-11-2025,48,52,44,52,987.700,51.360.400,0.00%,8.33%,-8.33%,8.33%,8.33%,100.00%,IBFN
7,12-11-2025,43,46,40,46,1.315.800,60.526.800,0.00%,6.98%,-6.98%,6.98%,6.98%,6.52%,IBFN
8,11-11-2025,44,44,43,43,234.400,10.079.200,0.00%,0.00%,-2.27%,-2.27%,0.00%,0.00%,IBFN
9,10-11-2025,48,48,44,44,1.494.000,65.736.000,0.00%,0.00%,-8.33%,-8.33%,0.00%,0.00%,IBFN
10,07-11-2025,48,48,48,48,340.900,16.363.200,-7.69%,-7.69%,-7.69%,-7.69%,0.00%,-2.08%,IBFN
11,06-11-2025,49,58,49,52,2.624.000,136.448.000,-9.26%,7.41%,-9.26%,-3.70%,18.37%,6.90%,IBFN
12,05-11-2025,56,56,54,54,618.400,33.393.600,9.80%,9.80%,5.88%,5.88%,0.00%,16.07%,IBFN
13,04-11-2025,51,51,47,51,833.800,42.523.800,2.00%,2.00%,-6.00%,2.00%,0.00%,1.96%,IBFN
14,03-11-2025,53,53,50,50,471.100,23.555.000,8.16%,8.16%,2.04%,2.04%,0.00%,22.64%,IBFN
15,31-10-2025,41,49,41,49,1.475.400,72.294.600,-8.89%,8.89%,-8.89%,8.89%,19.51%,8.16%,IBFN
16,30-10-2025,49,49,45,45,1.217.600,54.792.000,0.00%,0.00%,-8.16%,-8.16%,0.00%,0.00%,IBFN
17,29-10-2025,53,53,49,49,1.630.100,79.874.900,8.16%,8.16%,0.00%,0.00%,0.00%,7.55%,IBFN
18,28-10-2025,49,49,49,49,2.321.600,113.758.400,8.89%,8.89%,8.89%,8.89%,0.00%,8.16%,IBFN
19,27-10-2025,45,45,45,45,896.100,40.324.500,9.76%,9.76%,9.76%,9.76%,0.00%,8.89%,IBFN
20,24-10-2025,41,41,41,41,316.900,12.992.900,7.89%,7.89%,7.89%,7.89%,0.00%,7.32%,IBFN
21,23-10-2025,38,38,38,38,2.310.500,87.799.000,-9.52%,-9.52%,-9.52%,-9.52%,0.00%,-10.53%,IBFN
22,22-10-2025,42,42,42,42,1.819.200,76.406.400,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,IBFN
23,21-10-2025,39,39,39,39,94.500,3.685.500,8.33%,8.33%,8.33%,8.33%,0.00%,10.26%,IBFN
24,20-10-2025,35,36,35,36,683.500,24.606.000,6.06%,9.09%,6.06%,9.09%,2.86%,8.33%,IBFN
25,17-10-2025,33,33,33,33,2.776.900,91.637.700,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,IBFN
26,16-10-2025,33,33,33,33,4.107.700,135.554.100,-8.33%,-8.33%,-8.33%,-8.33%,0.00%,-9.09%,IBFN
27,15-10-2025,38,38,36,36,2.028.800,73.036.800,-2.56%,-2.56%,-7.69%,-7.69%,0.00%,-2.63%,IBFN
28,14-10-2025,43,43,39,39,1.667.400,65.028.600,0.00%,0.00%,-9.30%,-9.30%,0.00%,0.00%,IBFN
29,13-10-2025,44,44,43,43,2.361.500,101.544.500,0.00%,0.00%,-2.27%,-2.27%,0.00%,0.00%,IBFN
30,10-10-2025,45,45,44,44,3.246.700,142.854.800,0.00%,0.00%,-2.22%,-2.22%,0.00%,0.00%,IBFN
31,09-10-2025,48,48,45,45,7.033.400,316.503.000,-2.04%,-2.04%,-8.16%,-8.16%,0.00%,-2.08%,IBFN
32,08-10-2025,50,50,49,49,3.706.600,181.623.400,-7.41%,-7.41%,-9.26%,-9.26%,0.00%,-8.00%,IBFN
33,07-10-2025,55,55,54,54,489.100,26.411.400,-8.33%,-8.33%,-10.00%,-10.00%,0.00%,-9.09%,IBFN
34,06-10-2025,60,60,60,60,294.100,17.646.000,-9.09%,-9.09%,-9.09%,-9.09%,0.00%,-10.00%,IBFN
35,03-10-2025,66,66,66,66,378.300,24.967.800,-9.59%,-9.59%,-9.59%,-9.59%,0.00%,-10.61%,IBFN
36,02-10-2025,73,73,73,73,1.134.400,82.811.200,-9.88%,-9.88%,-9.88%,-9.88%,0.00%,-10.96%,IBFN
37,01-10-2025,85,85,81,81,1.123.000,90.963.000,-5.56%,-5.56%,-10.00%,-10.00%,0.00%,3.53%,IBFN
38,30-09-2025,82,90,82,90,1.082.800,97.452.000,0.00%,9.76%,0.00%,9.76%,9.76%,8.89%,IBFN
39,29-09-2025,82,82,82,82,2.621.500,214.963.000,9.33%,9.33%,9.33%,9.33%,0.00%,8.54%,IBFN
40,26-09-2025,75,75,75,75,1.975.000,148.125.000,8.70%,8.70%,8.70%,8.70%,0.00%,8.00%,IBFN
41,25-09-2025,69,69,69,69,821.100,56.655.900,9.52%,9.52%,9.52%,9.52%,0.00%,8.70%,IBFN
42,24-09-2025,63,63,63,63,250.400,15.775.200,8.62%,8.62%,8.62%,8.62%,0.00%,7.94%,IBFN
43,23-09-2025,58,58,58,58,407.000,23.606.000,9.43%,9.43%,9.43%,9.43%,0.00%,8.62%,IBFN
44,22-09-2025,53,53,53,53,1.359.800,72.069.400,8.16%,8.16%,8.16%,8.16%,0.00%,11.32%,IBFN
45,19-09-2025,49,49,47,49,1.563.900,76.631.100,6.52%,6.52%,2.17%,6.52%,0.00%,22.45%,IBFN
46,18-09-2025,46,46,38,46,4.152.100,190.996.600,9.52%,9.52%,-9.52%,9.52%,0.00%,8.70%,IBFN
47,17-09-2025,42,42,42,42,1.380.300,57.972.600,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,IBFN
48,16-09-2025,39,39,39,39,591.900,23.084.100,8.33%,8.33%,8.33%,8.33%,0.00%,7.69%,IBFN
49,15-09-2025,36,36,36,36,946.600,34.077.600,9.09%,9.09%,9.09%,9.09%,0.00%,13.89%,IBFN
50,12-09-2025,31,33,31,33,1.162.200,38.352.600,0.00%,6.45%,0.00%,6.45%,6.45%,18.18%,IBFN
51,11-09-2025,30,31,27,31,1.389.100,43.062.100,3.45%,6.90%,-6.90%,6.90%,3.33%,19.35%,IBFN
