col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IBOS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IBOS
1,21-11-2025,56,60,55,60,42.714.400,2.562.864.000,1.82%,9.09%,0.00%,9.09%,7.14%,10.00%,IBOS
2,20-11-2025,55,57,54,55,12.681.400,697.477.000,-1.79%,1.79%,-3.57%,-1.79%,3.64%,5.26%,IBOS
3,19-11-2025,55,57,54,56,9.883.200,553.459.200,0.00%,3.64%,-1.82%,1.82%,3.64%,8.77%,IBOS
4,18-11-2025,52,58,52,55,35.135.400,1.932.447.000,-1.89%,9.43%,-1.89%,3.77%,11.54%,10.34%,IBOS
5,17-11-2025,54,55,52,53,6.478.000,343.334.000,0.00%,1.85%,-3.70%,-1.85%,1.85%,3.64%,IBOS
6,14-11-2025,54,55,53,54,6.839.800,369.349.200,0.00%,1.85%,-1.85%,0.00%,1.85%,100.00%,IBOS
7,12-11-2025,54,56,52,55,18.522.700,1.018.748.500,1.89%,5.66%,-1.89%,3.77%,3.70%,5.36%,IBOS
8,11-11-2025,54,59,53,53,8.534.800,452.344.400,-1.82%,7.27%,-3.64%,-3.64%,9.26%,11.86%,IBOS
9,10-11-2025,52,57,52,55,21.912.700,1.205.198.500,0.00%,9.62%,0.00%,5.77%,9.62%,10.53%,IBOS
10,07-11-2025,53,54,51,52,13.546.700,704.428.400,0.00%,1.89%,-3.77%,-1.89%,1.89%,3.70%,IBOS
11,06-11-2025,54,55,52,53,13.789.300,730.832.900,-1.82%,0.00%,-5.45%,-3.64%,1.85%,7.27%,IBOS
12,05-11-2025,56,56,51,55,20.565.800,1.131.119.000,1.82%,1.82%,-7.27%,0.00%,0.00%,1.79%,IBOS
13,04-11-2025,66,67,55,55,98.378.400,5.410.812.000,8.20%,9.84%,-9.84%,-9.84%,1.52%,16.42%,IBOS
14,03-11-2025,61,61,56,61,24.297.000,1.482.117.000,8.93%,8.93%,0.00%,8.93%,0.00%,16.39%,IBOS
15,31-10-2025,51,56,51,56,19.085.500,1.068.788.000,0.00%,9.80%,0.00%,9.80%,9.80%,8.93%,IBOS
16,30-10-2025,52,53,51,51,2.814.900,143.559.900,0.00%,1.92%,-1.92%,-1.92%,1.92%,3.77%,IBOS
17,29-10-2025,51,53,51,52,3.439.400,178.848.800,-3.77%,0.00%,-3.77%,-1.89%,3.92%,5.66%,IBOS
18,28-10-2025,52,53,50,53,4.453.000,236.009.000,1.96%,3.92%,-1.96%,3.92%,1.92%,7.55%,IBOS
19,27-10-2025,53,54,49,51,9.537.200,486.397.200,0.00%,1.89%,-7.55%,-3.77%,1.89%,3.70%,IBOS
20,24-10-2025,53,54,52,53,4.757.900,252.168.700,0.00%,1.89%,-1.89%,0.00%,1.89%,3.70%,IBOS
21,23-10-2025,53,54,52,53,2.746.100,145.543.300,0.00%,1.89%,-1.89%,0.00%,1.89%,5.56%,IBOS
22,22-10-2025,53,54,51,53,3.913.800,207.431.400,0.00%,1.89%,-3.77%,0.00%,1.89%,9.26%,IBOS
23,21-10-2025,54,54,49,53,15.805.600,837.696.800,1.89%,1.89%,-7.55%,0.00%,0.00%,5.56%,IBOS
24,20-10-2025,56,56,51,53,24.877.200,1.318.491.600,0.00%,0.00%,-8.93%,-5.36%,0.00%,0.00%,IBOS
25,17-10-2025,62,65,56,56,37.132.900,2.079.442.400,0.00%,4.84%,-9.68%,-9.68%,4.84%,4.62%,IBOS
26,16-10-2025,67,70,62,62,27.059.100,1.677.664.200,-1.47%,2.94%,-8.82%,-8.82%,4.48%,12.86%,IBOS
27,15-10-2025,65,71,61,68,17.993.200,1.223.537.600,0.00%,9.23%,-6.15%,4.62%,9.23%,14.08%,IBOS
28,14-10-2025,68,68,61,65,12.966.200,842.803.000,1.49%,1.49%,-8.96%,-2.99%,0.00%,4.41%,IBOS
29,13-10-2025,68,69,65,67,8.847.500,592.782.500,0.00%,1.47%,-4.41%,-1.47%,1.47%,4.35%,IBOS
30,10-10-2025,75,75,66,68,12.516.000,851.088.000,7.14%,7.14%,-5.71%,-2.86%,0.00%,17.33%,IBOS
31,09-10-2025,65,70,62,70,17.732.400,1.241.268.000,1.56%,9.38%,-3.13%,9.38%,7.69%,8.57%,IBOS
32,08-10-2025,67,71,64,64,18.047.400,1.155.033.600,0.00%,5.97%,-4.48%,-4.48%,5.97%,21.13%,IBOS
33,07-10-2025,61,67,56,67,34.571.400,2.316.283.800,0.00%,9.84%,-8.20%,9.84%,9.84%,8.96%,IBOS
34,06-10-2025,67,69,61,61,28.139.900,1.716.533.900,0.00%,2.99%,-8.96%,-8.96%,2.99%,5.80%,IBOS
35,03-10-2025,70,72,65,67,16.206.600,1.085.842.200,0.00%,2.86%,-7.14%,-4.29%,2.86%,5.56%,IBOS
36,02-10-2025,73,75,68,70,32.009.400,2.240.658.000,0.00%,2.74%,-6.85%,-4.11%,2.74%,8.00%,IBOS
37,01-10-2025,76,77,69,73,18.079.300,1.319.788.900,1.33%,2.67%,-8.00%,-2.67%,1.32%,16.88%,IBOS
38,30-09-2025,68,75,64,75,39.949.000,2.996.175.000,-1.45%,8.70%,-7.25%,8.70%,10.29%,9.33%,IBOS
39,29-09-2025,75,76,68,69,42.843.400,2.956.194.600,0.00%,1.33%,-9.33%,-8.00%,1.33%,2.63%,IBOS
40,26-09-2025,82,89,74,75,89.527.900,6.714.592.500,0.00%,8.54%,-9.76%,-8.54%,8.54%,15.73%,IBOS
41,25-09-2025,82,82,75,82,96.518.000,7.914.476.000,9.33%,9.33%,0.00%,9.33%,0.00%,23.17%,IBOS
42,24-09-2025,75,75,63,75,130.421.300,9.781.597.500,8.70%,8.70%,-8.70%,8.70%,0.00%,8.00%,IBOS
43,23-09-2025,69,69,69,69,7.124.200,491.569.800,9.52%,9.52%,9.52%,9.52%,0.00%,15.94%,IBOS
44,22-09-2025,58,63,58,63,6.329.100,398.733.300,0.00%,8.62%,0.00%,8.62%,8.62%,14.29%,IBOS
45,19-09-2025,58,58,54,58,41.760.300,2.422.097.400,9.43%,9.43%,1.89%,9.43%,0.00%,18.97%,IBOS
46,18-09-2025,49,53,47,53,73.982.500,3.921.072.500,0.00%,8.16%,-4.08%,8.16%,8.16%,13.21%,IBOS
47,17-09-2025,47,49,46,49,25.197.600,1.234.682.400,0.00%,4.26%,-2.13%,4.26%,4.26%,8.16%,IBOS
48,16-09-2025,48,49,45,47,31.439.700,1.477.665.900,0.00%,2.08%,-6.25%,-2.08%,2.08%,6.12%,IBOS
49,15-09-2025,49,49,46,48,24.939.100,1.197.076.800,4.26%,4.26%,-2.13%,2.13%,0.00%,12.24%,IBOS
50,12-09-2025,44,47,43,47,49.863.800,2.343.598.600,2.33%,9.30%,0.00%,9.30%,6.82%,10.64%,IBOS
51,11-09-2025,44,45,42,43,10.535.100,453.009.300,0.00%,2.27%,-4.55%,-2.27%,2.27%,8.89%,IBOS
52,10-09-2025,44,46,41,44,17.986.000,791.384.000,0.00%,4.55%,-6.82%,0.00%,4.55%,4.35%,IBOS
53,09-09-2025,50,52,44,44,67.451.700,2.967.874.800,4.17%,8.33%,-8.33%,-8.33%,4.00%,15.38%,IBOS
54,08-09-2025,44,48,44,48,29.899.400,1.435.171.200,0.00%,9.09%,0.00%,9.09%,9.09%,18.75%,IBOS
55,04-09-2025,40,44,39,44,131.679.300,5.793.889.200,0.00%,10.00%,-2.50%,10.00%,10.00%,11.36%,IBOS
56,03-09-2025,41,41,39,40,19.284.100,771.364.000,0.00%,0.00%,-4.88%,-2.44%,0.00%,4.88%,IBOS
57,02-09-2025,41,41,39,41,26.298.400,1.078.234.400,0.00%,0.00%,-4.88%,0.00%,0.00%,7.32%,IBOS
58,01-09-2025,40,42,38,41,19.651.300,805.703.300,-2.44%,2.44%,-7.32%,0.00%,5.00%,4.76%,IBOS
59,29-08-2025,43,43,40,41,19.980.200,819.188.200,0.00%,0.00%,-6.98%,-4.65%,0.00%,4.65%,IBOS
60,28-08-2025,42,43,41,43,26.241.200,1.128.371.600,2.44%,4.88%,0.00%,4.88%,2.38%,6.98%,IBOS
61,27-08-2025,43,43,40,41,23.611.900,968.087.900,2.38%,2.38%,-4.76%,-2.38%,0.00%,11.63%,IBOS
62,26-08-2025,41,45,38,42,83.733.600,3.516.811.200,0.00%,9.76%,-7.32%,2.44%,9.76%,11.11%,IBOS
63,25-08-2025,45,45,40,41,40.900.200,1.676.908.200,2.27%,2.27%,-9.09%,-6.82%,0.00%,8.89%,IBOS
64,22-08-2025,48,48,41,44,59.191.500,2.604.426.000,9.09%,9.09%,-6.82%,0.00%,0.00%,16.67%,IBOS
65,21-08-2025,43,44,40,44,42.439.600,1.867.342.400,7.50%,10.00%,0.00%,10.00%,2.33%,15.91%,IBOS
66,20-08-2025,40,40,37,40,21.155.100,846.204.000,8.11%,8.11%,0.00%,8.11%,0.00%,17.50%,IBOS
67,19-08-2025,35,37,33,37,23.219.500,859.121.500,2.94%,8.82%,-2.94%,8.82%,5.71%,10.81%,IBOS
68,15-08-2025,35,36,33,34,8.572.800,291.475.200,0.00%,2.86%,-5.71%,-2.86%,2.86%,5.56%,IBOS
69,14-08-2025,34,36,34,35,10.390.700,363.674.500,-2.86%,2.86%,-2.86%,0.00%,5.88%,13.89%,IBOS
70,13-08-2025,33,36,31,35,12.921.100,452.238.500,0.00%,9.09%,-6.06%,6.06%,9.09%,11.11%,IBOS
71,12-08-2025,34,35,32,33,9.031.400,298.036.200,0.00%,2.94%,-5.88%,-2.94%,2.94%,2.86%,IBOS
72,11-08-2025,37,38,34,34,15.667.600,532.698.400,0.00%,2.70%,-8.11%,-8.11%,2.70%,5.26%,IBOS
73,08-08-2025,42,42,36,37,59.133.000,2.187.921.000,7.69%,7.69%,-7.69%,-5.13%,0.00%,7.14%,IBOS
74,07-08-2025,39,39,39,39,4.335.700,169.092.300,8.33%,8.33%,8.33%,8.33%,0.00%,7.69%,IBOS
75,06-08-2025,36,36,36,36,6.156.900,221.648.400,9.09%,9.09%,9.09%,9.09%,0.00%,11.11%,IBOS
76,05-08-2025,32,33,32,33,24.215.400,799.108.200,6.67%,10.00%,6.67%,10.00%,3.13%,15.15%,IBOS
77,04-08-2025,29,30,28,30,8.515.000,255.450.000,3.57%,7.14%,0.00%,7.14%,3.45%,13.33%,IBOS
78,01-08-2025,26,28,26,28,11.483.000,321.524.000,0.00%,7.69%,0.00%,7.69%,7.69%,7.14%,IBOS
79,31-07-2025,27,28,26,26,5.441.700,141.484.200,0.00%,3.70%,-3.70%,-3.70%,3.70%,7.14%,IBOS
80,30-07-2025,27,27,26,27,1.004.300,27.116.100,0.00%,0.00%,-3.70%,0.00%,0.00%,3.70%,IBOS
81,29-07-2025,27,28,26,27,1.438.900,38.850.300,0.00%,3.70%,-3.70%,0.00%,3.70%,7.14%,IBOS
82,28-07-2025,27,28,26,27,7.072.700,190.962.900,0.00%,3.70%,-3.70%,0.00%,3.70%,7.14%,IBOS
83,25-07-2025,27,27,26,27,2.744.000,74.088.000,0.00%,0.00%,-3.70%,0.00%,0.00%,3.70%,IBOS
84,24-07-2025,27,27,26,27,1.501.500,40.540.500,3.85%,3.85%,0.00%,3.85%,0.00%,3.70%,IBOS
