col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IGAR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IGAR
1,21-11-2025,500,500,498,500,17.100,8.550.000,-0.99%,-0.99%,-1.39%,-0.99%,0.00%,0.00%,IGAR
2,20-11-2025,505,510,500,505,25.300,12.776.500,0.00%,0.99%,-0.99%,0.00%,0.99%,1.96%,IGAR
3,19-11-2025,500,505,500,505,4.500,2.272.500,0.00%,1.00%,0.00%,1.00%,1.00%,0.99%,IGAR
4,18-11-2025,505,505,500,500,803.400,401.700.000,1.00%,1.00%,0.00%,0.00%,0.00%,1.39%,IGAR
5,17-11-2025,500,500,498,500,98.100,49.050.000,0.00%,0.00%,-0.40%,0.00%,0.00%,0.00%,IGAR
6,14-11-2025,500,500,500,500,700,350.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,IGAR
7,13-11-2025,500,500,498,500,3.500,1.750.000,0.00%,0.00%,-0.40%,0.00%,0.00%,0.40%,IGAR
8,12-11-2025,500,500,498,500,6.800,3.400.000,-0.99%,-0.99%,-1.39%,-0.99%,0.00%,0.80%,IGAR
9,11-11-2025,505,505,496,505,31.200,15.756.000,0.00%,0.00%,-1.78%,0.00%,0.00%,0.99%,IGAR
10,10-11-2025,505,505,500,505,4.700,2.373.500,0.00%,0.00%,-0.99%,0.00%,0.00%,0.99%,IGAR
11,07-11-2025,500,510,500,505,17.200,8.686.000,0.00%,2.00%,0.00%,1.00%,2.00%,1.96%,IGAR
12,06-11-2025,505,510,500,500,32.300,16.150.000,1.00%,2.00%,0.00%,0.00%,0.99%,1.96%,IGAR
13,05-11-2025,505,505,500,500,5.200,2.600.000,0.00%,0.00%,-0.99%,-0.99%,0.00%,0.99%,IGAR
14,04-11-2025,505,505,500,505,16.900,8.534.500,0.00%,0.00%,-0.99%,0.00%,0.00%,0.00%,IGAR
15,03-11-2025,510,510,505,505,25.700,12.978.500,0.00%,0.00%,-0.98%,-0.98%,0.00%,1.96%,IGAR
16,31-10-2025,505,515,500,510,587.600,299.676.000,1.00%,3.00%,0.00%,2.00%,1.98%,2.91%,IGAR
17,30-10-2025,505,505,500,500,25.300,12.650.000,1.00%,1.00%,0.00%,0.00%,0.00%,0.99%,IGAR
18,29-10-2025,500,505,500,500,16.400,8.200.000,0.00%,1.00%,0.00%,0.00%,1.00%,1.39%,IGAR
19,28-10-2025,498,500,498,500,17.800,8.900.000,0.00%,0.40%,0.00%,0.40%,0.40%,0.40%,IGAR
20,27-10-2025,500,505,498,498,12.100,6.025.800,0.00%,1.00%,-0.40%,-0.40%,1.00%,1.39%,IGAR
21,24-10-2025,500,500,498,500,343.300,171.650.000,0.81%,0.81%,0.40%,0.81%,0.00%,0.80%,IGAR
22,23-10-2025,500,500,496,496,29.800,14.780.800,0.00%,0.00%,-0.80%,-0.80%,0.00%,0.40%,IGAR
23,22-10-2025,500,500,498,500,37.800,18.900.000,-0.99%,-0.99%,-1.39%,-0.99%,0.00%,0.00%,IGAR
24,21-10-2025,500,505,500,505,3.000,1.515.000,0.00%,1.00%,0.00%,1.00%,1.00%,0.99%,IGAR
25,20-10-2025,500,505,500,500,2.200,1.100.000,0.00%,1.00%,0.00%,0.00%,1.00%,1.39%,IGAR
26,17-10-2025,498,500,498,500,4.100,2.050.000,-0.40%,0.00%,-0.40%,0.00%,0.40%,0.40%,IGAR
27,16-10-2025,498,505,498,500,2.800,1.400.000,0.00%,1.41%,0.00%,0.40%,1.41%,1.39%,IGAR
28,15-10-2025,510,510,498,498,6.100,3.037.800,0.00%,0.00%,-2.35%,-2.35%,0.00%,3.92%,IGAR
29,14-10-2025,510,515,490,510,88.900,45.339.000,0.00%,0.98%,-3.92%,0.00%,0.98%,2.91%,IGAR
30,13-10-2025,515,515,500,510,413.200,210.732.000,0.00%,0.00%,-2.91%,-0.97%,0.00%,0.97%,IGAR
31,10-10-2025,510,520,510,515,5.400,2.781.000,0.00%,1.96%,0.00%,0.98%,1.96%,2.88%,IGAR
32,09-10-2025,515,515,505,510,16.100,8.211.000,0.98%,0.98%,-0.98%,0.00%,0.00%,0.97%,IGAR
33,08-10-2025,515,515,510,510,9.400,4.794.000,0.98%,0.98%,0.00%,0.00%,0.00%,0.97%,IGAR
34,07-10-2025,525,525,510,510,19.200,9.792.000,1.94%,1.94%,-0.97%,-0.97%,0.00%,2.86%,IGAR
35,06-10-2025,525,530,510,515,22.400,11.536.000,2.94%,3.92%,0.00%,0.98%,0.95%,3.77%,IGAR
36,03-10-2025,525,525,510,510,54.500,27.795.000,0.00%,0.00%,-2.86%,-2.86%,0.00%,2.86%,IGAR
37,02-10-2025,515,530,510,525,31.800,16.695.000,0.00%,2.91%,-0.97%,1.94%,2.91%,2.83%,IGAR
38,01-10-2025,515,525,515,515,35.800,18.437.000,0.00%,1.94%,0.00%,0.00%,1.94%,2.86%,IGAR
39,30-09-2025,520,530,510,515,279.700,144.045.500,0.97%,2.91%,-0.97%,0.00%,1.92%,3.77%,IGAR
40,29-09-2025,515,520,510,515,5.500,2.832.500,0.00%,0.97%,-0.97%,0.00%,0.97%,1.92%,IGAR
41,26-09-2025,520,520,510,515,27.800,14.317.000,0.97%,0.97%,-0.97%,0.00%,0.00%,1.92%,IGAR
42,25-09-2025,520,520,510,515,6.000,3.090.000,0.97%,0.97%,-0.97%,0.00%,0.00%,0.96%,IGAR
43,24-09-2025,525,525,515,515,39.500,20.342.500,0.96%,0.96%,-0.96%,-0.96%,0.00%,0.95%,IGAR
44,23-09-2025,530,530,520,520,34.100,17.732.000,1.92%,1.92%,0.00%,0.00%,0.00%,3.77%,IGAR
45,22-09-2025,510,520,510,520,21.900,11.388.000,0.00%,1.96%,0.00%,1.96%,1.96%,1.92%,IGAR
46,19-09-2025,515,520,510,510,60.700,30.957.000,0.98%,1.96%,0.00%,0.00%,0.97%,1.92%,IGAR
47,18-09-2025,520,520,510,510,10.600,5.406.000,0.97%,0.97%,-0.97%,-0.97%,0.00%,0.96%,IGAR
48,17-09-2025,530,530,515,515,26.500,13.647.500,1.92%,1.92%,-0.96%,-0.96%,0.00%,2.83%,IGAR
49,16-09-2025,525,525,515,520,20.200,10.504.000,1.94%,1.94%,0.00%,0.97%,0.00%,2.86%,IGAR
50,15-09-2025,510,525,510,515,15.200,7.828.000,0.00%,2.94%,0.00%,0.98%,2.94%,2.86%,IGAR
51,12-09-2025,510,510,510,510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,IGAR
52,11-09-2025,515,520,510,510,36.400,18.564.000,0.00%,0.97%,-0.97%,-0.97%,0.97%,0.96%,IGAR
53,10-09-2025,515,520,515,515,8.700,4.480.500,0.98%,1.96%,0.98%,0.98%,0.97%,1.92%,IGAR
54,09-09-2025,515,515,510,510,23.000,11.730.000,-0.96%,-0.96%,-1.92%,-1.92%,0.00%,0.97%,IGAR
55,08-09-2025,525,525,510,520,8.700,4.524.000,0.00%,0.00%,-2.86%,-0.95%,0.00%,2.86%,IGAR
56,04-09-2025,515,525,510,525,28.300,14.857.500,-1.90%,0.00%,-2.86%,0.00%,1.94%,1.90%,IGAR
57,03-09-2025,525,525,515,525,36.200,19.005.000,0.96%,0.96%,-0.96%,0.96%,0.00%,1.90%,IGAR
58,02-09-2025,530,530,515,520,8.100,4.212.000,1.92%,1.92%,-0.96%,0.00%,0.00%,3.77%,IGAR
59,01-09-2025,520,530,510,520,34.000,17.680.000,0.00%,1.92%,-1.92%,0.00%,1.92%,3.77%,IGAR
60,29-08-2025,530,530,510,520,16.900,8.788.000,0.00%,0.00%,-3.77%,-1.89%,0.00%,3.77%,IGAR
61,28-08-2025,535,535,510,530,271.300,143.789.000,0.00%,0.00%,-4.67%,-0.93%,0.00%,0.00%,IGAR
62,27-08-2025,535,535,535,535,20.600,11.021.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,IGAR
63,26-08-2025,535,545,535,535,17.300,9.255.500,0.00%,1.87%,0.00%,0.00%,1.87%,1.83%,IGAR
64,25-08-2025,540,545,535,535,9.300,4.975.500,0.00%,0.93%,-0.93%,-0.93%,0.93%,3.67%,IGAR
65,22-08-2025,535,540,525,540,21.700,11.718.000,0.00%,0.93%,-1.87%,0.93%,0.93%,0.93%,IGAR
66,21-08-2025,550,550,535,535,22.200,11.877.000,0.00%,0.00%,-2.73%,-2.73%,0.00%,3.64%,IGAR
67,20-08-2025,545,550,530,550,301.600,165.880.000,-0.91%,0.00%,-3.64%,0.00%,0.92%,0.00%,IGAR
68,19-08-2025,555,555,550,550,12.200,6.710.000,0.00%,0.00%,-0.90%,-0.90%,0.00%,0.00%,IGAR
69,15-08-2025,555,555,555,555,1.600,888.000,1.83%,1.83%,1.83%,1.83%,0.00%,2.70%,IGAR
