col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IKAI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IKAI
1,21-11-2025,14,14,14,14,104.299.000,1.460.186.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,IKAI
2,20-11-2025,15,16,14,14,91.503.200,1.281.044.800,0.00%,6.67%,-6.67%,-6.67%,6.67%,6.25%,IKAI
3,19-11-2025,16,16,15,15,77.308.900,1.159.633.500,6.67%,6.67%,0.00%,0.00%,0.00%,6.25%,IKAI
4,18-11-2025,15,16,15,15,55.009.700,825.145.500,-6.25%,0.00%,-6.25%,-6.25%,6.67%,0.00%,IKAI
5,17-11-2025,16,16,16,16,35.889.200,574.227.200,-5.88%,-5.88%,-5.88%,-5.88%,0.00%,0.00%,IKAI
6,14-11-2025,16,17,16,17,17.161.600,291.747.200,0.00%,6.25%,0.00%,6.25%,6.25%,5.88%,IKAI
7,13-11-2025,18,18,16,16,161.214.900,2.579.438.400,5.88%,5.88%,-5.88%,-5.88%,0.00%,5.56%,IKAI
8,12-11-2025,17,17,17,17,4.030.900,68.525.300,6.25%,6.25%,6.25%,6.25%,0.00%,5.88%,IKAI
9,11-11-2025,16,16,16,16,9.764.600,156.233.600,6.67%,6.67%,6.67%,6.67%,0.00%,6.25%,IKAI
10,10-11-2025,15,15,15,15,68.962.100,1.034.431.500,7.14%,7.14%,7.14%,7.14%,0.00%,6.67%,IKAI
11,07-11-2025,14,14,14,14,40.513.500,567.189.000,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,IKAI
12,06-11-2025,14,14,13,13,20.250.500,263.256.500,7.69%,7.69%,0.00%,0.00%,0.00%,7.14%,IKAI
13,05-11-2025,13,14,13,13,58.915.200,765.897.600,-7.14%,0.00%,-7.14%,-7.14%,7.69%,0.00%,IKAI
14,04-11-2025,14,15,14,14,31.940.700,447.169.800,0.00%,7.14%,0.00%,0.00%,7.14%,6.67%,IKAI
15,03-11-2025,14,14,14,14,44.987.900,629.830.600,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,IKAI
16,31-10-2025,13,14,13,13,32.341.600,420.440.800,0.00%,7.69%,0.00%,0.00%,7.69%,7.14%,IKAI
17,30-10-2025,15,15,13,13,42.732.100,555.517.300,7.14%,7.14%,-7.14%,-7.14%,0.00%,13.33%,IKAI
18,29-10-2025,13,15,13,14,52.732.500,738.255.000,-7.14%,7.14%,-7.14%,0.00%,15.38%,6.67%,IKAI
19,28-10-2025,14,15,14,14,77.410.100,1.083.741.400,-6.67%,0.00%,-6.67%,-6.67%,7.14%,0.00%,IKAI
20,27-10-2025,16,16,15,15,70.260.000,1.053.900.000,0.00%,0.00%,-6.25%,-6.25%,0.00%,0.00%,IKAI
21,24-10-2025,17,18,16,16,33.641.300,538.260.800,0.00%,5.88%,-5.88%,-5.88%,5.88%,5.56%,IKAI
22,23-10-2025,18,18,17,17,48.629.500,826.701.500,0.00%,0.00%,-5.56%,-5.56%,0.00%,11.11%,IKAI
23,22-10-2025,18,18,16,18,126.948.000,2.285.064.000,5.88%,5.88%,-5.88%,5.88%,0.00%,5.56%,IKAI
24,21-10-2025,17,17,17,17,63.347.400,1.076.905.800,6.25%,6.25%,6.25%,6.25%,0.00%,5.88%,IKAI
25,20-10-2025,16,16,16,16,17.834.300,285.348.800,-5.88%,-5.88%,-5.88%,-5.88%,0.00%,-6.25%,IKAI
26,17-10-2025,17,17,17,17,11.020.600,187.350.200,-5.56%,-5.56%,-5.56%,-5.56%,0.00%,-5.88%,IKAI
27,16-10-2025,18,18,18,18,10.040.500,180.729.000,-5.26%,-5.26%,-5.26%,-5.26%,0.00%,-5.56%,IKAI
