col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IKBI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IKBI
1,21-11-2025,550,595,545,580,1.331.000,771.980.000,0.00%,8.18%,-0.91%,5.45%,8.18%,10.08%,IKBI
2,20-11-2025,550,550,535,550,46.600,25.630.000,0.00%,0.00%,-2.73%,0.00%,0.00%,2.73%,IKBI
3,19-11-2025,550,550,535,550,181.800,99.990.000,0.00%,0.00%,-2.73%,0.00%,0.00%,1.82%,IKBI
4,18-11-2025,545,560,540,550,74.400,40.920.000,0.00%,2.75%,-0.92%,0.92%,2.75%,4.46%,IKBI
5,17-11-2025,540,560,535,545,171.100,93.249.500,-0.92%,2.75%,-1.83%,0.00%,3.70%,4.46%,IKBI
6,14-11-2025,550,570,535,545,143.300,78.098.500,0.00%,3.64%,-2.73%,-0.91%,3.64%,5.26%,IKBI
7,13-11-2025,550,560,540,550,83.900,46.145.000,0.00%,1.82%,-1.82%,0.00%,1.82%,5.36%,IKBI
8,12-11-2025,540,555,530,550,150.400,82.720.000,0.00%,2.78%,-1.85%,1.85%,2.78%,3.60%,IKBI
9,11-11-2025,545,555,535,540,87.000,46.980.000,0.00%,1.83%,-1.83%,-0.92%,1.83%,3.60%,IKBI
10,10-11-2025,545,545,535,545,304.800,166.116.000,0.00%,0.00%,-1.83%,0.00%,0.00%,2.75%,IKBI
11,07-11-2025,545,545,530,545,17.600,9.592.000,0.00%,0.00%,-2.75%,0.00%,0.00%,4.59%,IKBI
12,06-11-2025,545,555,520,545,172.100,93.794.500,0.00%,1.83%,-4.59%,0.00%,1.83%,9.91%,IKBI
13,05-11-2025,500,550,500,545,736.700,401.501.500,-5.66%,3.77%,-5.66%,2.83%,10.00%,3.64%,IKBI
14,04-11-2025,545,550,530,530,163.700,86.761.000,0.00%,0.92%,-2.75%,-2.75%,0.92%,2.73%,IKBI
15,03-11-2025,540,555,535,545,285.900,155.815.500,2.86%,5.71%,1.90%,3.81%,2.78%,6.31%,IKBI
16,31-10-2025,535,545,520,525,153.900,80.797.500,-1.83%,0.00%,-4.59%,-3.67%,1.87%,3.67%,IKBI
17,30-10-2025,555,555,525,545,287.800,156.851.000,0.00%,0.00%,-5.41%,-1.80%,0.00%,5.41%,IKBI
18,29-10-2025,560,560,525,555,349.700,194.083.500,0.00%,0.00%,-6.25%,-0.89%,0.00%,7.14%,IKBI
19,28-10-2025,550,590,520,560,806.800,451.808.000,0.00%,7.27%,-5.45%,1.82%,7.27%,12.71%,IKBI
20,27-10-2025,530,585,515,550,1.443.600,793.980.000,4.95%,15.84%,1.98%,8.91%,10.38%,14.87%,IKBI
21,24-10-2025,505,505,498,505,77.400,39.087.000,1.00%,1.00%,-0.40%,1.00%,0.00%,3.76%,IKBI
22,23-10-2025,500,505,486,500,82.500,41.250.000,0.00%,1.00%,-2.80%,0.00%,1.00%,1.39%,IKBI
23,22-10-2025,515,515,498,500,76.300,38.150.000,3.00%,3.00%,-0.40%,0.00%,0.00%,2.91%,IKBI
24,21-10-2025,505,520,500,500,169.100,84.550.000,1.41%,4.42%,0.40%,0.40%,2.97%,5.77%,IKBI
25,20-10-2025,494,500,490,498,89.600,44.620.800,0.00%,1.21%,-0.81%,0.81%,1.21%,3.20%,IKBI
26,17-10-2025,505,505,484,494,97.200,48.016.800,1.00%,1.00%,-3.20%,-1.20%,0.00%,2.18%,IKBI
27,16-10-2025,505,505,494,500,138.000,69.000.000,1.00%,1.00%,-1.20%,0.00%,0.00%,13.27%,IKBI
28,15-10-2025,438,510,438,500,613.900,306.950.000,-13.27%,0.99%,-13.27%,-0.99%,16.44%,0.98%,IKBI
29,14-10-2025,520,520,505,505,240.000,121.200.000,0.97%,0.97%,-1.94%,-1.94%,0.00%,2.88%,IKBI
30,13-10-2025,515,530,505,515,126.600,65.199.000,0.00%,2.91%,-1.94%,0.00%,2.91%,4.72%,IKBI
31,10-10-2025,515,530,505,515,167.000,86.005.000,-0.96%,1.92%,-2.88%,-0.96%,2.91%,2.83%,IKBI
32,09-10-2025,520,530,515,520,92.600,48.152.000,0.00%,1.92%,-0.96%,0.00%,1.92%,2.83%,IKBI
33,08-10-2025,515,530,515,520,91.100,47.372.000,0.00%,2.91%,0.00%,0.97%,2.91%,3.77%,IKBI
34,07-10-2025,520,530,510,515,126.200,64.993.000,0.00%,1.92%,-1.92%,-0.96%,1.92%,4.72%,IKBI
35,06-10-2025,530,530,505,520,297.600,154.752.000,0.00%,0.00%,-4.72%,-1.89%,0.00%,0.94%,IKBI
36,03-10-2025,540,540,525,530,138.800,73.564.000,1.89%,1.89%,-0.94%,0.00%,0.00%,1.85%,IKBI
37,02-10-2025,530,540,530,530,158.100,83.793.000,-0.93%,0.93%,-0.93%,-0.93%,1.89%,1.85%,IKBI
