col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IKPM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IKPM
1,21-11-2025,232,236,228,236,932.500,220.070.000,0.00%,1.72%,-1.72%,1.72%,1.72%,1.69%,IKPM
2,20-11-2025,232,236,232,232,1.257.700,291.786.400,-0.85%,0.85%,-0.85%,-0.85%,1.72%,1.69%,IKPM
3,19-11-2025,234,240,232,234,1.792.400,419.421.600,-1.68%,0.84%,-2.52%,-1.68%,2.56%,0.83%,IKPM
4,18-11-2025,242,242,238,238,1.029.500,245.021.000,0.00%,0.00%,-1.65%,-1.65%,0.00%,0.83%,IKPM
5,17-11-2025,240,248,240,242,893.600,216.251.200,0.00%,3.33%,0.00%,0.83%,3.33%,6.45%,IKPM
6,14-11-2025,238,240,232,240,975.500,234.120.000,0.00%,0.84%,-2.52%,0.84%,0.84%,4.17%,IKPM
7,13-11-2025,230,240,230,238,1.503.400,357.809.200,-1.71%,2.56%,-1.71%,1.71%,4.35%,4.17%,IKPM
8,12-11-2025,230,238,230,234,1.065.300,249.280.200,-2.54%,0.85%,-2.54%,-0.85%,3.48%,1.68%,IKPM
9,11-11-2025,242,242,234,236,1.174.500,277.182.000,2.54%,2.54%,-0.85%,0.00%,0.00%,4.96%,IKPM
10,10-11-2025,240,242,230,236,1.879.600,443.585.600,0.84%,1.68%,-3.36%,-0.84%,0.83%,4.13%,IKPM
11,07-11-2025,238,242,232,238,1.934.400,460.387.200,0.00%,1.68%,-2.52%,0.00%,1.68%,3.31%,IKPM
12,06-11-2025,236,240,234,238,1.050.600,250.042.800,0.85%,2.56%,0.00%,1.71%,1.69%,6.67%,IKPM
13,05-11-2025,224,234,224,234,1.682.900,393.798.600,-1.75%,2.63%,-1.75%,2.63%,4.46%,5.98%,IKPM
14,04-11-2025,224,230,220,228,1.639.000,373.692.000,0.00%,2.68%,-1.79%,1.79%,2.68%,2.61%,IKPM
15,03-11-2025,228,228,224,224,908.400,203.481.600,-0.87%,-0.87%,-2.61%,-2.61%,0.00%,1.75%,IKPM
16,31-10-2025,226,230,224,230,1.223.800,281.474.000,-0.88%,0.88%,-1.75%,0.88%,1.77%,0.87%,IKPM
17,30-10-2025,234,234,228,228,889.200,202.737.600,0.86%,0.86%,-1.72%,-1.72%,0.00%,3.42%,IKPM
18,29-10-2025,230,232,226,232,1.078.600,250.235.200,0.00%,0.87%,-1.74%,0.87%,0.87%,2.59%,IKPM
19,28-10-2025,232,232,226,230,764.800,175.904.000,0.00%,0.00%,-2.59%,-0.86%,0.00%,0.00%,IKPM
20,27-10-2025,234,238,232,232,914.000,212.048.000,-2.50%,-0.83%,-3.33%,-3.33%,1.71%,1.68%,IKPM
21,24-10-2025,236,240,234,240,1.182.700,283.848.000,-0.84%,0.84%,-1.68%,0.84%,1.69%,2.50%,IKPM
22,23-10-2025,238,238,234,238,672.500,160.055.000,0.00%,0.00%,-1.68%,0.00%,0.00%,0.00%,IKPM
23,22-10-2025,246,246,238,238,1.056.700,251.494.600,1.65%,1.65%,-1.65%,-1.65%,0.00%,4.07%,IKPM
24,21-10-2025,240,244,236,242,1.396.800,338.025.600,1.69%,3.39%,0.00%,2.54%,1.67%,5.74%,IKPM
25,20-10-2025,238,238,230,236,2.320.500,547.638.000,1.71%,1.71%,-1.71%,0.85%,0.00%,4.20%,IKPM
26,17-10-2025,232,280,228,234,8.206.200,1.920.250.800,0.87%,21.74%,-0.87%,1.74%,20.69%,22.14%,IKPM
27,16-10-2025,222,230,218,230,1.075.100,247.273.000,0.00%,3.60%,-1.80%,3.60%,3.60%,5.22%,IKPM
28,15-10-2025,234,234,218,222,707.900,157.153.800,7.34%,7.34%,0.00%,1.83%,0.00%,8.55%,IKPM
29,14-10-2025,220,256,214,218,929.700,202.674.600,2.80%,19.63%,0.00%,1.87%,16.36%,17.19%,IKPM
30,13-10-2025,216,216,212,214,820.700,175.629.800,0.00%,0.00%,-1.85%,-0.93%,0.00%,2.78%,IKPM
31,10-10-2025,212,230,210,216,852.200,184.075.200,-0.93%,7.48%,-1.87%,0.93%,8.49%,8.70%,IKPM
32,09-10-2025,216,220,210,214,1.101.200,235.656.800,-2.70%,-0.90%,-5.41%,-3.60%,1.85%,1.82%,IKPM
33,08-10-2025,226,226,216,222,1.098.700,243.911.400,0.00%,0.00%,-4.42%,-1.77%,0.00%,1.77%,IKPM
34,07-10-2025,222,228,222,226,1.232.400,278.522.400,0.00%,2.70%,0.00%,1.80%,2.70%,3.51%,IKPM
35,06-10-2025,224,234,220,222,1.186.300,263.358.600,-1.75%,2.63%,-3.51%,-2.63%,4.46%,4.27%,IKPM
36,03-10-2025,230,230,224,228,1.131.600,258.004.800,0.00%,0.00%,-2.61%,-0.87%,0.00%,4.35%,IKPM
37,02-10-2025,226,244,220,230,1.116.900,256.887.000,0.00%,7.96%,-2.65%,1.77%,7.96%,13.11%,IKPM
38,01-10-2025,230,230,212,226,922.100,208.394.600,1.77%,1.77%,-6.19%,0.00%,0.00%,6.09%,IKPM
39,30-09-2025,232,238,216,226,1.177.200,266.047.200,0.00%,2.59%,-6.90%,-2.59%,2.59%,5.04%,IKPM
40,29-09-2025,226,238,226,232,1.878.500,435.812.000,0.00%,5.31%,0.00%,2.65%,5.31%,12.61%,IKPM
41,26-09-2025,220,226,208,226,1.150.000,259.900.000,0.00%,2.73%,-5.45%,2.73%,2.73%,11.50%,IKPM
42,25-09-2025,224,224,200,220,1.306.200,287.364.000,0.90%,0.90%,-9.91%,-0.90%,0.00%,1.79%,IKPM
43,24-09-2025,238,242,220,222,1.373.800,304.983.600,2.59%,4.31%,-5.17%,-4.31%,1.68%,17.36%,IKPM
44,23-09-2025,200,246,200,232,3.330.200,772.606.400,-2.91%,19.42%,-2.91%,12.62%,23.00%,18.70%,IKPM
45,22-09-2025,208,210,200,206,871.800,179.590.800,2.97%,3.96%,-0.99%,1.98%,0.96%,6.67%,IKPM
46,19-09-2025,206,206,196,202,1.472.000,297.344.000,0.00%,0.00%,-4.85%,-1.94%,0.00%,0.00%,IKPM
47,18-09-2025,210,214,206,206,1.020.400,210.202.400,0.00%,1.90%,-1.90%,-1.90%,1.90%,2.80%,IKPM
48,17-09-2025,208,216,208,210,1.109.400,232.974.000,-1.89%,1.89%,-1.89%,-0.94%,3.85%,3.70%,IKPM
49,16-09-2025,212,218,208,212,590.000,125.080.000,0.00%,2.83%,-1.89%,0.00%,2.83%,4.59%,IKPM
50,15-09-2025,210,212,208,212,756.800,160.441.600,0.00%,0.95%,-0.95%,0.95%,0.95%,3.77%,IKPM
51,12-09-2025,212,212,204,210,1.533.600,322.056.000,0.95%,0.95%,-2.86%,0.00%,0.00%,2.83%,IKPM
52,11-09-2025,214,214,206,210,960.700,201.747.000,1.90%,1.90%,-1.90%,0.00%,0.00%,2.80%,IKPM
53,10-09-2025,208,212,208,210,769.500,161.595.000,-0.95%,0.95%,-0.95%,0.00%,1.92%,0.94%,IKPM
54,09-09-2025,214,224,210,210,1.125.200,236.292.000,-0.93%,3.70%,-2.78%,-2.78%,4.67%,4.46%,IKPM
55,08-09-2025,224,224,214,216,828.000,178.848.000,0.00%,0.00%,-4.46%,-3.57%,0.00%,1.79%,IKPM
56,04-09-2025,226,230,220,224,885.300,198.307.200,0.00%,1.77%,-2.65%,-0.88%,1.77%,3.48%,IKPM
57,03-09-2025,230,232,222,226,1.099.900,248.577.400,0.00%,0.87%,-3.48%,-1.74%,0.87%,4.31%,IKPM
58,02-09-2025,242,244,222,230,3.430.800,789.084.000,6.14%,7.02%,-2.63%,0.88%,0.83%,21.31%,IKPM
59,01-09-2025,196,242,192,228,6.935.500,1.581.294.000,-0.51%,22.84%,-2.54%,15.74%,23.47%,19.83%,IKPM
60,29-08-2025,195,199,194,197,37.100,7.308.700,-1.02%,1.02%,-1.52%,0.00%,2.05%,2.51%,IKPM
61,28-08-2025,199,202,194,197,792.100,156.043.700,0.00%,1.51%,-2.51%,-1.01%,1.51%,3.47%,IKPM
62,27-08-2025,200,206,195,199,910.300,181.149.700,0.50%,3.52%,-2.01%,0.00%,3.00%,6.80%,IKPM
63,26-08-2025,194,236,192,199,1.918.100,381.701.900,0.00%,21.65%,-1.03%,2.58%,21.65%,17.80%,IKPM
64,25-08-2025,194,196,194,194,322.100,62.487.400,0.00%,1.03%,0.00%,0.00%,1.03%,2.04%,IKPM
65,22-08-2025,196,196,192,194,661.600,128.350.400,0.51%,0.51%,-1.54%,-0.51%,0.00%,1.53%,IKPM
66,21-08-2025,195,196,193,195,990.700,193.186.500,0.00%,0.51%,-1.03%,0.00%,0.51%,1.53%,IKPM
67,20-08-2025,194,196,193,195,477.500,93.112.500,0.00%,1.03%,-0.52%,0.52%,1.03%,3.06%,IKPM
68,19-08-2025,193,197,190,194,427.700,82.973.800,0.00%,2.07%,-1.55%,0.52%,2.07%,2.03%,IKPM
69,15-08-2025,196,196,193,193,925.100,178.544.300,1.03%,1.03%,-0.52%,-0.52%,0.00%,2.55%,IKPM
70,14-08-2025,195,195,191,194,481.300,93.372.200,0.00%,0.00%,-2.05%,-0.51%,0.00%,0.51%,IKPM
71,13-08-2025,194,195,194,195,6.400,1.248.000,-0.51%,0.00%,-0.51%,0.00%,0.52%,1.54%,IKPM
72,12-08-2025,193,196,192,195,716.300,139.678.500,-1.03%,0.51%,-1.54%,0.00%,1.55%,2.04%,IKPM
73,11-08-2025,194,195,192,195,674.200,131.469.000,0.00%,0.52%,-1.03%,0.52%,0.52%,1.54%,IKPM
74,08-08-2025,197,197,192,194,516.800,100.259.200,0.00%,0.00%,-2.54%,-1.52%,0.00%,3.55%,IKPM
75,07-08-2025,193,198,190,197,1.263.000,248.811.000,-1.53%,1.02%,-3.06%,0.51%,2.59%,3.03%,IKPM
76,06-08-2025,197,244,192,196,6.155.500,1.206.478.000,-0.51%,23.23%,-3.03%,-1.01%,23.86%,20.90%,IKPM
77,05-08-2025,198,198,193,198,25.200,4.989.600,0.00%,0.00%,-2.53%,0.00%,0.00%,2.53%,IKPM
78,04-08-2025,198,198,193,198,213.000,42.174.000,0.00%,0.00%,-2.53%,0.00%,0.00%,1.01%,IKPM
79,01-08-2025,197,198,196,198,15.400,3.049.200,0.00%,0.51%,-0.51%,0.51%,0.51%,2.02%,IKPM
80,31-07-2025,197,197,194,197,449.600,88.571.200,0.00%,0.00%,-1.52%,0.00%,0.00%,0.51%,IKPM
81,30-07-2025,197,199,196,197,496.200,97.751.400,0.00%,1.02%,-0.51%,0.00%,1.02%,2.01%,IKPM
82,29-07-2025,196,197,195,197,375.000,73.875.000,0.00%,0.51%,-0.51%,0.51%,0.51%,1.02%,IKPM
83,28-07-2025,198,199,195,196,474.700,93.041.200,0.00%,0.51%,-1.52%,-1.01%,0.51%,2.01%,IKPM
84,25-07-2025,200,200,195,198,372.000,73.656.000,1.01%,1.01%,-1.52%,0.00%,0.00%,1.50%,IKPM
85,24-07-2025,200,200,197,198,429.600,85.060.800,0.00%,0.00%,-1.50%,-1.00%,0.00%,3.00%,IKPM
86,23-07-2025,200,200,194,200,405.500,81.100.000,0.00%,0.00%,-3.00%,0.00%,0.00%,2.00%,IKPM
87,22-07-2025,197,202,196,200,641.400,128.280.000,1.03%,3.59%,0.51%,2.56%,2.54%,5.94%,IKPM
88,21-07-2025,202,202,190,195,204.400,39.858.000,0.00%,0.00%,-5.94%,-3.47%,0.00%,1.49%,IKPM
89,18-07-2025,200,204,199,202,220.300,44.500.600,0.00%,2.00%,-0.50%,1.00%,2.00%,2.45%,IKPM
90,17-07-2025,202,206,199,200,423.900,84.780.000,0.00%,1.98%,-1.49%,-0.99%,1.98%,2.91%,IKPM
91,16-07-2025,200,210,200,202,649.500,131.199.000,0.00%,5.00%,0.00%,1.00%,5.00%,5.71%,IKPM
92,15-07-2025,202,206,198,200,569.800,113.960.000,-1.94%,0.00%,-3.88%,-2.91%,1.98%,1.94%,IKPM
93,14-07-2025,204,206,202,206,529.600,109.097.600,-0.97%,0.00%,-1.94%,0.00%,0.98%,1.94%,IKPM
94,11-07-2025,204,206,202,206,402.700,82.956.200,0.00%,0.98%,-0.98%,0.98%,0.98%,1.94%,IKPM
95,10-07-2025,208,212,202,204,1.168.500,238.374.000,1.96%,3.92%,-0.98%,0.00%,1.92%,4.72%,IKPM
96,09-07-2025,208,208,202,204,326.600,66.626.400,0.97%,0.97%,-1.94%,-0.97%,0.00%,5.77%,IKPM
97,08-07-2025,200,206,196,206,96.200,19.817.200,-2.91%,0.00%,-4.85%,0.00%,3.00%,6.80%,IKPM
98,07-07-2025,208,210,192,206,443.200,91.299.200,0.97%,1.94%,-6.80%,0.00%,0.96%,4.76%,IKPM
99,04-07-2025,204,210,200,206,678.100,139.688.600,0.00%,2.94%,-1.96%,0.98%,2.94%,2.86%,IKPM
100,03-07-2025,204,214,204,204,124.100,25.316.400,-4.67%,0.00%,-4.67%,-4.67%,4.90%,3.74%,IKPM
101,02-07-2025,218,218,206,214,442.600,94.716.400,0.00%,0.00%,-5.50%,-1.83%,0.00%,6.42%,IKPM
102,01-07-2025,210,220,204,218,7.600,1.656.800,0.00%,4.76%,-2.86%,3.81%,4.76%,9.09%,IKPM
103,30-06-2025,220,220,200,210,15.800,3.318.000,6.80%,6.80%,-2.91%,1.94%,0.00%,9.09%,IKPM
104,26-06-2025,200,216,200,206,898.400,185.070.400,-7.41%,0.00%,-7.41%,-4.63%,8.00%,2.78%,IKPM
105,25-06-2025,216,216,210,216,7.800,1.684.800,-1.82%,-1.82%,-4.55%,-1.82%,0.00%,7.41%,IKPM
106,24-06-2025,210,220,200,220,12.800,2.816.000,0.00%,4.76%,-4.76%,4.76%,4.76%,5.45%,IKPM
107,23-06-2025,220,220,208,210,3.600,756.000,0.00%,0.00%,-5.45%,-4.55%,0.00%,9.09%,IKPM
108,20-06-2025,208,220,200,220,2.300,506.000,-2.80%,2.80%,-6.54%,2.80%,5.77%,7.27%,IKPM
109,19-06-2025,216,216,204,214,9.000,1.926.000,1.89%,1.89%,-3.77%,0.94%,0.00%,1.85%,IKPM
110,18-06-2025,214,220,212,212,6.100,1.293.200,0.00%,2.80%,-0.93%,-0.93%,2.80%,4.55%,IKPM
