col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IMPC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IMPC
1,21-11-2025,2.590,2.700,2.540,2.690,34.758.800,93.501.172.000,0.00%,4.25%,-1.93%,3.86%,4.25%,6.30%,IMPC
2,20-11-2025,2.580,2.610,2.530,2.590,19.693.400,51.005.906.000,0.78%,1.95%,-1.17%,1.17%,1.16%,3.45%,IMPC
3,19-11-2025,2.550,2.640,2.520,2.560,23.721.400,60.726.784.000,0.00%,3.53%,-1.18%,0.39%,3.53%,8.33%,IMPC
4,18-11-2025,2.620,2.670,2.420,2.550,60.952.400,155.428.620.000,-0.38%,1.52%,-7.98%,-3.04%,1.91%,4.49%,IMPC
5,17-11-2025,2.580,2.700,2.550,2.630,25.040.700,65.857.041.000,0.00%,4.65%,-1.16%,1.94%,4.65%,5.56%,IMPC
6,14-11-2025,2.740,2.740,2.550,2.580,45.061.600,116.258.928.000,0.00%,0.00%,-6.93%,-5.84%,0.00%,1.09%,IMPC
7,13-11-2025,2.850,2.860,2.710,2.740,34.958.800,95.787.112.000,-0.70%,-0.35%,-5.57%,-4.53%,0.35%,1.75%,IMPC
8,12-11-2025,2.870,2.930,2.810,2.870,20.362.600,58.440.662.000,0.70%,2.81%,-1.40%,0.70%,2.09%,3.75%,IMPC
9,11-11-2025,2.870,2.970,2.820,2.850,42.534.400,121.223.040.000,1.77%,5.32%,0.00%,1.06%,3.48%,14.14%,IMPC
10,10-11-2025,2.640,2.900,2.550,2.820,78.468.900,221.282.298.000,0.76%,10.69%,-2.67%,7.63%,9.85%,10.69%,IMPC
11,07-11-2025,2.720,2.740,2.590,2.620,34.279.600,89.812.552.000,0.37%,1.11%,-4.43%,-3.32%,0.74%,3.28%,IMPC
12,06-11-2025,2.800,2.850,2.650,2.710,56.776.000,153.862.960.000,7.69%,9.62%,1.92%,4.23%,1.79%,11.23%,IMPC
13,05-11-2025,2.590,2.690,2.530,2.600,45.775.000,119.015.000.000,-4.43%,-0.74%,-6.64%,-4.06%,3.86%,14.50%,IMPC
14,04-11-2025,2.300,2.780,2.300,2.710,155.543.200,421.522.072.000,0.88%,21.93%,0.88%,18.86%,20.87%,19.78%,IMPC
15,03-11-2025,2.360,2.400,2.230,2.280,34.298.600,78.200.808.000,0.00%,1.69%,-5.51%,-3.39%,1.69%,2.08%,IMPC
16,31-10-2025,2.460,2.470,2.350,2.360,19.240.700,45.408.052.000,2.50%,2.92%,-2.08%,-1.67%,0.41%,5.26%,IMPC
17,30-10-2025,2.340,2.510,2.340,2.400,40.532.600,97.278.240.000,1.30%,8.66%,1.30%,3.90%,7.26%,7.97%,IMPC
18,29-10-2025,2.430,2.450,2.310,2.310,33.334.300,77.002.233.000,1.25%,2.08%,-3.75%,-3.75%,0.82%,11.84%,IMPC
19,28-10-2025,2.300,2.460,2.160,2.400,136.551.900,327.724.560.000,-3.36%,3.36%,-9.24%,0.84%,6.96%,3.25%,IMPC
20,27-10-2025,2.810,2.820,2.380,2.380,86.790.800,206.562.104.000,0.36%,0.71%,-15.00%,-15.00%,0.36%,3.55%,IMPC
21,24-10-2025,2.780,2.880,2.720,2.800,24.275.800,67.972.240.000,1.09%,4.73%,-1.09%,1.82%,3.60%,7.64%,IMPC
22,23-10-2025,2.720,2.770,2.660,2.750,26.844.100,73.821.275.000,0.74%,2.59%,-1.48%,1.85%,1.84%,7.58%,IMPC
23,22-10-2025,2.590,2.800,2.560,2.700,51.626.700,139.392.090.000,0.00%,8.11%,-1.16%,4.25%,8.11%,8.21%,IMPC
24,21-10-2025,2.640,2.660,2.570,2.590,17.095.600,44.277.604.000,0.00%,0.76%,-2.65%,-1.89%,0.76%,6.02%,IMPC
25,20-10-2025,2.540,2.720,2.500,2.640,32.356.200,85.420.368.000,2.42%,9.68%,0.81%,6.45%,7.09%,10.66%,IMPC
26,17-10-2025,2.650,2.650,2.430,2.480,49.718.800,123.302.624.000,0.00%,0.00%,-8.30%,-6.42%,0.00%,3.40%,IMPC
27,16-10-2025,2.560,2.750,2.560,2.650,71.983.500,190.756.275.000,1.99%,9.56%,1.99%,5.58%,7.42%,12.00%,IMPC
28,15-10-2025,2.560,2.610,2.420,2.510,48.330.400,121.309.304.000,1.99%,3.98%,-3.59%,0.00%,1.95%,18.01%,IMPC
29,14-10-2025,2.530,2.560,2.140,2.510,88.894.500,223.125.195.000,1.61%,2.81%,-14.06%,0.80%,1.19%,3.91%,IMPC
30,13-10-2025,2.500,2.580,2.460,2.490,35.273.400,87.830.766.000,-3.10%,0.00%,-4.65%,-3.49%,3.20%,2.71%,IMPC
31,10-10-2025,2.550,2.610,2.510,2.580,17.908.400,46.203.672.000,0.79%,3.16%,-0.79%,1.98%,2.35%,3.83%,IMPC
32,09-10-2025,2.700,2.710,2.510,2.530,33.137.100,83.836.863.000,0.75%,1.12%,-6.34%,-5.60%,0.37%,10.70%,IMPC
33,08-10-2025,2.440,2.710,2.420,2.680,71.785.000,192.383.800.000,2.95%,14.35%,2.11%,13.08%,11.07%,16.97%,IMPC
34,07-10-2025,2.250,2.450,2.250,2.370,113.915.200,269.979.024.000,-1.75%,6.99%,-1.75%,3.49%,8.89%,7.35%,IMPC
35,06-10-2025,2.400,2.410,2.270,2.290,43.036.000,98.552.440.000,-1.64%,-1.23%,-6.97%,-6.15%,0.42%,5.39%,IMPC
36,03-10-2025,2.290,2.450,2.280,2.440,25.366.100,61.893.284.000,0.88%,7.93%,0.44%,7.49%,6.99%,8.57%,IMPC
37,02-10-2025,2.360,2.560,2.240,2.270,52.251.300,118.610.451.000,2.16%,10.82%,-3.03%,-1.73%,8.47%,19.14%,IMPC
38,01-10-2025,2.150,2.310,2.070,2.310,72.592.200,167.687.982.000,-2.27%,5.00%,-5.91%,5.00%,7.44%,4.76%,IMPC
39,30-09-2025,2.320,2.380,2.200,2.200,22.098.100,48.615.820.000,0.43%,3.03%,-4.76%,-4.76%,2.59%,3.78%,IMPC
40,29-09-2025,2.450,2.540,2.290,2.310,43.581.500,100.673.265.000,6.06%,9.96%,-0.87%,0.00%,3.67%,18.50%,IMPC
41,26-09-2025,2.250,2.430,2.070,2.310,32.471.100,75.008.241.000,0.00%,8.00%,-8.00%,2.67%,8.00%,9.47%,IMPC
42,25-09-2025,2.390,2.450,2.200,2.250,43.589.700,98.076.825.000,3.46%,6.06%,-4.76%,-2.60%,2.51%,21.63%,IMPC
43,24-09-2025,1.980,2.380,1.920,2.310,88.721.300,204.946.203.000,2.06%,22.68%,-1.03%,19.07%,20.20%,19.96%,IMPC
44,23-09-2025,1.970,1.985,1.905,1.940,31.697.600,61.493.344.000,0.77%,1.53%,-2.56%,-0.77%,0.76%,11.08%,IMPC
45,22-09-2025,1.830,1.965,1.765,1.955,80.826.000,158.014.830.000,1.67%,9.17%,-1.94%,8.61%,7.38%,20.36%,IMPC
46,19-09-2025,1.600,1.800,1.565,1.800,105.583.900,190.051.020.000,1.59%,14.29%,-0.63%,14.29%,12.50%,18.33%,IMPC
47,18-09-2025,1.525,1.575,1.470,1.575,31.566.300,49.716.922.500,0.33%,3.62%,-3.29%,3.62%,3.28%,12.38%,IMPC
48,17-09-2025,1.385,1.635,1.380,1.520,90.365.500,137.355.560.000,0.36%,18.48%,0.00%,10.14%,18.05%,17.43%,IMPC
49,16-09-2025,1.400,1.435,1.350,1.380,23.147.100,31.942.998.000,2.94%,5.51%,-0.74%,1.47%,2.50%,14.63%,IMPC
50,15-09-2025,1.350,1.360,1.225,1.360,57.744.200,78.532.112.000,0.37%,1.12%,-8.92%,1.12%,0.74%,1.10%,IMPC
51,12-09-2025,1.390,1.400,1.345,1.345,11.527.500,15.504.487.500,1.09%,1.82%,-2.18%,-2.18%,0.72%,4.64%,IMPC
52,11-09-2025,1.450,1.450,1.335,1.375,36.261.800,49.859.975.000,2.84%,2.84%,-5.32%,-2.48%,0.00%,3.79%,IMPC
53,10-09-2025,1.400,1.450,1.395,1.410,20.876.800,29.436.288.000,1.45%,5.07%,1.09%,2.17%,3.57%,6.90%,IMPC
54,09-09-2025,1.405,1.465,1.350,1.380,35.879.700,49.513.986.000,0.36%,4.64%,-3.57%,-1.43%,4.27%,7.51%,IMPC
55,08-09-2025,1.440,1.500,1.355,1.400,47.532.000,66.544.800.000,0.70%,4.90%,-5.24%,-2.10%,4.17%,12.33%,IMPC
56,04-09-2025,1.430,1.575,1.315,1.430,83.634.700,119.597.621.000,-0.69%,9.38%,-8.68%,-0.69%,10.14%,8.57%,IMPC
