col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INCI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INCI
1,21-11-2025,630,655,630,635,126.500,80.327.500,-0.79%,3.15%,-0.79%,0.00%,3.97%,3.82%,INCI
2,20-11-2025,640,640,630,635,106.400,67.564.000,0.00%,0.00%,-1.56%,-0.78%,0.00%,1.56%,INCI
3,19-11-2025,640,645,630,640,109.600,70.144.000,-1.54%,-0.77%,-3.08%,-1.54%,0.78%,0.78%,INCI
4,18-11-2025,655,655,640,650,84.800,55.120.000,0.00%,0.00%,-2.29%,-0.76%,0.00%,0.76%,INCI
5,17-11-2025,665,665,650,655,80.500,52.727.500,0.00%,0.00%,-2.26%,-1.50%,0.00%,2.26%,INCI
6,14-11-2025,665,665,650,665,23.600,15.694.000,1.53%,1.53%,-0.76%,1.53%,0.00%,2.26%,INCI
7,13-11-2025,665,670,650,655,91.800,60.129.000,-0.75%,0.00%,-2.99%,-2.24%,0.75%,2.99%,INCI
8,12-11-2025,665,670,650,670,131.600,88.172.000,-0.75%,0.00%,-2.99%,0.00%,0.75%,2.24%,INCI
9,11-11-2025,680,680,655,670,64.100,42.947.000,1.49%,1.49%,-2.24%,0.00%,0.00%,2.21%,INCI
10,10-11-2025,670,680,665,670,176.100,117.987.000,1.52%,3.03%,0.76%,1.52%,1.49%,4.41%,INCI
11,07-11-2025,675,695,650,660,117.500,77.550.000,3.85%,6.92%,0.00%,1.54%,2.96%,6.47%,INCI
12,06-11-2025,665,680,650,650,86.500,56.225.000,3.10%,5.43%,0.78%,0.78%,2.26%,5.88%,INCI
13,05-11-2025,670,690,640,645,330.900,213.430.500,0.00%,2.99%,-4.48%,-3.73%,2.99%,8.70%,INCI
14,04-11-2025,645,680,630,670,644.100,431.547.000,0.00%,5.43%,-2.33%,3.88%,5.43%,8.09%,INCI
15,03-11-2025,635,650,625,645,471.000,303.795.000,2.42%,4.84%,0.81%,4.03%,2.36%,5.38%,INCI
16,31-10-2025,615,620,615,620,9.500,5.890.000,-1.60%,-0.80%,-1.60%,-0.80%,0.81%,2.42%,INCI
