col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INDF
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INDF
1,21-11-2025,7.050,7.125,7.025,7.125,7.423.400,52.891.725.000,-0.35%,0.71%,-0.71%,0.71%,1.06%,1.40%,INDF
2,20-11-2025,7.025,7.175,7.025,7.075,8.110.900,57.384.617.500,0.00%,2.14%,0.00%,0.71%,2.14%,2.44%,INDF
3,19-11-2025,7.025,7.050,7.000,7.025,5.448.800,38.277.820.000,0.36%,0.71%,0.00%,0.36%,0.36%,0.71%,INDF
4,18-11-2025,7.100,7.125,7.000,7.000,7.331.100,51.317.700.000,0.00%,0.35%,-1.41%,-1.41%,0.35%,0.70%,INDF
5,17-11-2025,7.100,7.150,7.075,7.100,4.245.000,30.139.500.000,0.00%,0.70%,-0.35%,0.00%,0.70%,0.70%,INDF
6,14-11-2025,7.150,7.175,7.100,7.100,5.161.800,36.648.780.000,0.00%,0.35%,-0.70%,-0.70%,0.35%,1.05%,INDF
7,13-11-2025,7.150,7.250,7.100,7.150,8.371.600,59.856.940.000,-0.35%,1.05%,-1.05%,-0.35%,1.40%,2.76%,INDF
8,12-11-2025,7.050,7.175,7.050,7.175,5.851.900,41.987.382.500,0.00%,1.77%,0.00%,1.77%,1.77%,2.09%,INDF
9,11-11-2025,7.150,7.150,7.025,7.050,4.661.800,32.865.690.000,0.70%,0.70%,-1.06%,-0.70%,0.00%,0.70%,INDF
10,10-11-2025,7.150,7.175,7.100,7.100,5.129.400,36.418.740.000,0.35%,0.70%,-0.35%,-0.35%,0.35%,1.74%,INDF
11,07-11-2025,7.075,7.150,7.050,7.125,4.622.900,32.938.162.500,0.71%,1.78%,0.36%,1.42%,1.06%,1.75%,INDF
12,06-11-2025,7.125,7.125,7.025,7.025,8.261.500,58.037.037.500,0.00%,0.00%,-1.40%,-1.40%,0.00%,1.40%,INDF
13,05-11-2025,7.075,7.150,7.025,7.125,10.041.400,71.544.975.000,0.00%,1.06%,-0.71%,0.71%,1.06%,1.40%,INDF
14,04-11-2025,7.200,7.250,7.050,7.075,18.602.600,131.613.395.000,0.00%,0.69%,-2.08%,-1.74%,0.69%,0.69%,INDF
15,03-11-2025,7.400,7.425,7.200,7.200,7.609.300,54.786.960.000,0.00%,0.34%,-2.70%,-2.70%,0.34%,2.02%,INDF
16,31-10-2025,7.400,7.450,7.275,7.400,11.495.400,85.065.960.000,0.00%,0.68%,-1.69%,0.00%,0.68%,1.01%,INDF
17,30-10-2025,7.400,7.500,7.375,7.400,10.517.900,77.832.460.000,-0.34%,1.01%,-0.67%,-0.34%,1.35%,2.33%,INDF
18,29-10-2025,7.450,7.450,7.325,7.425,5.612.700,41.674.297.500,-0.67%,-0.67%,-2.33%,-1.00%,0.00%,0.34%,INDF
19,28-10-2025,7.500,7.575,7.425,7.500,8.341.000,62.557.500.000,0.67%,1.68%,-0.34%,0.67%,1.00%,3.63%,INDF
20,27-10-2025,7.300,7.450,7.300,7.450,12.897.100,96.083.395.000,0.00%,2.05%,0.00%,2.05%,2.05%,2.01%,INDF
