col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INDR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INDR
1,21-11-2025,2.800,2.850,2.750,2.850,5.800,16.530.000,0.00%,1.79%,-1.79%,1.79%,1.79%,1.75%,INDR
2,20-11-2025,2.820,2.830,2.800,2.800,22.400,62.720.000,-2.08%,-1.74%,-2.78%,-2.78%,0.35%,1.06%,INDR
3,19-11-2025,2.880,2.910,2.800,2.880,5.000,14.400.000,0.00%,1.04%,-2.78%,0.00%,1.04%,4.47%,INDR
4,18-11-2025,2.850,2.960,2.780,2.880,205.800,592.704.000,-1.04%,2.78%,-3.47%,0.00%,3.86%,4.05%,INDR
5,17-11-2025,2.890,2.900,2.840,2.880,12.700,36.576.000,0.35%,0.69%,-1.39%,0.00%,0.35%,4.14%,INDR
6,14-11-2025,2.990,2.990,2.780,2.880,82.000,236.160.000,0.34%,0.34%,-6.71%,-3.36%,0.00%,4.01%,INDR
7,13-11-2025,2.890,2.990,2.870,2.980,54.900,163.602.000,0.35%,3.82%,-0.35%,3.47%,3.46%,3.68%,INDR
8,12-11-2025,2.900,2.910,2.880,2.880,17.200,49.536.000,0.00%,0.34%,-0.69%,-0.69%,0.34%,4.81%,INDR
9,11-11-2025,2.940,3.000,2.770,2.900,329.300,954.970.000,0.34%,2.39%,-5.46%,-1.02%,2.04%,6.00%,INDR
10,10-11-2025,2.900,3.000,2.820,2.930,176.000,515.680.000,-1.02%,2.39%,-3.75%,0.00%,3.45%,10.00%,INDR
11,07-11-2025,2.930,3.080,2.700,2.930,239.900,702.907.000,-0.34%,4.76%,-8.16%,-0.34%,5.12%,7.14%,INDR
12,06-11-2025,3.000,3.000,2.860,2.940,48.000,141.120.000,0.00%,0.00%,-4.67%,-2.00%,0.00%,1.67%,INDR
13,05-11-2025,3.100,3.100,2.950,3.000,65.200,195.600.000,-1.27%,-1.27%,-6.05%,-4.46%,0.00%,3.23%,INDR
14,04-11-2025,3.150,3.150,3.000,3.140,44.300,139.102.000,-0.63%,-0.63%,-5.36%,-0.95%,0.00%,0.95%,INDR
15,03-11-2025,3.150,3.300,3.120,3.170,20.600,65.302.000,-1.56%,3.13%,-2.50%,-0.94%,4.76%,5.76%,INDR
16,31-10-2025,3.200,3.210,3.110,3.200,22.000,70.400.000,0.00%,0.31%,-2.81%,0.00%,0.31%,1.87%,INDR
17,30-10-2025,3.290,3.290,3.150,3.200,28.700,91.840.000,0.30%,0.30%,-3.96%,-2.44%,0.00%,0.30%,INDR
18,29-10-2025,3.300,3.300,3.280,3.280,5.800,19.024.000,1.85%,1.85%,1.23%,1.23%,0.00%,4.55%,INDR
19,28-10-2025,3.300,3.300,3.150,3.240,7.100,23.004.000,0.30%,0.30%,-4.26%,-1.52%,0.00%,5.45%,INDR
20,27-10-2025,3.370,3.370,3.120,3.290,38.700,127.323.000,2.12%,2.12%,-5.45%,-0.30%,0.00%,5.34%,INDR
21,24-10-2025,3.280,3.390,3.190,3.300,10.300,33.990.000,-0.30%,3.04%,-3.04%,0.30%,3.35%,9.73%,INDR
22,23-10-2025,3.200,3.310,3.060,3.290,12.000,39.480.000,0.31%,3.76%,-4.08%,3.13%,3.44%,7.85%,INDR
23,22-10-2025,3.290,3.290,3.050,3.190,48.300,154.077.000,0.00%,0.00%,-7.29%,-3.04%,0.00%,4.26%,INDR
24,21-10-2025,3.250,3.370,3.150,3.290,74.700,245.763.000,0.31%,4.01%,-2.78%,1.54%,3.69%,8.61%,INDR
25,20-10-2025,3.080,3.350,3.080,3.240,13.200,42.768.000,0.00%,8.77%,0.00%,5.19%,8.77%,8.96%,INDR
26,17-10-2025,3.260,3.260,3.050,3.080,27.200,83.776.000,0.00%,0.00%,-6.44%,-5.52%,0.00%,7.06%,INDR
27,16-10-2025,3.230,3.440,3.030,3.260,46.700,152.242.000,-2.42%,3.93%,-8.46%,-1.51%,6.50%,8.72%,INDR
28,15-10-2025,3.430,3.440,3.140,3.310,67.500,223.425.000,0.29%,0.58%,-8.19%,-3.22%,0.29%,2.03%,INDR
29,14-10-2025,3.560,3.650,3.370,3.420,103.200,352.944.000,1.14%,3.69%,-4.26%,-2.84%,2.53%,6.30%,INDR
30,13-10-2025,3.470,3.660,3.420,3.520,60.600,213.312.000,-1.42%,3.98%,-2.84%,0.00%,5.48%,5.46%,INDR
31,10-10-2025,3.700,3.870,3.460,3.520,262.100,922.592.000,-2.89%,1.57%,-9.19%,-7.61%,4.59%,14.73%,INDR
32,09-10-2025,3.360,4.200,3.300,3.810,584.100,2.225.421.000,-3.45%,20.69%,-5.17%,9.48%,25.00%,20.48%,INDR
33,08-10-2025,3.340,3.870,3.340,3.480,279.800,973.704.000,4.70%,21.32%,4.70%,9.09%,15.87%,17.83%,INDR
34,07-10-2025,3.280,3.280,3.180,3.190,11.300,36.047.000,0.00%,0.00%,-3.05%,-2.74%,0.00%,3.96%,INDR
35,06-10-2025,3.290,3.310,3.150,3.280,17.800,58.384.000,0.00%,0.61%,-4.26%,-0.30%,0.61%,7.25%,INDR
36,03-10-2025,3.250,3.290,3.070,3.290,34.800,114.492.000,0.00%,1.23%,-5.54%,1.23%,1.23%,5.47%,INDR
37,02-10-2025,3.240,3.250,3.110,3.250,12.700,41.275.000,0.00%,0.31%,-4.01%,0.31%,0.31%,1.54%,INDR
38,01-10-2025,3.210,3.400,3.200,3.240,167.700,543.348.000,-0.93%,4.94%,-1.23%,0.00%,5.92%,15.00%,INDR
39,30-09-2025,2.970,3.300,2.890,3.240,243.400,788.616.000,-0.67%,10.37%,-3.34%,8.36%,11.11%,11.82%,INDR
40,29-09-2025,3.000,3.000,2.910,2.990,35.000,104.650.000,2.74%,2.74%,-0.34%,2.40%,0.00%,5.00%,INDR
41,26-09-2025,2.850,2.940,2.850,2.920,9.100,26.572.000,-3.06%,0.00%,-3.06%,-0.68%,3.16%,3.74%,INDR
