col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INDS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INDS
1,21-11-2025,228,228,224,224,195.000,43.680.000,0.88%,0.88%,-0.88%,-0.88%,0.00%,1.75%,INDS
2,20-11-2025,226,230,224,226,179.000,40.454.000,0.00%,1.77%,-0.88%,0.00%,1.77%,2.61%,INDS
3,19-11-2025,226,226,224,226,123.900,28.001.400,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,INDS
4,18-11-2025,228,228,224,226,268.200,60.613.200,0.00%,0.00%,-1.75%,-0.88%,0.00%,2.63%,INDS
5,17-11-2025,226,228,222,228,449.700,102.531.600,0.00%,0.88%,-1.77%,0.88%,0.88%,1.75%,INDS
6,14-11-2025,226,228,224,226,267.100,60.364.600,0.89%,1.79%,0.00%,0.89%,0.88%,1.75%,INDS
7,13-11-2025,226,226,224,224,253.000,56.672.000,0.00%,0.00%,-0.88%,-0.88%,0.00%,3.54%,INDS
8,12-11-2025,228,228,218,226,968.900,218.971.400,0.88%,0.88%,-3.54%,0.00%,0.00%,1.75%,INDS
9,11-11-2025,228,228,224,226,275.300,62.217.800,0.00%,0.00%,-1.75%,-0.88%,0.00%,1.75%,INDS
10,10-11-2025,226,228,224,228,214.100,48.814.800,0.00%,0.88%,-0.88%,0.88%,0.88%,1.75%,INDS
11,07-11-2025,228,228,224,226,135.800,30.690.800,0.88%,0.88%,-0.88%,0.00%,0.00%,1.75%,INDS
12,06-11-2025,226,228,224,226,116.000,26.216.000,0.00%,0.88%,-0.88%,0.00%,0.88%,2.63%,INDS
13,05-11-2025,224,226,222,226,336.900,76.139.400,-0.88%,0.00%,-1.77%,0.00%,0.89%,0.88%,INDS
14,04-11-2025,226,226,224,226,217.400,49.132.400,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,INDS
15,03-11-2025,228,228,224,226,221.900,50.149.400,0.88%,0.88%,-0.88%,0.00%,0.00%,1.75%,INDS
16,31-10-2025,226,228,224,226,56.600,12.791.600,0.00%,0.88%,-0.88%,0.00%,0.88%,1.75%,INDS
17,30-10-2025,228,228,224,226,330.700,74.738.200,1.79%,1.79%,0.00%,0.89%,0.00%,1.75%,INDS
18,29-10-2025,230,230,224,224,262.400,58.777.600,0.88%,0.88%,-1.75%,-1.75%,0.00%,2.61%,INDS
19,28-10-2025,230,230,224,228,88.700,20.223.600,0.88%,0.88%,-1.75%,0.00%,0.00%,2.61%,INDS
20,27-10-2025,226,230,224,228,387.500,88.350.000,0.00%,1.77%,-0.88%,0.88%,1.77%,3.48%,INDS
21,24-10-2025,226,226,222,226,380.600,86.015.600,0.00%,0.00%,-1.77%,0.00%,0.00%,0.88%,INDS
22,23-10-2025,226,228,224,226,301.100,68.048.600,0.00%,0.88%,-0.88%,0.00%,0.88%,1.75%,INDS
23,22-10-2025,226,228,224,226,133.300,30.125.800,0.00%,0.88%,-0.88%,0.00%,0.88%,1.75%,INDS
24,21-10-2025,226,232,224,226,496.800,112.276.800,0.00%,2.65%,-0.88%,0.00%,2.65%,4.31%,INDS
25,20-10-2025,222,228,222,226,566.900,128.119.400,0.00%,2.70%,0.00%,1.80%,2.70%,2.63%,INDS
26,17-10-2025,228,230,222,222,320.700,71.195.400,1.79%,2.68%,-0.89%,-0.89%,0.88%,2.61%,INDS
27,16-10-2025,226,228,224,224,148.900,33.353.600,0.89%,1.79%,0.00%,0.00%,0.88%,3.51%,INDS
28,15-10-2025,232,232,220,224,414.700,92.892.800,0.00%,0.00%,-5.17%,-3.45%,0.00%,0.86%,INDS
29,14-10-2025,238,238,230,232,497.400,115.396.800,0.85%,0.85%,-2.54%,-1.69%,0.00%,6.72%,INDS
30,13-10-2025,226,240,222,236,1.554.100,366.767.600,0.89%,7.14%,-0.89%,5.36%,6.19%,7.50%,INDS
31,10-10-2025,228,228,222,224,605.800,135.699.200,1.79%,1.79%,-0.89%,0.00%,0.00%,2.63%,INDS
32,09-10-2025,224,232,222,224,350.900,78.601.600,0.00%,3.57%,-0.89%,0.00%,3.57%,4.31%,INDS
33,08-10-2025,230,230,222,224,272.600,61.062.400,0.88%,0.88%,-2.63%,-1.75%,0.00%,3.48%,INDS
34,07-10-2025,224,230,222,228,612.500,139.650.000,0.90%,3.60%,0.00%,2.70%,2.68%,3.48%,INDS
35,06-10-2025,228,230,222,222,722.600,160.417.200,0.00%,0.88%,-2.63%,-2.63%,0.88%,2.61%,INDS
36,03-10-2025,230,232,224,228,199.000,45.372.000,0.88%,1.75%,-1.75%,0.00%,0.87%,2.59%,INDS
37,02-10-2025,226,234,226,228,724.500,165.186.000,-2.59%,0.86%,-2.59%,-1.72%,3.54%,3.42%,INDS
38,01-10-2025,234,236,226,232,551.500,127.948.000,0.00%,0.85%,-3.42%,-0.85%,0.85%,5.93%,INDS
39,30-09-2025,240,246,222,234,1.237.800,289.645.200,0.84%,3.36%,-6.72%,-1.68%,2.50%,5.69%,INDS
40,29-09-2025,238,246,232,238,233.000,55.454.000,0.00%,3.36%,-2.52%,0.00%,3.36%,5.69%,INDS
41,26-09-2025,242,248,232,238,730.500,173.859.000,0.00%,2.48%,-4.13%,-1.65%,2.48%,4.03%,INDS
42,25-09-2025,256,256,238,242,1.017.500,246.235.000,0.79%,0.79%,-6.30%,-4.72%,0.00%,7.81%,INDS
43,24-09-2025,266,266,236,254,3.266.300,829.640.200,0.76%,0.76%,-10.61%,-3.79%,0.00%,3.76%,INDS
44,23-09-2025,312,340,256,264,16.660.900,4.398.477.600,11.43%,21.43%,-8.57%,-5.71%,8.97%,32.35%,INDS
45,22-09-2025,230,280,230,280,10.528.000,2.947.840.000,2.68%,25.00%,2.68%,25.00%,21.74%,20.71%,INDS
46,19-09-2025,226,230,222,224,274.500,61.488.000,1.80%,3.60%,0.00%,0.90%,1.77%,3.48%,INDS
47,18-09-2025,226,226,222,222,147.300,32.700.600,0.00%,0.00%,-1.77%,-1.77%,0.00%,1.77%,INDS
48,17-09-2025,222,226,222,226,254.600,57.539.600,0.00%,1.80%,0.00%,1.80%,1.80%,1.77%,INDS
49,16-09-2025,224,224,222,222,43.500,9.657.000,0.90%,0.90%,0.00%,0.00%,0.00%,1.79%,INDS
