col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INDX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INDX
1,21-11-2025,170,171,166,167,3.896.800,650.765.600,0.59%,1.18%,-1.78%,-1.18%,0.59%,3.51%,INDX
2,20-11-2025,167,173,165,169,2.150.500,363.434.500,0.00%,3.59%,-1.20%,1.20%,3.59%,5.78%,INDX
3,19-11-2025,167,178,163,167,14.857.900,2.481.269.300,0.00%,6.59%,-2.40%,0.00%,6.59%,7.30%,INDX
4,18-11-2025,169,169,165,167,4.351.600,726.717.200,-0.59%,-0.59%,-2.94%,-1.76%,0.00%,2.37%,INDX
5,17-11-2025,170,174,165,170,7.193.100,1.222.827.000,0.00%,2.35%,-2.94%,0.00%,2.35%,2.87%,INDX
6,14-11-2025,176,183,169,170,29.086.400,4.944.688.000,0.00%,3.98%,-3.98%,-3.41%,3.98%,6.01%,INDX
7,13-11-2025,181,182,172,176,23.924.600,4.210.729.600,0.00%,0.55%,-4.97%,-2.76%,0.55%,3.85%,INDX
8,12-11-2025,189,204,175,181,97.823.000,17.705.963.000,1.07%,9.09%,-6.42%,-3.21%,7.94%,14.71%,INDX
9,11-11-2025,187,197,174,187,52.566.400,9.829.916.800,-2.09%,3.14%,-8.90%,-2.09%,5.35%,14.72%,INDX
10,10-11-2025,170,193,168,191,79.543.100,15.192.732.100,0.00%,13.53%,-1.18%,12.35%,13.53%,13.99%,INDX
11,07-11-2025,174,178,166,170,14.249.500,2.422.415.000,2.35%,4.71%,-2.35%,0.00%,2.30%,11.24%,INDX
12,06-11-2025,159,183,158,170,53.378.400,9.074.328.000,0.63%,15.82%,0.00%,7.59%,15.09%,20.22%,INDX
13,05-11-2025,158,191,146,158,101.662.600,16.062.690.800,0.00%,20.89%,-7.59%,0.00%,20.89%,18.32%,INDX
14,04-11-2025,160,176,156,158,31.467.600,4.971.880.800,0.00%,10.00%,-2.50%,-1.25%,10.00%,10.23%,INDX
15,03-11-2025,160,164,158,160,4.760.000,761.600.000,1.27%,3.80%,0.00%,1.27%,2.50%,4.27%,INDX
16,31-10-2025,160,163,157,158,4.567.100,721.601.800,0.00%,1.88%,-1.88%,-1.25%,1.88%,4.29%,INDX
17,30-10-2025,164,173,156,160,11.270.500,1.803.280.000,0.00%,5.49%,-4.88%,-2.44%,5.49%,8.67%,INDX
18,29-10-2025,162,185,158,164,22.344.800,3.664.547.200,0.00%,14.20%,-2.47%,1.23%,14.20%,14.59%,INDX
19,28-10-2025,171,173,158,162,7.330.800,1.187.589.600,0.00%,1.17%,-7.60%,-5.26%,1.17%,6.94%,INDX
20,27-10-2025,179,200,161,171,55.800.900,9.541.953.900,6.55%,19.05%,-4.17%,1.79%,11.73%,16.00%,INDX
21,24-10-2025,173,175,168,168,6.968.300,1.170.674.400,-1.14%,0.00%,-4.00%,-4.00%,1.16%,6.86%,INDX
22,23-10-2025,170,180,163,175,17.693.700,3.096.397.500,-6.08%,-0.55%,-9.94%,-3.31%,5.88%,-0.56%,INDX
23,22-10-2025,212,216,181,181,69.450.700,12.570.576.700,0.00%,1.89%,-14.62%,-14.62%,1.89%,22.22%,INDX
24,21-10-2025,170,212,168,212,173.023.700,36.681.024.400,7.59%,34.18%,6.33%,34.18%,24.71%,31.60%,INDX
25,20-10-2025,146,158,145,158,10.590.400,1.673.283.200,-9.32%,-1.86%,-9.94%,-1.86%,8.22%,-1.90%,INDX
26,17-10-2025,180,180,161,161,5.391.800,868.079.800,1.12%,1.12%,-9.55%,-9.55%,0.00%,1.11%,INDX
27,16-10-2025,184,186,178,178,16.686.700,2.970.232.600,0.00%,1.09%,-3.26%,-3.26%,1.09%,1.08%,INDX
28,15-10-2025,184,184,184,184,3.675.700,676.328.800,-9.80%,-9.80%,-9.80%,-9.80%,0.00%,-10.87%,INDX
