col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INDY
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INDY
1,21-11-2025,1.820,1.820,1.795,1.800,6.358.900,11.446.020.000,0.00%,0.00%,-1.37%,-1.10%,0.00%,0.27%,INDY
2,20-11-2025,1.845,1.885,1.815,1.820,13.130.700,23.897.874.000,0.54%,2.72%,-1.09%,-0.82%,2.17%,2.92%,INDY
3,19-11-2025,1.830,1.870,1.830,1.835,10.849.800,19.909.383.000,0.55%,2.75%,0.55%,0.82%,2.19%,3.74%,INDY
4,18-11-2025,1.940,1.940,1.800,1.820,27.138.300,49.391.706.000,0.52%,0.52%,-6.74%,-5.70%,0.00%,0.77%,INDY
5,17-11-2025,2.020,2.050,1.925,1.930,23.326.800,45.020.724.000,0.00%,1.49%,-4.70%,-4.46%,1.49%,1.95%,INDY
6,14-11-2025,2.050,2.060,2.010,2.020,8.172.300,16.508.046.000,0.00%,0.49%,-1.95%,-1.46%,0.49%,0.97%,INDY
7,13-11-2025,2.060,2.090,2.040,2.050,9.766.100,20.020.505.000,0.49%,1.95%,-0.49%,0.00%,1.46%,3.35%,INDY
8,12-11-2025,2.070,2.080,2.020,2.050,11.268.700,23.100.835.000,0.00%,0.48%,-2.42%,-0.97%,0.48%,1.44%,INDY
9,11-11-2025,2.100,2.140,2.050,2.070,44.087.400,91.260.918.000,3.45%,5.42%,0.99%,1.97%,1.90%,9.81%,INDY
10,10-11-2025,1.930,2.030,1.930,2.030,33.976.700,68.972.701.000,0.52%,5.73%,0.52%,5.73%,5.18%,5.67%,INDY
11,07-11-2025,1.945,1.950,1.915,1.920,8.525.900,16.369.728.000,-0.26%,0.00%,-1.79%,-1.54%,0.26%,2.05%,INDY
12,06-11-2025,1.950,1.960,1.910,1.950,15.519.700,30.263.415.000,0.00%,0.51%,-2.05%,0.00%,0.51%,4.59%,INDY
13,05-11-2025,1.895,1.955,1.870,1.950,25.953.600,50.609.520.000,0.00%,3.17%,-1.32%,2.90%,3.17%,3.58%,INDY
14,04-11-2025,1.975,1.980,1.885,1.895,27.904.400,52.878.838.000,0.00%,0.25%,-4.56%,-4.05%,0.25%,0.51%,INDY
15,03-11-2025,2.100,2.100,1.970,1.975,27.543.200,54.397.820.000,0.48%,0.48%,-5.74%,-5.50%,0.00%,2.86%,INDY
16,31-10-2025,2.090,2.120,2.040,2.090,22.349.600,46.710.664.000,1.46%,2.91%,-0.97%,1.46%,1.44%,4.72%,INDY
17,30-10-2025,2.120,2.120,2.020,2.060,28.366.600,58.435.196.000,-0.47%,-0.47%,-5.16%,-3.29%,0.00%,5.19%,INDY
18,29-10-2025,2.030,2.140,2.010,2.130,31.181.000,66.415.530.000,-1.46%,3.88%,-2.43%,3.40%,5.42%,3.74%,INDY
19,28-10-2025,2.180,2.200,2.060,2.060,25.129.600,51.766.976.000,-0.46%,0.46%,-5.94%,-5.94%,0.92%,3.18%,INDY
20,27-10-2025,2.250,2.260,2.130,2.190,25.150.500,55.079.595.000,0.00%,0.44%,-5.33%,-2.67%,0.44%,1.33%,INDY
21,24-10-2025,2.350,2.360,2.230,2.250,26.319.300,59.218.425.000,1.73%,2.16%,-3.46%,-2.60%,0.43%,4.66%,INDY
22,23-10-2025,2.250,2.370,2.250,2.310,26.755.300,61.804.743.000,-0.44%,4.87%,-0.44%,2.21%,5.33%,6.33%,INDY
23,22-10-2025,2.290,2.350,2.220,2.260,47.938.800,108.341.688.000,-5.37%,-2.89%,-8.26%,-6.61%,2.62%,0.00%,INDY
24,21-10-2025,2.500,2.570,2.350,2.420,40.945.100,99.087.142.000,2.46%,5.33%,-3.69%,-0.82%,2.80%,9.73%,INDY
25,20-10-2025,2.580,2.600,2.320,2.440,51.073.800,124.620.072.000,1.18%,1.96%,-9.02%,-4.31%,0.78%,5.00%,INDY
26,17-10-2025,2.500,2.690,2.470,2.550,119.595.100,304.967.505.000,3.31%,11.16%,2.07%,5.37%,7.60%,13.01%,INDY
27,16-10-2025,2.350,2.470,2.340,2.420,58.765.400,142.212.268.000,0.86%,6.01%,0.43%,3.86%,5.11%,9.31%,INDY
28,15-10-2025,2.400,2.430,2.240,2.330,33.086.100,77.090.613.000,1.27%,2.53%,-5.49%,-1.69%,1.25%,8.64%,INDY
29,14-10-2025,2.350,2.450,2.220,2.370,60.560.100,143.527.437.000,3.98%,8.41%,-1.77%,4.87%,4.26%,11.84%,INDY
30,13-10-2025,2.160,2.320,2.160,2.260,37.410.900,84.548.634.000,-2.70%,4.50%,-2.70%,1.80%,7.41%,6.90%,INDY
31,10-10-2025,2.400,2.400,2.160,2.220,40.808.100,90.593.982.000,2.13%,2.13%,-8.09%,-5.53%,0.00%,5.83%,INDY
32,09-10-2025,2.450,2.470,2.260,2.350,45.945.700,107.972.395.000,0.41%,1.23%,-7.38%,-3.69%,0.82%,4.45%,INDY
33,08-10-2025,2.410,2.610,2.360,2.440,120.777.300,294.696.612.000,0.84%,9.21%,-1.26%,2.09%,8.30%,9.58%,INDY
34,07-10-2025,2.380,2.450,2.360,2.390,25.474.500,60.884.055.000,0.00%,2.94%,-0.84%,0.42%,2.94%,3.67%,INDY
35,06-10-2025,2.460,2.500,2.360,2.380,37.062.300,88.208.274.000,1.65%,3.31%,-2.48%,-1.65%,1.63%,5.20%,INDY
36,03-10-2025,2.370,2.540,2.370,2.420,59.319.200,143.552.464.000,0.42%,7.63%,0.42%,2.54%,7.17%,7.87%,INDY
37,02-10-2025,2.400,2.420,2.340,2.360,21.485.400,50.705.544.000,0.84%,1.68%,-1.68%,-0.84%,0.83%,4.13%,INDY
38,01-10-2025,2.350,2.470,2.320,2.380,40.567.300,96.550.174.000,1.29%,6.47%,0.00%,2.59%,5.11%,7.69%,INDY
39,30-09-2025,2.350,2.420,2.280,2.320,49.413.900,114.640.248.000,0.00%,2.98%,-2.98%,-1.28%,2.98%,4.13%,INDY
40,29-09-2025,2.400,2.450,2.320,2.350,38.129.700,89.604.795.000,3.45%,5.60%,0.00%,1.29%,2.08%,8.57%,INDY
41,26-09-2025,2.250,2.420,2.240,2.320,39.710.000,92.127.200.000,-1.75%,5.68%,-2.18%,1.31%,7.56%,6.61%,INDY
42,25-09-2025,2.400,2.400,2.260,2.290,30.574.900,70.016.521.000,0.00%,0.00%,-5.83%,-4.58%,0.00%,1.67%,INDY
43,24-09-2025,2.430,2.470,2.360,2.400,31.518.200,75.643.680.000,0.00%,1.65%,-2.88%,-1.23%,1.65%,6.88%,INDY
44,23-09-2025,2.360,2.570,2.300,2.430,132.584.900,322.181.307.000,2.61%,11.74%,0.00%,5.65%,8.90%,15.95%,INDY
45,22-09-2025,2.190,2.330,2.160,2.300,68.352.700,157.211.210.000,1.39%,7.87%,0.00%,6.48%,6.39%,10.30%,INDY
46,19-09-2025,2.090,2.280,2.090,2.160,65.025.100,140.454.216.000,0.48%,9.62%,0.48%,3.85%,9.09%,9.21%,INDY
47,18-09-2025,2.180,2.200,2.070,2.080,38.185.400,79.425.632.000,0.46%,1.38%,-4.61%,-4.15%,0.92%,2.27%,INDY
