col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INET
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INET
1,21-11-2025,550,555,530,540,234.356.900,126.552.726.000,-0.90%,0.00%,-4.50%,-2.70%,0.91%,4.50%,INET
2,20-11-2025,550,560,530,555,368.808.500,204.688.717.500,0.92%,2.75%,-2.75%,1.83%,1.82%,8.04%,INET
3,19-11-2025,520,570,515,545,880.192.700,479.705.021.500,1.96%,11.76%,0.98%,6.86%,9.62%,13.68%,INET
4,18-11-2025,515,545,492,510,639.935.400,326.367.054.000,0.00%,5.83%,-4.47%,-0.97%,5.83%,7.34%,INET
5,17-11-2025,525,560,505,515,1.354.262.300,697.445.084.500,2.94%,9.80%,-0.98%,0.98%,6.67%,23.21%,INET
6,14-11-2025,434,535,430,510,2.552.783.900,1.301.919.789.000,-1.36%,21.59%,-2.27%,15.91%,23.27%,18.88%,INET
7,13-11-2025,474,478,434,440,974.585.300,428.817.532.000,4.87%,5.75%,-3.98%,-2.65%,0.84%,14.64%,INET
8,12-11-2025,422,484,408,452,1.851.655.900,836.948.466.800,0.00%,14.69%,-3.32%,7.11%,14.69%,15.29%,INET
9,11-11-2025,412,486,410,422,2.440.722.300,1.029.984.810.600,3.00%,21.50%,2.50%,5.50%,17.96%,35.39%,INET
10,10-11-2025,320,400,314,400,1.684.411.400,673.764.560.000,0.00%,25.00%,-1.88%,25.00%,25.00%,21.50%,INET
11,07-11-2025,314,344,314,320,1.286.319.600,411.622.272.000,0.64%,10.26%,0.64%,2.56%,9.55%,16.86%,INET
12,06-11-2025,292,314,286,312,756.896.200,236.151.614.400,2.10%,9.79%,0.00%,9.09%,7.53%,9.55%,INET
13,05-11-2025,290,298,284,286,261.803.900,74.875.915.400,0.69%,3.47%,-1.39%,-0.69%,2.76%,6.04%,INET
14,04-11-2025,284,292,280,288,211.981.500,61.050.672.000,1.43%,4.29%,0.00%,2.86%,2.82%,4.11%,INET
15,03-11-2025,280,288,280,280,102.302.200,28.644.616.000,-0.71%,2.13%,-0.71%,-0.71%,2.86%,4.17%,INET
16,31-10-2025,278,284,276,282,85.465.200,24.101.186.400,0.72%,2.90%,0.00%,2.17%,2.16%,2.82%,INET
17,30-10-2025,280,284,276,276,58.967.400,16.275.002.400,0.00%,1.43%,-1.43%,-1.43%,1.43%,2.82%,INET
18,29-10-2025,282,286,276,280,99.767.600,27.934.928.000,1.44%,2.88%,-0.72%,0.72%,1.42%,3.50%,INET
19,28-10-2025,284,286,276,278,92.637.600,25.753.252.800,0.71%,1.42%,-2.13%,-1.42%,0.70%,4.20%,INET
20,27-10-2025,300,302,274,282,352.322.900,99.355.057.800,4.17%,4.86%,-4.86%,-2.08%,0.67%,8.61%,INET
21,24-10-2025,276,292,276,288,264.035.800,76.042.310.400,0.73%,6.57%,0.73%,5.11%,5.80%,6.85%,INET
22,23-10-2025,274,284,272,274,126.515.900,34.665.356.600,0.74%,4.41%,0.00%,0.74%,3.65%,4.93%,INET
23,22-10-2025,272,276,270,272,87.702.700,23.855.134.400,0.00%,1.47%,-0.74%,0.00%,1.47%,1.45%,INET
24,21-10-2025,272,282,272,272,108.048.900,29.389.300.800,1.49%,5.22%,1.49%,1.49%,3.68%,7.09%,INET
25,20-10-2025,264,276,262,268,128.456.900,34.426.449.200,0.76%,5.34%,0.00%,2.29%,4.55%,5.80%,INET
26,17-10-2025,274,276,260,262,229.387.800,60.099.603.600,-0.72%,0.00%,-5.80%,-5.07%,0.73%,0.00%,INET
27,16-10-2025,290,290,276,276,149.202.900,41.180.000.400,2.84%,2.84%,-2.13%,-2.13%,0.00%,6.21%,INET
28,15-10-2025,312,318,272,282,1.135.962.000,320.341.284.000,5.41%,7.43%,-8.11%,-4.73%,1.92%,13.21%,INET
29,14-10-2025,286,316,276,296,883.178.200,261.420.747.200,0.70%,11.27%,-2.82%,4.23%,10.49%,13.29%,INET
30,13-10-2025,280,292,274,284,288.242.900,81.860.983.600,-2.10%,2.10%,-4.20%,-0.70%,4.29%,8.22%,INET
31,10-10-2025,270,294,268,286,461.894.700,132.101.884.200,0.00%,8.89%,-0.74%,5.93%,8.89%,9.52%,INET
32,09-10-2025,276,278,266,270,150.067.600,40.518.252.000,0.00%,0.72%,-3.62%,-2.17%,0.72%,2.88%,INET
33,08-10-2025,282,284,270,276,166.005.400,45.817.490.400,2.17%,2.90%,-2.17%,0.00%,0.71%,2.82%,INET
34,07-10-2025,286,290,276,276,235.228.200,64.922.983.200,0.00%,1.40%,-3.50%,-3.50%,1.40%,1.38%,INET
35,06-10-2025,304,310,286,286,380.160.400,108.725.874.400,2.70%,4.73%,-3.38%,-3.38%,1.97%,7.10%,INET
36,03-10-2025,304,314,288,296,626.453.700,185.430.295.200,3.40%,6.80%,-2.04%,0.68%,3.29%,10.83%,INET
37,02-10-2025,282,302,280,294,511.619.400,150.416.103.600,2.17%,9.42%,1.45%,6.52%,7.09%,9.93%,INET
38,01-10-2025,296,298,272,276,457.072.000,126.151.872.000,0.68%,1.36%,-7.48%,-6.12%,0.68%,3.36%,INET
39,30-09-2025,304,340,288,294,2.254.569.600,662.843.462.400,7.04%,19.72%,1.41%,3.52%,11.84%,25.29%,INET
40,29-09-2025,258,284,254,284,1.165.065.200,330.878.516.800,13.16%,24.56%,11.40%,24.56%,10.08%,21.83%,INET
