col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INKP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INKP
1,21-11-2025,7.600,7.675,7.575,7.600,2.719.900,20.671.240.000,-0.98%,0.00%,-1.30%,-0.98%,0.99%,1.63%,INKP
2,20-11-2025,7.550,7.825,7.550,7.675,6.639.500,50.958.162.500,0.67%,4.33%,0.67%,2.33%,3.64%,4.15%,INKP
3,19-11-2025,7.625,7.625,7.500,7.500,3.895.900,29.219.250.000,0.00%,0.00%,-1.64%,-1.64%,0.00%,1.64%,INKP
4,18-11-2025,7.525,7.625,7.500,7.625,4.019.200,30.646.400.000,-0.66%,0.66%,-0.99%,0.66%,1.33%,1.31%,INKP
5,17-11-2025,7.600,7.700,7.525,7.575,5.328.400,40.362.630.000,0.33%,1.65%,-0.66%,0.00%,1.32%,2.60%,INKP
6,14-11-2025,7.525,7.650,7.500,7.575,3.896.200,29.513.715.000,-0.33%,1.32%,-0.66%,0.33%,1.66%,1.63%,INKP
7,13-11-2025,7.775,7.825,7.525,7.550,6.695.500,50.551.025.000,0.65%,1.29%,-2.59%,-2.27%,0.64%,4.15%,INKP
8,12-11-2025,7.550,8.050,7.500,7.725,16.558.900,127.917.502.500,0.33%,6.98%,-0.33%,2.66%,6.62%,7.45%,INKP
9,11-11-2025,7.475,7.550,7.450,7.525,2.969.400,22.344.735.000,0.67%,1.68%,0.34%,1.35%,1.00%,1.66%,INKP
10,10-11-2025,7.500,7.525,7.425,7.425,2.721.500,20.207.137.500,0.00%,0.33%,-1.00%,-1.00%,0.33%,2.33%,INKP
11,07-11-2025,7.525,7.525,7.350,7.500,3.649.900,27.374.250.000,0.67%,0.67%,-1.67%,0.33%,0.00%,1.99%,INKP
12,06-11-2025,7.450,7.550,7.375,7.475,2.418.300,18.076.792.500,0.00%,1.34%,-1.01%,0.34%,1.34%,2.65%,INKP
13,05-11-2025,7.375,7.500,7.350,7.450,5.703.300,42.489.585.000,-1.01%,0.67%,-1.34%,0.00%,1.69%,1.33%,INKP
14,04-11-2025,7.525,7.575,7.400,7.450,3.332.800,24.829.360.000,0.67%,1.34%,-1.00%,-0.33%,0.66%,1.98%,INKP
15,03-11-2025,7.500,7.650,7.425,7.475,4.087.700,30.555.557.500,0.67%,2.68%,-0.34%,0.34%,2.00%,2.61%,INKP
16,31-10-2025,7.700,7.750,7.450,7.450,5.746.800,42.813.660.000,0.00%,0.65%,-3.25%,-3.25%,0.65%,0.97%,INKP
17,30-10-2025,7.775,7.825,7.675,7.700,2.743.500,21.124.950.000,0.00%,0.64%,-1.29%,-0.96%,0.64%,0.96%,INKP
18,29-10-2025,7.825,7.875,7.750,7.775,3.614.900,28.105.847.500,0.97%,1.61%,0.00%,0.32%,0.64%,3.17%,INKP
19,28-10-2025,7.700,7.900,7.625,7.750,7.457.200,57.793.300.000,0.98%,3.61%,0.00%,1.64%,2.60%,6.33%,INKP
20,27-10-2025,7.600,7.625,7.400,7.625,4.453.400,33.957.175.000,1.33%,1.67%,-1.33%,1.67%,0.33%,2.30%,INKP
21,24-10-2025,7.700,7.750,7.450,7.500,3.903.900,29.279.250.000,0.33%,0.98%,-2.93%,-2.28%,0.65%,2.90%,INKP
22,23-10-2025,7.550,7.975,7.525,7.675,12.752.900,97.878.507.500,0.00%,5.63%,-0.33%,1.66%,5.63%,6.27%,INKP
23,22-10-2025,7.475,7.650,7.475,7.550,4.998.100,37.735.655.000,0.34%,2.68%,0.34%,1.34%,2.34%,2.94%,INKP
24,21-10-2025,7.500,7.550,7.425,7.450,2.887.700,21.513.365.000,0.00%,0.67%,-1.00%,-0.67%,0.67%,3.97%,INKP
25,20-10-2025,7.250,7.525,7.250,7.500,6.116.800,45.876.000.000,0.00%,3.79%,0.00%,3.45%,3.79%,3.99%,INKP
