col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INPC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INPC
1,21-11-2025,153,155,151,151,2.150.300,324.695.300,1.32%,2.65%,0.00%,0.00%,1.31%,2.58%,INPC
2,20-11-2025,151,154,151,151,3.774.300,569.919.300,0.00%,1.99%,0.00%,0.00%,1.99%,1.95%,INPC
3,19-11-2025,154,154,151,151,2.685.100,405.450.100,0.65%,0.65%,-1.31%,-1.31%,0.00%,1.95%,INPC
4,18-11-2025,153,154,151,153,3.751.600,573.994.800,-0.65%,0.00%,-1.95%,-0.65%,0.65%,1.30%,INPC
5,17-11-2025,153,157,152,154,11.659.000,1.795.486.000,0.66%,3.29%,0.00%,1.32%,2.61%,3.82%,INPC
6,14-11-2025,152,160,151,152,14.057.700,2.136.770.400,0.00%,5.26%,-0.66%,0.00%,5.26%,5.00%,INPC
7,13-11-2025,154,159,152,152,7.375.800,1.121.121.600,0.00%,3.25%,-1.30%,-1.30%,3.25%,3.77%,INPC
8,12-11-2025,157,157,153,154,8.085.300,1.245.136.200,0.64%,0.64%,-1.92%,-1.28%,0.00%,2.55%,INPC
9,11-11-2025,157,158,153,156,6.373.500,994.266.000,0.64%,1.28%,-1.92%,0.00%,0.64%,2.53%,INPC
10,10-11-2025,160,161,154,156,10.264.800,1.601.308.800,1.27%,1.90%,-2.53%,-1.27%,0.63%,4.35%,INPC
11,07-11-2025,154,160,154,158,17.856.800,2.821.374.400,1.32%,5.26%,1.32%,3.95%,3.90%,5.63%,INPC
12,06-11-2025,152,154,151,152,3.812.500,579.500.000,0.66%,1.99%,0.00%,0.66%,1.32%,2.60%,INPC
13,05-11-2025,151,153,150,151,3.123.600,471.663.600,0.00%,1.32%,-0.66%,0.00%,1.32%,1.96%,INPC
14,04-11-2025,154,155,150,151,5.467.200,825.547.200,0.65%,1.31%,-1.96%,-1.31%,0.65%,2.58%,INPC
15,03-11-2025,151,153,151,153,6.481.000,991.593.000,-0.66%,0.66%,-0.66%,0.66%,1.32%,0.65%,INPC
16,31-10-2025,156,157,152,152,6.531.200,992.742.400,0.65%,1.29%,-1.94%,-1.94%,0.64%,2.55%,INPC
17,30-10-2025,155,159,153,155,29.080.700,4.507.508.500,0.00%,2.58%,-1.29%,0.00%,2.58%,4.40%,INPC
18,29-10-2025,154,156,152,155,3.475.100,538.640.500,1.32%,2.63%,0.00%,1.97%,1.30%,2.56%,INPC
