col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INPP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INPP
1,21-11-2025,680,680,670,670,7.200,4.824.000,0.00%,0.00%,-1.47%,-1.47%,0.00%,0.74%,INPP
2,20-11-2025,675,695,675,680,253.800,172.584.000,-2.88%,0.00%,-2.88%,-2.16%,2.96%,2.88%,INPP
3,19-11-2025,675,695,675,695,15.200,10.564.000,0.00%,2.96%,0.00%,2.96%,2.96%,6.47%,INPP
4,18-11-2025,690,690,650,675,13.900,9.382.500,0.00%,0.00%,-5.80%,-2.17%,0.00%,3.62%,INPP
5,17-11-2025,680,695,665,690,17.000,11.730.000,1.49%,3.73%,-0.75%,2.99%,2.21%,10.07%,INPP
6,14-11-2025,690,690,625,670,92.500,61.975.000,0.00%,0.00%,-9.42%,-2.90%,0.00%,11.59%,INPP
7,13-11-2025,700,705,610,690,84.500,58.305.000,2.94%,3.68%,-10.29%,1.47%,0.71%,3.55%,INPP
8,12-11-2025,715,715,680,680,11.000,7.480.000,2.14%,2.14%,-2.86%,-2.86%,0.00%,5.59%,INPP
9,11-11-2025,690,700,675,700,34.900,24.430.000,0.00%,1.45%,-2.17%,1.45%,1.45%,4.29%,INPP
10,10-11-2025,695,695,670,690,40.900,28.221.000,0.00%,0.00%,-3.60%,-0.72%,0.00%,4.32%,INPP
11,07-11-2025,670,695,665,695,28.900,20.085.500,-0.74%,2.96%,-1.48%,2.96%,3.73%,3.60%,INPP
12,06-11-2025,670,695,670,675,7.700,5.197.500,-3.60%,0.00%,-3.60%,-2.88%,3.73%,5.04%,INPP
13,05-11-2025,690,695,660,695,14.200,9.869.000,0.73%,1.46%,-3.65%,1.46%,0.72%,10.79%,INPP
14,04-11-2025,680,685,620,685,50.100,34.318.500,-2.16%,-1.44%,-10.79%,-1.44%,0.74%,0.73%,INPP
15,03-11-2025,690,700,680,695,29.300,20.363.500,0.00%,1.45%,-1.45%,0.72%,1.45%,10.71%,INPP
16,31-10-2025,710,710,625,690,98.700,68.103.000,0.00%,0.00%,-11.97%,-2.82%,0.00%,2.82%,INPP
17,30-10-2025,705,720,690,710,115.200,81.792.000,1.44%,3.60%,-0.72%,2.16%,2.13%,6.94%,INPP
