col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INPS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INPS
1,21-11-2025,185,185,175,182,4.269.500,777.049.000,9.47%,9.47%,3.55%,7.69%,0.00%,16.22%,INPS
2,20-11-2025,155,169,155,169,2.216.200,374.537.800,0.65%,9.74%,0.65%,9.74%,9.03%,8.88%,INPS
3,19-11-2025,155,155,154,154,100.600,15.492.400,0.00%,0.00%,-0.65%,-0.65%,0.00%,0.00%,INPS
4,18-11-2025,159,159,155,155,115.200,17.856.000,3.92%,3.92%,1.31%,1.31%,0.00%,3.77%,INPS
5,17-11-2025,153,153,153,153,187.800,28.733.400,0.66%,0.66%,0.66%,0.66%,0.00%,0.65%,INPS
6,14-11-2025,160,160,152,152,482.200,73.294.400,-3.61%,-3.61%,-8.43%,-8.43%,0.00%,-3.75%,INPS
7,13-11-2025,168,168,166,166,118.400,19.654.400,0.00%,0.00%,-1.19%,-1.19%,0.00%,0.00%,INPS
8,12-11-2025,168,169,168,168,1.524.900,256.183.200,0.00%,0.60%,0.00%,0.00%,0.60%,0.59%,INPS
9,11-11-2025,175,175,168,168,292.200,49.089.600,0.00%,0.00%,-4.00%,-4.00%,0.00%,2.86%,INPS
10,10-11-2025,170,178,170,175,808.200,141.435.000,1.80%,6.59%,1.80%,4.79%,4.71%,10.11%,INPS
11,07-11-2025,160,167,160,167,373.300,62.341.100,0.00%,4.38%,0.00%,4.38%,4.38%,4.19%,INPS
12,06-11-2025,169,169,160,160,274.800,43.968.000,6.29%,6.29%,0.63%,0.63%,0.00%,5.92%,INPS
13,05-11-2025,159,170,159,159,1.522.400,242.061.600,-9.66%,-3.41%,-9.66%,-9.66%,6.92%,14.71%,INPS
14,04-11-2025,145,177,145,176,2.960.100,520.977.600,-9.94%,9.94%,-9.94%,9.32%,22.07%,9.04%,INPS
15,03-11-2025,177,177,161,161,1.549.200,249.421.200,-0.56%,-0.56%,-9.55%,-9.55%,0.00%,-0.56%,INPS
16,31-10-2025,178,178,178,178,5.169.700,920.206.600,9.88%,9.88%,9.88%,9.88%,0.00%,10.11%,INPS
17,30-10-2025,160,162,160,162,2.963.200,480.038.400,8.11%,9.46%,8.11%,9.46%,1.25%,9.88%,INPS
18,29-10-2025,146,148,146,148,365.200,54.049.600,0.00%,1.37%,0.00%,1.37%,1.37%,10.81%,INPS
19,28-10-2025,144,146,132,146,1.769.900,258.405.400,-1.37%,0.00%,-9.59%,0.00%,1.39%,0.00%,INPS
20,27-10-2025,146,146,146,146,1.254.000,183.084.000,9.77%,9.77%,9.77%,9.77%,0.00%,10.27%,INPS
21,24-10-2025,131,133,131,133,836.100,111.201.300,8.26%,9.92%,8.26%,9.92%,1.53%,9.02%,INPS
22,23-10-2025,121,121,121,121,174.600,21.126.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INPS
23,22-10-2025,126,126,121,121,149.500,18.089.500,4.13%,4.13%,0.00%,0.00%,0.00%,11.90%,INPS
24,21-10-2025,111,121,111,121,1.192.200,144.256.200,-7.50%,0.83%,-7.50%,0.83%,9.01%,0.83%,INPS
25,20-10-2025,125,125,120,120,205.300,24.636.000,0.00%,0.00%,-4.00%,-4.00%,0.00%,0.00%,INPS
26,17-10-2025,138,138,125,125,2.305.600,288.200.000,0.00%,0.00%,-9.42%,-9.42%,0.00%,0.00%,INPS
27,16-10-2025,138,138,138,138,342.400,47.251.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INPS
28,15-10-2025,138,138,138,138,1.909.900,263.566.200,-9.80%,-9.80%,-9.80%,-9.80%,0.00%,-10.87%,INPS
29,14-10-2025,168,168,153,153,1.165.900,178.382.700,-1.18%,-1.18%,-10.00%,-10.00%,0.00%,-1.19%,INPS
30,13-10-2025,170,170,170,170,857.900,145.843.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INPS
31,10-10-2025,170,170,170,170,1.368.500,232.645.000,-2.30%,-2.30%,-2.30%,-2.30%,0.00%,6.47%,INPS
32,09-10-2025,162,174,159,174,1.810.800,315.079.200,1.89%,9.43%,0.00%,9.43%,7.41%,16.09%,INPS
33,08-10-2025,146,160,146,159,564.600,89.771.400,-9.88%,-1.23%,-9.88%,-1.85%,9.59%,-1.25%,INPS
34,07-10-2025,180,180,162,162,407.000,65.934.000,0.00%,0.00%,-10.00%,-10.00%,0.00%,0.00%,INPS
35,06-10-2025,180,180,180,180,585.000,105.300.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INPS
36,03-10-2025,180,180,180,180,1.636.300,294.534.000,5.88%,5.88%,5.88%,5.88%,0.00%,7.22%,INPS
37,02-10-2025,182,182,167,170,1.436.600,244.222.000,8.98%,8.98%,0.00%,1.80%,0.00%,8.24%,INPS
38,01-10-2025,167,167,167,167,2.352.400,392.850.800,9.87%,9.87%,9.87%,9.87%,0.00%,24.55%,INPS
39,30-09-2025,126,152,126,152,3.443.100,523.351.200,-9.35%,9.35%,-9.35%,9.35%,20.63%,8.55%,INPS
40,29-09-2025,140,140,139,139,1.163.000,161.657.000,-9.09%,-9.09%,-9.74%,-9.74%,0.00%,-10.00%,INPS
41,26-09-2025,160,160,154,154,765.400,117.871.600,1.91%,1.91%,-1.91%,-1.91%,0.00%,10.63%,INPS
42,25-09-2025,143,157,143,157,3.001.700,471.266.900,-8.92%,0.00%,-8.92%,0.00%,9.79%,0.00%,INPS
43,24-09-2025,160,160,157,157,3.804.400,597.290.800,-8.05%,-8.05%,-9.77%,-9.77%,0.00%,-8.75%,INPS
44,23-09-2025,212,212,174,174,10.574.400,1.839.945.600,9.84%,9.84%,-9.84%,-9.84%,0.00%,8.96%,INPS
45,22-09-2025,193,193,193,193,2.131.200,411.321.600,9.66%,9.66%,9.66%,9.66%,0.00%,8.81%,INPS
46,19-09-2025,176,176,176,176,2.613.500,459.976.000,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,INPS
47,18-09-2025,160,160,160,160,1.636.400,261.824.000,9.59%,9.59%,9.59%,9.59%,0.00%,8.75%,INPS
48,17-09-2025,146,146,146,146,8.145.300,1.189.213.800,9.77%,9.77%,9.77%,9.77%,0.00%,13.01%,INPS
49,16-09-2025,127,133,127,133,4.172.100,554.889.300,1.60%,6.40%,1.60%,6.40%,4.72%,7.52%,INPS
50,15-09-2025,123,125,123,125,574.000,71.750.000,2.50%,4.17%,2.50%,4.17%,1.63%,5.60%,INPS
51,12-09-2025,118,120,118,120,367.800,44.136.000,0.00%,1.69%,0.00%,1.69%,1.69%,2.50%,INPS
52,11-09-2025,118,118,117,118,327.800,38.680.400,0.00%,0.00%,-0.85%,0.00%,0.00%,0.85%,INPS
53,10-09-2025,117,118,117,118,249.200,29.405.600,1.74%,2.61%,1.74%,2.61%,0.85%,5.08%,INPS
54,09-09-2025,112,115,112,115,131.400,15.111.000,0.00%,2.68%,0.00%,2.68%,2.68%,2.61%,INPS
55,08-09-2025,117,117,112,112,204.600,22.915.200,4.46%,4.46%,0.00%,0.00%,0.00%,5.13%,INPS
56,04-09-2025,111,112,111,112,110.400,12.364.800,0.00%,0.90%,0.00%,0.90%,0.90%,1.79%,INPS
57,03-09-2025,110,111,110,111,19.300,2.142.300,0.92%,1.83%,0.92%,1.83%,0.91%,2.70%,INPS
