col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INRU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INRU
1,21-11-2025,770,795,725,725,76.200,55.245.000,2.67%,6.00%,-3.33%,-3.33%,3.25%,11.95%,INRU
2,20-11-2025,730,755,700,750,356.400,267.300.000,0.00%,3.42%,-4.11%,2.74%,3.42%,9.93%,INRU
3,19-11-2025,740,740,680,730,369.100,269.443.000,1.37%,1.37%,-6.85%,0.00%,0.00%,6.08%,INRU
4,18-11-2025,715,750,695,730,115.900,84.607.000,0.00%,4.90%,-2.80%,2.10%,4.90%,7.33%,INRU
5,17-11-2025,695,745,695,715,65.300,46.689.500,0.00%,7.19%,0.00%,2.88%,7.19%,6.71%,INRU
6,14-11-2025,740,740,695,695,17.400,12.093.000,5.71%,5.71%,-0.71%,-0.71%,0.00%,5.41%,INRU
7,13-11-2025,705,740,700,700,26.500,18.550.000,0.71%,5.71%,0.00%,0.00%,4.96%,7.43%,INRU
8,12-11-2025,695,700,685,700,55.400,38.780.000,0.72%,1.45%,-0.72%,1.45%,0.72%,1.43%,INRU
9,11-11-2025,715,740,690,690,56.100,38.709.000,0.00%,3.50%,-3.50%,-3.50%,3.50%,4.73%,INRU
10,10-11-2025,720,740,705,715,34.800,24.882.000,0.00%,2.78%,-2.08%,-0.69%,2.78%,5.41%,INRU
11,07-11-2025,700,720,700,720,31.800,22.896.000,0.00%,2.86%,0.00%,2.86%,2.86%,2.78%,INRU
12,06-11-2025,725,735,700,700,14.100,9.870.000,1.40%,2.80%,-2.10%,-2.10%,1.38%,5.44%,INRU
13,05-11-2025,710,735,695,715,9.500,6.792.500,0.71%,4.26%,-1.42%,1.42%,3.52%,4.08%,INRU
14,04-11-2025,715,820,705,705,353.700,249.358.500,2.14%,17.14%,0.71%,0.71%,14.69%,15.24%,INRU
15,03-11-2025,695,720,695,700,5.600,3.920.000,-2.80%,0.70%,-2.80%,-2.10%,3.60%,6.94%,INRU
16,31-10-2025,715,715,670,715,6.000,4.290.000,2.14%,2.14%,-4.29%,2.14%,0.00%,2.10%,INRU
17,30-10-2025,715,715,700,700,8.100,5.670.000,0.00%,0.00%,-2.10%,-2.10%,0.00%,1.40%,INRU
18,29-10-2025,710,725,705,715,14.300,10.224.500,0.71%,2.84%,0.00%,1.42%,2.11%,4.14%,INRU
19,28-10-2025,715,715,695,705,14.000,9.870.000,0.70%,0.70%,-2.11%,-0.70%,0.00%,2.80%,INRU
20,27-10-2025,695,720,695,710,182.100,129.291.000,-2.11%,1.41%,-2.11%,0.00%,3.60%,3.47%,INRU
21,24-10-2025,720,740,695,710,11.500,8.165.000,0.00%,2.78%,-3.47%,-1.39%,2.78%,6.08%,INRU
22,23-10-2025,720,745,695,720,45.700,32.904.000,0.70%,4.20%,-2.80%,0.70%,3.47%,6.04%,INRU
23,22-10-2025,720,725,700,715,9.500,6.792.500,0.00%,0.69%,-2.78%,-0.69%,0.69%,2.07%,INRU
24,21-10-2025,755,755,710,720,38.100,27.432.000,6.34%,6.34%,0.00%,1.41%,0.00%,6.62%,INRU
25,20-10-2025,740,745,705,710,24.200,17.182.000,1.37%,2.05%,-3.42%,-2.74%,0.68%,10.74%,INRU
26,17-10-2025,730,745,665,730,1.123.700,820.301.000,0.00%,2.05%,-8.90%,0.00%,2.05%,6.04%,INRU
27,16-10-2025,740,760,700,730,50.900,37.157.000,0.68%,3.40%,-4.76%,-0.68%,2.70%,10.53%,INRU
28,15-10-2025,690,760,680,735,63.500,46.672.500,-0.72%,9.35%,-2.16%,5.76%,10.14%,12.50%,INRU
29,14-10-2025,740,760,665,695,26.700,18.556.500,0.00%,2.70%,-10.14%,-6.08%,2.70%,4.61%,INRU
30,13-10-2025,780,780,725,740,46.000,34.040.000,1.30%,1.30%,-5.84%,-3.90%,0.00%,6.41%,INRU
31,10-10-2025,780,780,730,770,42.200,32.494.000,0.00%,0.00%,-6.41%,-1.28%,0.00%,7.69%,INRU
32,09-10-2025,785,785,720,780,2.930.900,2.286.102.000,2.61%,2.61%,-5.88%,1.96%,0.00%,10.83%,INRU
33,08-10-2025,705,815,700,765,277.100,211.981.500,0.00%,15.60%,-0.71%,8.51%,15.60%,14.11%,INRU
34,07-10-2025,745,750,700,705,98.600,69.513.000,0.00%,0.67%,-6.04%,-5.37%,0.67%,4.67%,INRU
35,06-10-2025,750,750,715,745,35.300,26.298.500,1.35%,1.35%,-3.38%,0.68%,0.00%,2.67%,INRU
36,03-10-2025,765,765,730,740,31.000,22.940.000,1.32%,1.32%,-3.31%,-1.99%,0.00%,4.58%,INRU
37,02-10-2025,760,760,730,755,15.100,11.400.500,0.00%,0.00%,-3.95%,-0.66%,0.00%,3.29%,INRU
38,01-10-2025,760,765,735,760,12.200,9.272.000,0.00%,0.66%,-3.29%,0.00%,0.66%,3.92%,INRU
39,30-09-2025,735,775,735,760,87.400,66.424.000,-3.92%,1.31%,-3.92%,-0.65%,5.44%,5.16%,INRU
40,29-09-2025,755,785,735,765,56.600,43.299.000,0.00%,3.97%,-2.65%,1.32%,3.97%,8.28%,INRU
41,26-09-2025,765,875,720,755,142.400,107.512.000,2.00%,16.67%,-4.00%,0.67%,14.38%,16.00%,INRU
42,25-09-2025,760,765,735,750,37.100,27.825.000,0.00%,0.66%,-3.29%,-1.32%,0.66%,1.31%,INRU
43,24-09-2025,790,790,755,760,39.200,29.792.000,4.64%,4.64%,0.00%,0.66%,0.00%,4.43%,INRU
44,23-09-2025,770,770,755,755,24.200,18.271.000,0.00%,0.00%,-1.95%,-1.95%,0.00%,0.00%,INRU
45,22-09-2025,770,790,770,770,40.200,30.954.000,0.00%,2.60%,0.00%,0.00%,2.60%,4.43%,INRU
46,19-09-2025,755,795,755,770,14.400,11.088.000,-3.21%,1.92%,-3.21%,-1.28%,5.30%,1.89%,INRU
47,18-09-2025,795,795,780,780,49.000,38.220.000,1.92%,1.92%,0.00%,0.00%,0.00%,6.92%,INRU
48,17-09-2025,800,820,740,780,58.400,45.552.000,0.63%,3.14%,-6.92%,-1.89%,2.50%,3.05%,INRU
49,16-09-2025,845,845,795,795,43.200,34.344.000,6.29%,6.29%,0.00%,0.00%,0.00%,5.92%,INRU
50,15-09-2025,805,820,795,795,29.100,23.134.500,1.26%,3.14%,0.00%,0.00%,1.86%,5.49%,INRU
51,12-09-2025,775,805,775,795,54.800,43.566.000,-3.73%,0.00%,-3.73%,-1.24%,3.87%,1.86%,INRU
52,11-09-2025,840,840,790,805,90.400,72.772.000,0.60%,0.60%,-5.39%,-3.59%,0.00%,11.90%,INRU
53,10-09-2025,740,865,740,835,447.300,373.495.500,0.68%,17.69%,0.68%,13.61%,16.89%,23.70%,INRU
54,09-09-2025,770,795,660,735,212.700,156.334.500,0.00%,3.25%,-14.29%,-4.55%,3.25%,4.40%,INRU
55,08-09-2025,870,915,760,770,873.800,672.826.000,4.19%,9.58%,-8.98%,-7.78%,5.17%,16.94%,INRU
56,04-09-2025,875,940,760,835,1.482.600,1.237.971.000,-0.57%,6.82%,-13.64%,-5.11%,7.43%,14.89%,INRU
57,03-09-2025,945,970,800,880,678.700,597.256.000,13.17%,16.17%,-4.19%,5.39%,2.65%,24.74%,INRU
58,02-09-2025,730,925,730,835,506.700,423.094.500,-1.35%,25.00%,-1.35%,12.84%,26.71%,22.70%,INRU
59,01-09-2025,750,750,715,740,36.200,26.788.000,0.67%,0.67%,-4.03%,-0.67%,0.00%,2.67%,INRU
60,29-08-2025,765,765,730,745,67.700,50.436.500,0.00%,0.00%,-4.58%,-2.61%,0.00%,0.00%,INRU
61,28-08-2025,765,775,765,765,26.100,19.966.500,0.00%,1.31%,0.00%,0.00%,1.31%,1.94%,INRU
62,27-08-2025,760,790,760,765,24.200,18.513.000,0.00%,3.95%,0.00%,0.66%,3.95%,10.13%,INRU
63,26-08-2025,790,800,710,760,327.000,248.520.000,0.00%,1.27%,-10.13%,-3.80%,1.27%,7.50%,INRU
64,25-08-2025,830,890,740,790,227.800,179.962.000,1.22%,8.54%,-9.76%,-3.66%,7.23%,10.11%,INRU
65,22-08-2025,830,845,800,820,40.600,33.292.000,-0.60%,1.20%,-4.19%,-1.80%,1.81%,1.78%,INRU
66,21-08-2025,860,900,830,835,65.800,54.943.000,0.00%,4.65%,-3.49%,-2.91%,4.65%,10.00%,INRU
67,20-08-2025,845,920,810,860,220.800,189.888.000,-1.17%,7.60%,-5.26%,0.58%,8.88%,9.78%,INRU
68,19-08-2025,860,890,830,855,68.200,58.311.000,1.18%,4.71%,-2.35%,0.59%,3.49%,4.49%,INRU
69,15-08-2025,880,950,850,850,175.400,149.090.000,0.57%,8.57%,-2.86%,-2.86%,7.95%,14.74%,INRU
70,14-08-2025,925,925,810,875,490.200,428.925.000,0.00%,0.00%,-12.43%,-5.41%,0.00%,5.95%,INRU
71,13-08-2025,870,1.015,870,925,1.809.200,1.673.510.000,4.82%,22.29%,4.82%,11.45%,16.67%,32.02%,INRU
72,12-08-2025,690,830,690,830,1.352.500,1.122.575.000,3.76%,24.81%,3.76%,24.81%,20.29%,24.10%,INRU
73,11-08-2025,660,815,630,665,548.800,364.952.000,0.76%,24.43%,-3.82%,1.53%,23.48%,22.70%,INRU
74,08-08-2025,635,665,630,655,103.100,67.530.500,0.79%,5.56%,0.00%,3.97%,4.72%,6.02%,INRU
75,07-08-2025,660,675,625,630,166.000,104.580.000,0.76%,3.05%,-4.58%,-3.82%,2.27%,5.93%,INRU
76,06-08-2025,665,695,635,655,112.200,73.491.000,0.00%,4.51%,-4.51%,-1.50%,4.51%,9.35%,INRU
77,05-08-2025,695,720,630,665,155.200,103.208.000,3.73%,7.46%,-5.97%,-0.75%,3.60%,9.03%,INRU
78,04-08-2025,765,765,655,670,1.017.700,681.859.000,0.00%,0.00%,-14.38%,-12.42%,0.00%,6.54%,INRU
79,01-08-2025,745,790,715,765,72.300,55.309.500,-0.67%,5.33%,-4.67%,2.00%,6.04%,5.06%,INRU
80,31-07-2025,750,805,750,750,171.400,128.550.000,-5.06%,1.90%,-5.06%,-5.06%,7.33%,1.86%,INRU
81,30-07-2025,800,835,790,790,79.200,62.568.000,1.27%,5.70%,0.00%,0.00%,4.38%,6.59%,INRU
82,29-07-2025,800,840,780,790,82.100,64.859.000,0.00%,5.00%,-2.50%,-1.25%,5.00%,5.36%,INRU
83,28-07-2025,830,830,795,800,105.000,84.000.000,3.11%,3.11%,-1.24%,-0.62%,0.00%,3.61%,INRU
84,25-07-2025,860,870,800,805,44.900,36.144.500,1.78%,2.96%,-5.33%,-4.73%,1.16%,5.17%,INRU
85,24-07-2025,835,880,825,845,77.700,65.656.500,0.00%,5.39%,-1.20%,1.20%,5.39%,6.25%,INRU
86,23-07-2025,845,885,825,835,25.500,21.292.500,-2.87%,1.72%,-5.17%,-4.02%,4.73%,15.25%,INRU
87,22-07-2025,860,910,750,870,73.100,63.597.000,0.00%,5.81%,-12.79%,1.16%,5.81%,12.09%,INRU
88,21-07-2025,870,920,800,860,119.700,102.942.000,2.35%,8.24%,-5.88%,1.18%,5.75%,13.04%,INRU
89,18-07-2025,895,955,800,850,320.700,272.595.000,0.56%,7.30%,-10.11%,-4.49%,6.70%,25.65%,INRU
90,17-07-2025,710,935,710,890,294.900,262.461.000,-13.94%,13.33%,-13.94%,7.88%,31.69%,13.90%,INRU
91,16-07-2025,805,835,805,825,86.500,71.362.500,0.00%,3.73%,0.00%,2.48%,3.73%,4.19%,INRU
92,15-07-2025,865,900,800,805,81.300,65.446.500,0.58%,4.65%,-6.98%,-6.40%,4.05%,9.44%,INRU
93,14-07-2025,945,945,815,860,145.600,125.216.000,0.00%,0.00%,-13.76%,-8.99%,0.00%,2.65%,INRU
94,11-07-2025,950,950,920,945,25.500,24.097.500,0.00%,0.00%,-3.16%,-0.53%,0.00%,5.26%,INRU
95,10-07-2025,955,990,900,950,267.900,254.505.000,6.70%,10.61%,0.56%,6.15%,3.66%,16.16%,INRU
96,09-07-2025,920,1.000,830,895,151.700,135.771.500,0.00%,8.70%,-9.78%,-2.72%,8.70%,10.00%,INRU
97,08-07-2025,985,985,900,920,39.700,36.524.000,0.00%,0.00%,-8.63%,-6.60%,0.00%,11.68%,INRU
98,07-07-2025,985,1.010,870,985,169.900,167.351.500,0.00%,2.54%,-11.68%,0.00%,2.54%,7.92%,INRU
99,04-07-2025,1.025,1.030,930,985,82.600,81.361.000,0.00%,0.49%,-9.27%,-3.90%,0.49%,6.31%,INRU
100,03-07-2025,1.050,1.050,965,1.025,119.200,122.180.000,0.00%,0.00%,-8.10%,-2.38%,0.00%,0.00%,INRU
101,02-07-2025,1.075,1.075,1.050,1.050,97.700,102.585.000,8.59%,8.59%,6.06%,6.06%,0.00%,7.91%,INRU
102,01-07-2025,990,990,990,990,77.000,76.230.000,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,INRU
