col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INTA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INTA
1,21-11-2025,48,48,48,48,2.700.400,129.619.200,9.09%,9.09%,9.09%,9.09%,0.00%,8.33%,INTA
2,20-11-2025,44,44,44,44,1.956.000,86.064.000,10.00%,10.00%,10.00%,10.00%,0.00%,11.36%,INTA
3,19-11-2025,39,42,39,40,676.400,27.056.000,0.00%,7.69%,0.00%,2.56%,7.69%,7.14%,INTA
4,18-11-2025,39,44,39,39,901.500,35.158.500,-2.50%,10.00%,-2.50%,-2.50%,12.82%,9.09%,INTA
5,17-11-2025,41,41,40,40,1.016.000,40.640.000,-2.38%,-2.38%,-4.76%,-4.76%,0.00%,-2.44%,INTA
6,14-11-2025,45,45,42,42,2.025.300,85.062.600,0.00%,0.00%,-6.67%,-6.67%,0.00%,0.00%,INTA
7,13-11-2025,46,48,45,45,1.020.600,45.927.000,4.55%,9.09%,2.27%,2.27%,4.35%,25.00%,INTA
8,12-11-2025,36,44,36,44,4.151.900,182.683.600,-10.00%,10.00%,-10.00%,10.00%,22.22%,11.36%,INTA
9,11-11-2025,39,40,39,40,1.370.100,54.804.000,0.00%,2.56%,0.00%,2.56%,2.56%,2.50%,INTA
10,10-11-2025,39,39,39,39,1.415.600,55.208.400,2.63%,2.63%,2.63%,2.63%,0.00%,2.56%,INTA
11,07-11-2025,38,38,38,38,447.900,17.020.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INTA
12,06-11-2025,38,38,38,38,609.600,23.164.800,-5.00%,-5.00%,-5.00%,-5.00%,0.00%,-2.63%,INTA
13,05-11-2025,40,42,39,40,776.000,31.040.000,2.56%,7.69%,0.00%,2.56%,5.00%,9.52%,INTA
14,04-11-2025,40,40,38,39,655.900,25.580.100,0.00%,0.00%,-5.00%,-2.50%,0.00%,0.00%,INTA
15,03-11-2025,43,43,40,40,1.118.300,44.732.000,2.38%,2.38%,-4.76%,-4.76%,0.00%,2.33%,INTA
16,31-10-2025,42,43,42,42,592.900,24.901.800,-2.33%,0.00%,-2.33%,-2.33%,2.38%,2.33%,INTA
17,30-10-2025,43,43,42,43,404.900,17.410.700,0.00%,0.00%,-2.33%,0.00%,0.00%,4.65%,INTA
18,29-10-2025,41,43,41,43,754.600,32.447.800,-2.38%,2.38%,-2.38%,2.38%,4.88%,2.33%,INTA
19,28-10-2025,42,42,42,42,616.000,25.872.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INTA
20,27-10-2025,43,43,42,42,681.800,28.635.600,0.00%,0.00%,-2.33%,-2.33%,0.00%,0.00%,INTA
21,24-10-2025,44,44,43,43,1.771.300,76.165.900,7.32%,7.32%,4.88%,4.88%,0.00%,6.82%,INTA
22,23-10-2025,41,41,41,41,1.101.100,45.145.100,-8.89%,-8.89%,-8.89%,-8.89%,0.00%,7.32%,INTA
23,22-10-2025,40,45,38,45,1.215.700,54.706.500,-2.44%,9.76%,-7.32%,9.76%,12.50%,8.89%,INTA
24,21-10-2025,42,42,41,41,1.844.900,75.640.900,-2.33%,-2.33%,-4.65%,-4.65%,0.00%,-2.38%,INTA
25,20-10-2025,49,49,43,43,1.677.700,72.141.100,6.52%,6.52%,-6.52%,-6.52%,0.00%,6.12%,INTA
26,17-10-2025,48,48,46,46,1.223.700,56.290.200,6.67%,6.67%,2.22%,2.22%,0.00%,12.50%,INTA
27,16-10-2025,42,45,42,45,2.179.100,98.059.500,2.44%,9.76%,2.44%,9.76%,7.14%,8.89%,INTA
28,15-10-2025,41,41,41,41,3.696.100,151.540.100,-8.89%,-8.89%,-8.89%,-8.89%,0.00%,-9.76%,INTA
29,14-10-2025,55,55,45,45,16.271.100,732.199.500,10.00%,10.00%,-10.00%,-10.00%,0.00%,9.09%,INTA
30,13-10-2025,50,50,50,50,4.984.300,249.215.000,8.70%,8.70%,8.70%,8.70%,0.00%,8.00%,INTA
31,10-10-2025,46,46,46,46,5.600.200,257.609.200,9.52%,9.52%,9.52%,9.52%,0.00%,8.70%,INTA
32,09-10-2025,42,42,42,42,2.935.800,123.303.600,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,INTA
33,08-10-2025,39,39,39,39,2.190.600,85.433.400,8.33%,8.33%,8.33%,8.33%,0.00%,23.08%,INTA
