col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),INTD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,INTD
1,21-11-2025,222,222,212,220,196.300,43.186.000,0.91%,0.91%,-3.64%,0.00%,0.00%,7.21%,INTD
2,20-11-2025,214,222,206,220,397.900,87.538.000,0.00%,3.74%,-3.74%,2.80%,3.74%,5.41%,INTD
3,19-11-2025,218,220,210,214,263.500,56.389.000,1.87%,2.80%,-1.87%,0.00%,0.92%,4.55%,INTD
4,18-11-2025,218,222,210,214,520.900,111.472.600,0.93%,2.78%,-2.78%,-0.93%,1.83%,9.01%,INTD
5,17-11-2025,218,218,202,216,191.500,41.364.000,0.93%,0.93%,-6.48%,0.00%,0.00%,2.75%,INTD
6,14-11-2025,218,220,212,216,21.100,4.557.600,0.00%,0.92%,-2.75%,-0.92%,0.92%,3.64%,INTD
7,13-11-2025,218,218,212,218,58.400,12.731.200,0.00%,0.00%,-2.75%,0.00%,0.00%,1.83%,INTD
8,12-11-2025,218,220,214,218,12.200,2.659.600,0.93%,1.85%,-0.93%,0.93%,0.92%,4.55%,INTD
9,11-11-2025,222,224,210,216,625.600,135.129.600,0.00%,0.90%,-5.41%,-2.70%,0.90%,5.36%,INTD
10,10-11-2025,218,228,212,222,88.400,19.624.800,0.00%,4.59%,-2.75%,1.83%,4.59%,5.26%,INTD
11,07-11-2025,216,242,216,218,1.124.600,245.162.800,0.00%,12.04%,0.00%,0.93%,12.04%,11.57%,INTD
12,06-11-2025,220,224,214,216,263.300,56.872.800,0.00%,1.82%,-2.73%,-1.82%,1.82%,7.14%,INTD
13,05-11-2025,212,250,208,220,566.200,124.564.000,0.00%,17.92%,-1.89%,3.77%,17.92%,17.60%,INTD
14,04-11-2025,222,224,206,212,280.900,59.550.800,-0.89%,0.00%,-8.04%,-5.36%,0.90%,5.36%,INTD
15,03-11-2025,228,228,212,224,10.900,2.441.600,3.64%,3.64%,-3.64%,1.82%,0.00%,7.89%,INTD
16,31-10-2025,220,228,210,220,18.100,3.982.000,0.00%,3.64%,-4.55%,0.00%,3.64%,6.14%,INTD
17,30-10-2025,220,228,214,220,235.200,51.744.000,0.00%,3.64%,-2.73%,0.00%,3.64%,8.77%,INTD
18,29-10-2025,212,228,208,220,237.700,52.294.000,-2.75%,4.59%,-4.59%,0.92%,7.55%,7.89%,INTD
19,28-10-2025,218,218,210,218,9.300,2.027.400,0.00%,0.00%,-3.67%,0.00%,0.00%,2.75%,INTD
