col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IOTF
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IOTF
1,21-11-2025,96,97,92,93,52.306.200,4.864.476.600,1.05%,2.11%,-3.16%,-2.11%,1.04%,8.25%,IOTF
2,20-11-2025,90,97,89,95,304.212.000,28.900.140.000,1.12%,8.99%,0.00%,6.74%,7.78%,10.31%,IOTF
3,19-11-2025,88,92,87,89,41.489.000,3.692.521.000,1.15%,5.75%,0.00%,2.30%,4.55%,5.43%,IOTF
4,18-11-2025,89,90,87,87,19.500.100,1.696.508.700,0.00%,1.12%,-2.25%,-2.25%,1.12%,3.33%,IOTF
5,17-11-2025,88,89,87,89,21.776.400,1.938.099.600,0.00%,1.14%,-1.14%,1.14%,1.14%,2.25%,IOTF
6,14-11-2025,89,89,87,88,15.932.500,1.402.060.000,0.00%,0.00%,-2.25%,-1.12%,0.00%,2.25%,IOTF
7,13-11-2025,87,91,87,89,50.750.400,4.516.785.600,0.00%,4.60%,0.00%,2.30%,4.60%,5.49%,IOTF
8,12-11-2025,87,88,86,87,24.480.400,2.129.794.800,1.16%,2.33%,0.00%,1.16%,1.15%,2.27%,IOTF
9,11-11-2025,88,88,86,86,24.740.600,2.127.691.600,1.15%,1.15%,-1.15%,-1.15%,0.00%,2.27%,IOTF
10,10-11-2025,87,88,86,87,24.355.300,2.118.911.100,0.00%,1.15%,-1.15%,0.00%,1.15%,4.55%,IOTF
11,07-11-2025,84,92,84,87,102.098.600,8.882.578.200,-1.18%,8.24%,-1.18%,2.35%,9.52%,8.70%,IOTF
12,06-11-2025,85,86,84,85,13.465.600,1.144.576.000,0.00%,1.18%,-1.18%,0.00%,1.18%,1.16%,IOTF
13,05-11-2025,88,88,85,85,21.234.400,1.804.924.000,1.15%,1.15%,-2.30%,-2.30%,0.00%,3.41%,IOTF
14,04-11-2025,86,87,85,87,21.670.000,1.885.290.000,0.00%,1.16%,-1.16%,1.16%,1.16%,2.30%,IOTF
15,03-11-2025,87,89,85,86,23.834.200,2.049.741.200,1.16%,3.49%,-1.16%,0.00%,2.30%,4.49%,IOTF
16,31-10-2025,87,88,85,86,18.064.600,1.553.555.600,0.00%,1.15%,-2.30%,-1.15%,1.15%,3.41%,IOTF
17,30-10-2025,87,87,85,87,13.884.900,1.207.986.300,1.16%,1.16%,-1.16%,1.16%,0.00%,2.30%,IOTF
18,29-10-2025,88,88,85,86,21.153.700,1.819.218.200,0.00%,0.00%,-3.41%,-2.27%,0.00%,4.55%,IOTF
