col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),IPCC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,IPCC
1,21-11-2025,1.245,1.270,1.235,1.250,1.038.900,1.298.625.000,-0.40%,1.60%,-1.20%,0.00%,2.01%,3.54%,IPCC
2,20-11-2025,1.280,1.280,1.225,1.250,3.386.600,4.233.250.000,0.00%,0.00%,-4.30%,-2.34%,0.00%,7.03%,IPCC
3,19-11-2025,1.195,1.285,1.190,1.280,6.259.700,8.012.416.000,0.42%,7.98%,0.00%,7.56%,7.53%,7.78%,IPCC
4,18-11-2025,1.195,1.205,1.185,1.190,4.001.600,4.761.904.000,0.84%,1.69%,0.00%,0.42%,0.84%,2.49%,IPCC
5,17-11-2025,1.185,1.190,1.175,1.185,1.298.400,1.538.604.000,0.00%,0.42%,-0.84%,0.00%,0.42%,1.68%,IPCC
6,14-11-2025,1.180,1.190,1.170,1.185,901.900,1.068.751.500,0.00%,0.85%,-0.85%,0.42%,0.85%,1.26%,IPCC
7,13-11-2025,1.195,1.200,1.175,1.180,608.400,717.912.000,1.27%,1.69%,-0.42%,0.00%,0.42%,2.08%,IPCC
8,12-11-2025,1.190,1.195,1.175,1.180,1.328.900,1.568.102.000,0.00%,0.42%,-1.26%,-0.84%,0.42%,2.09%,IPCC
9,11-11-2025,1.190,1.195,1.170,1.190,1.640.700,1.952.433.000,0.00%,0.42%,-1.68%,0.00%,0.42%,1.26%,IPCC
10,10-11-2025,1.190,1.190,1.180,1.190,741.100,881.909.000,0.00%,0.00%,-0.84%,0.00%,0.00%,0.00%,IPCC
11,07-11-2025,1.200,1.210,1.190,1.190,823.100,979.489.000,0.00%,0.83%,-0.83%,-0.83%,0.83%,1.65%,IPCC
12,06-11-2025,1.195,1.200,1.190,1.200,577.600,693.120.000,0.00%,0.42%,-0.42%,0.42%,0.42%,2.08%,IPCC
