col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MAHA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MAHA
1,21-11-2025,144,144,142,142,2.157.400,306.350.800,0.00%,0.00%,-1.39%,-1.39%,0.00%,0.69%,MAHA
2,20-11-2025,144,145,143,144,1.900.000,273.600.000,0.00%,0.69%,-0.69%,0.00%,0.69%,2.76%,MAHA
3,19-11-2025,143,145,141,144,5.346.800,769.939.200,0.00%,1.40%,-1.40%,0.70%,1.40%,1.38%,MAHA
4,18-11-2025,144,144,143,143,2.773.500,396.610.500,0.00%,0.00%,-0.69%,-0.69%,0.00%,2.78%,MAHA
5,17-11-2025,142,145,140,144,3.510.000,505.440.000,-0.70%,1.40%,-2.10%,0.70%,2.11%,2.76%,MAHA
6,14-11-2025,145,145,141,143,2.361.700,337.723.100,0.69%,0.69%,-2.08%,-0.69%,0.00%,2.07%,MAHA
7,13-11-2025,144,146,142,144,2.959.200,426.124.800,0.00%,1.39%,-1.39%,0.00%,1.39%,2.05%,MAHA
8,12-11-2025,144,149,143,144,10.641.600,1.532.390.400,1.41%,4.93%,0.70%,1.41%,3.47%,6.71%,MAHA
9,11-11-2025,141,145,139,142,7.696.200,1.092.860.400,0.00%,2.84%,-1.42%,0.71%,2.84%,4.14%,MAHA
10,10-11-2025,140,141,139,141,2.546.800,359.098.800,0.00%,0.71%,-0.71%,0.71%,0.71%,1.42%,MAHA
11,07-11-2025,140,141,139,140,2.203.100,308.434.000,0.72%,1.44%,0.00%,0.72%,0.71%,1.42%,MAHA
12,06-11-2025,141,142,139,139,2.878.400,400.097.600,0.71%,1.43%,-0.71%,-0.71%,0.71%,2.11%,MAHA
13,05-11-2025,139,142,139,140,3.709.300,519.302.000,-0.71%,1.43%,-0.71%,0.00%,2.16%,2.11%,MAHA
14,04-11-2025,140,140,139,140,2.223.900,311.346.000,0.00%,0.00%,-0.71%,0.00%,0.00%,0.71%,MAHA
15,03-11-2025,142,142,139,140,3.076.100,430.654.000,0.00%,0.00%,-2.11%,-1.41%,0.00%,1.41%,MAHA
16,31-10-2025,141,142,140,142,1.424.800,202.321.600,0.71%,1.43%,0.00%,1.43%,0.71%,2.82%,MAHA
17,30-10-2025,141,142,138,140,3.919.200,548.688.000,-0.70%,0.00%,-2.82%,-1.41%,0.71%,2.82%,MAHA
18,29-10-2025,139,142,138,142,5.099.900,724.185.800,0.72%,2.90%,0.00%,2.90%,2.16%,2.82%,MAHA
19,28-10-2025,140,140,138,138,3.638.100,502.057.800,0.72%,0.72%,-0.72%,-0.72%,0.00%,1.43%,MAHA
20,27-10-2025,140,141,138,139,6.397.900,889.308.100,0.72%,1.44%,-0.72%,0.00%,0.71%,1.42%,MAHA
21,24-10-2025,143,144,139,139,4.448.600,618.355.400,1.42%,2.13%,-1.42%,-1.42%,0.70%,4.17%,MAHA
22,23-10-2025,142,146,138,141,8.678.500,1.223.668.500,0.00%,2.82%,-2.82%,-0.70%,2.82%,4.11%,MAHA
23,22-10-2025,143,143,140,142,5.158.400,732.492.800,0.00%,0.00%,-2.10%,-0.70%,0.00%,2.10%,MAHA
24,21-10-2025,140,149,140,143,7.366.200,1.053.366.600,-0.71%,5.67%,-0.71%,1.42%,6.43%,7.38%,MAHA
25,20-10-2025,138,142,138,141,3.650.900,514.776.900,0.00%,2.90%,0.00%,2.17%,2.90%,2.82%,MAHA
