col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MAIN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MAIN
1,21-11-2025,815,830,805,820,3.116.100,2.555.202.000,0.00%,1.84%,-1.23%,0.61%,1.84%,2.41%,MAIN
2,20-11-2025,820,825,810,815,2.344.300,1.910.604.500,0.61%,1.23%,-0.61%,0.00%,0.61%,1.82%,MAIN
3,19-11-2025,820,830,810,815,2.197.200,1.790.718.000,1.23%,2.47%,0.00%,0.62%,1.22%,2.41%,MAIN
4,18-11-2025,820,840,810,810,2.588.300,2.096.523.000,0.00%,2.44%,-1.22%,-1.22%,2.44%,4.17%,MAIN
5,17-11-2025,855,870,805,820,6.943.600,5.693.752.000,1.18%,2.96%,-4.73%,-2.96%,1.75%,5.17%,MAIN
6,14-11-2025,830,850,825,845,3.528.800,2.981.836.000,0.00%,2.41%,-0.60%,1.81%,2.41%,2.35%,MAIN
7,13-11-2025,850,860,830,830,4.669.000,3.875.270.000,0.00%,1.18%,-2.35%,-2.35%,1.18%,5.23%,MAIN
8,12-11-2025,820,855,815,850,5.170.600,4.395.010.000,0.61%,4.91%,0.00%,4.29%,4.27%,6.43%,MAIN
9,11-11-2025,815,815,800,815,1.599.800,1.303.837.000,0.62%,0.62%,-1.23%,0.62%,0.00%,1.84%,MAIN
10,10-11-2025,800,815,800,810,3.669.600,2.972.376.000,-1.23%,0.62%,-1.23%,0.00%,1.88%,0.61%,MAIN
11,07-11-2025,830,835,810,810,3.026.400,2.451.384.000,0.61%,1.21%,-1.82%,-1.82%,0.60%,2.99%,MAIN
12,06-11-2025,825,830,810,825,4.938.200,4.074.015.000,0.00%,0.61%,-1.82%,0.00%,0.61%,1.20%,MAIN
13,05-11-2025,845,845,820,825,9.827.500,8.107.687.500,-1.17%,-1.17%,-4.09%,-3.51%,0.00%,1.78%,MAIN
14,04-11-2025,865,865,830,855,3.128.100,2.674.525.500,1.17%,1.17%,-2.92%,0.00%,0.00%,1.73%,MAIN
15,03-11-2025,860,890,850,855,5.536.100,4.733.365.500,1.18%,4.71%,0.00%,0.59%,3.49%,7.30%,MAIN
16,31-10-2025,850,870,825,850,7.822.800,6.649.380.000,0.00%,2.35%,-2.94%,0.00%,2.35%,3.45%,MAIN
