col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MAPA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MAPA
1,21-11-2025,745,760,735,745,24.401.800,18.179.341.000,0.00%,2.01%,-1.34%,0.00%,2.01%,4.61%,MAPA
2,20-11-2025,735,750,725,745,17.225.500,12.832.997.500,0.68%,2.74%,-0.68%,2.05%,2.04%,4.67%,MAPA
3,19-11-2025,725,740,715,730,14.470.900,10.563.757.000,0.69%,2.78%,-0.69%,1.39%,2.07%,2.70%,MAPA
4,18-11-2025,735,745,720,720,38.370.200,27.626.544.000,-1.34%,0.00%,-3.36%,-3.36%,1.36%,5.37%,MAPA
5,17-11-2025,730,745,705,745,41.737.300,31.094.288.500,0.00%,2.05%,-3.42%,2.05%,2.05%,2.01%,MAPA
6,14-11-2025,745,760,730,730,31.703.500,23.143.555.000,-0.67%,1.33%,-2.67%,-2.67%,2.01%,4.61%,MAPA
7,13-11-2025,760,765,725,750,46.431.100,34.823.325.000,0.66%,1.32%,-3.97%,-0.66%,0.66%,3.92%,MAPA
8,12-11-2025,775,775,735,755,33.853.000,25.559.015.000,0.65%,0.65%,-4.55%,-1.95%,0.00%,1.29%,MAPA
9,11-11-2025,785,790,765,770,27.754.100,21.370.657.000,0.00%,0.64%,-2.55%,-1.91%,0.64%,5.70%,MAPA
10,10-11-2025,775,785,745,785,37.269.500,29.256.557.500,0.65%,1.95%,-3.25%,1.95%,1.29%,3.82%,MAPA
11,07-11-2025,785,785,755,770,24.742.300,19.051.571.000,0.64%,0.64%,-3.21%,-1.28%,0.00%,2.55%,MAPA
12,06-11-2025,795,800,765,780,37.009.200,28.867.176.000,0.00%,0.63%,-3.77%,-1.89%,0.63%,5.00%,MAPA
13,05-11-2025,760,820,760,795,151.627.600,120.543.942.000,-0.65%,7.19%,-0.65%,3.92%,7.89%,12.20%,MAPA
14,04-11-2025,750,780,720,765,92.229.500,70.555.567.500,0.00%,4.00%,-4.00%,2.00%,4.00%,7.69%,MAPA
15,03-11-2025,750,775,720,750,126.009.700,94.507.275.000,7.14%,10.71%,2.86%,7.14%,3.33%,11.61%,MAPA
16,31-10-2025,705,710,685,700,66.187.900,46.331.530.000,-1.40%,-0.70%,-4.20%,-2.10%,0.71%,1.41%,MAPA
17,30-10-2025,740,740,700,715,59.495.300,42.539.139.500,0.68%,0.68%,-4.76%,-2.72%,0.00%,3.38%,MAPA
