col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MARI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MARI
1,21-11-2025,30,31,30,31,4.419.400,137.001.400,3.45%,6.90%,3.45%,6.90%,3.33%,6.45%,MARI
2,20-11-2025,29,29,29,29,10.967.900,318.069.100,3.57%,3.57%,3.57%,3.57%,0.00%,3.45%,MARI
3,19-11-2025,29,29,28,28,4.874.200,136.477.600,0.00%,0.00%,-3.45%,-3.45%,0.00%,0.00%,MARI
4,18-11-2025,29,29,29,29,4.644.400,134.687.600,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MARI
5,17-11-2025,31,31,29,29,27.158.600,787.599.400,0.00%,0.00%,-6.45%,-6.45%,0.00%,0.00%,MARI
6,14-11-2025,31,32,31,31,4.385.700,135.956.700,0.00%,3.23%,0.00%,0.00%,3.23%,3.13%,MARI
7,13-11-2025,32,32,31,31,7.150.700,221.671.700,-3.03%,-3.03%,-6.06%,-6.06%,0.00%,0.00%,MARI
8,12-11-2025,32,33,32,33,1.381.000,45.573.000,0.00%,3.13%,0.00%,3.13%,3.13%,3.03%,MARI
9,11-11-2025,32,33,32,32,3.504.400,112.140.800,-3.03%,0.00%,-3.03%,-3.03%,3.13%,3.03%,MARI
10,10-11-2025,32,33,32,33,1.748.600,57.703.800,0.00%,3.13%,0.00%,3.13%,3.13%,3.03%,MARI
11,07-11-2025,32,32,32,32,992.800,31.769.600,0.00%,0.00%,0.00%,0.00%,0.00%,3.13%,MARI
12,06-11-2025,31,33,31,32,830.600,26.579.200,0.00%,6.45%,0.00%,3.23%,6.45%,6.06%,MARI
13,05-11-2025,33,33,31,31,2.864.400,88.796.400,0.00%,0.00%,-6.06%,-6.06%,0.00%,0.00%,MARI
14,04-11-2025,34,34,33,33,5.879.700,194.030.100,0.00%,0.00%,-2.94%,-2.94%,0.00%,0.00%,MARI
15,03-11-2025,34,34,34,34,3.222.300,109.558.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MARI
16,31-10-2025,35,35,34,34,2.864.500,97.393.000,-2.78%,-2.78%,-5.56%,-5.56%,0.00%,0.00%,MARI
