col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MARK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MARK
1,21-11-2025,755,755,725,745,19.990.400,14.892.848.000,1.34%,1.34%,-2.68%,0.00%,0.00%,2.65%,MARK
2,20-11-2025,735,765,735,745,25.215.700,18.785.696.500,0.68%,4.79%,0.68%,2.05%,4.08%,7.19%,MARK
3,19-11-2025,715,740,710,730,27.650.400,20.184.792.000,-0.69%,2.78%,-1.39%,1.39%,3.50%,3.38%,MARK
4,18-11-2025,735,745,715,720,21.149.300,15.227.496.000,0.68%,2.05%,-2.05%,-1.37%,1.36%,7.38%,MARK
5,17-11-2025,695,730,690,730,31.442.100,22.952.733.000,0.00%,5.04%,-0.72%,5.04%,5.04%,6.16%,MARK
6,14-11-2025,690,700,685,695,18.837.400,13.091.993.000,0.00%,1.45%,-0.72%,0.72%,1.45%,2.14%,MARK
7,13-11-2025,705,705,685,690,12.875.700,8.884.233.000,0.71%,0.71%,-2.14%,-1.43%,0.00%,3.55%,MARK
8,12-11-2025,700,705,680,700,25.311.700,17.718.190.000,1.45%,2.17%,-1.45%,1.45%,0.71%,2.13%,MARK
9,11-11-2025,700,710,690,690,7.964.600,5.495.574.000,0.00%,1.43%,-1.43%,-1.43%,1.43%,5.63%,MARK
10,10-11-2025,675,705,670,700,7.956.700,5.569.690.000,0.00%,4.44%,-0.74%,3.70%,4.44%,5.67%,MARK
11,07-11-2025,670,690,665,675,17.327.300,11.695.927.500,0.00%,2.99%,-0.75%,0.75%,2.99%,5.07%,MARK
12,06-11-2025,670,675,655,670,21.910.500,14.680.035.000,-2.19%,-1.46%,-4.38%,-2.19%,0.75%,0.00%,MARK
13,05-11-2025,690,695,675,685,20.042.000,13.728.770.000,0.00%,0.72%,-2.17%,-0.72%,0.72%,2.16%,MARK
14,04-11-2025,700,705,680,690,13.935.600,9.615.564.000,-0.71%,0.00%,-3.55%,-2.13%,0.71%,0.71%,MARK
15,03-11-2025,715,715,700,705,6.570.200,4.631.991.000,0.70%,0.70%,-1.41%,-0.70%,0.00%,1.40%,MARK
16,31-10-2025,715,715,705,710,11.308.100,8.028.751.000,0.00%,0.00%,-1.40%,-0.70%,0.00%,2.80%,MARK
17,30-10-2025,705,720,695,715,14.883.500,10.641.702.500,0.00%,2.13%,-1.42%,1.42%,2.13%,4.17%,MARK
18,29-10-2025,720,720,690,705,21.736.100,15.323.950.500,1.41%,1.41%,-2.82%,-0.70%,0.00%,6.94%,MARK
19,28-10-2025,670,725,670,710,31.162.300,22.125.233.000,0.75%,9.02%,0.75%,6.77%,8.21%,10.34%,MARK
20,27-10-2025,655,680,650,665,16.572.700,11.020.845.500,0.77%,4.62%,0.00%,2.31%,3.82%,5.88%,MARK
21,24-10-2025,670,670,640,650,17.358.400,11.282.960.000,1.52%,1.52%,-3.03%,-1.52%,0.00%,3.73%,MARK
22,23-10-2025,645,665,645,660,12.991.300,8.574.258.000,-0.77%,2.31%,-0.77%,1.54%,3.10%,3.01%,MARK
23,22-10-2025,675,685,645,650,10.650.900,6.923.085.000,0.75%,2.24%,-3.73%,-2.99%,1.48%,5.11%,MARK
24,21-10-2025,660,675,650,670,14.201.000,9.514.670.000,0.76%,3.05%,-0.76%,2.29%,2.27%,5.93%,MARK
25,20-10-2025,635,660,635,655,14.733.800,9.650.639.000,0.00%,3.94%,0.00%,3.15%,3.94%,4.55%,MARK
26,17-10-2025,645,645,630,635,1.848.300,1.173.670.500,0.78%,0.78%,-1.56%,-0.78%,0.00%,2.33%,MARK
27,16-10-2025,635,645,630,640,9.613.900,6.152.896.000,0.00%,1.57%,-0.79%,0.79%,1.57%,3.10%,MARK
28,15-10-2025,640,640,625,635,5.796.100,3.680.523.500,0.79%,0.79%,-1.57%,0.00%,0.00%,1.56%,MARK
29,14-10-2025,645,645,630,635,5.688.700,3.612.324.500,0.00%,0.00%,-2.33%,-1.55%,0.00%,3.10%,MARK
30,13-10-2025,635,650,625,645,8.811.600,5.683.482.000,0.79%,3.17%,-0.79%,2.38%,2.36%,3.85%,MARK
31,10-10-2025,635,640,625,630,5.900.100,3.717.063.000,0.79%,1.59%,-0.79%,0.00%,0.79%,3.13%,MARK
32,09-10-2025,620,640,620,630,8.263.800,5.206.194.000,0.81%,4.07%,0.81%,2.44%,3.23%,4.69%,MARK
33,08-10-2025,625,625,610,615,5.891.800,3.623.457.000,0.00%,0.00%,-2.40%,-1.60%,0.00%,1.60%,MARK
34,07-10-2025,630,630,615,625,3.919.600,2.449.750.000,0.00%,0.00%,-2.38%,-0.79%,0.00%,0.79%,MARK
35,06-10-2025,635,635,625,630,5.240.400,3.301.452.000,0.00%,0.00%,-1.57%,-0.79%,0.00%,1.57%,MARK
36,03-10-2025,645,650,625,635,8.961.000,5.690.235.000,0.00%,0.78%,-3.10%,-1.55%,0.78%,2.31%,MARK
37,02-10-2025,635,650,635,645,7.938.800,5.120.526.000,0.00%,2.36%,0.00%,1.57%,2.36%,3.08%,MARK
38,01-10-2025,640,650,630,635,10.591.100,6.725.348.500,0.79%,2.36%,-0.79%,0.00%,1.56%,2.31%,MARK
39,30-09-2025,645,655,635,635,6.173.500,3.920.172.500,0.78%,2.34%,-0.78%,-0.78%,1.55%,3.05%,MARK
40,29-09-2025,635,655,635,640,13.484.100,8.629.824.000,0.00%,3.15%,0.00%,0.79%,3.15%,3.82%,MARK
41,26-09-2025,640,640,630,635,1.486.700,944.054.500,0.00%,0.00%,-1.56%,-0.78%,0.00%,0.78%,MARK
42,25-09-2025,640,645,635,640,1.477.200,945.408.000,0.00%,0.78%,-0.78%,0.00%,0.78%,1.55%,MARK
43,24-09-2025,655,655,635,640,1.648.200,1.054.848.000,0.00%,0.00%,-3.05%,-2.29%,0.00%,2.29%,MARK
44,23-09-2025,650,665,640,655,3.372.900,2.209.249.500,0.78%,3.10%,-0.78%,1.55%,2.31%,7.52%,MARK
45,22-09-2025,620,650,615,645,6.040.100,3.895.864.500,0.00%,4.84%,-0.81%,4.03%,4.84%,5.38%,MARK
46,19-09-2025,620,625,615,620,11.458.600,7.104.332.000,0.00%,0.81%,-0.81%,0.00%,0.81%,2.40%,MARK
47,18-09-2025,615,625,610,620,9.038.700,5.603.994.000,0.00%,1.63%,-0.81%,0.81%,1.63%,3.20%,MARK
48,17-09-2025,625,635,605,615,14.124.100,8.686.321.500,0.00%,1.60%,-3.20%,-1.60%,1.60%,2.36%,MARK
49,16-09-2025,635,635,620,625,11.012.600,6.882.875.000,0.00%,0.00%,-2.36%,-1.57%,0.00%,1.57%,MARK
50,15-09-2025,635,640,625,635,17.787.600,11.295.126.000,0.00%,0.79%,-1.57%,0.00%,0.79%,1.56%,MARK
51,12-09-2025,640,650,630,635,12.187.100,7.738.808.500,0.00%,1.56%,-1.56%,-0.78%,1.56%,3.85%,MARK
52,11-09-2025,630,655,625,640,19.183.400,12.277.376.000,0.80%,4.80%,0.00%,2.40%,3.97%,6.11%,MARK
53,10-09-2025,625,635,615,625,18.497.800,11.561.125.000,0.81%,2.42%,-0.81%,0.81%,1.60%,3.15%,MARK
54,09-09-2025,630,635,615,620,7.886.200,4.889.444.000,0.00%,0.79%,-2.38%,-1.59%,0.79%,0.79%,MARK
