col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MAYA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MAYA
1,21-11-2025,248,260,248,248,3.732.200,925.585.600,0.00%,4.84%,0.00%,0.00%,4.84%,5.38%,MAYA
2,20-11-2025,252,252,246,248,4.859.100,1.205.056.800,0.80%,0.80%,-1.60%,-0.80%,0.00%,1.59%,MAYA
3,19-11-2025,250,254,248,250,4.753.600,1.188.400.000,0.00%,1.60%,-0.80%,0.00%,1.60%,1.57%,MAYA
4,18-11-2025,258,266,250,250,6.093.800,1.523.450.000,0.00%,3.10%,-3.10%,-3.10%,3.10%,4.51%,MAYA
5,17-11-2025,256,270,254,258,14.786.700,3.814.968.600,0.79%,6.30%,0.00%,1.57%,5.47%,7.41%,MAYA
6,14-11-2025,260,264,250,254,10.900.400,2.768.701.600,0.00%,1.54%,-3.85%,-2.31%,1.54%,100.00%,MAYA
7,12-11-2025,232,248,230,242,12.305.700,2.977.979.400,0.87%,7.83%,0.00%,5.22%,6.90%,7.26%,MAYA
8,11-11-2025,232,236,230,230,3.600.200,828.046.000,0.87%,2.61%,0.00%,0.00%,1.72%,2.54%,MAYA
9,10-11-2025,238,238,230,230,3.840.500,883.315.000,1.71%,1.71%,-1.71%,-1.71%,0.00%,1.68%,MAYA
10,07-11-2025,238,242,234,234,2.967.300,694.348.200,0.00%,1.68%,-1.68%,-1.68%,1.68%,4.13%,MAYA
11,06-11-2025,238,240,232,238,2.054.900,489.066.200,2.59%,3.45%,0.00%,2.59%,0.84%,3.33%,MAYA
12,05-11-2025,238,238,232,232,4.827.900,1.120.072.800,0.00%,0.00%,-2.52%,-2.52%,0.00%,1.68%,MAYA
13,04-11-2025,242,242,234,238,2.872.800,683.726.400,0.00%,0.00%,-3.31%,-1.65%,0.00%,1.65%,MAYA
14,03-11-2025,240,244,238,242,2.850.200,689.748.400,-0.83%,0.83%,-1.65%,0.00%,1.67%,1.64%,MAYA
15,31-10-2025,244,246,240,242,1.510.100,365.444.200,0.83%,1.65%,-0.83%,0.00%,0.82%,2.44%,MAYA
16,30-10-2025,250,254,240,242,10.673.600,2.583.011.200,1.63%,3.25%,-2.44%,-1.63%,1.60%,6.30%,MAYA
17,29-10-2025,242,250,238,246,7.126.300,1.753.069.800,0.00%,3.31%,-1.65%,1.65%,3.31%,4.00%,MAYA
18,28-10-2025,244,250,240,242,3.660.100,885.744.200,2.52%,5.04%,0.84%,1.68%,2.46%,5.60%,MAYA
19,27-10-2025,246,250,236,238,7.127.400,1.696.321.200,0.82%,2.46%,-3.28%,-2.46%,1.63%,2.40%,MAYA
20,24-10-2025,248,250,244,244,1.838.500,448.594.000,0.81%,1.63%,-0.81%,-0.81%,0.81%,2.40%,MAYA
21,23-10-2025,250,250,244,246,2.464.200,606.193.200,0.00%,0.00%,-2.40%,-1.60%,0.00%,2.40%,MAYA
22,22-10-2025,250,254,244,250,6.480.700,1.620.175.000,0.81%,2.42%,-1.61%,0.81%,1.60%,5.51%,MAYA
23,21-10-2025,240,254,240,248,5.739.700,1.423.445.600,-1.64%,4.10%,-1.64%,1.64%,5.83%,11.02%,MAYA
24,20-10-2025,226,262,226,244,13.296.100,3.244.248.400,-0.88%,14.91%,-0.88%,7.02%,15.93%,12.98%,MAYA
25,17-10-2025,236,238,228,228,5.682.800,1.295.678.400,0.85%,1.71%,-2.56%,-2.56%,0.85%,1.68%,MAYA
26,16-10-2025,246,246,234,234,4.097.000,958.698.000,1.65%,1.65%,-3.31%,-3.31%,0.00%,6.50%,MAYA
27,15-10-2025,240,246,230,242,10.192.200,2.466.512.400,-0.83%,1.65%,-4.96%,0.00%,2.50%,2.44%,MAYA
28,14-10-2025,256,260,240,242,14.225.500,3.442.571.000,0.00%,1.56%,-6.25%,-5.47%,1.56%,5.38%,MAYA
29,13-10-2025,250,260,246,256,7.743.200,1.982.259.200,-3.10%,0.78%,-4.65%,-0.78%,4.00%,0.77%,MAYA
