col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MBAP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBAP
1,21-11-2025,1.610,1.615,1.605,1.615,46.600,75.259.000,0.00%,0.31%,-0.31%,0.31%,0.31%,0.93%,MBAP
2,20-11-2025,1.600,1.610,1.600,1.610,18.000,28.980.000,-0.62%,0.00%,-0.62%,0.00%,0.63%,0.62%,MBAP
3,19-11-2025,1.605,1.615,1.600,1.610,36.500,58.765.000,0.00%,0.62%,-0.31%,0.31%,0.62%,0.93%,MBAP
4,18-11-2025,1.625,1.625,1.600,1.605,78.000,125.190.000,0.00%,0.00%,-1.54%,-1.23%,0.00%,1.85%,MBAP
5,17-11-2025,1.605,1.635,1.595,1.625,173.800,282.425.000,0.00%,1.87%,-0.62%,1.25%,1.87%,2.45%,MBAP
6,14-11-2025,1.615,1.615,1.595,1.605,49.500,79.447.500,0.00%,0.00%,-1.24%,-0.62%,0.00%,100.00%,MBAP
7,12-11-2025,1.605,1.640,1.595,1.600,110.300,176.480.000,0.31%,2.50%,-0.31%,0.00%,2.18%,2.74%,MBAP
8,11-11-2025,1.600,1.610,1.595,1.600,87.300,139.680.000,0.00%,0.63%,-0.31%,0.00%,0.63%,0.62%,MBAP
9,10-11-2025,1.610,1.620,1.600,1.600,89.300,142.880.000,0.63%,1.25%,0.00%,0.00%,0.62%,2.16%,MBAP
10,07-11-2025,1.620,1.625,1.585,1.600,127.900,204.640.000,0.00%,0.31%,-2.16%,-1.23%,0.31%,1.54%,MBAP
11,06-11-2025,1.610,1.625,1.600,1.620,44.800,72.576.000,0.63%,1.56%,0.00%,1.25%,0.93%,3.08%,MBAP
12,05-11-2025,1.605,1.615,1.575,1.600,205.900,329.440.000,0.31%,0.94%,-1.56%,0.00%,0.62%,0.93%,MBAP
13,04-11-2025,1.605,1.615,1.600,1.600,73.000,116.800.000,0.31%,0.94%,0.00%,0.00%,0.62%,1.24%,MBAP
14,03-11-2025,1.610,1.610,1.595,1.600,152.700,244.320.000,0.00%,0.00%,-0.93%,-0.62%,0.00%,0.93%,MBAP
15,31-10-2025,1.600,1.610,1.595,1.610,283.700,456.757.000,-0.62%,0.00%,-0.93%,0.00%,0.63%,0.62%,MBAP
16,30-10-2025,1.610,1.640,1.600,1.610,503.500,810.635.000,0.00%,1.86%,-0.62%,0.00%,1.86%,2.44%,MBAP
17,29-10-2025,1.615,1.625,1.600,1.610,58.200,93.702.000,-0.31%,0.31%,-1.23%,-0.62%,0.62%,1.23%,MBAP
18,28-10-2025,1.620,1.625,1.605,1.620,47.600,77.112.000,1.25%,1.56%,0.31%,1.25%,0.31%,1.85%,MBAP
19,27-10-2025,1.625,1.630,1.595,1.600,224.700,359.520.000,0.00%,0.31%,-1.85%,-1.54%,0.31%,0.92%,MBAP
20,24-10-2025,1.635,1.635,1.615,1.625,21.400,34.775.000,0.00%,0.00%,-1.22%,-0.61%,0.00%,1.53%,MBAP
21,23-10-2025,1.620,1.640,1.610,1.635,26.900,43.981.500,-0.61%,0.61%,-1.23%,0.31%,1.23%,1.52%,MBAP
22,22-10-2025,1.630,1.640,1.615,1.630,123.600,201.468.000,0.00%,0.61%,-0.92%,0.00%,0.61%,2.44%,MBAP
23,21-10-2025,1.620,1.640,1.600,1.630,150.600,245.478.000,0.00%,1.23%,-1.23%,0.62%,1.23%,2.44%,MBAP
24,20-10-2025,1.600,1.630,1.600,1.620,39.000,63.180.000,0.00%,1.88%,0.00%,1.25%,1.88%,2.15%,MBAP
25,17-10-2025,1.620,1.630,1.595,1.600,378.700,605.920.000,0.31%,0.93%,-1.24%,-0.93%,0.62%,0.92%,MBAP
26,16-10-2025,1.630,1.640,1.615,1.615,56.600,91.409.000,0.93%,1.55%,0.00%,0.00%,0.61%,1.83%,MBAP
27,15-10-2025,1.635,1.635,1.610,1.615,80.800,130.492.000,1.55%,1.55%,0.00%,0.31%,0.00%,1.53%,MBAP
28,14-10-2025,1.635,1.650,1.610,1.610,130.100,209.461.000,0.00%,0.92%,-1.53%,-1.53%,0.92%,1.21%,MBAP
29,13-10-2025,1.635,1.640,1.630,1.635,96.700,158.104.500,0.00%,0.31%,-0.31%,0.00%,0.31%,0.91%,MBAP
30,10-10-2025,1.635,1.645,1.625,1.635,171.300,280.075.500,0.62%,1.23%,0.00%,0.62%,0.61%,2.13%,MBAP
31,09-10-2025,1.640,1.640,1.610,1.625,134.100,217.912.500,0.31%,0.31%,-1.53%,-0.61%,0.00%,2.13%,MBAP
